en,pt,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
											My name is Amy Padnani,
											and I'm an editor on the obituaries desk
at the ""New York Times.""
											Or, as some friends call me,
the angel of death.
									","
											Chamo-me Amy Padnani
											e sou editora de obituários
no ""New York Times"".
											Ou, como alguns amigos me chamam,
o anjo da morte.
									","
											Mi nombre es Amy Padnani,
											y soy editora de la columna
de obituarios del ""New York TImes"".
											O, como algunos amigos 
me llaman, ""el ángel de la muerte"".
									","
											Benim adım Amy Padnani
											ve New York Times'ta 
ölüm ilanları masasında bir editörüm.
											Ya da arkadaşlarımın bana 
koydukları isimle ölüm meleğiyim.
									","
											Je m'appelle Amy Padnani
											et je suis éditrice de la rubrique 
nécrologique du « New York Times ».
											Mes amis m'appellent l'ange de la mort.
									",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
","
","
","
","
",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
","
","
","
","
",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
											In fact, people will ask me,
											""Isn't it depressing,
working on obituaries
											and thinking about death all the time?""
											But you know what I tell them?
											Obits aren't about death,
they're about life,
											they're interesting, they're relatable.
											Often about something you never knew.
									","
											As pessoas perguntam-me:
											""Não é deprimente
trabalhar em obituários
											""e estar sempre a pensar na morte?""
											Sabem o que é que eu lhes digo?
											Os obituários não são sobre a morte,
são sobre a vida,
											são interessantes, são atraentes,
											frequentemente, são sobre coisas
que nunca saberíamos.
									","
											De hecho, la gente me pregunta:
											""¿No es deprimente trabajar en obituarios
											y pensar todo el rato en la muerte?"".
											¿Saben lo que les digo?
											Los obituarios no tratan
de la muerte, sino la vida;
											son interesantes, son cercanos.
											A menudo sobre algo que nunca supieron.
									","
											Öyle ki insanlar bana şunu soracaktır:
											""Ölüm ilanları üzerinde çalışmak
											ve her zaman ölümü düşünmek
iç karartıcı değil mi?""
											Ama onlara ne söylüyorum,
biliyor musunuz?
											Ölüm ilanları ölüm değil
hayat hakkında;
											ilginçler, ilişkilendirilebilirler.
											Genellikle hiç bilmediğiniz 
bir şey hakkındalar.
									","
											En fait, les gens me demandent :
											« Ça doit être déprimant
d’écrire des nécrologies
											et de penser à la mort en permanence ? »
											Mais je leur réponds ceci :
											une nécrologie ne s’intéresse pas
à la mort, mais à la vie.
											C'est fascinant, c'est attachant.
											Ça parle souvent de choses
que tout le monde ignore.
									",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
","
","
","
","
",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
											Recently, for example,
											we had the obit for the inventor
of the sock puppet.
									","
											Por exemplo, há pouco tempo,
											tivemos um obituário do inventor
da boneca feita de meia.
									","
											Recientemente, por ejemplo,
											hicimos un obituario sobre
el inventor de la marioneta de calcetín.
									","
											Örneğin, geçenlerde çorap kuklasının
mucitinin ölüm ilanı vardı.
									","
											Récemment, par exemple,
											nous avons eu la nécrologie de l'inventeur
de la marionnette chaussette.
									",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
","
","
","
","
",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									",How we're honoring people overlooked by history,Amy Padnani,11:00,"history,women,inequality,society,gender equality,media,social change,race,culture"
