en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
											Hello.
											My name is Simone.
											You know how people tell you
if you get nervous when onstage,
											picture people in the audience naked?
											Like it's this thing that's supposed
to make you feel better.
											But I was thinking —
											picturing all of you naked in 2018
feels kind of weird and wrong.
											Like, we're working really hard
on moving past stuff like that,
											so we need a new method of dealing with
											if you get nervous onstage.
											And I realized that what I'd really like
											is that I can look at you
as much as you're looking at me —
											just to even things out a little bit.
											So if I had way more eyeballs,
											then we'd all be
really comfortable, right?
											So in preparation for this talk,
I made myself a shirt.
									","
											Hola.
											Me llamo Simone.
											Algunos sugieren,
cuando uno tiene pánico escénico,
											que imaginemos al público desnudo.
									","
											Merhaba.
											Adım Simone.
											Hani size sahnede heyecanlanırsanız
											izleyicileri çıplak hayal edin derler ya?
											Bunun sizi rahatlatması gerekiyormuş gibi.
											Ama düşündüm de...
											2018 yılında hepinizi çıplak düşünmek
sanki biraz tuhaf ve yanlış.
											Bu tür şeyleri aşmak için
gerçekten çok uğraşıyoruz,
											o yüzden de sahne heyecanıyla
başa çıkmak için
											yeni bir yönteme ihtiyacımız var.
											Şunu gerçekten fark ettim;
											sizin bana baktığınız kadar
ben de size bakabilirim,
											şartları eşitlemiş oluruz.
											Yani daha fazla göz bebeğim olsa
											hepimiz çok daha rahat olurduk, değil mi?
											Ben de bu konuşmaya hazırlanırken
kendime bir tişört yaptım.
									","
											Bonjour.
											Je m'appelle Simone.
											Vous savez, les gens vous disent que
si vous êtes nerveux sur scène,
											il faut imaginer le public nu.
											Comme si c'était censé
vous rendre plus à l'aise.
											Mais je me disais —
											vous imaginer nus en 2018,
c'est plutôt bizarre et malsain.
											On essaye vraiment
de changer les mentalités,
											donc nous devons trouver
un autre moyen de gérer
											le stress sur scène.
											J'ai réalisé que
ce que j'aimerais vraiment,
											c'est de pouvoir vous regarder
autant que vous me regardez
											pour équilibrer un peu les choses.
											Donc si j'avais beaucoup plus d'yeux,
											on serait tous à l'aise, pas vrai ?
											Je me suis donc cousu un T-shirt
en vue de cette conférence.
									",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
","
","
","
",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
											(Rattling)
									","
											Como si esto ayudara
al orador a tranquilizarse.
											Pero creo que imaginarlos
a todos Uds. desnudos en pleno 2018,
											sería raro e inapropiado.
											Pero nos esforzamos mucho 
en superar este tipo de cosas,
											y necesitamos encontrar un nuevo método
para lidiar con el pánico escénico.
											Y descubrí que lo que sí me agradaría
											es poder observarlos tanto como Uds. a mí,
											solo para equilibrar un poco las cosas.
											Así que si tuviera más ojos,
todos estaríamos más cómodos, ¿cierto?
											Por ello, en mi preparación para 
esta charla, me hice una blusa.
									","
											(Şakırtı)
									","
											(Bruit)
									",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
","
","
","
",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
											(Laughter)
									","
											(Cascabeleo)
									","
											(Kahkahalar)
									","
											(Rires)
									",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
","
","
","
",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
											It's googly eyes.
											It took me 14 hours
											and 227 googly eyes to make this shirt.
											And being able to look at you
as much as you're looking at me
											is actually only half
of the reason I made this.
											The other half is being able to do this.
									","
											(Risas)
									","
											Yapma gözler.
											Bu tişörtü yapmak
											227 yapma gözle 14 saatimi aldı.
											Ayrıca sizin bana baktığınız kadar
benim size bakmam
											bunu yapma sebebimin sadece yarısı.
											Diğer yarısı şunu yapabilmek.
									","
											Ce sont des yeux mobiles.
											J'ai passé 14 heures
											à coudre ce T-shirt
et j'ai utilisé 227 yeux mobiles.
											Pouvoir vous regarder
autant que vous me regardez
											n'est pas la seule raison
pour laquelle je l'ai fait.
											Je l'ai aussi créé
pour pouvoir faire ça.
									",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
","
","
","
",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
											(Googly eyes rattle)
									","
											Son ojitos plásticos.
											Me tomaron 14 horas y 227 ojos plásticos
para hacer esta blusa.
											Pero ser capaz de mirarlos a Uds.
tanto como Uds. a mí
											es solo una parte de la razón
para que hiciera esto,
											la otra parte es poder hacer esto.
									","
											(Yapma gözler şakırdıyor)
									","
											(Bruit des yeux mobiles)
									",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
","
","
","
",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
"
											(Laughter)
									","
											(Ojos cascabeleando)
									","
											(Kahkahalar)
									","
											(Rires)
									",Why you should make useless things,Simone Giertz,11:57,"creativity,demo,personal growth,design,funny,robots,technology"
