en,tr,es,de,title,speaker,duration,tags
"
","
","
","
",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
											I'm an MIT professor,
											but I do not design buildings
or computer systems.
											Rather, I build body parts,
											bionic legs that augment
human walking and running.
									","
											Ben MIT'de öğretim üyesiyim,
											ama bina veya bilgisayar sistemleri değil,
											vücut parçaları üretiyorum;
											insanların yürümesini ve koşmasını
sağlayan biyonik bacaklar.
									","
											Soy profesor en el MIT,
											pero no diseño edificios 
ni sistemas informáticos.
											Por el contrario, 
construyo partes del cuerpo,
											piernas biónicas que potencian 
la marcha humana y la carrera.
									","
											Ich bin ein MIT-Professor,
											aber ich entwerfe keine Gebäude
oder Computersysteme.
											Ich baue Körperteile,
											bionische Beine, die das Gehen
und Laufen unterstützen.
									",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
","
","
","
",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
											In 1982, I was in
a mountain-climbing accident,
											and both of my legs had to be amputated
due to tissue damage from frostbite.
											Here, you can see my legs:
											24 sensors, six microprocessors
and muscle-tendon-like actuators.
											I'm basically a bunch of nuts and bolts
from the knee down.
											But with this advanced bionic technology,
											I can skip, dance and run.
									","
											1982 yılında bir dağcılık kazası geçirdim,
											donmaya bağlı doku hasarı nedeniyle 
iki bacağımın da kesilmesi gerekti.
											Bacaklarımı görebilirsiniz:
											24 sensor, altı mikro-işlemci
ve tendon kası benzeri çalıştırıcısı var.
											Temel olarak dizden aşağı
bir dizi cıvatadan oluşuyorum.
											Ancak bu ileri biyonik teknolojiyle
											zıplıyor, dans edebiliyor
ve koşabiliyorum.
									","
											En 1982 tuve un accidente de montaña,
											y me tuvieron que amputar las dos piernas 
debido al daño tisular por congelación.
											Aquí pueden ver mis piernas:
											24 sensores, 6 microprocesadores
											y activadores similares 
a tendones musculares.
											Básicamente soy un montón de tuercas
y tornillos de la rodilla para abajo.
											Pero con esta tecnología biónica avanzada,
											puedo saltar, bailar y correr.
									","
											1982 hatte ich einen Bergsteigerunfall
											und beide Beine mussten aufgrund 
von Erfrierungen amputiert werden.
											Hier sieht man meine Beine:
											24 Sensoren, sechs Mikroprozessoren 
und muskelsehnenartige Aktuatoren.
											Ich bin im Grunde vom Knie abwärts
ein Haufen Schrauben und Muttern.
											Aber mit dieser fortschrittlichen
bionischen Technologie
											kann ich springen, tanzen und rennen.
									",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
","
","
","
",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Beifall)
									",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
","
","
","
",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
											Thank you.
									","
											Teşekkürler.
									","
											Gracias.
									","
											Vielen Dank.
									",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
","
","
","
",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
"
											(Applause)
									","
											(Alkışlar)
									","
											(Aplausos)
									","
											(Beifall)
									",How we'll become cyborgs and extend human potential,Hugh Herr,15:13,"bionics,design,future,human body,humanity,prosthetics,nature,science,technology"
