en,fr,tr,title,speaker,duration,tags
"
","
","
",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
											On Tuesday, January 16, 1996,
											I walked into the office of the president
											as head of state
of the Republic of Sierra Leone.
											I had not been elected.
											Four years earlier,
											I was one of 30 heavily armed
military officers,
											all in our 20s,
											who had driven from the war front
											into the capital city, Freetown.
											We had only one objective:
											to overthrow a corrupt, repressive
and single-party dictatorship
											that had kept itself in power
for over 25 years.
											But in the end, it wasn't a violent coup.
											After we fired a few shots
and seized the radio station,
											hundreds of thousands of citizens
jumped onto the streets
											to welcome us as liberators.
											If you are thinking this seems
like a movie script, I'm with you.
									","
											Le mardi 16 janvier 1996,
											je suis entré dans le bureau du président
											en tant que chef d’État
de la république de Sierra Leone.
											Je n'avais pas été élu.
											Quatre ans plus tôt,
											j'étais l'un des 30 officiers militaires
lourdement armés,
											tous dans la vingtaine,
											qui étaient venu du front de la guerre
											jusqu'à la capitale, Freetown.
											Nous n'avions qu'un objectif :
											renverser une dictature corrompue,
répressive et n'ayant qu'un seul parti
											et qui s'était maintenue au pouvoir
pendant plus de 25 ans.
											Mais au final, ce n'a pas été
un coup d’État violent.
											Après avoir tiré quelques coups de feu
et envahi la station de radio,
											des centaines de milliers de citoyens
ont surgi dans les rues
											pour nous accueillir
en tant que libérateurs.
											Si vous pensez que cela ressemble
au scénario d'un film, je suis d'accord.
									","
											16 Ocak 1996'da, Perşembe günü
											Cumhurbaşkanlığı makamına
											Sierra Leone Cumhuriyeti
devlet başkanı olarak girdim.
											Seçilmemiştim.
											Dört yıl öncesinde,
											yirmili yaşlarında, savaş cephesinden
											başkent Freetown'a süren
											ağır silahlı otuz kişiden biriydim.
											Tek bir amacımız vardı:
											Kendini 25 yılı aşkın süredir
iktidarda tutan,
											yozlaşmış, baskıcı, tek parti 
diktatörlüğünü devirmek.
											Ama sonunda,
çok şiddetli bir darbe değildi.
											Birkaç atış yaptıktan ve radyo istasyonunu
ele geçirdikten sonra
											yüz binlerce vatandaş, bizi kurtarıcı
olarak karşılamak için
											sokaklara döküldü.
											Eğer bir film senaryosu gibi göründüğünü
düşünüyorsanız aynı fikirdeyim.
									",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
","
","
",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
											I was part of the ruling
military government,
											and I served in several roles.
											Our goal was always to return the country
to democratic civilian rule.
											But after four years,
											those multiparty democratic elections
had still not happened.
											Citizens were beginning
to lose faith in our promise.
											But you know what?
											I like to keep my promises.
									","
											J'étais dans le gouvernement
militaire au pouvoir
											et j'y ai eu plusieurs rôles.
											Notre objectif a toujours été de ramener
le pays à un régime civil et démocratique.
											Mais après quatre années,
											ces élections démocratiques multipartites
n'avaient toujours pas eu lieu.
											Les citoyens commençaient
à perdre foi en notre promesse.
											Mais vous savez quoi ?
											J'aime tenir mes promesses.
									","
											Ben iktidardaki
askeri hükûmetin parçasıydım,
											birçok görevde bulundum.
											Amacımız, her zaman ülkeyi demokratik 
sivil idare haline getirmekti.
											Ama dört yıl sonra,
											o çok partili demokratik seçimler 
hala gerçekleşmemişti.
											Vatandaşlar sözümüze olan inançlarını
yitirmeye başlıyorlardı.
											Ama biliyor musunuz?
											Verdiğim sözleri tutmayı seviyorum.
									",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
","
","
",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
											Some of my comrades and I
staged another military coup,
											and this time, against our own
head of state and commander.
											Again, it was a bloodless coup.
											That is how I became the new
military head of state
											on January 16, 1996.
											I was still only 31 years old.
									","
											Certains de mes camarades et moi avons
organisé un autre coup d’État militaire
											et, cette fois-ci contre notre propre
chef d’État et commandant.
											De nouveau, ce fut sans effusion de sang.
											C'est ainsi que je suis devenu
le nouveau chef d’État militaire
											le 16 janvier 1996.
											Je n'avais que 31 ans.
									","
											Bazı yoldaşlarım ve ben, 
başka bir askeri darbe düzenledik,
											ama bu seferki, kendi devlet başkanımıza
ve komutanımıza karşıydı.
											Yine, kansız bir darbe olmuştu.
											Bu, 16 Ocak 1996'da
											nasıl yeni askeri devlet başkanı
olduğumdur.
											Daha sadece 31 yaşındaydım.
									",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
","
","
",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
											Of course, power was sweet.
											I felt invulnerable.
											I had thousands of heavily armed men
											and aircraft at my command.
											I was heavily protected,
											and I lived in luxury.
											But my obligations to my nation
were always superior.
											Millions of fellow citizens
were either displaced
											or fleeing the violence
and pillage of war.
											So I engaged in a series
of diplomatic activities
											right across the subregion
											and convinced the reclusive rebel leader
to initiate peace talks
											for the very first time.
											I also called a national
consultative conference
											of civil society organizations
and stakeholders
											to advise on the best way forward.
											In both cases, I shared with them
											what I believed in then and now:
											that Sierra Leone is bigger
than all of us,
											and that Sierra Leone must be a secure,
peaceful and just society
											where every person can thrive
											and contribute to national development.
											And so, I initiated peace talks
with the rebels.
											I organized the first multiparty
democratic elections in nearly 30 years.
									","
											Bien sûr, c'était bon d'avoir du pouvoir.
											Je me sentais invulnérable.
											J'avais des milliers
d'hommes lourdement armés
											et des aéronefs sous mon commandement.
											J'étais hautement protégé
											et je vivais dans le luxe.
											Mais mes obligations envers la nation
ont toujours été plus importantes.
											Des millions de concitoyens
ont été déplacés
											ou ont fui la violence
et le pillage de la guerre.
											J'ai participé à une série
d'activités diplomatiques
											à travers la sous-région
											et j'ai convaincu
le leader rebelle solitaire
											d'initier des pourparlers de paix
											pour la toute première fois.
											J'ai également appelé
une conférence consultative
											d'organisations de la société civile
et des parties prenantes
											pour me conseiller
sur la meilleure voie à suivre.
											Dans les deux cas, j'ai partagé avec eux
											ce en quoi je croyais à l'époque
et ce en quoi je crois encore :
											que la Sierra Leone nous dépasse tous
											et que la Sierra Leone doit être
une société sûre, pacifique et juste
											où chacun peut s'épanouir
											et contribuer au développement national.
											J'ai donc initié des pourparlers
de paix avec les rebelles.
											J'ai organisé les premières élections
démocratiques multipartites
											en près de 30 ans.
									","
											Tabii ki güç tatlıydı.
											Kendimi yenilmez hissetmiştim.
											Komutamda binlerce ağır silahlı adam
											ve uçak vardı.
											Ciddi bir şekilde korunuyor
											ve lüks içinde yaşıyordum.
											Ama milletime karşı sorunluluklarım
her zaman öncelikliydi.
											Milyonlarca vatandaş ya yerinden edilmişti
											ya da savaşın şiddetinden
ve soygunundan kaçıyordu.
											Bu yüzden alt bölge genelinde
											bir dizi diplomatik faaliyete katıldım
											ve toplumdan uzaklaşmış isyancı liderini
ilk defa barış görüşmeleri başlatmaya
											ikna ettim.
											Ayrıca, ilerisi için en iyi şekilde 
tavsiyede bulunmak için
											ulusal sivil toplum örgütleri 
danışma konferansını
											ve paydaşlarını çağırdım.
											İki durumda da
eskiden ve şimdi inandığım şeyleri
											onlarla paylaştım
											ki bu da Sierra Leone'nin hepimizden 
daha büyük olduğu,
											Sierra Leone’nin herkesin gelişebileceği
											ve ulusal kalkınmaya
katkıda bulunabileceği güvenli, huzurlu
											ve adil bir toplum olması gerektiği.
											Ve böylece isyancılarla
barış görüşmelerini başlattım.
											İlk çok partili demokratik seçimleri 
yaklaşık 30 yıl içinde organize ettim.
									",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
","
","
",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",A vision for the future of Sierra Leone,Julius Maada Bio,16:13,"Africa,politics,government,democracy,education,social change,society,leadership"
