en,tr,fr,es,title,speaker,duration,tags
"
","
","
","
",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
											If there's one city in the world
											where it's hard to find
a place to buy or rent,
											it's Sydney.
											And if you've tried
to find a home here recently,
											you're familiar with the problem.
											Every time you walk into an open house,
											you get some information
about what's out there
											and what's on the market,
											but every time you walk out,
											you're running the risk
of the very best place passing you by.
											So how do you know when
to switch from looking
											to being ready to make an offer?
									","
											Kiralamak veya satın almak için
											bir yer bulmanın zor olduğu 
tek bir şehir varsa
											orası Sydney'dir.
											Eğer yakın bir zamanda 
burada bir ev aradıysanız
											bu probleme aşinasınız demektir.
											Ne zaman bir açık ev etkinliğine uğrasanız
											oralarda neler bulunduğu
											ve pazarda neler olduğu hakkında 
birkaç bilgi alırsınız,
											fakat bu etkinliklerden her ayrıldığınızda
											o en güzel evin elinizden kaçması 
riskiyle karşı karşıya kalırsınız.
											Peki arama faslından 
teklif vermeye hazır olma faslına
											geçmemiz gereken zamanı nasıl anlarız?
									","
											S'il y a bien une ville au monde
											où c'est compliqué de trouver
un bien à louer ou acheter,
											c'est Sydney.
											Si vous avez cherché une maison récemment,
vous savez de quoi je parle.
											Chaque fois que vous visitez une maison,
											vous obtenez des informations
sur le potentiel de l'offre
											et sur le marché.
											Quand vous rejetez un choix,
											vous prenez le risque
de rater la meilleure maison.
											Comment savez-vous alors
quand arrêter de chercher
											et faire une offre ?
									","
											Si existe una ciudad en el mundo
											donde es difícil comprar
o alquilar una propiedad,
											es Sídney.
											Si han buscado casa por aquí últimamente,
											conocen bien el problema.
											Cada vez que vamos a ver una propiedad,
											obtenemos información
sobre lo que hay en el mercado,
											pero, cada vez que nos vamos sin ofertar,
corremos el riesgo de perdernos la mejor.
											Entonces, ¿cuál es el momento
para dejar de mirar
											y empezar a ofertar?
									",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
","
","
","
",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
											This is such a cruel and familiar problem
											that it might come as a surprise
that it has a simple solution.
											37 percent.
									","
											Bu öyle acımasız ve tanıdık bir sorun ki
											cevabının basitliği 
size sürpriz gibi gelebilir.
											yüzde 37.
									","
											Ce problème est à la fois
si cruel et si familier,
											que vous serez surpris de savoir
que la réponse est simple.
											37%.
									","
											Es un problema tan cruel y tan familiar,
											que tal vez les sorprenda saber
que la solución es simple:
											37 %
									",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
","
","
","
",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
","
","
","
",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
											If you want to maximize the probability
that you find the very best place,
											you should look at 37 percent
of what's on the market,
											and then make an offer
on the next place you see,
											which is better than anything
that you've seen so far.
											Or if you're looking for a month,
take 37 percent of that time —
											11 days, to set a standard —
											and then you're ready to act.
									","
											En iyi evi bulma olasılığınızı 
maksimize etmek istiyorsanız
											pazarda olan evlerin 
yüzde 37'sine bakmalı
											ve baktığınız evlerin
hepsinden daha iyi olan
											gördüğünüz ilk yeni evde
teklif yapmalısınız.
											Eğer bir aylık ev bakıyorsanız, 
bu zamanın %37'sini,
											11 günü, standart olarak belirleyin
											ve artık başlamaya hazırsınız.
									","
											Pour maximiser la probabilité
de trouver la meilleure maison,
											vous devez visiter 37%
des offres sur le marché
											et faire une offre pour le lieu suivant
											qui sera meilleur que tout ce que
vous avez déjà visité.
											Imaginons avoir un mois pour y arriver,
il convient d'y réserver 37% du temps,
											11 jours, pour avoir un standard,
											pour être prêt à agir.
									","
											Si quieren maximizar la probabilidad
de encontrar el mejor lugar,
											deberían ir a ver el 37 %
de las propiedades en el mercado,
											y luego ofertar en el siguiente lugar
											que les parezca el mejor
hasta ese momento.
											O, si van a pasar un mes buscando,
tómense el 37 % de ese tiempo,
											11 días, para establecer un parámetro,
											y luego están listos para actuar.
									",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
","
","
","
",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
"
											We know this because
trying to find a place to live
											is an example of an optimal
stopping problem.
											A class of problems that has been
studied extensively
											by mathematicians and computer scientists.
									","
											Bunu biliyoruz
çünkü kalacak bir yer bulmak
											OSP dediğimiz optimal
durma problemine bir örnek.
											Matematikçiler ve bilgisayar 
bilimcileri tarafından
											kapsamlıca araştırılan
bir problemler sınıfı.
									","
											Nous savons cela
car la recherche d'un lieu de vie
											est un exemple
de problème d'arrêt optimal.
											C'est une catégorie de problèmes
étudiée intensivement
											par les mathématiciens
et les informaticiens.
									","
											Sabemos esto porque,
buscar un lugar para vivir,
											es un ejemplo del problema
de la parada óptima,
											un tipo de problema ampliamente estudiado
											por matemáticos e informáticos teóricos.
									",3 ways to make better decisions — by thinking like a computer,Tom Griffiths,11:47,"computers,cognitive science,decision-making,choice,TEDx,technology,algorithm,brain,psychology"
