en,es,de,fr,title,speaker,duration,tags
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											""Listen.
											Do you hear that?""
											my grandmother asked me.
											""Listen.
											Listen to what the beetle is saying.""
											I would spend hours and hours
listening to the little beetle
											rolling a huge ball of dung,
											and while at it,
											I heard a variety of environmental sounds.
											With the keenest of ears,
I would hear family chatter,
											laughter,
											the wind howling
											and even crickets chirping.
											All these sounds crisscrossed
into each other,
											and I would hear rhythm in between.
											Then I would beat my plate with a spoon
and my chest with my tiny hands
											trying to recreate what I was hearing.
											I have been beating the same plates,
											shakers, drums, pans
and so much more ever since
											to become a professional drummer
											and percussionist.
									","
											""Escucha.
											¿Oyes ese sonido?"",
											me preguntaba mi abuela.
											""Escucha.
											Escucha lo que dice el escarabajo"".
											Me pasaba horas y horas
escuchando al pequeño escarabajo
											que hacía rodar
una enorme bola de estiércol,
											y mientras lo observaba
											oía una variedad de sonidos circundantes.
											Aguzando al máximo mis oídos,
oía las charlas familiares,
											las risas,
											el rugido del viento
											y hasta el canto de los grillos.
											Todos estos sonidos se entrecruzaban
											y yo percibía un ritmo entre ellos.
											Luego golpeaba mi plato con una cuchara
y me batía el pecho con las manitas
											tratando de recrear lo que oía.
											Desde entonces sigo golpeando
los mismos platos,
											maracas, tambores, ollas
y muchas otras cosas
											para llegar a ser baterista 
y percusionista profesional
									","
											""Hör zu.
											Hörst du das?"",
											fragte mich meine Großmutter.
											""Hör zu.
											Hör zu, was der Käfer sagt.""
											Ich konnte Stunden damit verbringen, 
dem kleinen Käfer zuzuhören,
											wie er einen riesigen Mistball rollt,
											und währenddessen
											hörte ich die vielen Umgebungsgeräusche.
											Mit den schärfsten Ohren 
hörte ich Familiengeplapper,
											Lachen,
											den heulenden Wind
											und sogar Grillen zirpen.
											All diese Geräusche vermischten sich
											und ich konnte den Rhythmus
dazwischen hören.
											Dann schlug ich mit dem Löffel
auf meinen Teller
											und mit meinen kleinen Händen
auf meine Brust.
											und versuchte nachzumachen, was ich hörte.
											Seither habe ich auf die gleichen Platten,
											Rasseln, Trommeln, Pfannen
und vieles mehr geschlagen,
											um eine professionelle Schlagzeugerin
und Perkussionistin zu werden.
									","
											« Écoute.
											Tu entends ? »,
											me demandait ma grand-mère.
											« Écoute.
											Écoute ce que dit le scarabée. »
											Je passais des heures et des heures
à écouter le petit scarabée
											rouler une énorme boule de bouse
											et en même temps,
											j'entendais plein de bruits autour.
											En tendant l'oreille, 
j'entendais des familles bavarder,
											des rires,
											le hurlement du vent,
											et même les stridulations des grillons.
											Tous ces sons s'enchevêtraient,
											et j'entendais le rythme qui les animait.
											Et je frappais un plat avec une cuillère
et ma poitrine avec mes petites mains
											en essayant de recréer ce que j'entendais.
											J'ai continué à frapper 
sur ces mêmes assiettes,
											maracas, tambours, poêles
et tant d'autres choses
											pour devenir batteuse et percussionniste
											professionnelle.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											(Applause)
									","
											(Aplausos)
									","
											(Beifall)
									","
											(Applaudissements)
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											As I grew up, subconsciously,
											I felt a strong urge
to hide my newfound hobby.
											Even without it being said out loud,
											I knew that somehow
it was wrong to do what I was doing.
											In most of the ceremonies,
											I noticed that most of the women
and girls were not in sight,
											but when they were,
											I noticed that they would wear
their dancing skirts
											and shake their waists off,
											singing, clapping, ululating,
											while the men filled up
the rhythm section.
											A few years later, I came to understand
											what tradition and culture meant,
											and what was considered taboo
											or otherwise.
									","
											A medida que iba creciendo, 
sentía inconscientemente
											la imperiosa necesidad de ocultar
mi nuevo pasatiempo.
											Y aunque no lo decía en voz alta,
											sabía que eso no estaba nada bien.

											En la mayoría de las ceremonias,
											notaba que casi todas las mujeres
y las niñas no se mostraban
											pero, cuando lo hacían,
											aparecían con sus faldas de baile
											y movían las caderas,
											cantando, batiendo palmas, ululando,
											mientras los hombres
se encargaban de la parte rítmica.
											Años después, logré comprender
											el significado de la tradición
y de la cultura,
											y de lo que se consideraba tabú o no.
									","
											Als ich aufwuchs, spürte ich 
unbewusst den starken Drang,
											mein neu gefundenes Hobby zu verstecken.
											Auch ohne dass es laut erwähnt wurde
											wusste ich, dass es irgendwie 
falsch war, was ich tat.
											Ich bemerkte, dass
in den meisten Zeremonien,
											die Mehrheit der Frauen und Mädchen
nicht in Sichtweite waren.
											Doch wenn sie dabei waren,
											trugen sie ihre Tanzröcke,
											schwangen ihre Hüften,
											sangen, klatschten und heulten,
											während die Männer 
die Rhythmusgruppe bildeten.
											Ein paar Jahre später habe ich verstanden
											was Tradition und Kultur bedeuteten,
											und was als Tabu galt
											oder andernfalls ...
									","
											En grandissant, inconsciemment,
											j'ai ressenti le besoin irrépressible
de cacher mon nouveau passe-temps.
											Même sans en parler,
											je savais que ce que je faisais était mal.
											Pendant la plupart des cérémonies,
											je remarquais qu'on ne voyait
ni les femmes ni les petites filles,
											et quand elles étaient là,
											je remarquais qu'elles portaient
leurs tenues de danse
											et qu'elles se déhanchaient,
											en chantant, frappant des mains, ululant
											tandis que les hommes
s'occupaient des rythmes.
											Quelques années plus tard, j'ai compris
											le poids de la tradition et de la culture
											et les choses qui étaient taboues
											ou non.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											In the majority of African cultures,
											women have been forbidden
to play drums and percussion
											for a very long time.
											I believe this taboo stems from
the psychological and traditional belief
											that the woman is an inferior being.
											I grew up hearing that the place
of the woman is in the kitchen
											or in the other room.
											Mhm?
									","
											En la mayoría de las culturas africanas,
											las mujeres tienen prohibido
tocar los tambores o hacer percusión
											desde hace mucho tiempo.
											Creo que este tabú se origina
en la creencia psicológica y tradicional
											de que la mujer es un ser inferior.
											Crecí escuchando a otros decir
que el lugar de la mujer está en la cocina
											o en la otra habitación.
											¿Mm?
									","
											In der Mehrheit der afrikanischen Kulturen
											wurde es Frauen sehr lange verboten,
Schlagzeug und Perkussion zu spielen.
											Ich glaube, dass dieses Tabu
											aus dem psychologischen
und traditionellen Glauben stammt,
											dass die Frau minderwertig ist.
											Ich wuchs auf und hörte ständig,
dass der Platz der Frau in der Küche sei
											oder im anderen Zimmer.
											Mhm?
									","
											Dans la plupart des cultures africaines,
											on interdit aux femmes de jouer
du tambour ou des percussions
											depuis longtemps.
											Je pense que ce tabou vient 
de la croyance traditionnelle
											selon laquelle
la femme est un être inférieur.
											J'ai grandi en entendant dire que
la place des femmes était dans la cuisine
											ou dans l'autre pièce.
											Hum-um ?
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											(Laughter)
									","
											(Risas)
									","
											(Lachen)
									","
											(Rires)
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											Women had been brainwashed
and led on for so long
											until we had fallen victim and actually
started believing in this ourselves.
											This, coupled with the lack
of interest to educate women,
											played a major, major role
											in etching this into our minds.
											The sounds of the drum
provoke emotion and movement.
											Essentially, the drum
is a very sensual instrument.
											Once at a festival, a man asked me
											how I dared put a drum in between my legs.
											I have been considered loose and dirty
for playing an instrument.
											I have repeatedly been questioned
											why I would choose to play drums
											instead of practicing journalism,
											which I studied for my undergraduate,
											which has been termed ""more decent.""
											The sight of a woman
playing drums enfeebles her,
											makes her less feminine,
											less desirable,
											but all this optimally
puts her on a lower social stand.
									","
											Las mujeres fueron objeto
de un lavado de cerebro
											durante largo tiempo
											hasta que fuimos víctimas
y empezamos a creerlo nosotras mismas.
											Esto, junto con la falta de interés
por educar a la mujer,
											tuvo una enorme influencia
											para que quedara grabado en nuestra mente.
											El sonido de un tambor
provoca emoción y movimiento.
											El tambor es, esencialmente,
un instrumento muy sensual.
											Una vez, en un festival, 
un hombre me preguntó
											cómo me atrevía a ponerme
un tambor entre las piernas.
											Me han llegado a tildar de mujer fácil
y sucia por tocar un instrumento.
											Muchas veces me han cuestionado
											por qué elegí tocar el tambor
											en lugar de dedicarme al periodismo,
											que era lo que estudiaba 
en la universidad,
											actividad que era vista
como ""más decente"".
											Una mujer que toca el tambor
¿acaso se ve más débil,
											menos femenina,
											menos deseable?
											En el mejor de los casos,
la coloca en un nivel social inferior.
									","
											Wir Frauen wurden so lange
einer Gehirnwäsche unterzogen,
											bis wir zum Opfer wurden und
tatsächlich selbst daran glaubten.
											Dies, gepaart mit fehlendem
Interesse, Frauen auszubilden,
											trug sehr dazu bei,
											dies in unsere Gehirne einzugravieren.
											Die Klänge der Trommel rufen
Emotionen und Bewegung hervor.
											Im Wesentlichen ist die Trommel
ein sehr sinnliches Instrument.
											Auf einem Festival fragte mich ein Mann
											wie ich es wagen könne, eine Trommel
zwischen meine Beine zu nehmen.
											Man hielt mich für locker und schmutzig,
weil ich ein Instrument spielte.
											Ich wurde wiederholt gefragt,
											warum ich mich für Schlagzeug spielen
											und nicht für Journalismus
entschieden habe,
											was ich im Grundstudium studiert hatte,
											und als ""anständiger"" angesehen wurde.
											Der Anblick einer Frau,
die Trommeln spielt, schwächt sie,
											macht sie weniger weiblich,
											weniger begehrenswert,
											und das alles bringt sie auf
eine niedrigere gesellschaftliche Ebene.
									","
											On a conditionné les femmes, 
on les a trompées depuis si longtemps
											que maintenant 
nous avons commencé à y croire.
											En y ajoutant l'absence d'intérêt
concernant l'éducation féminine,
											cela a énormément contribué
											à graver cette place dans nos esprits.
											Le son du tambour suscite
l'émotion et le mouvement.
											Le tambour est tout simplement
un instrument très sensuel.
											A un festival, un homme m'a demandé
											comment j'osais mettre
un tambour entre mes jambes.
											On me considère comme une fille facile, 
obscène parce je joue.
											On me demande constamment
											pourquoi j'ai choisi de jouer du tambour
											plutôt que de faire du journalisme,
											que j'ai étudié pour mon diplôme,
											qui est défini comme « plus convenable ».
											Jouer des percussions
affaiblit une femme,
											la rend moins féminine,
											moins désirable,
											et tout cela la rabaisse
à un niveau social inférieur.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											Drumming has essentially represented
the strong African heritage,
											and its importance can be seen
											in the many aspects
of the African tradition.
											Many communities encompass drumming
in their day-to-day activities,
											and still do up to date,
											from childbirths to initiation ceremonies,
											welcoming ceremonies,
											marriages and even burials.
											However, this same drum
											is disappearing very fast
from the music scene,
											and the traditional genre
is losing its popularity
											very quickly amongst the people.
											Inspired by the need
to preserve this culture,
											I am teaching the significance
and the importance of the drum
											to young boys, women and girls.
									","
											La percusión representa esencialmente 
el gran legado africano
											y su importancia se refleja
											en los numerosos aspectos
de la tradición africana.
											Muchas comunidades incluyen
la percusión en sus actividades diarias,
											y lo hacen hasta el día de hoy,
											desde nacimientos 
hasta ceremonias de iniciación,
											ceremonias de bienvenida,
											casamientos e incluso funerales.
											Sin embargo, este mismo tambor
											está desapareciendo muy rápido
del escenario musical,
											y el género tradicional está empezando
a perder popularidad
											muy rápido entre la gente.
											Inspirada por la necesidad
de preservar esta cultura,
											doy clases sobre el significado
y la importancia del tambor
											a mujeres y niños.
									","
											Trommeln ist im Wesentlichen
das starke afrikanische Erbe,
											und seine Bedeutung sieht man
											in den vielen Aspekten
afrikanischer Traditionen.
											Viele Gemeinschaften integrieren 
das Trommeln in tägliche Aktivitäten,
											heute noch.
											Von Geburten bis zu Initiationsritualen,
											Begrüßungszeremonien,
											Hochzeiten und sogar Bestattungen.
											Allerdings verschwindet die Trommel
											sehr schnell aus der Musikszene,
											und das traditionelle Genre verliert bei
den Leuten sehr schnell an Popularität.
											Inspiriert von der Notwendigkeit
diese Kultur zu erhalten,
											lehre ich Jungen, Frauen und Mädchen,
											die Bedeutung und
die Wichtigkeit der Trommel.
									","
											Les percussions représentent
un héritage africain fort,
											et leur importance est visible
											dans les nombreux aspects
des traditions africaines.
											Beaucoup de communautés incluent
les percussions dans leur quotidien,
											le font même encore actuellement,
											pendant les naissances,
les cérémonies d'initiation,
											les cérémonies d'accueil,
											les mariages et même les enterrements.
											Cependant, ces mêmes percussions
											sont en train de disparaître rapidement
de la scène musicale,
											et le style traditionnel
perd sa popularité
											très rapidement parmi la population.
											Poussée par le besoin
de protéger cette culture,
											j'enseigne l'importance
et la portée des percussions
											à des jeunes garçons, des femmes
et des jeunes filles.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											In my journey as a percussion teacher,
											I have realized that very many women
											actually want to play the drum,
											but at the same time,
											they fear it.
											Some fear how society will perceive them.
											Others fear the physical pain
that comes with playing.
											Oh yes, it's not that easy.
											Some, because their spouses
don't approve of them,
											and others generally
fear the responsibility
											of being a bearer of culture.
											I believe, or I think that all these fears
											are etched in the collective
feminine cautiousness
											because when we learn of the atrocities
that have happened to women,
											continentally especially,
											it serves as a constant reminder
											that one step out of our designated place
											may end up in very serious consequences.
									","
											En mi experiencia
como maestra de percusión,
											noté que había muchísimas mujeres
ansiosas por tocar el tambor
											pero al mismo tiempo tienen miedo.
											Algunas temen el juicio social.
											Otras el dolor físico asociado
a la ejecución del instrumento.
											Les aseguro, no es nada fácil.
											Otras, porque sus esposos
no están de acuerdo,
											y otras porque temen la responsabilidad
											de ser representantes de una cultura.
											Pienso que todos estos miedos
están grabados
											en la cautela colectiva de la mujer
											porque las atrocidades
cometidas contra ella,
											especialmente en nuestro continente,
											nos recuerdan permanentemente
											que si nos apartamos un solo paso
del lugar que nos han asignado,
											podríamos enfrentar serias consecuencias.
									","
											Auf meiner Reise als Schlagzeuglehrerin
											habe ich erkannt, dass sehr viele Frauen
											die Trommel spielen wollen,
											aber gleichzeitig
											fürchten sie sich.
											Manche fürchten
die gesellschaftliche Wahrnehmung.
											Andere fürchten den körperlichen Schmerz,
der beim Spielen entsteht.
											Oh ja, es ist nicht so einfach.
											Einige fürchten die Ablehnung
durch ihre Ehepartner
											und andere fürchten
generell die Verantwortung,
											ein Kulturträger zu sein.
											Ich denke, dass all diese Ängste
											durch die kollektive
weibliche Vorsicht geprägt sind,
											denn wenn wir von 
den Grausamkeiten erfahren,
											die Frauen auf dem ganzen 
Kontinent widerfahren sind,
											erinnern sie uns daran,
											dass ein Schritt außerhalb
unseres vorgesehenen Platzes
											schwerwiegende Folgen haben kann.
									","
											Par mon expérience de
professeur de percussions,
											j'ai réalisé que vraiment
beaucoup de femmes
											veulent jouer du tambour,
											mais en même temps,
											en ont peur.
											Certaines craignent la manière
dont la société va les voir.
											D'autres craignent la douleur physique
ressentie quand on joue.
											Et oui, ce n'est pas si facile.
											Certaines ont peur 
car leur époux n'approuve pas,
											et souvent, 
d'autres craignent la responsabilité
											d'être porteur d'une culture.
											Je crois, je pense, que toutes ces peurs
											sont gravées dans 
la prudence collective féminine
											car quand on entend parler
des atrocités qu'ont subies les femmes,
											particulièrement sur notre continent,
											cela nous rappelle constamment
											que s'écarter un peu de la place
qui nous a été attribuée
											peut avoir des conséquences graves.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											Well, I use my drum to tell my story
and my people's stories.
											My roots shaped me
and my culture is here to stay with me.
											Women can be custodians of culture, too.
											We are born to bring forth life,
											to nurture it.
											We can definitely preserve our traditions
very, very excellently.
											My drum and I,
											we are here to stay.
									","
											Pues bien, yo uso mi tambor
											para contar mi historia personal
y la historia de mi gente.
											Mis raíces me han formado
y mi cultura estará siempre en mí.
											Las mujeres también pueden ser
guardianas de la cultura.
											Hemos nacido para crear vida,
											para alimentarla.
											No hay dudas de que podemos
conservar las tradiciones
											de la mejor manera.
											Este tambor y yo,
											hemos llegado para quedarnos.
									","
											Mit meiner Trommel erzähle ich
meine Geschichte, und die meines Volkes.
											Meine Wurzeln haben mich geprägt
und meine Kultur soll bei mir bleiben.
											Frauen können auch Kulturhüter sein.
											Wir sind geboren, 
um Leben hervorzubringen,
											um es zu nähren.
											Wir können unsere Traditionen auf
jeden Fall sehr, sehr gut bewahren.
											Meine Trommel und ich,
											wir werden weitermachen.
									","
											Donc, j'utilise mon tambour pour raconter
mon histoire et celles de mon peuple.
											Mes racines ont façonné mon être
et ma culture m'accompagne toujours.
											Les femmes peuvent aussi
être gardiennes d'une culture.
											Nous sommes nées pour apporter la vie,
											pour la nourrir.
											Sans aucun doute, nous pouvons
très bien protéger nos traditions.
											Mon tambour et moi,
											nous sommes là pour longtemps.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											(Applause)
									","
											(Aplausos)
									","
											(Beifall)
									","
											(Applaudissements)
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											We are definitely here to stay.
											If women have led countries,
											women have gone to space,
											women have won Grammys,
											then the same, same women
can play the drum
											and play it — to a five-star rating?
											No, to a million-star rating.
									","
											Sin duda hemos llegado para quedarnos.
											Si hay mujeres que han liderado países,
											que han ido al espacio,
											que han ganado premios Grammy,
											entonces las mismas mujeres
pueden tocar el tambor
											y llegar a un nivel de... ¿10 estrellas?
											No, a un nivel de un millón de estrellas.
									","
											Wir sind auf jeden Fall hier,
um weiter zu machen.
											Wenn Frauen Länder geführt haben,
											Frauen im Weltraum waren,
											Frauen Grammys gewonnen haben,
											dann können die gleichen
Frauen die Trommel spielen —
											mit einer Fünf-Sterne-Bewertung?
											Nein, mit einer 
Millionen-Sterne-Bewertung.
									","
											Nous sommes là pour longtemps.
											Si les femmes ont dirigé des pays,
											sont allées dans l'espace,
											ont gagné des Grammys,
											alors ces mêmes femmes
peuvent jouer des percussions
											et en jouer - 
sur un classement à cinq étoiles ?
											Non, un classement à un million d'étoiles.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											Thank you.
									","
											Gracias.
									","
											Vielen Dank.
									","
											Merci.
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
","
","
","
",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
"
											(Applause)
									","
											(Aplausos)
									","
											(Beifall)
									","
											(Applaudissements)
									",How I use the drum to tell my story,Kasiva Mutua,12:38,"TED Fellows,Africa,music,performance,art,live music,entertainment"
