en,fr,de,title,speaker,duration,tags
"
","
","
",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
											I was eight years old.
											I remember that day clearly
											like it happened just yesterday.
											My mother is a bidi roller.
											She hand-rolls country cigarettes
to sustain our family.
											She is a hard worker
											and spent 10 to 12 hours
every day rolling bidis.
											That particular day she came home
and showed me her bidi-rolling wage book.
											She asked me how much money
she has earned that week.
											I went through that book,
											and what caught my eyes
were her thumbprints on each page.
									","
											J'avais huit ans.
											Je me souviens clairement de ce jour
											comme si c'était hier.
											Ma mère est rouleuse de bidis.
											Elle roule des cigarettes à la main
pour nourrir notre famille.
											Elle travaille dur
											et passait 10 à 12 heures tous les jours
à rouler des bidis.
											Ce jour-là, elle est rentrée à la maison
et m'a montré son carnet de paie.
											Elle m'a demandé combien d'argent
elle avait gagné cette semaine.
											J'ai parcouru le carnet,
											et ce qui m'a frappée était de voir
l'empreinte de son pouce sur chaque page.
									","
											Ich war 8 Jahre alt.
											Ich erinnere mich genau an diesen Tag,
											als wäre es gestern gewesen.
											Meine Mutter stellt Zigaretten her.
											Sie rollt die Zigaretten per Hand,
um unsere Familie zu ernähren.
											Sie arbeitet hart
											und rollt täglich 10 bis 12 Stunden
die sogenannten Bidis.
											An diesem Tag zeigte sie mir
ihr Gehaltsbuch.
											Sie fragte mich, wie viel Geld sie
in dieser Woche verdient hat.
											Ich sah mir das Buch an
											und entdeckte ihren Fingerabdruck
											auf jeder Seite.
									",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
","
","
",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
											My mother has never been to school.
											She uses her thumbprints
instead of a signature
											to keep a record of her earnings.
											On that day, for some reason,
											I wanted to teach her
how to hold a pen and write her name.
											She was reluctant at first.
											She smiled innocently and said no.
											But deep down, I was sure
she wanted to give it a try.
											With a little bit of perseverance
and a lot of effort,
											we managed to write her name.
											Her hands were trembling,
and her face was beaming with pride.
									","
											Ma mère n'est jamais allée à l'école.
											Elle utilise ses empreintes de pouce
au lieu d'une signature

											pour garder une trace de son salaire.
											Ce jour-là, pour une raison que j'ignore,
											je voulais lui apprendre à tenir un stylo
et à écrire son nom.
											Elle était réticente au début.
											Elle souriait innocemment et disait non.
											Mais au fond, j'étais sûre 
qu'elle voulait essayer.
											Avec un peu de persévérance 
et beaucoup d'efforts,
											on a réussi à écrire son nom.
											Ses mains tremblaient
et son visage rayonnait de fierté.
									","
											Meine Mutter ist nie zur Schule gegangen.
											Anstatt einer Unterschrift
nutzt sie ihren Fingerabdruck,
											um ihr Gehalt aufzuschreiben.
											Doch an dem Tag wollte ich ihr zeigen,
											wie sie einen Stift hält
und ihren Namen schreibt.
											Zuerst zögerte sie.
											Sie lächelte treuherzig und sagte nein.
											Aber ich war mir sicher,
dass sie es versuchen wollte.
											Mit etwas Ausdauer und viel Mühe
											schrieben wir schließlich ihren Namen.
											Ihre Hände zitterten,
und ihr Gesicht strahlte vor Stolz.
									",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
","
","
",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
											As I watched her do this,
											for the first time in my life,
											I had a priceless feeling:
											that I could be of some use to this world.
											That feeling was very special,
											because I am not meant to be useful.
											In rural India, girls are generally
considered worthless.
											They're a liability or a burden.
											If they are considered useful,
											it is only to cook dishes,
keep the house clean
											or raise children.
											As a second daughter
of my conservative Indian family,
											I was fairly clear from a very early age
											that no one expected anything from me.
											I was conditioned to believe that
the three identities that defined me —
											poor village girl —
											meant that I was to live a life
of no voice and no choice.
											These three identities forced me to think
											that I should never have been born.
									","
											Alors que je la regardais faire,
											pour la première fois de ma vie,
											j'ai eu le sentiment inestimable
											que je pouvais être utile à ce monde.
											Ce sentiment était très spécial
											parce que je ne suis pas faite
pour être utile.
											En Inde rurale, les filles sont en général
considérées comme sans valeur.
											Elles sont soit une responsabilité,
soit un fardeau.
											Elles sont seulement utiles
											quand il s'agit de cuisiner,
de nettoyer la maison
											ou d'élever les enfants.
											En étant la deuxième fille
dans ma famille indienne conservatrice,
											je me suis rendu compte
dès mon plus jeune âge
											que personne n'attendait rien de moi.
											J'étais conditionnée à croire que
les trois identités qui me définissaient -
											pauvre fille villageoise -
											signifiaient que je devais vivre 
une vie sans voix, ni choix.
											Ces trois identités m'ont fait penser
											que je n'aurais jamais dû naître.
									","
											Als ich ihr beim Schreiben zusah,
											hatte ich zum ersten Mal in meinem Leben
											das kostbare Gefühl,
											dass ich in dieser Welt
hilfreich sein könnte.
											Dieses Gefühl war ganz besonders,
											denn ich bin nicht dazu bestimmt,
hilfreich zu sein.
											Im ländlichen Indien werden Mädchen
meist als wertlos angesehen.
											Sie sind eine Verpflichtung
oder eine Last.
											Als nützlich werden sie nur angesehen,
											wenn es ums Kochen, ums Reinigen
											oder um die Kindererziehung geht.
											Als zweite Tochter meiner
traditionellen indischen Familie
											war mir schon früh klar,
											dass keiner irgendetwas von mir erwartete.
											Ich wurde erzogen zu glauben,
welche drei Identitäten mich definieren —
											arm, vom Land, ein Mädchen —
											und das bedeutete ein Leben
ohne Stimme und ohne Wahl.
											Diese drei Identitäten
zwangen mir den Gedanken auf,
											dass ich nie hätte geboren werden sollen.
									",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
","
","
",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
											Yet, I was.
											All throughout my childhood,
as I rolled bidis alongside my mother,
											I would wonder:
											What did my future hold?
											I often asked my mother,
with a lot of anxiety,
											""Amma, will my life
be different from yours?
											Will I have a chance to choose my life?
											Will I go to college?""
											And she would reply back,
											""Try to finish high school first.""
											I am sure my mother
did not mean to discourage me.
											She only wanted me to understand
											that my dreams might be too big
for a girl in my village.
									","
											Pourtant, je le suis.
											Durant toute mon enfance, alors que
je roulais des bidis avec ma mère,
											je me demandais :
											que me réserve l'avenir ?
											Je demandais souvent à ma mère,
avec beaucoup d'angoisse :
											« Amma, ma vie sera-t-elle
différente de la tienne ?
											Est-ce que j'aurai la chance
de choisir ma vie ?
											D'aller à l'université ? »
											Elle me répondait :
											« Finis d'abord le lycée. »
											Je suis sûre que ma mère
n'avait aucune intention de me décourager.
											Elle voulait juste que je comprenne
											que mes rêves étaient peut-être 
trop grands pour une fille de mon village.
									","
											Und doch war ich da.
											In meiner Kindheit rollte ich
mit meiner Mutter die Bidis-Zigaretten,
											und ich fragte mich immer:
											Wie sieht meine Zukunft aus?
											Oft fragte ich meine Mutter ängstlich:
											""Amma, wird mein Leben anders
als deins sein?
											Werde ich über mein Leben
entscheiden können?
											Werde ich zur Hochschule gehen?""
											Sie antwortete dann immer:
											""Beende erst einmal die Oberschule.""
											Meine Mutter wollte mich
sicherlich nicht entmutigen.
											Sie wollte nur, dass ich verstehe,
											dass meine Träume vielleicht zu groß
für ein Mädchen vom Dorf sind.
									",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
","
","
",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
"
											When I was 13, I found
the autobiography of Helen Keller.
											Helen became my inspiration.
											I admired her indomitable spirit.
											I wanted to have
a college degree like her,
											so I fought with my father
and my relatives to be sent to college,
											and it worked.
									","
											Quand j'avais 13 ans, j'ai trouvé
une autobiographie d'Helen Keller.
											Helen est devenue mon inspiration.
											J'admirais son esprit indomptable.
											Je voulais avoir un diplôme
universitaire comme elle,
											j'ai donc affronté mon père et mes proches
pour qu'on m'envoie à l'université,
											et ça a marché.
									","
											Mit 13 Jahren las ich
die Autobiografie von Helen Keller.
											Helen inspirierte mich.
											Ich bewunderte ihren unbeugsamen Geist.
											Wie sie, wollte ich
einen Hochschulabschluss,
											also überzeugte ich meinen Vater
und meine Verwandten,
											dass sie mich zur Hochschule schicken.
									",How education helped me rewrite my life,Ashweetha Shetty,10:41,"education,india,children,personal growth,potential,future,society,social change,activism,community,women"
