en,fr,title,speaker,duration,tags
"
","
",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
											Mia Birdsong: Why is Black Lives Matter
important for the US right now
											and in the world?
									","
											Mia Birdsong : Pourquoi Black Lives Matter
est-il important aux États-Unis
											et dans le monde ?
									",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
","
",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
											Patrisse Cullors: Black Lives Matter
is our call to action.
											It is a tool to reimagine a world
											where black people are free to exist,
											free to live.
											It is a tool for our allies
to show up differently for us.
									","
											Patrisse Cullors : Black Lives Matter
est notre appel à l'action.
											C'est un outil pour ré-imaginer un monde
											où les personnes noires
sont libres d'exister,
											libres de vivre.
											C'est un outil pour que nos alliés
se manifestent différemment à nous.
									",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
","
",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
											I grew up in a neighborhood
that was heavily policed.
											I witnessed my brothers and my siblings
											continuously stopped and frisked
by law enforcement.
											I remember my home being raided.
											And one of my questions
as a child was, why?
											Why us?
											Black Lives Matter
offers answers to the why.
											It offers a new vision
for young black girls around the world
											that we deserve to be fought for,
											that we deserve to call
on local governments to show up for us.
									","
											J'ai grandi dans un quartier
fortement contrôlé.
											J'ai été témoin de l'arrestation
et la fouille continuelles
											de mes frères et sœurs
par les forces de l'ordre.
											Je me souviens d'une descente
dans ma maison.
											En tant qu'enfant, une de mes questions
était : « Pourquoi ? Pourquoi nous ? »
											Black Lives Matter
offre des réponses au pourquoi.
											Il offre une nouvelle vision
aux jeunes filles noires du monde
											selon laquelle nous méritons
qu'on se batte pour nous,
											nous méritons qu'on appelle
les gouvernements locaux à se manifester.
									",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
","
",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
											Opal Tometi: And antiblack racism —
									","
											Opal Tometi : Le racisme anti-noir —
									",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
","
",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
"
											(Applause)
									","
											(Applaudissements)
									",An interview with the founders of Black Lives Matter,"Alicia Garza, Patrisse Cullors and Opal Tometi",16:05,"activism,collaboration,community,communication,gender equality,history,humanity,identity,inequality,immigration,media,race,poverty,social change,social media,society"
