es,tr,fr,title,speaker,duration,tags
"
","
","
",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
											Voy a compartir con Uds.
											una perspectiva de 
cambio de paradigma
											en los temas de 
violencia de género:
											agresión sexual, violencia 
doméstica, abuso en la relación,
											acoso sexual, abuso 
sexual de niños.
											Toda la gama de cuestiones a 
las que me referiré en corto
											como ""cuestiones de 
violencia de género"",
											que han sido vistas como cuestiones de 
mujeres en los que algunos hombres buenos
											ayudan, pero tengo 
un problema con ese marco
											y no lo acepto.
											No lo veo como asuntos de mujeres en los 
que algunos hombres buenos ayudan.
											De hecho, voy a argumentar que 
se trata de asuntos de hombres,
											primero y ante todo.
									","
											Sizlerle cinsiyet şiddeti konularına dair
											- ki bunlar arasında tecavüz,
											aile içi şiddet, ilişki içi şiddet, cinsel taciz, çocuklara tecavüz var -
											paradigma değiştiren
											bir bakış açısını paylaşacağım.
											Bütün bu meseleleri bugün kısaca
											cinsiyete yönelik şiddet meseleleri olarak adlandıracağım.
											Bunlar bazı iyi adamların çözümüne yardımcı olduğu kadın meseleleri olarak görülüyor,
											ama ben konunun bu çerçevede ele alınmasından hoşnut değilim
											ve bunu onaylamıyorum.
											Bunlar bence bazı iyi adamların çözümüne yardımcı olduğu kadın meseleleri değil.
											Aslına bakarsanız ben bunların
											her şeyden erkek meseleleri olduğu görüşünü savunacağım.
									","
											Je vais partager avec vous
											un point de vue qui peut 
faire changer de paradigme
											sur les problèmes de la violence sexiste -
											les agressions sexuelles, la violence domestique, 
les relations violentes.
											le harcèlement sexuel, 
les agressions sexuelles contre les enfants.
											Toute cette gamme de problèmes auxquels 
je ferai référence par le raccourci
											« problèmes de violence sexiste »,
											ont été vus comme des problèmes de femmes 
auxquels certains hommes bien
											apportent leur aide, 
mais j'ai un problème avec ce cadre
											et je ne l'accepte pas.
											Je ne les vois pas comme des problèmes de femmes auxquels quelques hommes bien apportent leur aide.
											En réalité, je vais vous montrer 
que ce sont des problèmes d'hommes,
											en premier lieu.
									",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
","
","
",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaudissements)
									",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
","
","
",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
											Ahora, obviamente, también 
son temas de mujeres,
											me doy cuenta, pero llamar a la
											violencia de género un tema de 
mujeres, es parte del problema,
											por un número de razones.
									","
											Şimdi, bunlar elbette kadınların da meseleleri,
											Bunu kabul ediyorum, ancak
											cinsiyete yönelik şiddeti bir kadın meselesi olarak adlandırmak
											sorununyalnızca bir parçası. Bunun bazı nedenleri var:
									","
											Maintenant, évidemment, ce sont aussi 
des problèmes pour les femmes,
											je peux le comprendre, mais considérer
											les violences sexistes comme des problèmes de femmes 
est une partie du problème,
											pour plusieurs raisons.
									",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
","
","
",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
											La primera es que da a los hombres 
una excusa para no prestar atención.
											¿Verdad? Muchos hombres oímos 
el término ""asuntos de mujeres""
											y tendemos a desconectarlo, y pensamos,
											""¡Eh!, yo soy un hombre. Eso es para 
las chicas"", o ""Eso es para las mujeres"".
											Y muchos hombres literalmente 
no van más allá de la primera frase
											como resultado de ello.
											Es casi como si se activara 
un chip en nuestro cerebro
											y las vías neuronales dirigieran 
nuestra atención en una dirección diferente
											cuando escuchamos 
el término ""asuntos de mujeres"".
											Esto es también verdad, 
por cierto, para la palabra ""género"",
											porque mucha gente 
oye la palabra ""género""
											y piensan que significa ""mujeres"".
											Así que piensan que las cuestiones de género 
son sinónimo de asuntos de mujeres.
											Existe cierta confusión 
sobre el término género.
									","
											Birincisi, bu erkeklere soruna aldırış etmemeleri için bir mazeret sunuyor.
											Öyle değil mi? Erkeklerin çoğu ""kadın meseleleri"" terimini duymuştur.
											Ama bunu duymazdan gelme eğilimimiz var, şöyle düşünüyoruz:
											""Amaan, ben erkeğim. Bu kızların sorunu"" veya ""Bu kadınların sorunu.""
											Bunun sonucunda erkeklerin çoğu
											bu cümlenin ötesine geçen bir tepkide bulunamıyor.
											""Kadın meseleleri"" terimini duyduğumuzda
											beynimizde bir çip faaliyete geçmiş gibi olur,
											ve sinir yollarımız dikkatimizi başka tarafa çeker.
											Bu arada bu ""cinsiyet"" sözcüğü için de geçerlidir.
											Zira birçok kişi bu sözcüğü duyduğunda
											bunun ""kadınlar"" anlamına geldiğini düşünür.
											Yani cinsiyet sorunlarıyla kadın sorunlarının aynı şey olduğunu sanırlar.
											Cinsiyet kavramı konusunda bazı kafalar karışık.
									","
											La première est que ça donne une excuse 
aux hommes pour ne pas y prêter attention.
											Non ? Beaucoup d'hommes entendent
le terme « problèmes de femmes »
											et nous avons tendance
à faire la sourde oreille et à penser,
											« Hey, je suis un gars. C'est pour les filles », 
ou « C'est pour les femmes. »
											Littéralement de nombreux hommes ne vont 
pas au delà de la première phrase,
											en conséquence.
											C'est presque comme une puce 
dans notre cerveau qui est activée,
											la connexion nerveuse emmène
notre attention dans une autre direction
											quand nous entendons le terme
« problème de femmes ».
											Au fait, c'est vrai aussi
pour le mot « sexiste »,
											parce que beaucoup de gens
entendent le mot « sexiste »
											et pensent que ça signifie « femme ».
											Ils pensent donc que les problèmes sexistes sont synonymes des problèmes que rencontrent les femmes.
											Il y a une confusion au sujet de ce mot sexiste.
									",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
","
","
",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
"
											Y realmente, permítanme ilustrar 
esa confusión con una analogía.
											Vamos a hablar un momento de raza.
											En los EE.UU., cuando 
oímos la palabra ""raza""
											mucha gente cree que 
significa afroamericano,
											latino, asiático americano,
nativo americano,
											surasiático, de las 
Islas del Pacífico y así.
											Mucha gente, cuando escucha 
la palabra ""orientación sexual""
											cree que es gay, lesbiana, bisexual.
											Y mucha gente, cuando 
escucha la palabra ""género"",
											cree que significa mujeres. En cada caso,
											el grupo dominante no pone atención.
											¿Verdad? Como si los blancos 
no tuvieran un tipo de identidad racial
											o no pertenecieran a alguna 
categoría racial o constructo,
											como si las personas heterosexuales 
no tuvieran una orientación sexual,
											como si los hombres 
no tuvieran un género.
											Se trata de una de las formas 
que mantienen los sistemas dominantes
											de reproducirse a sí mismos, 
que es decir que
											el grupo dominante rara vez es desafiado 
siquiera a pensar en su dominio,
											porque esa es una de 
las características claves
											del poder y el privilegio, 
la habilidad de no examinarse,
											la falta de introspección, 
de hecho se representan invisibles
											en gran medida en el discurso
											de temas que son 
principalmente sobre nosotros.
											Y es increíble cómo funciona
											en la violencia doméstica y sexual,
											cómo los hombres en gran 
parte han sido borrados
											de la conversación sobre un tema
											que es central a los hombres.
									","
											Bu karışıklığı benzeşimle açıklayacağım.
											Biraz ırk konusunda konuşmak istiyorum.
											ABD'de ""ırk"" sözcüğünü duyduğumuz zaman
											çoğumuz bunun siyahi, Latin Amerika kökenli, Asya kökenli,
											Kızılderili, Güney Asya kökenli, Pasifik Adaları kökenli vs
											anlamına geldiğini düşünür.
											Birçok kişi ""cinsel yönelim"" sözcüğünü duyduğu zaman,
											bunun eşcinsel veya biseksüel anlamına geldiğini düşünür.
											Birçok insan, ""cinsiyet"" sözcüğünü duyduğu zaman da
											bunun kadınlar anlamına geldiğini düşünür. Her durumda,
											baskın grup, insanların dikkatini çekmemiş olur.
											Öyle değil mi? Sanki beyaz ırka mensup insanların ırk kimliği yokmuş,
											veya sanki bir ırka mensup değillermiş gibi.
											Sanki heteroseksüel insanların bir cinsel yönelimi yokmuş,
											veya sanki erkeklerin bir cinsiyeti yokmuş gibi.
											Bu egemen sistemlerin kendilerini sürdürme
											ve yeniden üretme yollarından biridir. Bu da demektir ki
											bir egemen gruba egemenliği hakkında düşünmesi için bile meydan okunamaz.
											Çünkü bu, öncelikli olarak bizimle ilgili olan meselelerde, güç ve ayrıcalığın, sorgulanmamış olma yetisinin,
											içebakış yönteminden yoksun olmanın,
											yani söylem içinde büyük ölçüde
											görünmez kılınmış olmanın
											kilit nitelikteki özelliklerinden biridir.
											Üstelik bunun aile içi şiddet ve tecavüz konusunda
											nasıl işlediği,
											erkeklerin aslında kendileri hakkındaki bir konunun
											nasıl dışında tutulduğu
											şaşırtıcı bir şeydir.
									","
											Et laissez-moi illustrer cette confusion
au moyen d'une analogie.
											Parlons un moment de races.
											Aux E.-U. quand on entend le mot « race »,
											beaucoup de gens pensent 
que ça signifie afro-américain,
											hispaniques, asiatiques, indiens d'Amériques,
											asiatique du sud, insulaire du pacifiques, etc.
											Beaucoup de gens, lorsqu'ils entendent
le mot « orientation sexuelle »
											ils pensent que ça signifie 
gay, lesbienne et bisexuel.
											Et beaucoup de gens, 
quand ils entendent le mot « sexiste »,
											pensent que ça signifie femme. 
Dans chaque cas,
											le groupe dominant n'y prête pas attention.
											Vrai ? Comme si les blancs 
n'avaient pas d'identité raciale
											ou n'appartenaient pas à une certaine catégorie
ou n'en formaient pas,
											comme si les hétérosexuels 
n'avaient pas d'orientation sexuelle,
											comme si les hommes n'avaient pas de sexe.
											C'est une des façons avec lesquelles 
les systèmes dominants se maintiennent
											et se reproduisent, ce qui signifie
											que le groupe dominant est rarement questionné 
pour simplement penser à sa dominance,
											parce que c'est une des 
caractéristiques principales
											du pouvoir et des privilèges, 
leur capacité à éviter les analyses,
											le manque d'introspection, 
de fait se rendant invisibles
											dans une large mesure dans ce discours
											à propos de problèmes qui 
nous concernent en premier lieu.
											C'est incroyable comment ça fonctionne
											dans le cadre des violences 
sexuelles et domestiques,
											comment les hommes ont été
largement effacés de tant
											de débats sur un sujet
											qui tourne autour des hommes.
									",Violence against women — it's a men's issue,Jackson Katz,17:40,"TEDx,feminism,men,violence,women,gender equality,sexual violence"
