en,pt,de,tr,title,speaker,duration,tags
"
","
","
","
",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
											I want to tell you
											how 20,000 remarkable young people
											from over 100 countries
											ended up in Cuba
											and are transforming health in their communities.
											Ninety percent of them would never
											have left home at all
											if it weren't for a scholarship
to study medicine in Cuba
											and a commitment to go back
											to places like the ones they'd come from —
											remote farmlands, mountains, ghettos —
											to become doctors for people like themselves,
											to walk the walk.
									","
											Quero contar-vos
											como 20 000 jovens fantásticos
											de mais de 100 países
											foram parar a Cuba
											e estão a transformar a saúde 
nas suas comunidades.
											Noventa por cento deles 
nunca teriam saído da sua terra
											se não fosse uma bolsa 
para estudar medicina em Cuba
											e o compromisso de regressarem 
ao locais como aqueles de onde tinham saído
											— quintas, montanhas, guetos longínquos —
											para serem médicos 
de pessoas iguais a eles.
											mostrarem do que eram capazes.
									","
											Ich möchte Ihnen davon berichten,
											wie 20 000 bemerkenswerte junge Menschen
											aus über 100 Ländern
											letztendlich in Kuba landeten
											und gerade die Gesundheit 
ihrer Gemeinden verändern.
											90 % von ihnen hätten niemals
											ihr Zuhause verlassen,
											wäre da nicht ein Stipendium 
für ein Medizinstudium in Kuba gewesen,
											verbunden mit der Verpflichtung,
											an jene Orte zurückzukehren, 
aus denen sie herkommen
											— abgelegene Farmen, Berge, Ghettos —
											und als Ärzte für Menschen wie sie selbst
											den Worten Taten folgen zu lassen.
									","
											Sizlere
											100'ün üzerinde ülkeden
20.000 dikkate değer genç insanın
											yollarının
											nasıl Küba'ya düştüğünü ve
kendi halklarının sağlığını
											nasıl dönüştürmekte olduklarını
anlatmak istiyorum.
											Bu gençlerin %90'ı evlerinden
											hiç ayrılmamış olurlardı
											eğer onlara Küba'da tıp eğitimi
almak için burs verilmeseydi
											ve onlar da kendi geldiklerine benzer
											yerlere gitme taahhütünde bulunmasalardı —
											uzak çiftliklere, dağlara, gettolara —
											kendileri gibi insanlar için doktor olmak,
											yolu yürümek için.
									",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
","
","
","
",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
											Havana's Latin American Medical School:
											It's the largest medical school in the world,
											graduating 23,000 young doctors
											since its first class of 2005,
											with nearly 10,000 more in the pipeline.
											Its mission, to train physicians for the people
											who need them the most:
											the over one billion
											who have never seen a doctor,
											the people who live and die
											under every poverty line ever invented.
											Its students defy all norms.
											They're the school's biggest risk
											and also its best bet.
											They're recruited from the poorest,
											most broken places on our planet
											by a school that believes they can become
											not just the good
											but the excellent physicians
											their communities desperately need,
											that they will practice where most doctors don't,
											in places not only poor
											but oftentimes dangerous,
											carrying venom antidotes in their backpacks
											or navigating neighborhoods
											riddled by drugs, gangs and bullets,
											their home ground.
											The hope is that they will help
											transform access to care,
											the health picture in impoverished areas,
											and even the way medicine itself
											is learned and practiced,
											and that they will become pioneers in our global reach
											for universal health coverage,
											surely a tall order.
											Two big storms and this notion of ""walk the walk""
											prompted creation of ELAM back in 1998.
											The Hurricanes Georges and Mitch
											had ripped through the Caribbean
											and Central America,
											leaving 30,000 dead
											and two and a half million homeless.
											Hundreds of Cuban doctors
volunteered for disaster response,
											but when they got there,
											they found a bigger disaster:
											whole communities with no healthcare,
											doors bolted shut on rural hospitals
											for lack of staff,
											and just too many babies dying
											before their first birthday.
											What would happen when these Cuban doctors left?
											New doctors were needed to make care sustainable,
											but where would they come from?
											Where would they train?
									","
											A Escola Médica Latino-Americana, 
de Havana
											é a maior escola de medicina do mundo
											que já formou 230 000 jovens médicos,
											desde o primeiro curso em 2005,
											e há quase mais 10 000 em vias disso.
											A sua missão?
											Formar médicos para as pessoas 
que mais precisam deles,
											os mais de mil milhões de pessoas
											que nunca viram um médico,
											as pessoas que vivem e morrem
											na situação de maior pobreza 
jamais inventada.
											Estes estudantes desafiam todas as normas.
											São o maior risco da escola
											e também a sua melhor aposta.
											São recrutados entre os locais 
mais pobres, mais degradados
											do nosso planeta,
											por uma escola que acredita
											que eles podem vir a ser bons médicos
											mas, sobretudo, os excelentes médicos
											de que as suas comunidades 
necessitam desesperadamente,
											que eles exercerão medicina onde 
a maior parte dos médicos não vai,
											em locais que são pobres
											e frequentemente perigosos.
											Transportam antídotos 
para venenos na mochila
											ou percorrem bairros
											infestados de drogas, 
de gangues e de balas,
											o terreno das suas terras natais.
											A esperança é que eles irão ajudar`
a transformar o acesso aos cuidados,
											a imagem da saúde em áreas empobrecidas,
											e ainda a forma como a própria medicina
											é aprendida e praticada.
											E que eles venham a ser pioneiros 
na nossa procura global
											duma cobertura universal da saúde,
											seguramente uma ordem mais elevada.
											Duas grandes tempestades e esta noção 
de ""mostra do que és capaz""
											levaram à criação da ELAM em 1998.
											Os furacões Georges e Mitch
											devastaram as Caraíbas 
e a América Central,
											deixando 30 000 mortos
											e dois milhões e meio de desalojados.
											Centenas de médicos cubanos 
ofereceram-se para socorro ao desastre
											mas, quando lá chegaram,
											encontraram um desastre ainda maior:
											comunidades inteiras 
sem cuidados de saúde,
											portas encerradas dos hospitais rurais
											por falta de pessoal,
											demasiados bebés a morrer
											antes de completarem um ano.
											Que aconteceria quando esses médicos 
cubanos se fossem embora?
											Faltavam médicos para tornar 
os cuidados sustentáveis,
											mas de onde é que eles viriam?
											Onde é que iriam praticar?
									","
											Havannas Lateinamerikanische 
Hochschule für Medizin (ELAM):
											Sie ist weltweit die größte 
Hochschule für Medizin.
											Seit der ersten Vorlesung 2005
											haben 23 000 junge Ärzte
ihren Doktortitel erhalten
											und 10 000 bereiten sich darauf vor.
											Der Auftrag: Mediziner
für die Bedürftigsten auszubilden.
											Für die über eine Milliarde Menschen,
											die nie einen Doktor gesehen haben,
											die unter jeglich erdachter Armutsgrenze
											leben und sterben.
											Ihre Studenten trotzen allen Standards.
											Sie sind für die Hochschule
das größte Risiko
											und auch der größte Erfolg.
											Sie werden aus den ärmsten
											und kaputtesten Orten 
dieses Planeten ausgewählt
											von einer Hochschule, die daran glaubt,
											dass sie nicht nur gute,
											sondern exzellente Ärzte
											für ihre Gemeinden werden können,
die diese so nötig brauchen.
											Sie werden dort praktizieren, 
wo sonst kaum Ärzte hingehen;
											nicht nur in armen,
											sondern oft auch an gefährlichen Orten.
											Sie tragen Gegengifte im Rucksack
											oder fahren durch 
gefährliche Stadtviertel
											voller Drogen, Gangs und Schießereien —
											ihr vertrautes Terrain.
											Die Hoffnung dahinter ist
											ein veränderter Zugang 
zur Gesundheitsversorgung,
											ein erhöhter Gesundheitsstandard
in armen Gegenden,
											eine neue Art, wie Medizin an sich
											gelernt und praktiziert wird.
											Sie sollen die Pioniere
in unserem Streben
											nach globaler
Gesundheitsversorgung werden.
											Sicherlich eine schwere Aufgabe.
											Zwei große Stürme und der Wunsch 
nach einer praktischen Umsetzung
											veranlassten 1998 die Gründung der ELAM.
											Die Wirbelstürme ""Georges""und ""Mitch""
											verwüsteten die Karibik
											und Zentralamerika,
											und hinterließen 30 000 Tote
											und 2,5 Millionen Obdachlose.
											Hunderte kubanische Ärzte
meldeten sich freiwillig,
											aber im Katastrophengebiet
											fanden sie eine noch
größere Katastrophe vor:
											Ganze Gemeinden ohne Medizinversorgung,
											Krankenhäuser am Land 
mit verriegelten Türen,
											da es zu wenige Mitarbeiter gab
											und zu viele Babys,
											die vor ihrem ersten Geburtstag starben.
											Was würde aus ihnen werden, wenn die
kubanischen Ärzte wieder weggingen?
											Neue Ärzte würden gebraucht,
um nachhaltig zu versorgen,
											aber woher nehmen?
											Wo ausbilden?
									","
											Havana'daki Latin Amerika
Tıp Fakültesi (ELAM):
											2005'teki ilk sınıfından beri,
											23.000 genç doktor mezun eden,
											yaklaşık 10.000 gelecek mezunuyla
											dünyanın en büyük tıp fakültesi.
											Misyonu, onlara en çok
ihtiyacı olan insanlar için
											doktor yetiştirmek:
											Bir milyardan fazla
											hayatında hiç doktor görmemiş,
											uydurulmuş her türlü
açlık sınırının altında yaşayan
											ve ölen insanlar için.
											Fakültenin öğrencileri tüm
kurallara kafa tutuyor.
											Onlar fakülte için en büyük risk
											ve aynı zamanda en büyük kozlar.
											Dünyanın en fakir,
											en çökmüş yerlerinden
											sadece iyi değil,
											kendi toplumlarının
											çaresizce ihtiyaç duyduğu
											mükemmel birer doktor olacaklarına,
											birçok doktorun çalışmayacağı,
											sadece fakir değil,
											ama çoğu kez tehlikeli yerlerde,
											sırt çantalarında panzehirler taşıyarak
											veya uyuşturucu, çeteler ve kurşunlarla
											delik deşik edilmiş mahalleleri,
kendi evleri bildikleri yerleri gezerek
											çalışacaklarına inanan bir
okul tarafından seçiliyorlar.
											Onlardan beklenen,
											sağlık hizmetlerine erişimin,
											fakirleşmiş bölgelerde
genel sağlık durumunun
											ve hatta doktorluğun kendisinin
											öğrenilme ve uygulanma şeklinin
dönüşümüne yardım etmeleri
											ve küresel ölçekte,
											evrensel sağlık güvencesi için
öncü olmaları,
											kuşkusuz zor bir iş.
											İki büyük kasırga ve
""yolu yürümek"" kavramı
											ELAM'ın 1998'de kuruluşunun önünü açtı.
											Georges ve Mitch kasırgaları
											Karayipleri ve Orta Amerikayı
											kasıp kavurmuş,
											30.000 insanın ölümüne
											ve iki buçuk milyon insanın
evsiz kalmasına yol açmıştı.
											Yüzlerce Kübalı doktor faciaya
müdahele için gönüllü oldu,
											ancak vardıklarında
											çok daha büyük bir
facia ile karşılaştılar:
											sağlık hizmetinden yoksun halklar,
											kırsal kesimde personel eksikliğinden
											kapısına kilit vurulmuş hastaneler
											ve daha bir yaşına basmadan
											ölen çok sayıda bebek.
											Eğer bu Kübalı doktorlar
terk etseydi ne olurdu?
											Sağlık hizmetini sürdürülebilir kılmak
için yeni doktorlara ihtiyaç vardı
											ama nereden geleceklerdi?
											Nerede yetişeceklerdi?
									",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
","
","
","
",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
											In Havana, the campus of a former naval academy
											was turned over to the Cuban Health Ministry
											to become the Latin American Medical School,
											ELAM.
											Tuition, room and board, and a small stipend
											were offered to hundreds of students
											from the countries hardest hit by the storms.
											As a journalist in Havana,
											I watched the first 97 Nicaraguans arrive
											in March 1999,
											settling into dorms barely refurbished
											and helping their professors not
only sweep out the classrooms
											but move in the desks and the
chairs and the microscopes.
											Over the next few years,
											governments throughout the Americas
											requested scholarships for their own students,
											and the Congressional Black Caucus
											asked for and received hundreds of scholarships
											for young people from the USA.
											Today, among the 23,000
											are graduates from 83 countries
											in the Americas, Africa and Asia,
											and enrollment has grown to 123 nations.
											More than half the students are young women.
											They come from 100 ethnic groups,
											speak 50 different languages.
											WHO Director Margaret Chan said,
											""For once, if you are poor, female,
											or from an indigenous population,
											you have a distinct advantage,
											an ethic that makes this medical school unique.""
									","
											Em Havana, o ""campus""
duma antiga academia naval
											foi entregue ao Ministério Cubano da Saúde
											para ser a Escola Médica Latino-Americana,
											a ELAM.
											Ofereceram propinas, pensão completa 
e uma pequena quantia,
											a centenas de estudantes dos países 
mais fustigados pelas tempestades.
											Enquanto jornalista em Havana,
											assisti à chegada dos 
primeiros 97 nicaraguanos
											em março de 1999,
											que se instalaram em dormitórios 
mais ou menos renovados
											e que ajudaram os professores 
a varrer as salas de aula
											e a transportar as secretárias, 
as cadeiras e os microscópios.
											Nos anos seguintes
											os governos de todas as Américas
											pediram bolsas para os seus estudantes.
											O Black Caucus do Congresso dos EUA
											pediu e recebeu centenas de bolsas
											para jovens dos EUA.
											Atualmente, entre os 23 000 estudantes
											há médicos formados, de 83 países
											nas Américas, em África e na Ásia.
											As inscrições aumentaram para 123 países.
											Mais de metade dos estudantes são raparigas.
											Provêm de 100 grupos étnicos,
											falam 50 idiomas diferentes.
											A diretora da OMS, Margaret Chan disse:
											""Desta vez, por serem pobres, mulheres,
											""ou duma população indígena,
											""vocês têm uma vantagem especial,
											""uma ética que faz desta escola 
uma escola especial"".
									","
											In Havanna wurde der 
Campus einer ehemaligen Marineakademie
											dem kubanischen 
Gesundheitsministerium zugeteilt
											und wurde dann zur Lateinamerikanischen 
Hochschule für Medizin,
											kurz: ELAM.
											Studium, Unterkunft,
Verpflegung und Taschengeld
											wurde hunderten Studenten angeboten,
											deren Länder vom Sturm am härtesten
getroffen worden war.
											Als Journalistin in Havanna
											sah ich die ersten
97 Nicaraguaner ankommen.
											Das war im März 1999.
											Sie wohnten in schlecht
ausgestatteten Schlafsälen
											und halfen den Professoren nicht nur
beim Saubermachen der Klassenräume,
											sondern auch beim Einräumen
der Tische, Stühle und Mikroskope.
											Über die nächsten paar Jahre
											wollten alle Regierungen der Amerikas
											Stipendien für ihre eigenen Studierenden
											und die schwarzen
Kongressabgeordneten
											erbaten und erhielten
Hunderte von Stipendien
											für junge Leute aus den USA.
											Heute kommen die 23 000 Absolventen
											aus 83 Ländern
											aus den Amerikas, Afrika und Asien
											und die Bewerber aus 123 Nationen.
											Über die Hälfte der Studierenden 
sind Frauen.
											Sie gehören 100 Ethnien an,
											sprechen 50 verschiedene Sprachen.
											Die Leiterin der WHO, Margaret Chan, sagt:
											""Zum ersten Mal hat man, wenn man arm,
											weiblich und indigen ist,
											einen deutlichen Vorteil.
											Diese Ethik macht 
diese Medizinuniversität einzigartig.""
									","
											Havana'da, eski bir deniz harp
akademisinin kampüsü
											Latin Amerika Tıp Okulu olmak üzere
											Küba Sağlık Bakanlığı'na
											devredildi.
											Kasırgaların en çok vurduğu ülkelerden
											yüzlerce öğrenciye okul harcı, oda,
											yemek ve az miktarda
cep harçlığını kapsayan bir burs verildi.
											Havana'da bir gazeteci olarak,
											Mart 1999'da,
											ilk gelen 97 Nikaragualıyı izledim;
											zar zor döşenmiş odalara yerleşirken
											ve öğretmenlerine sadece sınıfları
temizlemek için değil,
											aynı zamanda sıralarını, sandalyelerini ve
mikroskopları taşımaya yardım ederken.
											Sonraki birkaç yıl boyunca,
											Amerika kıtasının her
tarafından hükümetler
											kendi öğrencileri için burs talep ettiler
											ve ABD Kongresi Siyahiler Komitesi
											ABD'li gençler için
yüzlerce burs talep etti
											ve aldı.
											Bugün 23.000 mezun arasında,
											Amerika, Afrika ve Asya'da
											83 ülkeden mezunlar var
											ve şu ana kadar 123 farklı
milliyetten öğrenci alındı.
											Öğrencilerin yarısından
çoğu genç kadınlar.
											100 farklı etnik gruptan geliyor,
											50 farklı dil konuşuyorlar.
											Dünya Sağlık Örgütü Genel Direktörü
Margaret Chan'in dediği gibi:
											""Bir defaya mahsus, fakirseniz, kadınsanız
											veya bir yerli halktansanız,
											bariz bir avantajınız var,
											bu tıp okulunu benzersiz
yapan bir ahlak sistemi.""
									",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
","
","
","
",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
											Luther Castillo comes from San Pedro de Tocamacho
											on the Atlantic coast of Honduras.
											There's no running water,
											no electricity there,
											and to reach the village, you have to walk for hours
											or take your chances in a pickup truck like I did
											skirting the waves of the Atlantic.
											Luther was one of 40 Tocamacho children
											who started grammar school,
											the sons and daughters of a black indigenous people
											known as the Garífuna,
											20 percent of the Honduran population.
											The nearest healthcare was fatal miles away.
											Luther had to walk three hours every day
											to middle school.
											Only 17 made that trip.
											Only five went on to high school,
											and only one to university:
											Luther, to ELAM,
											among the first crop of Garífuna graduates.
											Just two Garífuna doctors had preceded them
											in all of Honduran history.
											Now there are 69, thanks to ELAM.
									","
											Luther Castillo vem 
de San Pedro de Tocamacho
											na costa atlântica das Honduras.
											Ali não há água corrente,
											não há eletricidade.
											Para chegar à aldeia, temos 
que caminhar durante horas
											ou correr o risco de ir 
numa camioneta, como eu fiz,
											enfrentando as vagas do Atlântico.
											Luther era uma das 40 crianças tocamacho
											que começaram a frequentar 
a escola secundária,
											filhos e filhas dum povo indígena negro
											conhecido por garifuna,
											que são 20% da população hondurenha.
											Os cuidados de saúde mais próximos 
estavam afastados a uns quilómetros fatais.
											Luther tinha que caminhar 
três horas todos os dias
											até à escola secundária.
											Só havia 17 a fazer esse percurso.
											Só cinco entraram na faculdade,
											e só um na universidade.
											Luther, na ELAM,
											com o primeiro grupo de
garifunas formados .
											Só dois médicos garifunas o precederam
											em toda a história das Honduras.
											Agora são 69, graças à ELAM.
									","
											Luther Castillo kommt aus
San Pedro de Tocamacho
											an der atlantischen Küste von Honduras.
											Dort gibt es kein fließendes Wasser,
											keine Elektrizität.
											Um ins nächste Dorf zu kommen,
muss man Stunden laufen
											oder einen Lastwagen erwischen,
der einen mitnimmt
											und den Wellen des Atlantiks entlangfährt.
											Luther war einer der 40 Tocamacho-Kinder,
											die die Grundschule besuchten.
											Sie waren Söhne und Töchter
von schwarzen Indigenen,
											den Garifuna,
											20 % der honduranischen Bevölkerung.
											Die nächste Krankenversorgung
war fatale Meilen weit weg.
											Luther musste jeden Tag 3 Stunden laufen,
											um in die Realschule zu gehen.
											Nur 17 taten das.
											Nur 5 von ihnen besuchten das Gymnasium.
											und nur einer die Universität:
											Luther, an der ELAM
											einer der ersten Garifuna mit Abschluss.
											Nur 2 Garifuna vor ihm waren auch Ärzte
											in der ganzen Geschichte Honduras.
											Dank ELAM sind es nun 69.
									","
											Luther Castillo Honduras'ın
Atlantik kıyısındaki
											San Pedro de Tocamacho'dan geliyor.
											Kullanma suyunun,
											elektriğin olmadığı
											ve köye ulaşmak için iki saat yürümek
											veya benim yaptığım gibi bir kamyonette,
Atlantik'in dalgalarının dibinde
											kendinizi riske atmak
zorunda olduğunuz bir yer.
											Luther ilköğretim okuluna başlayan,
											Garifuna olarak bilinen
											ve Honduras nüfusunun
yüzde yirmisini oluşturan
											siyah yerli halkın evlatları olan
											40 Tocamacho'lu çocuktan biriydi.
											En yakın sağlık hizmeti
millerce uzaktaydı.
											Luther orta okuluna her gün üç saat
											yürümek zorundaydı.
											Sadece on yedi tanesi o
üç saatlik yolculuğu yaptı.
											Sadece beş tanesi liseye
											ve sadece bir tanesi
üniversiteye devam etti:
											Luther, ELAM'da,
											ilk Garifuna'lı mezunlar grubunun içinde.
											Honduras tarihinde ondan önce
											sadece iki tane Garifuna'lı doktor vardı.
											ELAM sayesinde şimdi
altmış dokuz tane var.
									",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
","
","
","
",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
"
											Big problems need big solutions,
											sparked by big ideas, imagination and audacity,
											but also solutions that work.
											ELAM's faculty had no handy evidence base
											to guide them, so they learned the hard way,
											by doing and correcting course as they went.
											Even the brightest students
											from these poor communities
											weren't academically prepared
											for six years of medical training,
											so a bridging course was set up in sciences.
											Then came language:
											these were Mapuche, Quechuas, Guaraní, Garífuna,
											indigenous peoples
											who learned Spanish as a second language,
											or Haitians who spoke Creole.
											So Spanish became part
											of the pre-pre-med curriculum.
											Even so, in Cuba,
											the music, the food, the smells,
											just about everything was different,
											so faculty became family, ELAM home.
											Religions ranged from indigenous beliefs
											to Yoruba, Muslim and Christian evangelical.
											Embracing diversity became a way of life.
									","
											Grandes problemas 
precisam de grandes soluções,
											alimentadas por grandes ideias, 
imaginação e ousadia,
											mas também soluções que funcionem.
											A faculdade da ELAM não tinha 
uma base experimental para os orientar,
											por isso aprendeu à sua custa,
											por erros e tentativas, à 
medida que avançava.
											Nem mesmo os estudantes mais brilhantes 
dessas comunidades pobres
											estavam bem preparados academicamente
											para seis anos de formação médica.
											Por isso, foi instituído 
um curso de ciências, como ponte.
											Depois havia o idioma:
											havia mapuches, quechuas, 
guaranis, garifunas,
											povos indígenas
											que aprendiam espanhol 
como segunda língua,
											ou haitianos que falavam crioulo.
											Portanto o espanhol passou a fazer parte
											do currículo pré-pré-medicina.
											Mesmo assim, em Cuba,
											a música, a comida, os aromas,
											quase tudo era diferente,
											portanto a faculdade tornou-se 
numa família, o lar ELAM.
											As religiões variavam 
desde as crenças indígenas
											até ao iorubá, ao muçulmano 
e ao evangélico cristão.
											Abranger a diversidade 
tornou-se um modo de vida.
									","
											Große Probleme brauchen große Lösungen,
											große Ideen, Fantasie und Waghalsigkeit,
											aber auch Lösungen,
die funktionieren.
											ELAM war den Weg noch nie gegangen,
											sie musste auf die harte Tour lernen
											und den Kurs
immer wieder korrigieren.
											Nicht einmal
die intelligentesten Studierenden
											dieser armen Gemeinden
											waren akademisch auf
											diese 6-jährige ärztliche
Ausbildung vorbereitet.
											Ein Brückenkurs für Wissenschaft 
wurde also eingerichtet.
											Dann kam die Sprache hinzu:
											Mapuche, Quechua, Guaraní, Garífuna,
											indigene Menschen,
											für die Spanisch die 2. Fremdsprache war,
											oder Haitianer, die Kreolisch sprachen.
											Spanisch wurde also Teil
											des Curriculums auf das 
vorbereitende Vor-Medizinstudium.
											Zusätzlich waren in Kuba
											die Musik, das Essen, die Gerüche,
											ja, fast alles, anders.
											Die Fakultät wurde also zur Familie.
Das ELAM wurde zum Zuhause.
											Bei den Religionen reichte 
die Spannbreite von indigenem Glauben
											bis zu Yoruba, Islam
und evangelischem Christentum.
											Die Vielfalt wurde ein Lebensgefühl.
									","
											Büyük sorunlar büyük çözümler gerektirir,
											büyük fikirlerin, hayal gücü ve
cesaretin tetiklediği
											ama aynı zamanda işe de yarayan çözümler.
											ELAM fakültesinde onlara rehberlik edecek
											işe yarar bir kanıt temeli yoktu,
dolayısıyla zor yoldan,
											deneme yanılma yöntemiyle öğrendiler.
											Bu fakir halklardan gelen
											en parlak öğrenciler bile
											altı yıllık tıp eğitimi için
											akademik olarak hazırlıklı değillerdi,
											bu yüzden destekleyici bir
fen bilimleri dersi hazırlandı.
											Sonrasında dil geldi:
											bunlar İspanyolcayı ikinci dil
olarak öğrenen
											Mapuche, Quechuas,
Guaraní, Garífuna
											yerli halkları
											veya Kreole dili konuşan Haitililerdi.
											Böylece İspanyolca
											tıp eğitimi öncesi
müfredatın parçası oldu.
											Yine de Küba'da
											müzik, yemek, kokular,
											hemen hemen her şey farklıydı
											ki bu yüzden fakülte aile,
ELAM ise ev oldu.
											Dinler, yerel inançlardan
											Yoruba dinine, Müslümanlığa ve Evanjelik
Hristiyanlığa çeşitlilik gösteriyordu.
											Çeşitliliği kucaklamak
bir yaşam biçimi oldu.
									",Where to train the world's doctors? Cuba.,Gail Reed,17:08,"global issues,health care,public health"
