pt,en,fr,tr,title,speaker,duration,tags
"
","
","
","
",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
											Já ouviram as notícias?
											Estamos numa revolução de energia limpa.
											Onde eu vivo, em Berkeley, na Califórnia,
											parece que todos os dias vejo surgir
mais um telhado com painéis solares,
											carros elétricos na garagem.
											A Alemanha, por vezes, obtém
metade da energia a partir do sol,
											e a Índia está empenhada em construir
dez vezes mais parques solares
											do que os que temos na Califórnia,
											até ao ano 2022.
									","
											Have you heard the news?
											We're in a clean energy revolution.
											And where I live in Berkeley, California,
											it seems like every day I see a new roof
with new solar panels going up,
											electric car in the driveway.
											Germany sometimes gets
half its power from solar,
											and India is now committed
to building 10 times more solar
											than we have in California,
											by the year 2022.
									","
											Avez-vous entendu la nouvelle ?
											Nous sommes dans une révolution
d'énergie renouvelable.
											Où je vis, à Berkeley en Californie,
											il semble que chaque jour je vois
un nouveau toit avec des panneaux solaires
											ou une voiture électrique dans l'allée.
											L'Allemagne obtient parfois
la moitié de son électricité du soleil
											et l'Inde s'est engagée à produire
10 fois plus de panneaux solaires
											que ce qu'il y a en Californie
d'ici à 2022.
									","
											Haberi duydunuz mu?
											Temiz enerji devrimindeyiz.
											Yaşadığım yer olan Berkeley, 
Kaliforniya'da,
											sanki her gün yeni güneş panelleri
takılmış bir çatı,
											yollarda elektrikli arabalar görüyorum.
											Almanya, bazen enerjisinin yarısını
güneş enerjisinden elde ediyor
											ve şimdi Hindistan, 2022'ye kadar
Kaliforniya'da sahip olduğumuzdan
											10 kat daha fazla güneş enerji santrali
											inşa etmeye kendisini adadı.
									",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
","
","
","
",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
											Até a energia nuclear
parece estar de regresso.
											Bill Gates está na China,
a trabalhar com engenheiros.
											Há 40 empresas diferentes
que estão a trabalhar em conjunto
											numa corrida para construir
o primeiro reator
											alimentado com desperdícios,
											que não se derrete
e é mais barato do que o carvão.
											Podemos começar por perguntar:
											""Será que o problema do aquecimento global
											""vai ser muito mais fácil de resolver
do que se imaginava?""
											Era isso que queríamos investigar,
											por isso, os meus colegas e eu decidimos
mergulhar mais profundamente nos dados.
											Estávamos céticos sobre partes
da história da revolução da energia limpa,
											mas ficámos muito surpreendidos
com o que descobrimos.
									","
											Even nuclear seems to be
making a comeback.
											Bill Gates is in China
working with engineers,
											there's 40 different companies
that are working together
											to try to race to build the first
reactor that runs on waste,
											that can't melt down
											and is cheaper than coal.
											And so you might start to ask:
											Is this whole global warming problem
											going to be a lot easier to solve
than anybody imagined?
											That was the question we wanted to know,
											so my colleagues and I decided
to take a deep dive into the data.
											We were a little skeptical of some parts
											of the clean energy revolution story,
											but what we found really surprised us.
									","
											Même le nucléaire semble faire son retour.
											Bill Gates travaille en Chine
avec des ingénieurs,
											il y a 40 entreprises
qui travaillent ensemble
											à la construction du premier réacteur
fonctionnant aux déchets,
											ne pouvant pas fondre
et étant moins cher que le charbon.
											Vous pourriez demander :
											ce problème de réchauffement climatique
											va-t-il être plus simple à résoudre
qu'on ne le croyait ?
											C'est ce que nous voulions savoir,
											alors mes collègues et moi avons décidé
de plonger dans les données.
											Nous étions sceptiques sur des aspects
											de l'histoire de la révolution énergétique
											mais ce que nous avons trouvé
nous a vraiment surpris.
									","
											Nükleer bile geri dönüş 
yapıyor gibi görünüyor.
											Bill Gates Çin'de mühendislerle
birlikte çalışıyor,

											dayanıklı, kömürden daha ucuz,
											ve atıklarla çalışan ilk reaktörü
inşa etmek için
											yarışmaya çabalayan
											birlikte çalışan 40 farklı firma var.
											Ve bu nedenle sormaya başlayabilirsiniz:
											Bu bütün küresel ısınma
problemini çözmek
											kimsenin tahmin etmediğinden 
çok daha kolay olacak mı?

											Bu bilmek istediğimiz soruydu,
											meslektaşlarım ve ben eldeki verileri 
derinlemesine incelemeye karar verdik.
											Biz temiz enerji devrimi hikayesinin
											bazı kısımlarına karşı biraz şüpheciydik,
											fakat bulduklarımız 
bizi gerçekten şaşırttı.
									",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
","
","
","
",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
											A primeira coisa, é que a energia limpa
tem vindo a aumentar.
											Esta é a eletricidade que provém de fontes
de energia limpa nos últimos 20 anos.
											Quando olhamos para a percentagem
da eletricidade global
											produzida de fontes de energia limpa,
ela diminuiu, de 36% para 31%.
											Se nos preocupamos
com a alteração climática,
											temos que seguir na direção oposta,
											para 100% da nossa eletricidade
a partir de fontes de energia limpa,
											o mais depressa possível.
											Podem estar a pensar:
											""O que é que representam cinco pontos
percentuais da eletricidade global?""
											Acontece que podem ser muito.
											É o equivalente a 60 centrais nucleares,
											do tamanho de Diablo Canyon,
a última central nuclear da Califórnia,
											ou 900 parques solares
do tamanho de Topaz,
											que é um dos maiores
parques solares do mundo
											e certamente o maior da Califórnia.
											Isto acontece porque a energia
de combustíveis fósseis
											aumenta mais depressa
do que a energia limpa.
											E é compreensível.
											Há muitos países pobres
que ainda usam lenha, esterco e carvão
											como fonte principal de energia
e precisam de combustíveis modernos.
									","
											The first thing is that clean
energy has been increasing.
											This is electricity from clean energy
sources over the last 20 years.
											But when you look at
the percentage of global electricity
											from clean energy sources,
											it's actually been in decline
from 36 percent to 31 percent.
											And if you care about climate change,
											you've got to go in the opposite direction
											to 100 percent of our electricity
from clean energy sources,
											as quickly as possible.
											Now, you might wonder,
											""Come on, how much could five percentage
points of global electricity be?""
											Well, it turns out to be quite a bit.
											It's the equivalent of 60 nuclear plants
											the size of Diablo Canyon,
California's last nuclear plant,
											or 900 solar farms the size of Topaz,
											which is one of the biggest
solar farms in the world,
											and certainly our biggest in California.
											A big part of this is simply
that fossil fuels are increasing
											faster than clean energy.
											And that's understandable.
											There's just a lot of poor countries
											that are still using wood
and dung and charcoal
											as their main source of energy,
											and they need modern fuels.
									","
											La première chose est que
l'énergie propre a augmenté.
											Ceci est l'électricité venant de sources
d'énergie propres ces 20 dernières années.
											Quand vous regardez le pourcentage
de l'électricité mondiale
											issue de sources d'énergie propres,
il a diminué, passant de 36% à 31%.
											Si le réchauffement climatique
vous importe,
											vous devez aller dans la direction opposée
											vers 100% d'électricité
venant de sources d'énergie propres,
											aussi vite que possible.
											Vous devez vous demander
											ce que représentent 5%
de l'électricité mondiale.
											Il s'avère que cela fait beaucoup.
											C'est l'équivalent
de 60 centrales nucléaires
											de la taille de Diablo Canyon, la dernière
centrale nucléaire californienne,
											ou 900 fermes solaires
de la taille de Topaz,
											l'un des plus grands
parcs solaires au monde
											et le plus grand de Californie.
											Cela vient en partie du fait
que les énergies fossiles augmentent
											plus vite que l'énergie propre.
											C'est compréhensible.
											La source d'énergie première
de beaucoup de pays pauvres
											est toujours du bois,
du fumier et du charbon
											ils ont besoin de combustibles modernes.
									","
											İlk şey temiz enerjinin 
artmakta olduğuydu.
											Bu son 20 yıl boyunca temiz enerji 
kaynaklarından gelen elektrik.
											Fakat temiz enerji kaynaklarından 
gelen küresel elektiriğin
											yüzdesine bakarsanız,
											aslında yüzde 36'dan yüzde 
31'e düşmüş durumdadır.
											Ve iklim değişikliği 
sizi ilgilendiriyorsa,
											mümkün oldukça süratle elektriğimizin
											yüzde 100'ünü temiz enerji 
kaynaklarından elde etmek için
											tam ters istikamete gitmeliyiz.
											Şimdi, merak edebilirsiniz,
											""Hadi canım, küresel elektiriğin
nasıl yüzde 5 puanı olabilir?""
											Peki, bu ki biraz az gözüktü.
											Bu Kaliforniya'nın son nükleer santrali
											Diablo Kanyon gibi 60 nükleer santrale eş
											ya da Kaliforniya'daki 
kesinlikle bizim en büyük,
											dünyadaki ise en büyük güneş
tarlalarından biri olan Topaz boyutlarında
											900 güneş enerji santraline eş.
											Bunun büyük bir kısmı fosil
yakıtların temiz enerjiden
											daha hızlı arttığıdır.
											Ve bu anlaşılır bir şey.
											Temel enerji kaynağı olarak
											hala odun, kömür ve
											tezek kullanan bir sürü fakir ülke var
											ve bunlar temiz yakıtlara
ihtiyaç duyuyorlar.
									",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
","
","
","
",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
											Mas, passa-se outra coisa.
											Uma dessas fontes de energia limpa,
em especial,
											tem estado a diminuir,
em termos absolutos,
											não só em termos relativos.
											É a energia nuclear.
											Podemos ver que a produção
da energia nuclear diminui 7%
											nos últimos 10 anos.
											Mas ouvimos dizer que não é importante
											porque a energia solar e a eólica
têm vindo a dar passos enormes,
											e são elas que vão fazer a diferença.
											Mas os dados dizem-nos
uma coisa diferente.
											Quando juntamos toda a eletricidade
da energia solar e eólica,
											vemos que mal chegam a metade
da descida da energia nuclear.
											Olhemos mais de perto
o caso dos EUA.
									","
											But there's something else going on,
											which is that one of those clean energy
sources in particular
											has actually been on the decline
in absolute terms,
											not just relatively.
											And that's nuclear.
											You can see its generation
has declined seven percent
											over the last 10 years.
											Now, solar and wind have been
making huge strides,
											so you hear a lot of talk
about how it doesn't really matter,
											because solar and wind
is going to make up the difference.
											But the data says something different.
											When you combine all the electricity
from solar and wind,
											you see it actually barely makes up
half of the decline from nuclear.
											Let's take a closer look
in the United States.
									","
											Mais il y a autre chose :
											une de ces sources d'énergie propre
											est en déclin, en valeur absolue,
											pas seulement en valeur relative.
											C'est le nucléaire.
											Vous voyez que sa génération
a diminué de 7%
											sur les dix dernières années.
											Le solaire et l'éolien
ont fortement augmenté
											et on entend dire
que cela n'est pas très important
											car le solaire et l'éolien
vont combler le manque.
											Mais les données disent autre chose.
											Quand vous combinez l'électricité
solaire et éolienne,
											vous voyez que cela ne comble
que la moitié de la baisse du nucléaire.
											Regardons de plus près les États-Unis.
									","
											Fakat başka bir şey oluyor ki
											bu temiz enerji kaynaklarından biri
											göreceli olarak değil 
mutlak veriler ışığında
											özellikle düşüşte.
											Ve bu nükleer enerjidir.
											Son on yılda onun üretiminin yüzde yedi
											azaldığını görebilirsin.
											Şimdi, güneş ve rüzgar
büyük atılım yapmakta,
											bu yüzden hiç de fark etmez gibi
konuşmalar duyarsınız,
											çünkü güneş ve rüzgar fark yaratacaktır.
											Fakat veriler farkı şeyler söylüyor.
											Güneş ve rüzgardan elde edilen 
enerjinin tamamını toplasan,
											nükleerden azalan miktarın ancak 
yarısı yapıyor olduğunu görürsün.
											ABD'de buna daha detaylı
bir şekilde bakalım.
									",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
","
","
","
",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
"
											Nos últimos anos
— 2013, 2014... —
											abandonámos prematuramente
quatro centrais nucleares.
											Foram quase totalmente substituídas
por combustíveis fósseis.
											Em consequência disso, eliminámos
quase tanta energia nuclear limpa
											como a eletricidade
que obtemos da energia solar.
											Isso não acontece só connosco.
											As pessoas julgam que a Califórnia
é um líder da energia limpa e do clima,
											mas quando olhámos para os dados,
descobrimos
											que a redução de emissões da Califórnia
foi mais lenta do que a média nacional,
											entre 2000 e 2015.
									","
											Over the last couple of years —
really 2013, 2014 —
											we prematurely retired
four nuclear power plants.
											They were almost entirely
replaced with fossil fuels,
											and so the consequence
was that we wiped out
											almost as much clean energy
electricity that we get from solar.
											And it's not unique to us.
											People think of California
as a clean energy and climate leader,
											but when we looked at the data,
											what we found is that, in fact,
											California reduced emissions more slowly
than the national average,
											between 2000 and 2015.
									","
											Au cours des dernières années,
en 2013 et 2014,
											nous avons prématurément fermé
quatre centrales nucléaires.
											Elles ont été remplacées
par des énergies fossiles
											et nous avons donc supprimé
											presque autant d'énergie propre
que celle issue des panneaux solaires.
											Cela est vrai ailleurs.
											On pense que la Californie domine
les énergies propres et le climat
											mais, en regardant les données,
											nous avons découvert qu'en fait
											la Californie a réduit plus lentement
ses émissions que la moyenne nationale
											entre 2000 et 2015.
									","
											Son birkaç yılda –- gerçekten
2013, 2014—
											biz nükleer santralleri daha 
ömrü dolmadan tedavülden kaldırdık.
											Onların yeri tamamen 
fosil yakıtlarca alındı
											ve bu yüzden sonuç şu ki neredeyse 
güneşten aldığımız
											temiz enerji elektriği kadarını yok ettik.
											Ve bu bize has bir şey değil.
											İnsanlar Kaliforniya'yı bir temiz enerji
ve iklim lideri olarak görüyor,
											fakat verilere baktığımızda
											bulduğumuz şey şu ki aslında
											Kaliforniya 2000 ile 2015 arasında ulusal
ortalamadan daha yavaş bir şekilde
											
emisyonları azaltıyor.
									",How fear of nuclear power is hurting the environment,Michael Shellenberger,13:58,"activism,climate change,alternative energy,energy,environment,global issues,fear,global development,green,government,innovation,infrastructure,natural resources,investment,nuclear energy,policy,nuclear weapons,social change,pollution,society,technology,electricity"
