en,tr,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
											When I was raising investment
for my startup,
											a venture capitalist said to me,
											""Ashwini, I think you're going to raise
a few million dollars.
											And your company —
it's going to sell for 50 to 70 million.
											You're going to be really excited.
											Your early investors
are going to be really excited.
											And I'm going to be really upset.
											So I'm not going to invest in this deal.""
									","
											Şirketim için yatırım toplarken
											bir risk sermayedarı bana,
											""Ashwini, bence birkaç milyon
dolar toplayacaksın.
											Şirketin de 50-70 milyon dolar edecek.
											Gerçekten çok heyecanlanacaksın.
											İlk yatırımcıların da gerçekten
çok heyecanlanacaklar.
											Bense çok üzüleceğim.
											Yani ben buna para yatırmayacağım."" dedi.
									","
											Cuando estaba recaudando
inversiones para mi empresa emergente,
											un inversor de capital riesgo me dijo:
											""Ashwini, creo que recaudarás
algunos millones de dólares.
											Y tu compañía se va a vender
por un valor de entre 50 y 70 millones.
											Vas a estar muy emocionada.
											Tus primeros inversores
van a estar muy emocionados.
											Y yo voy a estar realmente molesto.
											Así que no invertiré en este negocio"".
									","
											Quand je recherchais des fonds
pour ma startup,
											un investisseur en capital-risque
m'a dit :
											« Ashwini, je pense que vous allez lever 
quelques millions de dollars.
											Et que votre société se vendra 
entre 50 et 70 millions de dollars.
											Vous allez être surexcitée.
											Vos premiers investisseurs
seront enthousiasmés.
											Et je serai vraiment agacé.
											Donc je n'investirai pas 
dans cette affaire. »
									","
											Quando procurei investimento
para a minha ""startup"",
											um capitalista de risco disse-me:
											""Ashwini, penso que irás arrecadar
alguns milhões de dólares.
											""E a tua empresa será vendida
por 50 ou 70 milhões.
											""Vais ficar muito contente.
											""Os teus investidores iniciais
vão ficar muito contentes.
											""E eu vou ficar muito chateado.
											""Por isso não vou investir neste negócio.""
									",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
","
","
","
","
",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
											I remember just being dumbstruck.
											Who would be unhappy
											with putting four or five
million dollars into a company
											and having it sell for 50 to 70 million?
									","
											Dilimin tutulduğunu hatırlıyorum.
											Kim 4-5 milyon dolar
yatırdığı bir şirketin
											bir şirketin 50-70 milyon 
dolara satılmasından mutsuz olur ki?
									","
											Recuerdo quedarme sorprendida.
											¿Quién no sería feliz
											poniendo cuatro o cinco millones
de dólares en una compañía
											y vendiéndola por un valor de
entre 50 y 70 millones?
									","
											Je me rappelle avoir été stupéfiée.
											Qui ne serait pas content
											de mettre quatre ou cinq millions 
de dollars dans une compagnie
											et de la vendre entre 50 et 70 millions ?
									","
											Lembro-me de ter ficado estupefacta.
											Quem ficaria triste
											em colocar 4 ou 5 milhões de dólares
numa empresa
											e vendê-la por 50 ou 70 milhões?
									",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
","
","
","
","
",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
											I was a first-time founder.
											I didn't have a wealthy network
of individuals to turn to for investment,
											so I went to venture capitalists
											the most common form of investor
in a technology company.
											But I'd never taken the time to understand
											what was motivating that VC to invest.
									","
											İlk defa bir kurucuydum.
											Yatırım yapacak varlıklı kişiler
tanımıyordum,
											bir teknoloji şirketinin
											en yaygın biçimli yatırımcıları olan
risk sermayedarlarına gittim.
											Hiçbir zaman başkan yardımcısını
											böyle bir şeye yatırım yapmaya iten şeyin
ne olduğunu düşünmedim.
									","
											Yo era una fundadora primeriza.
											No tenía una red abundante de individuos
a los que recurrir para la inversión,
											así que acudí a inversores
de capital riesgo,
											la forma más común de inversor
en una compañía tecnológica.
											Pero nunca había dedicado
tiempo a entender
											qué motivaba a un inversor
de capital riesgo a invertir.
									","
											C'était la première société
que j'avais créée.
											Je n'avais pas un bon réseau
pour trouver des investisseurs ;
											j'ai contacté les capital-risqueurs,
											le type le plus courant d'investisseur 
dans les entreprises de technologie.
											Mais je n'avais jamais pris le temps 
de comprendre
											ce qui motivait un capital-risqueur 
à investir.
									","
											Eu era uma fundadora inexperiente.
											Como não tinha uma rede de contactos
abastada para arranjar investimento,
											recorri a capitalistas de risco,
											a forma mais comum de investidor
numa empresa de tecnologia.
											Mas nunca parei para entender
											o que os motivava a investir.
									",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
","
","
","
","
",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
											I believe we're living
in a golden era of entrepreneurship.
											There is more opportunity
to build companies than ever before.
											But the financial systems
designed to fund that innovation,
											venture capital,
											they haven't evolved
in the past 20 to 30 years.
											Venture capital was designed
to pour large sums of money
											into a small number of companies
that can sell for over a billion dollars.
											It was not designed to sprinkle capital
across many companies
											that have the potential to succeed
but for less, like my own.
											That limits the number
of ideas that get funded,
											the number of companies that are created
											and who can actually receive
that funding to grow.
									","
											Girişimciliğin altında çağında
yaşadığımıza inanıyorum.
											Şirket kurmak için 
hiç olmadığı kadar fazla fırsat var.
											Ama bu inovasyona yatırım yapması
için tasarlanan finansal sistemler
											olan risk sermayesi
											son 20-30 yılda gelişmedi.
											Risk sermayesi, bir milyar doların
üzerinde satılabilen
											az sayıdaki şirkete büyük meblağlarda
para döksün diye tasarlandı.
											Başarılı olma potansiyeli olan 
birçok şirkete para akıtmak için değil,
											benimki gibi daha küçük olanlara
para akıtmak için tasarlandı.
											Bu da yatırım alan fikirlerin sayısını,
											kurulan şirketlerin sayısını
											ve de aslında kimlerin bu parayı 
büyümek için aldığını sınırlandırdı.
									","
											Creo que estamos viviendo en una época 
dorada de emprendimiento.
											Existen más oportunidades que nunca
para crear empresas.
											Pero los sistemas financieros diseñados
para financiar esa innovación,
											el capital riesgo,
											no han evolucionado durante
los últimos 20 o 30 años.
											El capital riesgo fue diseñado
para verter grandes sumas de dinero
											en un pequeño número de empresas vendidas
por más de mil millones de dólares.
											No fue diseñado para repartir el capital
a través de muchas empresas
											que tienen el potencial para triunfar
pero por menos, como la mía.
											Eso limita el número de ideas financiadas,
											el número de empresas que se crean
											y quiénes realmente pueden recibir
esa financiación para crecer.
									","
											Je croyais que nous vivions dans 
l'âge d'or de l'entrepreneuriat.
											Il y a plus d'opportunités de créer 
des entreprises qu'auparavant.
											Mais le système financier créé 
pour financer ces innovations,
											le capital-risque,
											n'a pas évolué durant
les 20 à 30 dernières années.
											Le capital-risque avait été créé pour 
injecter de grandes quantités d'argent
											dans un petit nombre d'entreprises qui se 
vendraient plus d'un milliard de dollars.
											Cela n'avait pas été créé pour disperser 
le capital sur de nombreuses sociétés
											qui avaient un potentiel de réussite, 
mais moins important, comme la mienne.
											Cela limite le nombre d'idées 
qui sont financées,
											le nombre de sociétés qui sont créées
											et le nombre de celles qui reçoivent
l'argent nécessaire pour croître.
									","
											Penso que vivemos numa
era dourada para o empreendedorismo.
											Há mais oportunidades do que nunca
para criar empresas.
											Mas os sistemas financeiros
construídos para financiar essa inovação,
											o capital de risco,
											não evoluíram nos últimos 20 a 30 anos.
											O capital de risco foi criado
para injetar grandes quantias de dinheiro
											num pequeno número de empresas
											que possam render
mais de mil milhões de dólares.
											Não foi criado para distribuir
o capital por várias empresas
											que têm potencial de sucesso
mas com menor lucro, como a minha.
											Isso limita o número de ideias
que são financiadas,
											o número de empresas que são criadas
											e que conseguem receber
esse investimento para crescerem.
									",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
","
","
","
","
",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
"
											And I think it inspires a tough question:
											What's our goal with entrepreneurship?
											If our goal is to create a tiny number
of billion-dollar companies,
											let's stick with venture
capital, it's working.
											But if our goal is to inspire innovation
											and empower more people
to build companies of all sizes,
											we need a new way to fund those ideas.
											We need a more flexible system
											that doesn't squeeze
entrepreneurs and investors
											into one rigid financial outcome.
											We need to democratize access to capital.
									","
											Bence bu zor bir soruya mahal veriyor:
											Girişimcilikle bizim amacımız nedir?
											Eğer amacımız az sayıda milyar 
dolarlık şirketler kurmaksa
											risk sermayesiyle devam edelim.
İşe yarıyor.
											Ama amacımız yeniliğe ilham vermek 
ve insanları her boyutta şirket kurmaları
											için güçlendirmekse bu fikirlere
											yatırım yapacak başka yollar bulmalıyız.
											Girişimcileri ve yatırımcıları

											tek bir katı finansal sonuca sıkıştırmayan
											daha esnek bir sisteme ihtiyacımız var.
											Sermayeye erişimi demokratikleştirmeliyiz.
									","
											Y creo que esto suscita
una pregunta difícil:
											¿Cuál es nuestro objetivo
con el emprendimiento?
											Si es crear una pequeña cantidad de 
empresas de miles de millones de dólares,
											sigamos con el capital riesgo,
funciona.
											Pero si nuestro objetivo
es motivar innovaciones
											y dar poder a más personas para crear
empresas de todos los tamaños,
											necesitamos una nueva manera
de financiar esas ideas.
											Necesitamos un sistema más flexible
											que no presione a los
emprendedores y los inversores
											a un resultado financiero rígido.
											Necesitamos democratizar
el acceso al capital.
									","
											Et je pense que cela amène
une question forte :
											quel est notre objectif
quant à l'entrepreneuriat ?
											Si notre objectif est de créer un petit 
nombre d'entreprises multimilliardaires,
											restons avec le capital-risque, 
ça marche.
											Mais si notre but est
d'inspirer l'innovation
											et de permettre à plus de gens de créer 
des entreprises de toutes les tailles,
											il faut un autre moyen 
de financer ces idées.
											On a besoin d'un système plus flexible
											qui ne confine pas 
les entrepreneurs et les investisseurs
											dans un modèle rigide 
de retour sur investissement.
											Nous avons besoin de démocratiser 
l'accès au capital.
									","
											E penso que isso leva
a uma pergunta complicada:
											Qual é o nosso objetivo
com o empreendedorismo?
											Se for criar um número pequeno
de empresas de mil milhões de dólares,
											continuemos com o capital de risco,
que está a resultar.
											Mas se o objetivo for inspirar a inovação
											e dar poder a mais pessoas para criar
empresas de todos os tamanhos,
											precisamos de outra maneira
de as financiar,
											de um sistema mais flexível
											que não limite os empreendedores
nem os investidores
											a um resultado financeiro rígido.
											Precisamos de democratizar
o acesso ao capital.
									",How cryptocurrency can help start-ups get investment capital,Ashwini Anburajan,6:38,"TED Residency,business,entrepreneur,innovation,investment,finance,cryptocurrency,blockchain,technology,future"
