pt,tr,en,fr,title,speaker,duration,tags
"
","
","
","
",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
											É um prazer estar aqui
											em Edimburgo, na Escócia,
											o berço da agulha e seringa.
											A menos de uma milha daqui nesta direção,
											em 1853, um escocês
											registou a sua primeira patente
da agulha e seringa.
											O seu nome era Alexander Wood,
											e foi no Colégio Real de Medicina.
											Esta é a patente.
											O que me fascina ainda hoje
quando olho para ela
											é que parece quase idêntica
											à agulha em uso hoje.
											Ainda assim, tem 160 anos de idade.
									","
											Burada olmak çok güzel
											İskoçya, Edinburgh'da,
											iğne ve şırınganın doğduğu yerde.
											Bu yönde buradan bir buçuk kilometreden az mesafede
											1853'de bir İskoçyalı
											iğne ve şırınganın ilk patentlerini aldı.
											Adı Alexander Wood idi ve
											""Royal Collage of Phycisians""daydı.
											Patent bu.
											Bu iğnelerin, günümüzde kullanılan iğnelerle
											neredeyse aynı gözükmesi
											aklımı başımdan alıyor.
											Fakat, bu 160 yaşında.
									","
											It's a pleasure to be here
											in Edinburgh, Scotland,
											the birthplace of the needle and syringe.
											Less than a mile from here in this direction,
											in 1853 a Scotsman
											filed his very first patent on the needle and syringe.
											His name was Alexander Wood,
											and it was at the Royal College of Physicians.
											This is the patent.
											What blows my mind when I look at it even today
											is that it looks almost identical
											to the needle in use today.
											Yet, it's 160 years old.
									","
											C'est un honneur d'être ici
											à Édimbourg, en Écosse,
											le lieu de naissance de
l'aiguille et de la seringue.
											À moins d'un kilomètre d'ici,
dans cette direction,
											en 1853, un Écossais
											a déposé sont tout premier brevet 
sur l'aiguille et la seringue.
											Il s'appelait Alexander Wood
											et c'était au Collège Royal de Médecine.
											Voilà le brevet.
											Ce qui me dépasse quand
je le regarde encore aujourd'hui,
											c'est qu'elle est presque identique
											à l'aiguille en usage aujourd'hui.
											Pourtant, elle est vieille de 160 ans.
									",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
","
","
","
",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
											Viramo-nos então para o campo das vacinas.
											A maioria das vacinas são entregues
											com agulha e seringa,
esta tecnologia com 160 anos.
											E crédito seja dado — a muitos níveis,
											as vacinas são uma tecnologia de sucesso.
											Depois de água potável e saneamento,
											as vacinas são a tecnologia que mais fez crescer
											a nossa esperança de vida.
											Este é um feito difícil de bater.
									","
											Şimdi aşı alanına dönüyoruz.
											Aşıların çoğu
											bu 160 yıllık teknolojiyle, iğne ve şırıngayla yapılır.
											Birçok açıdan bunun bağlı oldu şey,
											aşıların başarılı bir teknoloji olması.
											Temiz su ve sıhhi tesisattan sonra,
											aşılar yaşan süremizi en çok arttıran
											teknolojidir.
											Bu, geçilmesi zor bir başarı.
									","
											So we turn to the field of vaccines.
											Most vaccines are delivered with
											the needle and syringe, 
this 160-year-old technology.
											And credit where it's due — on many levels,
											vaccines are a successful technology.
											After clean water and sanitation,
											vaccines are the one technology that has increased
											our life span the most.
											That's a pretty hard act to beat.
									","
											Donc, nous nous tournons
vers le domaine des vaccins.
											La plupart des vaccins sont livrés avec
											l'aiguille et la seringue,
cette technologie vieille de 160 ans.
											Pour lui rendre son dû, 
à plusieurs niveaux,
											les vaccins sont une technologie réussie.
											Après l'eau potable et l'assainissement,
											la vaccination est la technologie 
qui a augmenté
											le plus notre durée de vie.
											C'est un record assez difficile à battre.
									",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
","
","
","
",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
											Mas tal como qualquer outra tecnologia,
											as vacinas têm as suas limitações,
											e a agulha e a seringa
											são uma parte chave nesta história,
											esta velha tecnologia.
											Então vamos começar pelo óbvio:
											muitos de nós não gostam
da agulha e da seringa.
											Partilho desse ponto de vista.
											Contudo, 20% da população
											tem algo chamado fobia a agulhas.
											Isso é mais do que não gostar de agulhas;
											isso é ativamente evitar ser vacinado
											por causa da fobia a agulhas.
											E isso é problemático
em termos do papel das vacinas.
									","
											Fakat diğer teknolojiler gibi,
											aşıların da yetersizlikleri var,
											iğne ve şırınga
											bu hikayede anahtar roldeler—
											bu eski teknolojide.
											Apaçık olanla başlayalım:
											Çoğumuz iğneyi ve şırıngayı sevmeyiz.
											Ben de buna dahilim.
											Fakat, nüfusun yüzde 20'si
											iğne korkusuna sahip.
											Bu iğneyi sevmemekten ötesi;
											iğne korkusu yüzünden
											aşı olmaktan bilerek kaçınmak.
											Bu, asıların daha fazla insana ulaşması açısından sorun oluşturuyor.
									","
											But just like any other technology,
											vaccines have their shortcomings,
											and the needle and syringe
											is a key part within that narrative —
											this old technology.
											So let's start with the obvious:
											Many of us don't like the needle and syringe.
											I share that view.
											However, 20 percent of the population
											have a thing called needle phobia.
											That's more than disliking the needle;
											that is actively avoiding being vaccinated
											because of needle phobia.
											And that's problematic in terms 
of the rollout of vaccines.
									","
											Mais comme toute autre technologie,
											les vaccins ont leurs défauts ;
											l'aiguille et la seringue
											sont un élément clé dans ce récit,
											cette vieille technologie.
											Commençons donc par le plus évident :
											beaucoup d'entre nous n'aiment pas 
l'aiguille et la seringue.
											Je partage ce point de vue.
											Toutefois, 20 % de la population
											souffre de quelque chose appelé
la phobie des aiguilles.
											C'est plus que ne pas aimer l'aiguille ;
											c'est activement éviter d'être vacciné
											à cause de la phobie des aiguilles.
											C'est problématique en termes
de déploiement de vaccins.
									",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
","
","
","
",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
											Relacionada com isto
há outra questão importante,
											que são as lesões
causadas pelas injeções.
											E a OMS tem dados
											que sugerem cerca de 1,3 milhões
de mortes por ano
											acontecem por causa de
contaminação cruzada
											através das lesões causadas por injeções.
											Isto são mortes precoces que acontecem.
									","
											Şimdi, bununla ilgili başka bir anahtar konu ise
											iğne yaralanmaları.
											DSO (Dünya Sağlık Örgütü)'nün verileri
											her yıl 1,3 milyon insan ölümünün
											iğne yaralanmaları sebebiyle çapraz bulaşma sonucunda
											gerçekleştiğini öne sürüyor.
											Bunlar, vakitsiz ölümler.
									","
											Now, related to this is another key issue,
											which is needlestick injuries.
											And the WHO has figures
											that suggest about 1.3 million deaths per year
											take place due to cross-contamination
											with needlestick injuries.
											These are early deaths that take place.
									","
											Maintenant, lié à cela, 
il y a une autre question clé,
											ce qui est les blessures 
par piqûre d'aiguille.
											L'OMS a des chiffres
											qui suggèrent environ 
1,3 millions de décès par an
											ont lieu en raison de 
la contamination croisée
											à cause des blessures par 
piqûre d'aiguille.
											Ce sont des décès précoces qui ont lieu.
									",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
","
","
","
",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
"
											Isto são duas coisas de que
provavelmente já ouviram falar,
											mas há outras duas limitações
											da agulha e seringa de que
provavelmente não ouviram falar.
											Uma é que pode estar a atrasar
											a próxima geração de vacinas
											em termos das suas respostas imunitárias.
											E a segunda é que pode ser responsável
											pelo problema da cadeia fria
de que vos vou falar também.
									","
											Bu iki şey muhtemelen duymuş olduklarınız,
											fakat iğne ve şırıngayla ilgili ve muhtemelen haberdar olmadığınız
											iki farklı hata daha var.
											Birincisi bir sonraki nesil aşıların gelişmesini
											bağışıklık tepkileri açısından
											durdurmasının muhtemel olduğu.
											İkincisi ise bahsedeceğim soğuk zincir
											probleminin sorumlusu olduğu.
									","
											Now, these are two things that 
you probably may have heard of,
											but there are two other shortcomings
											of the needle and syringe you 
may not have heard about.
											One is it could be holding back
											the next generation of vaccines
											in terms of their immune responses.
											And the second is that it could be responsible
											for the problem of the cold chain
that I'll tell you about as well.
									","
											Maintenant, ce sont deux choses dont
vous avez probablement entendu parler,
											mais il existe deux autres insuffisances
											de l'aiguille et la seringue dont vous
n'avez probablement entendu parler.
											L'une est qu'il pourrait empêcher
											la prochaine génération de vaccins
											en termes de leurs réponses immunitaires.
											La seconde est qu'il pourrait
être responsable
											pour le problème de la chaîne du froid
dont je vais vous parler également.
									",Demo: A needle-free vaccine patch that's safer and way cheaper,Mark Kendall,13:50,"Vaccines,biology,health,medicine,science,technology,public health,health care,disease,bioethics,medical research,innovation,nanoscale,demo,microbiology,pharmaceuticals,product design,biotech,illness,future"
