en,tr,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
											In 1995, the British Medical Journal
											published an astonishing report 
about a 29-year-old builder.
											He accidentally jumped 
onto a 15-centimeter nail,
											which pierced straight through 
his steel-toed boot.
											He was in such agonizing pain that even 
the smallest movement was unbearable.
											But when the doctors took off his boot, 
they faced a surprising sight:
											the nail had never touched 
his foot at all.
									","
											1995 yılında İngiliz Tıp Dergisi
											29 yaşındaki bir inşaatçı hakkında
hayret verici bir rapor yayımladı.
											Doğrudan çelik tabanlı
botu delip geçen
											15 santimetrelik bir çivinin 
üstüne kazara bastı.
											O kadar kahredici bir acı içindeydi ki
küçücük bir hareket bile dayanılmazdı.
											Ancak doktorlar botunu çıkardığında
şaşırtıcı bir görüntüyle karşılaştılar:
											Çivi ayağına hiç değmemişti.
									","
											Em 1995, o ""British Medical Journal""
											publicou um impressionante relatório
sobre um construtor de 29 anos.
											O construtor pisou, acidentalmente,
um prego de 15 centímetros,
											que acabou por perfurar por completo
a bota de biqueira de aço.
											A dor era de tal forma agonizante, que até
pequenos movimentos eram insuportáveis.
											Contudo, quando lhe retiraram a bota,
os médicos foram apanhados de surpresa:
											o prego não tinha sequer tocado
no pé do doente.
									","
											En 1995, le British Medical Journal
											a publié un rapport étonnant 
sur un ouvrier de 29 ans.
											Il avait marché accidentellement
sur un clou de 15 centimètres de long,
											qui avait transpercé
ses chaussures de sécurité.
											La douleur était si insupportable que 
le moindre mouvement était un supplice.
											Mais lorsque les docteurs ont enlevé
sa chaussure, ils ont été surpris :
											le clou n'avait pas touché son pied.
									","
											1995 veröffentlichte
das British Medical Journal
											einen erstaunlichen Bericht
über einen 29-jährigen Bauarbeiter.
											Er sprang versehentlich
auf einen 15 Zentimeter langen Nagel,
											der sich durch seinen
Stahlkappenschuh bohrte.
											Er war von solch
qualvollen Schmerzen erfüllt,
											sodass die kleinste Bewegung
unerträglich war.
											Als der Arzt aber den Schuh abnahm,
bot sich ein überraschender Anblick:
											der Nagel hat kein bisschen
seinen Fuß berührt.
									",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
","
","
","
","
",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
											For hundreds of years,
											scientists thought that pain was 
a direct response to damage.
											By that logic, the more severe an injury 
is, the more pain it should cause.
											But as we’ve learned more about 
the science of pain,
											we’ve discovered that pain and tissue 
damage don’t always go hand in hand,
											even when the body’s threat signaling 
mechanisms are fully functioning.
											We’re capable of experiencing severe pain 
out of proportion to an actual injury,
											and even pain without any injury,
											like the builder, or the well-documented 
cases of male partners
											of pregnant women experiencing pain
during the pregnancy or labor.
									","
											Yüzyıllar boyunca
											bilim insanları acının hasara karşı
direkt bir tepki olduğunu düşünmüşlerdi.
											Bu mantıkla daha şiddetli bir yaralanma
daha fazla acıya neden olmalıydı.
											Ancak acı bilimi hakkında 
daha fazla şey öğrendikçe
											vücudun tehdit sinyal mekanizması 
tamamıyla çalışıyor olsa bile
											acı ve doku zedelenmesinin 
her zaman ilişkili olmadığını keşfettik.
											Gerçek bir yaralanmada orantısız,
şiddetli bir acı deneyimleyebiliyoruz
											ve hatta hiçbir yaralanma 
olmadan acı hissedebiliyoruz,
											tıpkı inşaatçı gibi veya 
hamilelik ya da doğum sırasında
											acı hisseden hamile kadınların 
erkek partnerlerinin acı hissetmesi gibi.
									","
											Durante centenas de anos,
											os cientistas julgavam que a dor atuava
como resposta direta a lesões.
											Segundo esta teoria, quanto mais grave
a lesão, maior a dor dela resultante.
											Porém, ao aprendermos mais
sobre a ciência por detrás da dor,
											descobrimos que nem sempre a dor
e as lesões nos tecidos estão associadas,
											mesmo que os mecanismos de identificação
de ameaças funcionem devidamente.
											Somos capazes de sentir uma dor intensa
não proporcional à gravidade da lesão
											ou até sentir dores
sem a presença de uma lesão,
											como o construtor, ou como
os casos já bem-documentados
											dos parceiros de mulheres grávidas,
											que sentem dores
durante a gravidez ou durante o parto.
									","
											Pendant des siècles,
											des scientifiques ont cru que la douleur
était une réponse directe aux dégâts.
											Selon cette logique, plus une blessure
est grave, plus la douleur sera intense.
											Mais en en apprenant
un peu plus sur la douleur,
											on a découvert qu'elle n'est pas 
toujours liée aux lésions tissulaires,
											même lorsque les mécanismes corporels 
de perception de la douleur fonctionnent.
											On peut ressentir une douleur intense
											disproportionnée
par rapport à une blessure,
											et même ressentir de la douleur
sans aucune blessure,
											comme cet ouvrier ou
les cas avérés de conjoints
											de femmes enceintes qui souffrent
lors de la grossesse ou l'accouchement.
									","
											Über hunderte von Jahre
dachten Wissenschaftler,
											dass Schmerz eine direkte Reaktion
auf einen Schaden ist.
											Je heftiger die Verletzung ist,
umso größer sollte der Schmerz sein,
											dieser Logik zufolge.
											Wie wir aber mehr über
die Wissenschaft des Schmerzes lernen,
											fanden wir heraus,
											dass Schmerz und Gewebeschaden
nicht immer Hand in Hand gehen,
											nicht einmal, wenn die körpereigenen
Bedrohungssignalmechanismen
											voll funktionsfähig sind.
											Wir sind in der Lage starke Schmerzen,
											unverhältnismäßig zur eigentlichen
Verletzung, zu spüren,
											und auch ohne jegliche Verletzung,
wie der Bauarbeiter
											oder die gut dokumentierten Fälle über
männliche Partner von schwangeren Frauen,
											die Schmerzen, während der Geburt
oder der Wehen, spüren.
									",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
","
","
","
","
",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
											What’s going on here?
											There are actually two phenomena at play:
											the experience of pain, and a biological 
process called nociception.
											Nociception is part of the nervous 
system’s protective response
											to harmful or potentially harmful stimuli.
											Sensors in specialized nerve endings
											detect mechanical, thermal, 
and chemical threats.
											If enough sensors are activated,
											electrical signals shoot up the nerve 
to the spine and on to the brain.
											The brain weighs the importance 
of these signals
											and produces pain if it decides 
the body needs protection.
											Typically, pain helps the body 
avoid further injury or damage.
											But there are a whole set of factors 
besides nociception
											that can influence the experience of pain—
and make pain less useful.
									","
											Peki, neler oluyor?
											Aslında iki olgu var:
											acı deneyimi ve nosisepsiyon 
denen biyolojik bir süreç.
											Nosisepsiyon, zararlı veya potansiyel 
olarak zararlı uyarıcılara karşı
											sinir sisteminin, koruyucu 
karşı koyma tepkisinin bir kısmıdır.
											Sinir uçlarındaki algılayıcılar mekanik, 
termal ve kimyasal tehditleri algılıyor.
											Eğer yeteri kadar algılayıcı 
harekete geçmişse
											elektrik sinyalleri sinire,
omurgaya ve beyne gidiyor.
											Beyin bu sinyallerin önemini tartıyor
											ve eğer vücudu koruma gerektiğine
karar veriyorsa acı üretiyor.
											Genelde acı, vücudun daha fazla yaralanma
veya hasarı önlemesine yardımcı oluyor.
											Ancak nosisepsiyon dışında 
acı deneyimini etkileyebilecek—
											ve acıyı daha az faydalı yapacak
birçok faktör var.
									","
											Como explicamos estes casos?
											Temos dois tipos de fenómenos em jogo:
											a experiência da dor,
e um processo biológico, a nocicepção.
											A nocicepção faz parte
da resposta protetora do sistema nervoso
											a estímulos nocivos
ou possivelmente nocivos ao corpo.
											Os recetores sensoriais
das terminações nervosas
											detetam ameaças mecânicas,
térmicas e químicas.
											Se um número suficiente
de recetores for ativado,
											geram-se impulsos elétricos,
conduzidos pelos nervos
											viajando pela medula, até ao cérebro.
											O cérebro avalia
a relevância destes sinais
											e gera uma sensação de dor quando acredita
que o corpo necessita de proteção.
											Por norma, a dor ajuda a evitar
que o corpo sofra mais lesões ou danos.
											No entanto, existe toda uma série
de fatores para além da nocicepção
											capazes de influenciar a sensação de dor
											e que a tornam menos útil para o corpo.
									","
											Mais que se passe-t-il ?
											Il y a en fait deux phénomènes en jeu :
											le ressenti de la douleur et un processus
biologique appelé nociception.
											La nociception fait partie de la réaction
de protection du système nerveux
											à des stimuli dangereux
ou potentiellement dangereux.
											Les capteurs des terminaisons
nerveuses spécifiques
											détectent les menaces mécaniques, 
thermiques et chimiques.
											Si assez de capteurs sont activés,
											des signaux électriques stimulent le nerf
de la colonne vertébrale jusqu'au cerveau.
											Le cerveau évalue
l'importance de ces signaux
											et produit de la douleur s’il juge
que le corps doit se protéger.
											Normalement, la douleur protège le corps
d'autres blessures ou dégâts.
											Mais il y a tout un ensemble 
de facteurs en plus de la nociception
											qui peuvent influer sur l'expérience 
de la douleur et la soulager.
									","
											Was ist hier los?
											Tatsächlich spielen sich
zwei Phänomene ab:
											die Erfahrung von Schmerz und ein
biologischer Prozess namens Nozizeption.
											Nozizeption ist ein Teil
der Schutzreaktion des Nervensystems
											zu schädlichen oder potenziell
schädlichen Reizen.
											Sensoren in spezialisierenden Nervenenden
											erkennen mechanische, thermale
und chemische Bedrohungen.
											Wenn genug Sensoren aktiviert sind,
											schießen elektrische Signale in den Nerv
zur Wirbelsäule und weiter zum Gehirn.
											Das Gehirn wägt die Wichtigkeit
dieser Signale ab
											und produziert Schmerzen,
wenn es entschieden hat,
											dass der Körper Schutz braucht.
											Normalerweise helfen Schmerzen dem Körper
											weitere Verletzungen
oder Schaden zu verhindern.
											Aber es gibt eine ganze Reihe
von Faktoren neben Nozizeption,
											die das Schmerzempfinden beeinflussen —
und machen den Schmerz weniger nützlich.
									",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
","
","
","
","
",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
											First, there are biological factors that 
amplify nociceptive signals to the brain.
											If nerve fibers are activated repeatedly,
											the brain may decide they need 
to be more sensitive
											to adequately protect the body 
from threats.
											More stress sensors can be 
added to nerve fibers
											until they become so sensitive that 
even light touches to the skin
											spark intense electrical signals.
											In other cases,
											nerves adapt to send signals more 
efficiently, amplifying the message.
											These forms of amplification 

											are most common in people experiencing 
chronic pain,
											which is defined as pain lasting 
more than 3 months.
											When the nervous system is nudged 
into an ongoing state of high alert,
											pain can outlast physical injury.
											This creates a vicious cycle in which 
the longer pain persists,
											the more difficult it becomes to reverse.
									","
											İlk olarak beyne giden 
nosisepsiyon sinyallerini arttıran
											biyolojik faktörler var.
											Eğer sinir lifleri defalarca 
harekete geçirilirse
											beyin vücudu, tehditlerden
yeterince korumak için
											daha hassas olmaları 
gerektiğine karar verebilir.
											Daha fazla stres sinyalleri,
tene olan küçük dokunuşların bile
											yoğun elektrik sinyalleri tetiklediği
o kadar hassas duruma gelene kadar
											sinir liflerine eklenebilir.
											Diğer durumlarda sinirler 
daha verimli bir şekilde
											sinyaller yollamaya uyum sağlarlar
ve mesajı kuvvetlendirirler.
											Bu tür arttırmalar, insanların 3 aydan 
uzun süren acı olarak tanımlanan
											kronik acıyı hissetmesinde en yaygındır.
											Sinir sistemi devam eden 
bir yüksek alarma sürüklendiğinde
											acı, fiziksel yaralanmaya karşı
daha fazla dayanım sağlayabilir.
											Bu, acı ne kadar uzun sürerse
o kadar tersine döndürmenin zorlaştığı
											bir kısır döngü yaratıyor.
									","
											Primeiro, existem fatores biológicos que
ampliam os sinais nociceptivos ao cérebro.
											Se existe uma ativação constante
das fibras nervosas,
											o cérebro pode julgar necessário
torná-las mais sensíveis
											a fim de protegerem o corpo de ameaças
de uma forma adequada.
											Assim, criam-se mais recetores sensoriais
nestas fibras nervosas
											até que elas ficam de tal forma sensíveis
que suaves toques na pele
											se traduzem em
intensos impulsos elétricos.
											Noutros casos,
											os nervos aprendem a enviar os impulsos
de uma forma mais eficiente
											amplificando a mensagem.
											Este tipo de amplificação
											é comum nos casos de dor crónica,
											definida como uma dor com duração
superior a três meses.
											Quando o sistema nervoso é conduzido
a um estado de alerta persistente,
											a dor pode prolongar-se
para lá da lesão física.
											Com isto, origina-se
um círculo vicioso, em que,
											quanto mais longa a presença da dor,
mais difícil se torna a sua reversão.
									","
											D'abord, des facteurs biologiques
peuvent amplifier les signaux nociceptifs.
											Si des fibres nerveuses
sont souvent stimulées,
											le cerveau peut décider
d'augmenter leur sensibilité
											pour protéger suffisamment
le corps de certaines menaces.
											Plus de capteurs de stress peuvent
être ajoutés aux fibres nerveuses
											jusqu'à devenir si sensibles
que même un léger contact de la peau
											déclenche des signaux
électriques intenses.
											Dans d'autres cas, les nerfs s'adaptent
											pour envoyer des signaux
plus efficacement, amplifiant le message.
											Ces formes d'amplification
											sont très courantes chez les personnes
souffrant de douleurs chroniques,
											que l'on définit comme des douleurs
durant plus de trois mois.
											Quand le système nerveux est stimulé
en un état d'alerte élevée permanent,
											la douleur peut durer plus longtemps
que la blessure physique,
											ce qui crée un cercle vicieux
dans lequel plus la douleur persiste,
											plus il est difficile de la supprimer.
									","
											Zuerst gibt es biologische Faktoren, die
nozizeptive Sginale zum Gehirn erweitern.
											Wenn Nervenfasern
wiederholt aktiviert werden,
											entscheidet das Gehirn, 
jene sollten empfindlicher sein,
											um den Körper adäquat
vor Bedrohungen zu beschützen.
											Nervenfasern können um weitere
Stresssensoren erweitert werden
											bis sie so empfindlich werden, dass
selbst leichte Berührungen der Haut
											intensive elektrische Signale auslösen.
											In anderen Fällen
passen sich die Nerven an,
											um Signale effizienter zu senden 
und die Nachricht zu verstärken.
											Diese Formen der Verstärkung sind üblich
											bei Menschen mit chronischen Schmerzen,
die also länger als drei Monate anhalten.
											Wenn das Nervensystem in einen
laufend hohen Alarmzustand versetzt wird,
											kann der Schmerz die physikalische
Verletzung überdauern.
											Dies schafft einen Teufelskreis,
in dem es umso schwieriger wird,
											ihn umzukehren,
je länger der Schmerz anhält.
									",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
","
","
","
","
",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
"
											Psychological factors clearly 
play a role in pain too,
											potentially by influencing nociception and
by influencing the brain directly.
											A person’s emotional state, memories,
											beliefs about pain and expectations 
about treatment
											can all influence how much 
pain they experience.
											In one study,
											children who reported believing they 
had no control over pain
											actually experienced more intense pain
											than those who believed they 
had some control.
											Features of the environment matter too:
											In one experiment,
											volunteers with a cold rod placed on 
the back of their hand
											reported feeling more pain when they were 
shown a red light than a blue one,
											even though the rod was the same 
temperature each time.
											Finally, social factors like the 
availability of family support
											can affect perception of pain.
											All of this means that a multi-pronged 
approach to pain treatment
											that includes pain specialists, physical 
therapists, clinical psychologists, nurses
											and other healthcare professionals 
is often most effective.
									","
											Psikolojik faktörler de büyük ihtimalle
											nosisepsiyonu ve direkt olarak beyni 
etkiyerek açıkça acıda bir rol oynuyorlar.
											Bir insanın duygusal durumu, anıları,
											acı hakkında düşünceleri 
ve tedaviye dair beklentilerinin hepsi
											ne kadar acı hissettiklerini etkiyebilir.
											Bir araştırmaya göre
											acı üzerinde kontrolü olmadığına 
inandığını söyleyen çocuklar,
											aslında biraz kontrolü olduğuna
inananlardan daha şiddetli acı hissediyor.
											Çevresel özellikler de önemli:
											Bir deneyde ellerinin arkasına
soğuk bir çubuk konulan gönüllüler,
											çubuk her seferinde 
aynı derecede olmasına rağmen
											mavi yerine kırmızı ışık gösterildiğinde
daha fazla acı hissettiklerini söylediler.
											Nihayetinde, aile desteğinin 
olması gibi sosyal faktörler de
											acı algısını etkileyebilir.
											Bütün bunlar şu anlama geliyor:
Acı uzmanları, fizyoterapistler,
											klinik psikologları, hemşireler
ve diğer sağlık mensuplarını içeren
											çok yönlü yaklaşım, acı tedavisinde
genellikle en etkili olandır.
									","
											Certos fatores psicológicos
influenciam também a sensação de dor,
											possivelmente ao afetar a nocicepção
e ao afetar o cérebro diretamente.
											O estado emocional de um indivíduo,
as suas memórias,
											as suas crenças sobre a dor
e as suas expetativas face ao tratamento
											também podem influenciar
a intensidade da sensação de dor.
											Num dos estudos efetuados,
											crianças que julgavam não possuir
qualquer controlo sobre a dor
											acabaram por sentir dores mais intensas
											do que as crianças que acreditavam
possuir algum controlo.
											As condições do ambiente
também são importantes:
											Num caso experimental,
											os voluntários com uma barra gelada
colocada nas costas da mão
											disseram sentir mais dor perante
uma luz vermelha do que uma luz azul,
											embora a barra estivesse
à mesma temperatura em ambas as ocasiões.
											Por fim, certos fatores sociais
como a existência de apoio familiar
											podem também afetar a perceção da dor.
											Tudo isto aponta para uma abordagem
multifacetada ao tratamento da dor,
											com especialistas da dor, fisioterapeutas,
psicólogos clínicos, enfermeiros
											e outros profissionais de saúde,
como o plano de tratamento mais eficaz.
									","
											Les facteurs psychologiques jouent
clairement aussi un rôle dans la douleur,
											en influant sur la nociception
et sur le cerveau directement.
											L'état émotionnel,
les souvenirs d'une personne,
											ce qu'elle croit sur la douleur
et ce qu'elle attend des traitements,
											tout cela peut influer sur l'intensité
de la douleur qu'elle ressent.
											Dans une étude,
											des enfants qui disaient croire
n'avoir aucun contrôle sur la douleur
											ressentaient en fait
une douleur plus intense
											que ceux qui croyaient
qu'ils avaient un contrôle.
											Les caractéristiques de l'environnement
sont aussi importantes :
											lors d'une expérience, des volontaires
											à qui on mettait un bâton froid
sur le dos de la main
											ont dit ressentir plus de douleur
											quand on leur montrait
une lumière rouge plutôt que bleue,
											bien que le bâton était
à la même température à chaque fois.
											Pour finir, les facteurs sociaux
comme le soutien familial
											peuvent affecter
la perception de la douleur.
											Tout ceci signifie qu'une approche
multiple du traitement de la douleur
											qui implique des spécialistes
de la douleur, des kinésithérapeutes,
											des psychologues cliniciens,
des infirmières
											et d'autres professionnels de santé
est souvent très efficace.
									","
											Offensichtlich spielen auch psychologische
Faktoren eine Rolle bei Schmerzen,
											möglicherweise durch
Beeinflussung der Nozizeption
											und durch direkte
Beeinflussung des Gehirns.
											Der emotionale Zustand
und Erinnerungen einer Person,

											Überzeugungen von Schmerzen
und die Erwartungen über ihre Behandlung
											können beeinflussen,
wie viel Schmerzen sie spüren.
											In einer Studie empfanden Kinder,
											die berichteten keine Kontrolle über
deren Schmerzen zu haben,
											intensivere Schmerzen, als jene,
die glaubten Kontrolle darüber zu haben.
											Merkmale der Umgebung
sind ebenfalls wichtig:
											In einem Experiment,
											wo Freiwilligen eine kalte Stange
auf ihren Handrücken gelegt wurde,
											berichteten mehr Schmerzen
gespürt zu haben,
											als rotes Licht aufleuchtete,
im Vergleich zum blauen Licht,
											obwohl die Stange jedes Mal
die gleiche Temperatur hatte.
											Schlussendlich können soziale Faktoren,
											wie die Verfügbarkeit
von familiärer Unterstützung,
											die Wahrnehmung von
Schmerzen beeinflussen.
											Das alles bedeutet,
dass zur Schmerzbehandlung
											ein vielschichtiger Ansatz aus
Schmerzspezialisten, Physiotherapeuten,
											Krankenpflegern und anderen medizinischen
Fachkräften am effektivsten ist.
									",The mysterious science of pain,Joshua W. Pate,4:47,"animation,TED-Ed,human body,science,pain,health,healthcare,health care,psychology,medicine,physiology,brain"
