en,es,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
											I'm an Iranian-American Muslim female,
											like all of you.
											And I'm also a social justice comedian,
											something that I insist is an actual job.
									","
											Soy una mujer musulmana
iraní-estadounidense,
											como todos Uds.
											Y también una comediante
para la justicia social,
											algo que insisto en aclarar
que es un trabajo real.
									","
											Je suis une femme musulmane
américano-iranienne,
											comme vous toutes.
											Je suis aussi une comédienne
de justice sociale,
											c'est un vrai travail, j'insiste.
									","
											Ich bin eine iranisch-
amerikanische Muslimin,
											so wie ihr alle.
											Meine Comedy behandelt
soziale Gerechtigkeit.
											Dies ist ein echter Beruf.
									","
											Eu sou uma muçulmana
americana-iraniana.
											tal como todas vocês.
											E sou também comediante de justiça social,
											que, costumo insistir,
é um trabalho a sério.
									",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
","
","
","
","
",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
											To explain what that is,
let me tell you how I got here.
											I've performed all over the country.
											And let me tell you,
America is majestic, right?
											It's got breathtaking nature,
											waffle houses
											and diabetes as far as the eye can see.
											It is really something.
									","
											Para explicar lo que es,
les contaré cómo llegué aquí.
											He actuado por todo el país.
											y, debo decirles,
el país es impresionante.
											Su naturaleza es fantástica,
											hay wafles por todos lados
											y también diabetes a más no poder.
											De verdad es impresionante.
									","
											Laissez-moi vous dire
comment j'en suis arrivée là.
											J'ai fait des spectacles
dans tout le pays.
											L'Amérique est majestueuse, pas vrai ?
											Ses paysages sont époustouflants,
											il y a plein de gaufres
											et des diabètes à perte de vue.
											C'est vraiment quelque chose.
									","
											Ich erkläre Ihnen, was das ist
und wie ich dazu kam.
											Ich bin im ganzen Land aufgetreten.
											Amerika ist großartig, nicht wahr?
											Es gibt atemberaubende Natur,
											""Waffelhäuser""
											und Diabetes so weit das Auge reicht.
											Es ist wirklich etwas besonders.
									","
											Para explicar o que isso é,
vou contar como aqui cheguei.
											Já actuei por todo o país.
											E deixem-me que vos diga,
a América é majestosa, não é?
											Tem paisagens naturais de tirar o fôlego,
											casas de ""waffles""
e diabetes a perder de vista.
											É realmente algo a considerar.
									",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
","
","
","
","
",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
											Now, the American population
can be broken up
											into three main categories:
											there's mostly wonderful people,
											haters
											and Florida.
									","
											Ahora bien, podemos dividir la población
en tres categorías principales:
											la primera donde la mayoría
son maravillosos,
											luego tenemos a los que odian,
y en la última tenemos a Florida.
									","
											La population américaine
peut être répartie
											en trois catégories :
											les gens fabuleux,
											les haineux
											et la Floride.
									","
											Die Amerikaner können in drei Gruppen
											eingeteilt werden:
											Viele wunderbare Menschen,
											Hasser
											und Florida.
									","
											A população norte-americana
pode ser dividida
											em três categorias principais:
											Muitas pessoas maravilhosas,
											os ""haters"", ou seja,
as que odeiam tudo,
											e a Flórida.
									",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
","
","
","
","
",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
","
","
","
","
",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
"
											Besides Florida, the most troubling
category here are the Haters.
											They are a minority,
											but they overcompensate
by being extra loud.
											They have the Napoleon complex
of demographics,
											and yes, some of the men do wear heels.
									","
											No obstante, por encima de Florida,
quienes odian son los más preocupantes.
											Son una minoría, pero lo compensan
todo hablando muy alto.
											Tienen un complejo
demográfico napoleónico
											y sí, es cierto que algunos
integrantes varones llevan tacones.
									","
											A part la Floride, la catégorie
la plus troublante est les haineux.
											Ils sont une minorité,
											mais ils compensent
en étant très bruyants.
											Ils ont le complexe
démographique napoléonien
											et, oui, certains hommes
portent des talons.
									","
											Abgesehen von Florida
sind die Hasser am schlimmsten.
											Sie sind eine Minderheit.
											Aber sie überkompensieren es
durch extreme Lautstärke.
											Sie haben den Napoleon-Komplex,
											manche Männer tragen sogar Absätze.
									","
											Tirando a Flórida, a categoria
mais problemática é a dos ""haters"".
											Eles são uma minoria,
											mas eles compensam isso
sendo bem mais barulhentos.
											Têm o complexo demográfico
de Napoleão,
											e sim, alguns dos homens
usam saltos altos.
									",A highly scientific taxonomy of haters,Negin Farsad,8:05,"activism,community,comedy,identity,entertainment,religion,social change,society,TED Fellows,terrorism,humor"
