en,pt,es,tr,title,speaker,duration,tags
"
","
","
","
",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
											So it all came to life
											in a dark bar in Madrid.
											I encountered my colleague
from McGill, Michael Meaney.
											And we were drinking a few beers,
											and like scientists do,
											he told me about his work.
											And he told me that he is interested
in how mother rats lick their pups
											after they were born.
											And I was sitting there and saying,
											""This is where my tax
dollars are wasted —
									","
											Tudo começou
											num bar em Madrid.
											Encontrei o meu colega da universidade
de McGill, Michael Meaney.
											Estávamos a beber umas cervejas,
											e como os cientistas fazem,
											ele falou-me do seu trabalho.
											Disse-me que está interessado em como
as mães dos ratos lambem as suas crias
											depois de elas nascerem.
											Eu estava sentado e disse:
											""Então, é nisto que o dinheiro
dos meus impostos é desperdiçado...
									","
											Todo surgió
											en un bar sombrío en Madrid.
											Me topé con mi colega de 
McGill, Michael Meany.
											Nos estábamos tomando unas cervezas y,
											tal y como hacen los científicos,
											me contó sobre su trabajo.
											Y me contó sobre su interés en cómo 
las ratas madres lamen a sus crías
											tras nacer.
											Y yo estaba sentado y pensando:
											""En esto se desperdician 
los dólares de mis impuestos
									","
											Her şey Madrid'de
											karanlık bir barda başladı.
											McGill'den iş arkadaşım
Michael Meaney'le karşılaştım.
											Birkaç bira içip laflıyorduk
											ve bilim insanlarının yaptığı gibi
											bana çalışmasından bahsetti.
											Anne farelerin yavrularını 
doğum sonrasında nasıl yaladıklarıyla
											ilgilendiğinden bahsetti.
											Orada oturmuş kendime şöyle diyordum,
											""Vergilerimin nerede
harcandığı belli oldu,
									",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
","
","
","
",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Kahkahalar)
									",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
","
","
","
",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
											on this kind of soft science.""
									","
											... neste tipo de ciência de cordel.""
									","
											en este tipo de ciencia blanda"".
									","
											bu tarz bir sosyal bilime.""
									",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
","
","
","
",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
											And he started telling me
											that the rats, like humans,
											lick their pups in very different ways.
											Some mothers do a lot of that,
											some mothers do very little,
											and most are in between.
											But what's interesting about it
											is when he follows these pups
when they become adults —
											like, years in human life,
long after their mother died.
											They are completely different animals.
											The animals that were licked
and groomed heavily,
											the high-licking and grooming,
											are not stressed.
											They have different sexual behavior.
											They have a different way of living
											than those that were not treated
as intensively by their mothers.
									","
											Ele começou a dizer-me
											que os ratos, tal como os seres humanos,
											lambem as suas crias de diferentes modos.
											Algumas progenitoras lambem muito,
											outras lambem muito pouco,
											e a maior parte estão entre umas e outras.
											Mas o que é interessante nisto
											é quando ele segue estas crias,
quando elas se tornam adultas
											— como anos na vida humana —
											muito depois de as suas progenitoras
terem morrido.
											São animais completamente diferentes.
											Os animais que foram
muito lambidos e acarinhados,
											os que lambiam muito e acarinhavam
											não são ansiosos.
											Têm um comportamento sexual diferente.
											Têm um modo de vida diferente
											do que aqueles que não foram
tão bem tratados pelas suas progenitoras.
									","
											Y me empezó a contar que
											las ratas, al igual que los humanos,
											lamen a sus crías de diferentes maneras.
											Algunas madres lo hacen mucho,
											otras madres lo hacen poco,
											y la mayoría están en un término medio.
											Pero lo interesante de esto
											es que cuando se hace un seguimiento
a estas crías, ya de adultos,
											digamos, años de vida humana, mucho
después de la muerte de su madre,
											son animales completamente diferentes.
											Los animales que fueron lamidos y
acariciados considerablemente,
											los muy lamidos y acariciados,
											no están estresados.
											Tienen un comportamiento 
sexual diferente.
											Tienen una forma de vivir diferente
											que los que no fueron lamidos 
tan intensamente por sus madres.
									","
											Sonra anlatmaya başladı.
											Fareler de insanlar gibi
											yavrularını farklı
şekillerde yalıyorlardı.
											Bazı anneler bunu çok yapıyordu;
											bazı anneler oldukça az
											ve çoğunluğu da 
bu ikisinin arasında.
											Fakat burada ilginç olan,
											yavrular büyüdükten sonra arkadaşım
onları takip etmeye devam ediyordu,
											anneleri öldükten çok daha sonra
yıllarca takip ediyordu
											ve tamamen farklı
hayvanlara dönüşüyorlardı.
											Yoğun ilgi gösterilmiş 
ve yalanmış olanlar,
											fazla yalanan ve bakım yapılanlar,
											stresli değildi.
											Cinsel davranışları farklıydı.
											Yaşam tarzları da
											annelerinden aynı yoğunlukta
ilgi görmemiş olanlardan farklıydı.
									",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
","
","
","
",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
											So then I was thinking to myself:
											Is this magic?
											How does this work?
											As geneticists would like you to think,
											perhaps the mother had
the ""bad mother"" gene
											that caused her pups to be stressful,
											and then it was passed
from generation to generation;
											it's all determined by genetics.
											Or is it possible that something
else is going on here?
									","
											Pensei para mim próprio:
											Será magia?
											Como é que isto funciona?
											Como os geneticistas gostam que pensemos,
											talvez a progenitora tivesse
o gene da ""progenitora má""
											que fez com que as suas crias
fossem ansiosas,
											e foi, depois, passado
de geração em geração.
											É tudo determinado pela genética.
											Ou será possível que algo mais
esteja a acontecer aqui?
									","
											Y, luego estuve pensando:
											¿Es esto magia?
											¿Cómo funciona esto?
											Tal como los genetistas 
quisieran que piensen,
											tal vez la madre tenía 
el gen de ""la mala madre"",
											que causaba que 
sus crías fueran estresadas,
											y luego pasó de 
generación en generación;
											todo está determinado por la genética.
											¿O será posible que algo 
más esté sucediendo allí?
									","
											Kendi kendime şu soruyu sordum:

											Bu büyü müydü?
											Bu nasıl oluyordu?
											Genetikçilerin düşünmenizi istediği gibi,
											belki de annede
yavrularda strese sebep olan
											""kötü anne"" geni vardı
											ve bu nesilden nesile aktarıldı;
											bütün bunlar genlerle belirlenmişti.
											Ya da burada başka bir şeyler olması
mümkün müydü?
									",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
"
","
","
","
",How early life experience is written into DNA,Moshe Szyf,16:35,"animals,biomechanics,biology,children,disease,cancer,DNA,health,genetics,medicine,pregnancy,life,nature,primates,TEDx,science"
