en,fr,es,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											What if an African girl
from a traditional family
											in a part of future Africa
											is accepted into the finest
university in the galaxy,
											planets away?
											What if she decides to go?
											This is an excerpt
from my ""Binti"" novella trilogy:
									","
											Et si une Africaine
issue d'une famille traditionnelle
											d'un coin de l'Afrique du futur
											était acceptée dans la meilleure
université de la galaxie,
											à des planètes de là ?
											Et si elle décidait d'y aller ?
											Voici un extrait de ma trilogie
de nouvelles « Binti » :
									","
											¿Qué pasa si una niña africana 
de una familia tradicional
											en una parte de la futura África
											es aceptada 
en la mejor universidad de la galaxia,
											a planetas de distancia?
											¿Qué pasa si ella decide ir?
											Este es un extracto 
de la trilogía de mi novela ""Binti"":
									","
											Gelecekteki Afrika'daki geleneksel
bir aileden gelen
											Afrikalı bir kız galaksideki
											en iyi üniversiteye kabul edilse 
ve gezegeninden uzaklaşsa
											ne olurdu?
											Peki ya gitmeye karar verse?
											Bu ""Binti"" roman üçlememden bir parça:
									","
											Was, wenn ein afrikanisches Mädchen
traditioneller Herkunft
											irgendwo im Afrika der Zukunft
											an der besten Universität
der Galaxie angenommen wird,
											Planete weit weg?
											Und wenn sie hingeht?
											Das ist ein Auszug
aus meiner ""Binti""-Novellen-Trilogie:
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											I powered up the transporter
and said a silent prayer.
											I had no idea what I was going
to do if it didn't work.
											My transporter was cheap,
											so even a droplet of moisture
or, more likely, a grain of sand,
											would cause it to short.
											It was faulty, and most of the time
I had to restart it over and over
											before it worked.
											""Please not now,
please not now,"" I thought.
											The transporter shivered in the sand
and I held my breath.
											Tiny, flat and black as a prayer stone,
											it buzzed softly and then
slowly rose from the sand.
											Finally, it produced
the baggage-lifting force.
											I grinned.
											Now I could make it
to the shuttle on time.
											I swiped otjize from my forehead
with my index finger and knelt down,
											then I touched the finger to the sand,
											grounding the sweet-smelling
red clay into it.
									","
											J'ai allumé le transporteur
et récité une prière silencieuse.
											J'ignorais ce que je ferais
s'il ne fonctionnait pas.
											Il était bon marché
											même une goutte d'humidité
ou, plus probablement, un grain de sable
											pouvait provoquer un court-circuit.
											Il était défectueux et la plupart du temps
											je devais le redémarrer plusieurs fois
avant qu'il ne fonctionne.
											« Par pitié, pas maintenant. »,
ai-je pensé.
											Le transporteur a frémi dans le sable
et j'ai retenu mon souffle.
											Petit, plat et noir
telle une pierre de prière,
											il a bourdonné doucement
puis est lentement ressorti du sable.
											Finalement, il a soulevé les bagages.
											J'ai souri.
											Je pouvais arriver à la navette à temps.
											J'ai essuyé de l'otijze de mon front
avec mon index et me suis agenouillée,
											puis j'ai touché le sable avec mon doigt,
											plaquant au sol l'argile rouge
à l'odeur sucrée.
									","
											Encendí el transportador 
y dije una oración silenciosa.
											No tenía idea de qué iba 
a hacer si no funcionaba.
											Mi transportador era barato,
											incluso una gota de humedad o, 
más probablemente, un grano de arena,
											podría ocasionar un cortocircuito.
											Era defectuoso y la mayoría de las veces 
tenía que reiniciarlo una y otra vez
											antes de que funcionara.
											""Por favor, no ahora, por favor, 
no ahora"", pensé.
											El transportador se estremeció 
en la arena y contuve la respiración.
											Diminuto, plano y negro 
como una piedra de oración,
											zumbó suavemente y 
luego se izó lentamente de la arena.
											Finalmente, produjo 
la fuerza elevadora de equipaje.
											Sonreí.
											Ahora podría llegar 
a la lanzadera a tiempo.
											Me quité otjize de la frente 
con mi dedo índice y me arrodillé
											luego toqué el dedo con la arena,
											encallándolo 
en la arcilla roja de olor dulce.
									","
											Taşıyıcıyı çalıştırmayı denedim
ve sessizce dua ettim.
											Çalışmazsa ne yapacağımı bilmiyordum.
											Taşıyıcım ucuzdu.
											Bir damla nem ya da kum tanesi
											bozulmasına sebep olabilirdi.
											Arızalıydı. Çoğu zaman,
çalışıncaya kadar defalarca
											uğraşmam gerekiyordu.
											Şimdi değil, şimdi değil diye düşündüm.
											Taşıyıcı, kumda titredi, 
ben nefesimi tuttum.
											Küçük, düz ve siyah dua taşı gibi
											yumuşakça uğuldadı, yavaşça kumdan kalktı.
											Sonunda bagaj kaldırma gücü üretti.
											Gülümsedim.
											Mekiğe zamanında gidebilirim.
											Alnıma işaret parmağımla ""otjize""ye
vurdum ve diz çöktüm.
											Parmağımla kuma dokundum, tatlı kokulu
											kırmızı toprağın içindeydi.
									","
											Ich startete den Transporter
und betete leise.
											Was sollte ich tun,
wenn es nicht funktionierte?
											Mein Transporter war billig.
											Ein Tropfen Feuchtigkeit oder ein Sandkorn
konnte einen Kurzschluss verursachen.
											Er war kaputt und ich musste ihn mehrmals
neustarten, damit er funktionierte.
											""Bitte nicht jetzt,
bitte nicht jetzt"", dachte ich.
											Der Transporter zitterte im Sand
und ich hielt den Atem an.
											Klein, flach und schwarz
wie ein Gebetsstein.
											Er summte leise und erhob sich
langsam vom Sand.
											Endlich brachte er
genug Kraft fürs Gepäck auf.
											Ich grinste.
											Ich würde pünktlich am Shuttle sein.
											Mit dem Finger wischte ich mir
Otjize von der Stirn und bückte mich,
											berührte den Sand und rieb
den süß-duftenden, roten Lehm hinein.

									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											""Thank you,"" I whispered.
									","
											« Merci », ai-je murmuré.
									","
											""Gracias"", susurré.
									","
											Teşekkürler diye fısıldadım.
									","
											""Danke"", flüsterte ich.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											It was a half-mile walk
along the dark desert road.
											With the transporter working
I would make it there on time.
											Straightening up,
I paused and shut my eyes.
											Now, the weight of my entire life
was pressing on my shoulders.
											I was defying the most traditional
part of myself for the first time
											in my entire life.
											I was leaving in the dead of night,
and they had no clue.
											My nine siblings, all older than me
except for my younger sister and brother,
											would never see this coming.
											My parents would never imagine
I'd do such a thing in a million years.
											By the time they all realized
what I'd done and where I was going,
											I'd have left the planet.
									","
											Il fallait marcher 800 mètres
sur la sombre route désertique.
											Avec le transporteur,
j'arriverais à temps.
											En me redressant,
j'ai marqué une pause et fermé les yeux.
											Le poids de ma vie entière
reposait sur mes épaules.
											Je défiais les parties de moi
les plus traditionnelles
											pour la première fois de ma vie.
											Je partais en pleine nuit,
ils n'en avaient aucune idée.
											Mes neuf frères et sœurs, tous plus âgés
que moi sauf ma sœur et mon frère cadets,
											ne verraient rien venir.
											Mes parents n'imagineraient jamais
que je ferais une chose pareille.
											D'ici à ce qu'ils réalisent
ce que j'avais fait et où j'allais,
											j'aurais quitté la planète.
									","
											Era un paseo de media milla 
por el oscuro camino del desierto.
											Con el transportador funcionando, 
llegaría a tiempo.
											Enderezando, me detuve y cerré los ojos.
											Ahora, el peso de toda mi vida 
estaba presionando mis hombros.
											Estaba desafiando la parte 
más tradicional de mí por primera vez
											en toda mi vida.
											Me estaba yendo en la oscuridad 
de la noche, y ellos no tenían ni idea.
											Mis nueve hermanos, todos mayores que yo, 
excepto mi hermana menor y mi hermano,
											nunca habían visto venir esto.
											Mis padres nunca imaginarían 
que haría tal cosa en un millón de años.
											Para cuando todos se dieran cuenta 
de lo que había hecho y hacia dónde iba,
											me habría ido ya del planeta.
									","
											Karanlık çöl yolunda 
yarım mil mesafedeydi.
											Taşıyıcının çalışmasıyla 
zamanında varabilirdim.
											Dik durdum
ve gözlerimi kapadım.
											Tüm hayatımın ağırlığı omuzlarımdaydı.
											Hayatım boyunca ilk defa
geleneksel yanıma
											karşı koyuyordum.
											Gecenin karanlığında gidiyordum
ve ardımda iz bırakmamıştım.
											Dokuz kardeşim, kız ve erkek kardeşim
dışında hepsi benden büyüktü,
											bunu beklemiyorlardı.
											Böyle bir şey yapacağım
ebeveynlerimin aklından bile geçmezdi.
											Ne yaptığımı ve gittiğimi
fark ettiklerinde
											gezegeni terk etmiştim.
									","
											Ich hatte einen weiten Fußweg
entlang der Wüstenstraße vor mir.
											Da der Transporter lief,
konnte ich es schaffen.
											Ich setzte mich auf
und schloss die Augen.
											Das Gewicht meiner ganzen Zukunft
lastete auf meinen Schultern.
											Zum ersten Mal in meinem Leben
trotzte ich meinem traditionellen Ich.
											In tiefster Nacht machte ich mich davon
und sie hatten keine Ahnung.
											Meine neun Geschwister, alle älter,
außer einer Schwester und einem Bruder,
											hätten das nie kommen sehen.
											Meine Eltern hätten nie vermutet,
dass ich so etwas tue.
											Wenn sie merken, was ich getan hatte
und wohin ich gegangen war,
											hätte ich die Erde bereits verlassen.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
","
","
","
","
",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
"
											In my absence, my parents
would growl to each other
											that I was never
to set foot in their home again.
											My four aunties and two uncles
who lived down the road
											would shout and gossip amongst themselves
											about how I had scandalized
the entire bloodline.
											I was going to be a pariah.
									","
											En mon absence, mes parents
ronchonneraient entre eux
											que je n'allais jamais
remettre un pied chez eux.
											Mes six oncles et tantes
qui vivaient en bas de la rue
											crieraient et jaseraient ensemble
											quant à comment
j'avais scandalisé toute la lignée.
											J'allais être une paria.
									","
											En mi ausencia, 
mis padres se gruñirían el uno al otro
											que yo nunca más volvería 
a poner un pie en su casa.
											Mis cuatro tías y dos tíos 
que vivían en el camino
											gritarían y chismorrearían entre sí
											sobre cómo había escandalizado 
a toda la línea de sangre.
											Iba a ser un paria.
									","
											Yokluğumda, ailem birbirlerine bir daha
											o eve ayak basamayacağımı söylerlerdi.
											Yolun aşağısında yaşayan 
dört halam iki amcam
											bağırır ve kendi aralarında
											tüm ailenin şerefini
nasıl kirlettiğimi konuşurlardı.
											Dışlanacaktım.
									","
											In meiner Abwesenheit
würden meine Eltern grummeln,
											dass ich nie wieder
ihr Haus betreten dürfte.
											Meine vier Tanten und zwei Onkel
											würden sich darüber beschweren,
											wie ich die ganze Blutlinie
skandalisiert hätte.
											Ich würde ein Außenseiter sein.
									",Sci-fi stories that imagine a future Africa,Nnedi Okorafor,9:20,"creativity,Africa,adventure,science fiction,future,writing,identity,society"
