en,fr,es,title,speaker,duration,tags
"
","
","
",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
											We live in a world
increasingly tyrannized by the screen,
											by our phones, by our tablets,
by our televisions and our computers.
											We can have any experience that we want,
											but feel nothing.
											We can have as many friends as we want,
											but have nobody to shake hands with.
									","
											Nous vivons dans un monde
de plus en plus tyrannisé par les écrans,
											par nos téléphones, par nos tablettes,
par nos télévisions et nos ordinateurs.
											Nous pouvons vivre
les expériences que nous voulons
											mais nous ne ressentons rien.
											Nous pouvons avoir
autant d'amis que nous voulons
											mais n'avons personne
à qui serrer la main.
									","
											Vivimos en un mundo cada vez
más tiranizado por la pantalla,
											por teléfonos, tabletas, 
televisores y computadoras.
											Podemos experimentar 
lo que sea, pero sin sentir nada.
											Podemos tener muchos amigos,
											pero nadie a quien estrechar la mano.
									",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
","
","
",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
											I want to take you
to a different kind of world,
											the world of the imagination,
											where, using this most powerful
tool that we have,
											we can transform both
our physical surroundings,
											but in doing so, we can change
forever how we feel
											and how we feel about the people
that we share the planet with.
									","
											Je veux vous emmener
dans un autre genre de monde,
											le monde de l'imagination
											où, en utilisant les outils
les plus performants que nous avons,
											nous pouvons transformer
le monde physique alentour
											mais, en ce faisant, nous pouvons
changer ce que nous ressentons
											et ce que nous ressentons envers les gens
avec qui nous partageons la planète.
									","
											Quiero llevarlos a un mundo diferente,
											al mundo de la imaginación.
											Allí, con esta herramienta tan poderosa,
											podemos transformar nuestro entorno físico
											y, al mismo tiempo, cambiar
para siempre lo que sentimos
											y la forma en que percibimos
a las personas con quienes vivimos.
									",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
","
","
",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
											My company, Artichoke,
which I cofounded in 2006,
											was set up to create moments.
											We all have moments in our lives,
and when we're on our deathbeds,
											we're not going to remember
the daily commute to work
											on the number 38 bus
											or our struggle to find a parking space
every day when we go to the shop.
											We're going to remember those moments
when our kid took their first step
											or when we got picked
for the football team
											or when we fell in love.
											So Artichoke exists to create
moving, ephemeral moments
											that transform the physical world
using the imagination of the artist
											to show us what is possible.
											We create beauty amongst ruins.
											We reexamine our history.
											We create moments to which
everyone is invited,
											either to witness or to take part.
									","
											Mon entreprise, Artichoke,
que j'ai cofondée en 2006,
											a été mise sur pied
pour créer des moments.
											Nous avons tous des moments dans notre vie
et sur notre lit de mort,
											nous ne nous souviendrons pas
du trajet pour le travail
											dans le bus 38
											ou de la difficulté à nous garer
chaque jour en allant faire les courses.
											Nous nous souviendrons de ces moments
où notre enfant a fait son premier pas,
											où on nous a choisi
pour l'équipe de football,
											où nous sommes tombés amoureux.
											Artichoke existe pour créer
des moments émouvants et éphémères
											qui transforment le monde physique
en utilisant l'imagination de l'artiste
											pour nous montrer ce qui est possible.
											Nous créons de la beauté
au milieu des ruines.
											Nous examinons notre histoire.
											Nous créons des moments
où tout le monde est invité,
											pour en être témoin ou pour y participer.
									","
											En 2006 cofundé ""Artichoke"",
											una empresa cuya misión
fue crear momentos.
											Todos vivimos momentos en la vida
											pero, en el lecho de muerte,
lo que recordaremos
											no serán los viajes diarios al trabajo 
en el autobús número 38,
											ni la lucha por encontrar un sitio
donde estacionar cuando vamos de compras.
											Los momentos que recordaremos serán
los primeros pasos de nuestros hijos,
											o cuando nos seleccionaron
para integrar el equipo de fútbol,
											o cuando nos enamoramos.
											Artichoke se dedica a crear 
momentos conmovedores y efímeros
											que transforman el mundo físico
a través de la imaginación del artista
											para mostrarnos lo posible.
											Creamos belleza entre las ruinas.
											Resignificamos nuestra historia.
											Creamos momentos
a los que todos están invitados,
											sea como espectadores o participantes.
									",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
","
","
",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
											It all started for me
way back in the 1990s,
											when I was appointed as festival director
in the tiny British city of Salisbury.
											You'll probably have heard of it.
											Here's the Salisbury Cathedral,
and here's the nearby Stonehenge Monument,
											which is world-famous.
											Salisbury is a city that's been dominated
for hundreds of years by the Church,
											the Conservative Party
											and the army.
											It's a place where people
really love to observe the rules.
											So picture me on my first
year in the city,
											cycling the wrong way
down a one-way street, late.
											I'm always late.
											It's a wonder I've even turned up today.
									","
											Pour moi, tout a commencé
dans les années 90,
											quand j'ai été nommée
directrice de festival
											dans la petite ville
britannique de Salisbury.
											Vous ne la connaissez probablement pas.
											Voici la cathédrale de Salisbury
et le monument voisin de Stonehenge,
											qui est mondialement connu.
											Salisbury est une ville qui a été dominée
durant des siècles par l’Église,
											le parti conservateur
											et l'armée.
											C'est un endroit où les gens
aiment respecter les règles.
											Imaginez-moi durant
ma première année dans la ville,
											à faire du vélo en sens inverse
dans une rue à sens unique, en retard.
											Je suis toujours en retard.
											C'est un miracle
que je sois arrivée aujourd'hui.
									","
											Todo empezó en la década de 1990,
cuando me designaron directora artística
											en la pequeña ciudad
de Salisbury, Inglaterra,
											de la que seguramente han oído hablar.
											Aquí vemos la catedral de Salisbury,
											y aquí el monumento de Stonehenge,
mundialmente conocido.
											Durante cientos de años, 
Salisbury ha estado bajo el dominio
											de la Iglesia, el partido 
conservador y el ejército.
											Los ciudadanos del lugar son
muy afectos a obedecer las reglas,
											así que imaginen la situación,
cuando, en mi primer año allí,
											fui en bici a contramano
porque se me hacía tarde.
											Yo llego tarde a todos lados.
											De hecho, es un milagro que haya venido.
									",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
","
","
",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									",Public art that turns cities into playgrounds of the imagination,Helen Marriage,12:08,"art,creativity,community,culture,society,humanity"
