en,tr,es,fr,title,speaker,duration,tags
"
","
","
","
","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
											[This talk contains mature content]
									","
											[Yetişkinlere yönelik içerik]
									","
											[Esta charla tiene contenido adulto]
									","
											[Cette intervention présente
du contenu réservé aux adultes]
									","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
","
","
","
","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
											In 1969, I was standing behind
											a Sylvania black-and-white television set.
											Hearing about these things happening
on the set in the front,
											I was the guy, you know,
											moving the rabbit ears
for my dad, and my sister and my mom.
											""Move over here, turn over here,
move this way, we can't see the screen.""
											And what they were watching
											was: ""One small step for a man,
one giant leap for mankind.""
											Neil [Armstrong] and Buzz Aldrin
were walking on the Moon.
											And I was five years old
in Lynchburg, Virginia,
											a skinny black kid
in a kind of somewhat racist town.
											And I was trying to figure out
what I was going to do with my life.
											And my parents, you know,
they were educators,
											they'd said that you can do anything.
											But after that moon landing,
all the kids in the neighborhood
											were like, ""You're going to be
an astronaut?""
											I'm like, ""No.""
											I don't want a buzz cut,
and I don't see someone who looks like me.
											Because representation does matter.
									","
											1969 yılında
											siyah beyaz bir TV seti arkasında
olduğumu hatırlıyorum.
											Bir yandan TV setinde
olan biteni dinlerken
											diğer yandan da
											antenleri babam, kızkardeşim
ve annem için ayarlayan kişiydim.
											''Bu tarafa oynat, şu tarafa çevir,
ekranı göremiyoruz.''
											İzledikleri şey de
											''İnsan için küçük bir adım,
insanlık için devasa bir adım''dı.
											Neil Armstrong ve Buzz Aldrin
Ay'ın yüzeyinde yürüyorlardı.
											Bense Virjinya'nın
Lynchburg kentinde beş yaşında,
											ırkçı sayılabilecek bir kentte
cılız siyahi bir çocuktum.
											Ne olacağımı belirlemeye çalışıyordum.
											Annem ve babam eğitimciydiler,
											her şeyi yapabileceğimi söylerlerdi.
											Ancak Ay'a ayak basıldıktan sonra
mahalledeki tüm çocuklar
											''Astronot mu olacaksın?''
demeye başladılar.
											Hayır diyordum.
											Makine traşı istemiyorum,
ayrıca bana benzeyen biri de görmüyorum.
											Çünkü gösterim de önemli.
									","
											En 1969, me encontraba detrás
											de un televisor Sylvania en blanco y negro
											escuchando lo que pasaba
al otro lado del aparato.
											Ya saben cómo era:
											me tocaba mover la antena
para mi papá, mi hermana y mi mamá.
											""¡Muévela un poco para allá, para acá,
un poco más. No se ve nada!"".
											Y lo que miraban en ese momento era:
											""Un pequeño paso para el hombre,
pero un gran salto para la humanidad"".
											Neil [Armstrong] y Buzz Aldrin
habían llegado a la luna.
											Y yo era un niño de cinco años,
en Lynchburg, Virginia,
											delgadito, negro,
en una ciudad algo racista,
											que intentaba averiguar
qué iba a hacer con mi vida.
											Mis padres, que eran educadores,
me decían que todo era posible.
											Pero, después de aquel aterrizaje 
lunar, los chicos del barrio
											andaban diciendo:
""¿Vas a ser astronauta?"".
											Y yo decía: ""No"".
											No quiero raparme el pelo 
y ningún astronauta se parece a mí.
											Porque la representación importa.
									","
											En 1969, je me tenais derrière
											une télévision noir et blanc.
											J'entendais ce qu'il se passait à l'écran
											mais j'étais le préposé
											à l'ajustement des antennes
dans la famille.
											« Tourne-la par ici, par là,
dans ce sens-là, on ne voit rien. »
											Ils regardaient :
											« Un petit pas pour l'homme,
un grand pas pour l'humanité. »
											Neil [Armstrong] et Buzz Aldrin
marchaient sur la Lune.
											J'avais cinq ans ; je vivais
à Lynchburg en Virginie.
											Un gosse noir maigre
dans une ville plutôt raciste.
											J'essayais de comprendre
ce que je voulais faire de ma vie.
											Mes parents étaient des enseignants.
											Ils me disaient que je pouvais
devenir ce que je voulais.
											Mais après ce fameux pas sur la Lune,
											tous les gosses se demandaient
s'ils voulaient devenir astronaute.
											Mais moi, non.
											Je ne veux pas la coupe militaire
et personne ne me ressemble.
											Car l'apparence est importante.
									","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
","
","
","
","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
											And I knew that there was a guy
											five blocks down the street
on Pierce Street
											who was training to play tennis.
											And it was Arthur Ashe.
											And my dad talked
about his character, his discipline,
											his intelligence, his athleticism.
											I wanted to be Arthur Ashe,
											I didn't want to be
one of those moon guys.
									","
											Ve beş sokak ileride, Pierce Street'de
											birinin var olduğunu biliyordum,
											tenis oynamak için eğitim alıyordu.
											Bu adam Arthur Ashe'ti.
											Babam onun karakteri, disiplini,
											zekâsı ve atletikliği hakkında konuşurdu.
											Arthur Ashe olmak istiyordum,
											Ay insanlarından biri olmak istemiyordum.
									","
											Y yo sabía que había un muchacho
											a cinco cuadras de casa,
en la calle Pierce,
											que entrenaba para jugar al tenis.
											Era Arthur Ashe.
											Mi padre hablaba del carácter
y la disciplina que tenía,
											de lo inteligente y atlético que era.
											Yo quería ser Arthur Ashe.
											No quería ser uno de esos
que iban a la luna.
									","
											J'avais entendu parler d'un type
											qui habitait cinq blocs plus loin,
sur Pierce Street,
											qui s'entraînait au tennis.
											Il s'appelait Arthur Ashe.
											Mon père me parlait de
sa personnalité, de sa discipline,
											de son intelligence
et de sa condition physique.
											Je voulais être Arthur Ashe.
											Je ne voulais pas être
un type sur la Lune.
									","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
","
","
","
","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
											And as I went on through this journey,
											my dad, who was a school teacher,
he played in a band,
											he did all these things to make money
for my sister and I
											to take piano lessons
											and do these different things
with education.
											And he one day decides to drive up
into the driveway with this bread truck.
											And I'm thinking, ""OK, bread truck,
											me delivering bread
while my dad's driving the truck.""
											I'm like, ""OK, I'm going to be
a bread guy now.""
											But he says, ""This is our camper.""
											I'm like, ""Dude, come one, I can read:
'Merita Bread and Rolls'
											on the side of this truck.
											And he says, ""No, we're going
to build this into our camper.""
											And over that summer, we rewired
the entire electrical system.
											We plumbed a propane tank
to a Coleman stove,
											we built bunk beds that flip down.
											We were turning this into our summer
vacation launch pad, escape pod,
											this thing that could
take us out of Lynchburg.
									","
											Bu yolculukta ilerlerken
											okulda öğretmen olan babam,
ayrıca bir müzik grubundaydı,
											tüm bu şeyleri yaparak para kazanıyordu ki
											biz piyano dersi alıp
											eğitimle daha pek çok şey yapalım.
											Bir gün garaja
bir ekmek kamyonetiyle geldi.
											Ben de düşündüm ki
											babam kamyoneti sürerken
ben ekmek teslimatı yapacağım.
											''Ekmek satıcısı olacağım'' diyordum.
											Babam ise
''Bu bizim tatil evimiz.'' diyordu.
											''Hadi ama,'' diyorum
''Kamyonetin üstündeki
											ekmek reklamını okuyabiliyorum.''
											Ama babam ''Hayır, bunu
tatil evimiz yapacağız'' diyordu.
											Ve o yaz tüm elektrik
sistemini baştan döşedik.
											Ocak ve tüp taktık,
											açılıp kapanan ranzalı yatak inşa ettik.
											Kamyonu yazlık tatil yuvası
hâline getiriyorduk, bir kaçış yuvası,
											bizi Lynchburg'den çıkarabilecek bir şey.
									","
											Y a medida que recorría ese camino,
											mi padre, que era maestro 
de escuela, tocaba en una banda...
											Todo para conseguir dinero
para que mi hermana y yo
											fuésemos a clase de piano
e hiciéramos actividades educativas.
											Y un día llega a casa 
en una camioneta de reparto de pan.
											Y yo pienso: ""Bien, reparto de pan...
											Yo reparto el pan mientras 
papá conduce la camioneta"".
											Me digo: ""Bueno, parece
que ahora seré panadero"".
											Pero él dice: ""Esta es nuestra caravana"".
											Y respondo: ""Vamos, que dice
'Pan y Bollería Merita'
											al costado de la camioneta"".
											(Risas)
											Y me dice: ""No, vamos a convertir
la camioneta en una caravana"".
											Durante ese verano, cambiamos
todos los cables del sistema eléctrico.
											Conectamos un tanque 
de propano a un hornillo Coleman,
											construimos unas literas plegables.
											Estábamos haciendo una plataforma
de lanzamiento para nuestras vacaciones,
											un vehículo que podía
llevarnos fuera de Lynchburg.
									","
											Le temps passe
											et mon père, qui était professeur
et qui jouait dans un groupe de musique,
											faisait tout ce qu'il faut pour gagner
sa vie pour ma sœur et moi :
											nos leçons de piano et tout ce qui
concernait notre éducation.
											Un jour, il décide de garer dans l'allée
une camionnette de boulanger.
											Je pense simplement que cela signifie
											que je vais livrer le pain
alors que mon père conduit.
											Je lui dis que je vais jouer le boulanger.
											Mais il répond que c'est un camping-car.
											Je sais pourtant lire :
« Merita Boulangerie Viennoiserie »
											sur les flancs de la camionnette.
											Mon père répond qu'on va
la transformer en camping-car.
											Pendant l'été, on a refait
tout le système électrique.
											On a soudé une bonbonne de propane
à un four de camping
											et on a construit des couchettes pliantes.
											On construisait notre station
de lancement de vacances d'été,
											un engin qui nous ferait
nous évader de Lynchburg.
									","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
","
","
","
","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
"
											And before that,
											I was actually raped at five
by some neighbors.
											And I didn't tell anyone,
											because I had friends
that didn't have fathers.
											And I knew that my father
											would have killed the people
that did that to his son.
											And I didn't want my father to be gone.
									","
											Ancak bunun öncesinde,
											beş yaşında komşular tarafından
tecavüze uğradım.
											Kimseye söylemedim
											çünkü babası olmayan arkadaşlarım vardı.
											Biliyordum ki babam öğrenirse
											bunu oğluna yapan insanları öldürecekti.
											Babasız kalmak istemedim.
									","
											Antes de aquello,
											cuando tenía cinco años, 
unos vecinos me violaron.
											Y no se lo dije a nadie,
											porque algunos de mis amigos
no tenían a su padre.
											Y yo sabía que mi padre
											habría matado a la gente
que le hizo eso a su hijo.
											Y yo no quería quedarme sin padre.
									","
											Mais avant cela,
											j'avais été violé par des voisins.
											Je n'en avais parlé à personne
											car certains de mes amis
n'avaient plus leur papa.
											Je savais que mon père
											allait tuer les personnes
qui avaient infligé ça à son fils.
											Je ne voulais pas que mon père parte.
									","An astronaut's story of curiosity, perspective and change",Leland Melvin,13:05,"space,sports,humanity,society,personal growth,NASA"
