en,es,de,tr,title,speaker,duration,tags
"
","
","
","
",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
											For the last two and a half years,
											I'm one of the few, if not the only,
child psychiatrist
											operating in refugee camps,
shorelines and rescue boats
											in Greece and the Mediterranean Sea.
											And I can say, with great confidence,
											that we are witnessing
a mental-health catastrophe
											that will affect most of us,
and it will change our world.
									","
											En los últimos dos años y medio,
											soy uno de los pocos, si no el único,
psiquiatra infantil
											que operó en campos de refugiados,
en costas y en botes de rescate
											de Grecia y del mar Mediterráneo.
											Y puedo decir, con gran confianza,
											que somos testigos de 
una catástrofe de salud mental
											que nos afectará a la mayoría,
y cambiará nuestro mundo.
									","
											In den letzten zweieinhalb Jahren
											habe ich als einer der wenigen,
wenn nicht der einzige, Kinderpsychiater
											in den Flüchtlingslagern,
Küsten und Rettungsbooten
											in Griechenland und
dem Mittelmeer gearbeitet.
											Und ich kann mit Bestimmtheit sagen,
											dass wir Zeugen einer seelischen
Katastrophe sind,
											welche die meisten von uns beeinflussen
und unsere Welt verändern wird.
									","
											İki buçuk yıl boyunca 
Yunanistan ve Akdeniz'deki
											mülteci kamplarında, kıyı şeridinde 
ve kurtarma botlarında
											çalışan tek çocuk psikiyatrisi 
olmasam bile,
											bu azınlıktan biriyim.
											Çoğumuzu etkileyecek ve 
dünyamızı değiştirecek
											korkunç bir akıl sağlığı 
bozukluğuna tanık olduğumuzun
											güvencesini verebilirim.
									",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
","
","
","
",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
											I live in Haifa, but nowadays,
I spend most of my time abroad.
											During my time
on the Greek island of Lesbos
											and on the rescue boats
in the Mediterranean,
											thousands of refugee boats
arrived to the shoreline,
											crowded with more
than 1.5 million refugees.
											One-fourth of them are children,
											fleeing war and hardship.
											Each boat carries
different sufferings and traumas
											from Syria, Iraq, Afganistan
and different countries in Africa.
											In the last three years alone,
											more than 12,000 refugees
lost their lives.
											And hundreds of thousands
lost their souls and their mental health
											due to this cruel
and traumatic experience.
									","
											Vivo en Haifa, pero hoy paso la mayor 
parte del tiempo en el extranjero.
											Durante el tiempo que estuve
en la isla griega de Lesbos
											y en los botes de rescate
en el Mediterráneo,
											miles de barcos de refugiados
llegaron a la costa,
											repletos con más de 
1,5 millones de refugiados.
											La cuarta parte son niños
											que huyen de la guerra y las dificultades.
											Cada barco lleva diferentes 
sufrimientos y traumas
											de Siria, Irak, Afganistán
y diferentes países de África.
											Solo en los últimos tres años,
											perdieron la vida más de 12 000 refugiados.
											Y cientos de miles perdieron 
sus almas y su salud mental
											debido a esta experiencia 
cruel y traumática.
									","
											Ich lebe in Haifa, aber heutzutage
verbringe ich die meiste Zeit im Ausland.
											Während meiner Zeit
auf der griechischen Insel Lesbos
											und auf den Rettungsbooten im Mittelmeer
											erreichten tausende von
Flüchtlingsbooten die Küste,
											überfüllt mit mehr als
1,5 Millionen Flüchtlingen.
											Ein Viertel von ihnen sind Kinder,
											welche vor Krieg und Elend flüchten.
											Jedes Boot transportiert
verschiedene Leiden und Traumata
											von Syrien, Irak, Afghanistan und
unterschiedlichen afrikanischen Ländern.
											Allein in den letzten drei Jahren
											verloren mehr als
12.000 Flüchtlinge ihr Leben.
											Hunderttausende haben ihre Seele
und ihre psychische Gesundheit,
											durch diese grausame und
traumatische Erfahrung, verloren.
									","
											Haifa'da yaşıyorum ama bu aralar
zamanımın çoğunu yurtdışında geçiriyorum.
											Midilli Adasında ve
											Akdeniz'deki kurtarma botlarında
											geçirdiğim sürede, 
binlerce mülteci botu
											1.5 milyonu aşkın mülteciyle 
birlikte kıyı şeridine ulaştı.
											4'te 1'i savaştan ve kıtlıktan
											kaçan çocuklardan oluşuyordu.
											Her bot Suriye, Irak, Afganistan ve 
Afrika'nın değişik ülkelerinden
											farklı ızdırap ve travmalar getirmişti.
											Sadece son 3 yıl içinde,
											12.000'den fazla mülteci 
hayatını kaybetti.
											Yüz binlercesi ise yaşadıkları 
acımasız ve travmatik olaylar neticesinde
											ruh ve akıl sağlıklarını yitirdiler.
									",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
","
","
","
",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
											I want to tell you about Omar,
											a five-year-old Syrian refugee boy
											who arrived to the shore on Lesbos
on a crowded rubber boat.
											Crying, frightened, unable to understand
what's happening to him,
											he was right on the verge
of developing a new trauma.
											I knew right away
that this was a golden hour,
											a short period of time
in which I could change his story,
											I could change the story
											that he would tell himself
for the rest of his life.
											I could reframe his memories.
											I quickly held out my hands
and said to his shaking mother in Arabic,
									","
											Quiero contarles sobre Omar,
											un niño refugiado sirio de cinco años
											que llegó a la costa de Lesbos
en un bote de goma lleno de gente.
											Llorando, asustado, sin entender
lo que le sucedía,
											estaba a punto de desarrollar 
un nuevo trauma.
											Supe enseguida que 
esta era una hora de oro,
											un corto período de tiempo en 
el que podía cambiar su historia,
											podía cambiar la historia
											que se contaría a sí mismo
el resto de su vida.
											Podía replantear sus recuerdos.
											Rápidamente extendí mis brazos y le dije 
a su temblorosa madre, en árabe:
									","
											Ich möchte Ihnen von Omar erzählen,
											ein fünfjähriger syrischer
Flüchtlingsjunge,
											der an der Küste von Lesbos in einem
überfüllten Schlauchboot ankam.
											Weinend, angstvoll, nicht in der Lage
zu verstehen, was mit ihm geschieht,
											war er dicht davor,
ein neues Trauma zu entwickeln.
											Ich wusste sofort,
dass dies eine goldene Stunde war,
											eine kurze Zeitspanne, in der ich
seine Geschichte verändern konnte.
											Ich könnte die Geschichte ändern,
											die er sich selbst den Rest seines
Lebens erzählen würde.
											Ich könnte seine Erinnerung neu gestalten.
											Ich streckte schnell meine Hände aus
und sagte zu seiner zitternden Mutter:
									","
											Size Omar'dan bahsetmek istiyorum.
											Kalabalık bir botla
											Midilli Sahili'ne gelen 
5 yaşındaki mülteci çocuk.
											Ağlıyordu, korkmuştu, neler 
olduğuna anlam veremiyordu.
											Travmanın tam eşiğindeydi.
											Kısa bir süre içinde o çocuğun hikayesini
											değiştirebileceğim doğru 
zamanda olduğunu fark ettim.
											Hayatı boyunca anlatacağı
											o hikayeyi değiştirebilirdim.
											Anılarına farklı bir açıdan 
baktırabilirdim.
											Çabucak elimi titreyen annesine 
uzattım ve Arapça şöyle dedim:
									",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
","
","
","
",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
											(Arabic) ""Ateeni elwalad o khudi nafas.""
											""Give me the boy,
and take a breath.""
											His mother gave him to me.
									","
											""Ateeni elwalad o khudi nafas"".
											""Dame el niño, y toma un respiro"".
											Su madre me lo dio en brazos.
									","
											(Arabisch) ""Ateeni elwalad o khudi nafas.""
											""Gib mir den Jungen und atme durch.""
											Seine Mutter gab ihn mir.
									","
											""Ateeni elwalad o khudi nafas.""
											""Çocuğu bana ver ve biraz soluklan.""
											Annesi çocuğunu bana uzattı.
									",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
","
","
","
",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
"
											Omar looked at me with scared,
tearful eyes and said,
											(Arabic) ""Ammo (uncle in Arabic),
shu hada?""
											""What is this?""
											as he pointed out to the police
helicopter hovering above us.
									","
											Omar me miró con miedo,
con ojos llorosos y dijo:
											""Ammo"" —tío en árabe—
(en árabe) ""shu hada?""
											""¿Qué es esto?"",
											mientras señalaba al helicóptero de la 
policía que sobrevolaba nuestras cabezas.
									","
											Omar schaute mich mit angstvollen, 
tränenden Augen an und sagte:
											(Arabisch) ""Ammo"", Onkel auf Arabisch,
											""shu hada?"", ""Was ist das?"",
											während er auf den Polizeihelikopter
über uns zeigte.
									","
											Omar üstümüzden uçan 
helikopteri gösterirken
											korkulu ve yaşlı gözlerle bana bakıp
											(Arapça) ""Ammo (Amca), shu hada?""
											""Bu nedir?"" dedi.
									",How we can bring mental health support to refugees,Essam Daod,5:26,"refugees,mental health,humanity,children,communication,community,compassion,emotions,empathy,global issues,education,war,society,social change,Syria,TED Fellows"
