en,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
											Pat Mitchell: So I was thinking
about female friendship a lot,
											and by the way, these two women,
											I'm very honored to say,
											have been my friends
for a very long time, too.
											Jane Fonda: Yes we have.
									","
											Pat Mitchell: Kadın arkadaşlığı
hakkında bayağıdır düşünüyordum
											ve bu arada bu iki kadın,
											bunu söylemekten gurur duyuyorum,
											uzun zamandır benim arkadaşlarım.
											Jane Fonda: Evet öyleyiz.
									","
											Pat Mitchell : J'ai beaucoup réfléchi
à l'amitié féminine,
											et ces deux femmes,
											j'en suis très honorée,
											sont aussi mes amies
depuis très longtemps.
											Jane Fonda : C'est vrai.
									","
											Pat Mitchell: Ich habe viel über
Frauenfreundschaften nachgedacht;
											und übrigens sind diese zwei Frauen —
											es ist mir eine große Ehre,
das zu sagen —
											schon sehr lange auch meine Freundinnen.
											Jane Fonda: Ja, sind wir.
									",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
","
","
","
",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
											PM: And one of the things
that I read about female friendship
											is something that Cervantes said.
											He said, ""You can tell
a lot about someone,""
											in this case a woman,
											""by the company that she keeps.""
											So let's start with —
									","
											PM: Kadın arkadaşlığı hakkında 
okuduğum şeylerden biri de,
											Cervantes'in söyledikleri:
											""Biri hakkında çok şey söyleyebilirsiniz,""
											bu durumda bir kadın hakkında,
											""yanında bulunan kişilere bakarak.""
											Haydi şöyle başlayalım —
									","
											PM : Une des choses que j'ai lues
sur l'amitié féminine
											a été dite par Cervantes.
											Il a dit : « On peut en dire beaucoup
sur quelqu'un »,
											ici une femme,
											« de par ses fréquentations. »
											Commençons par —
									","
											PM: Ich las einmal etwas
über Frauenfreundschaften,
											das Cervantes gesagt hat.
											Er sagte: ""Man kann viel
über jemanden aussagen"",
											in diesem Fall eine Frau,
											""aufgrund des Umgangs, den sie pflegt.""
											Fangen wir an mit —
									",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
","
","
","
",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
","
","
","
",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
											JF: We're in big trouble.
									","
											JF: Başımız büyük belada.
									","
											JF : Nous avons un problème.
									","
											JF: Wir stecken in der Klemme.
									",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
","
","
","
",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
"
											Lily Tomlin: Hand me one of those waters,
											I'm extremely dry.
									","
											Lily Tomlin: Bana şu sulardan birini uzat,
											felaket kurudum.
									","
											Lily Tomlin : Passe-moi de l'eau,
											j'ai la gorge sèche.
									","
											Lily Tomlin: Gib mir etwas Wasser,
											ich bin äußerst durstig.
									",A hilarious celebration of lifelong female friendship,Jane Fonda and Lily Tomlin,15:44,"women,aging,comedy,humor,humanity,identity,life,interview,personal growth,relationships,self,friendship,gender equality"
