en,es,tr,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
											How many people are bored at their desk
											for how many hours every day
											and how many days a week
and how many weeks a year
											for how many years in their life?
									","
											¿Cuántas personas
están aburridas en sus escritorios
											durante cuántas horas al día
y cuántos días a la semana
											y cuántas semanas al año,
											durante cuántos años de su vida?
									","
											Kaç kişi her gün saatlerce
											masalarında sıkılmış bekliyor
											ve hayatları boyunca haftanın,
hatta yılın kaç gününü
											bu şekilde geçiriyorlar?
									","
											Quantas pessoas estão
aborrecidas na sua secretária
											durante quantas horas por dia,
											quantos dias por semana
e quantas semanas por ano
											durante quantos anos da sua vida?
									","
											Combien de personnes
s'ennuient à leur bureau
											pendant combien d'heures par jour,
de jours par semaine,
											de semaines par an,
et d'années de leur vie ?
									","
											Wie viele Menschen sitzen täglich
											stundenlang gelangweilt am Schreibtisch?
											Für wie viele Tage und Wochen im Jahr,
											und wie viele Jahre ihres Lebens?
									",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
","
","
","
","
","
",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
											[Small thing. Big idea.]
									","
											[Cosa pequeña. Idea grande.]
									","
											[Küçük şey. Büyük fikir.]

									","
											[Uma coisa pequena.
Uma grande ideia.]
									","
											[Petite chose]
											[Grande idée]
									","
											[Kleines Ding. Große Idee.]
									",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
","
","
","
","
","
",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
											[Daniel Engber on
the Progress Bar]
									","
											[Daniel Engber habla
de la barra de progreso]
									","
											[Daniel Engber
İlerleme Çubuğu üzerine.]
									","
											[Daniel Engber acerca
da Barra do Progresso]
									","
											[Daniel Engber à propos de
la barre de progression]
									","
											[Daniel Engber:
Der Fortschrittsbalken]
									",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
","
","
","
","
","
",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
											The progress bar is just
an indicator on a computer
											that something's happening
inside the device.
											The classic one that's been used
for years is a horizontal bar.
											I mean, this goes back
to pre-computer versions of this
											on ledgers, where people would fill in
a horizontal bar from left to right
											to show how much of a task
they had completed at a factory.
											This is just the same thing on a screen.
									","
											La barra de progreso en una computadora
											es lo que indica que algo está pasando
dentro del aparato.
											La barra clásica que se ha utilizado
durante años es horizontal
											y es la versión que se usaba
antes de las computadoras,
											en libros de contabilidad,
											donde se rellenaba una barra horizontal
de izquierda a derecha
											para indicar qué parte de una tarea
se había completado en una fábrica.
									","
											İlerleme çubuğu
cihazın içinde olan bir şey için
											bilgisayarda gösterilen bir işaret sadece.
											Yıllardır kullanılan klasik şekli
yatay bir çubuk.
											Bilgisayar öncesinde de
bu yöntem kullanılıyordu,
											fabrikalarda bir işin ne kadarını
tamamladıklarını göstermek için
											insanlar büyük defterlere
soldan sağa bir çubuk çizerlerdi.
											Şimdi aynı şey ekran üzerinde.
									","
											A barra de progresso
é apenas um indicador num computador
											que algo está a acontecer
dentro do aparelho.
											A barra clássica, que tem sido
usada ao longo dos anos, é horizontal.
											Ou seja, começou a ser usada
antes de ser implementada no computador
											em livros de registos, onde era
preenchida da esquerda para a direita
											para ilustrar quanto de uma tarefa
fora completada numa fábrica.
											É o mesmo que ocorre num ecrã.
									","
											La barre de progression n'est
qu'un indicateur sur un ordinateur
											qui signale une activité
à l'intérieur de l'appareil.
											La barre classique utilisée
depuis des années est horizontale.
											Ça remonte aux versions d'avant
les ordinateurs, dans les registres
											où on remplissait une barre horizontale
de gauche à droite,
											pour montrer l'état d'avancement
d'une tâche dans une usine.
											Il s'agit de la même chose
mais sur un écran.
									","
											Der Fortschrittsbalken ist
eine Anzeige im Computer,
											dass irgend etwas im Gerät passiert.
											Ein altgedienter Klassiker
ist ein horizontaler Balken.
											Der geht zurück auf
vor-Computer-Versionen
											in Registern, bei denen Fabrikarbeiter
von links nach rechts ausfüllten,
											wie viel von einer Aufgabe
sie bereits erfüllt hatten.
											Das ist dasselbe auf dem Bildschirm.
									",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
","
","
","
","
","
",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
"
											Something happened in the 70s
											that is sometimes referred
to as ""the software crisis,""
											where suddenly, computers
were getting more complicated
											more quickly than anyone
had been prepared for,
											from a design perspective.
											People were using percent-done
indicators in different ways.
											So you might have a graphical
countdown clock,
											or they would have a line of asterisks
											that would fill out
from left to right on a screen.
											But no one had done
a systematic survey of these things
											and tried to figure out:
											How do they actually affect
the user's experience
											of sitting at the computer?
									","
											Esto es lo mismo, pero en una pantalla.
											En los años 70 ocurrió algo
											que a veces se denomina
la ""crisis de la programación"",
											en la cual, de repente, las computadoras
se volvieron más complicadas
											más rápidamente de lo que alguien
pudo anticipar y prepararse
											desde una perspectiva del diseño.
											Las personas usaban indicadores
de porcentaje de completado
											de maneras diferentes,
											por ejemplo, un reloj gráfico
que contaba hacia atrás
											o una línea de asteriscos
que se rellenaban de izquierda a derecha
											en la pantalla.
											Pero nadie había hecho
un estudio sistemático
											para saber cómo las barras 
afectan en realidad
											la experiencia del usuario
que se sienta frente a la computadora.
									","
											70'li yıllarda
											''yazılım krizi'' dediğimiz 
bir şey yaşandı,
											birdenbire bilgisayarlar
tasarımsal açıdan
											insanların hazırlıklı olduğundan
çok daha hızlı bir şekilde
											karmaşıklaşmaya başladı.
											İnsanlar farklı şekillerde
yüzde üzerinden göstergeler kullanıyordu.
											Yani grafik bir geri sayım
saatiniz varmış gibi
											ya da onların
ekranı soldan sağa dolduracak
											bir dizi asterisk işareti varmış gibi.
											Ancak kimse bunlara dair
bir anket yapıp
											şunu anlamaya çalışmadı:
											Bunlar bilgisayarın başında oturma
kullanıcı deneyimini
											aslında nasıl etkiliyor?
									","
											Aconteceu uma coisa, nos anos 70,
											que, por vezes, é referida
como a ""crise de software"",
											em que, de repente, os computadores
estavam a ficar mais complicados
											mais rapidamente do que se esperava,
											numa perspetiva de ""design"".
											As pessoas estavam a usar os indicadores
de percentagem de maneiras diferentes.
											Podia haver um relógio
de contagem regressiva
											ou haver uma linha de asteriscos
											que preenchiam um ecrã
da esquerda para a direita.
											Mas ninguém tinha feito
uma pesquisa sistemática destas coisas,
											tentando descobrir
											como as barras de progresso
afetam a experiência do utilizador
											sentado no computador.
									","
											Dans les années 1970,
											il y a eu, ce qu'on appelle parfois,
« la crise du logiciel »,
											où soudain, les ordinateurs
sont devenus plus compliqués,
											plus vite qu'on ne le pensait,
											du point de vue de la conception.
											Les indicateurs en pourcentage
s'utilisaient de différentes manières.
											On pouvait trouver
un compte à rebours graphique
											ou une ligne d’astérisques,
											qui se remplissait
de gauche à droite sur l'écran.
											Mais personne n'avait fait de sondage
systématique sur ces choses-là
											et essayé de comprendre
											quel est leur effet réel
sur ce que perçoit l'utilisateur
											assis devant son ordinateur ?
									","
											In den 1970-ern passierte etwas
											mit der Bezeichnung ""Softwarekrise"",
											als Computer plötzlich
viel komplizierter wurden,
											als irgendjemand gerechnet hätte –
											aus Designer-Perspektive.
											Leute benutzen Prozent-erledigt-
Indikatoren unterschiedlich:
											Es gibt die grafische Countdown-Uhr
											oder eine Zeile Sternchen (""Asteriske"")
											die von links nach rechts
den Bildschirm füllten.
											Aber niemand hatte je eine 
systematische Studie gemacht
											um herauszufinden:
											Wie wirkt sich das auf das
Nutzer-Erlebnis aus,
											wenn man am Computer sitzt?
									",How the progress bar keeps you sane,Daniel Engber,3:47,"design,computers,history,Internet,interface design,programming"
