fr,en,tr,de,es,pt,title,speaker,duration,tags
"
","
","
","
","
","
","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
											Dans le troisième acte
du Lac des cygnes,
											le cygne Noir démarre une série de tours
qui semble interminable
											en sautillant sur une pointe
											et en tournoyant encore et encore
et encore ...32 fois.
											C'est l'une des séquences
les plus éprouvantes d'un ballet
											et pendant ces quelques trente secondes
											elle ressemble à une toupie humaine
en mouvement perpétuel.
									","
											In the third act of ""Swan Lake,""
											the Black Swan pulls off a seemingly
endless series of turns,
											bobbing up and down on one pointed foot
											and spinning around, and around,
and around 32 times.
											It's one of the toughest sequences
in ballet,
											and for those thirty seconds or so,
											she's like a human top 
in perpetual motion.
									","
											""Kuğu Gölü""nün üçüncü perdesinde,
											Siyah Kuğu sonu gelmez görünen
bir dizi dönüşü başarıyla tamamlar.
											""Point""teki tek ayağı üzerinde
inip kalkarak
											kendi etrafında döner, 
döner ve döner, 32 kere.
											Bu, baledeki en zor sekanslardan biridir
											ve o otuz saniye boyunca
											Siyah Kuğu, sürekli hareket hâlinde
olan bir ""topaç insan"" gibidir.
									","
											Im dritten Akt von ""Schwanensee""
											dreht sich der schwarze Schwan
scheinbar endlos,
											während er auf einem Fuß auf und ab wippt
											und sich immer und immer wieder
dreht, ganze 32-mal.
											Es ist eine der schwersten
Bewegungen im Ballett,
											und für diese 30 Sekunden
											ist sie ein menschlicher Kreisel
in Dauerbewegung.
									","
											En el tercer acto de 
""El lago de los cisnes"",
											el cisne negro lleva a cabo una 
serie de vueltas interminables,
											subiendo y bajando en un pie en punta,
											girando y girando y girando 
incesantemente 32 veces.
											Es una de las secuencias
más difíciles en ballet
											y durante estos 30 segundos o más,
											la bailarina es una peonza humana
en continuo movimiento.
									","
											[O Lago dos Cisnes, III ato
— Tchaikovsky]
											No terceiro ato de ""O Lago dos Cisnes"",
											o cisne negro enceta uma série
aparentemente sem fim de voltas,
											subido e descendo na ponta de um pé
											e girando, girando, girando... 32 vezes?
											É uma das sequências
mais difíceis dum bailado
											e, durante esses 30 segundos,
											parece um pião humano
num movimento perpétuo.
									","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
","
","
","
","
","
","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
											Ces tours spectaculaire
s'appellent des « fouettés »
											un terme emprunté au français,
											qui décrit cette prouesse de la danseuse,
tourner sans s'arrêter.
											On s’émerveille devant ces fouettés, mais
quelle est la physique cachée derrière ?
									","
											Those spectacular turns
are called fouettés,
											which means ""whipped"" in French,
											describing the dancer's incredible
ability to whip around without stopping.
											But while we're marveling at the fouetté,
can we unravel its physics?
									","
											Bu olağanüstü dönüşlere
""fouetté""ler denir,
											Fransızca'da çırpılmış
anlamına gelir,
											dansçının durmadan hızla dönme
yeteneğini betimler.
											Peki fouetté'ye şaşırırken bu olayın
fiziğini de çözebilir miyiz?
									","
											Diese beeindruckenden Drehungen
werden Fouettés genannt,
											was auf Französisch ""geschlagen"" heißt
											und die unglaubliche Fähigkeit des Tänzers
beschreibt, sich ohne Pause zu drehen.
											Aber während wir das Fouetté bewundern,
können wir die Physik dahinter eklären?
									","
											Esos giros espectaculares
se llaman ""fouettés""
											lo que en francés significa ""azotes""
											y describen la increíble capacidad 
de la bailarina de girar sin cesar.
											Pero, ¿mientras el fouetté nos maravilla, 
podemos desentrañar su física?
									","
											Estes giros espetaculares
chamam-se ""fouettés"",
											que, em francês, significa ""chicoteado""
											que descreve esta incrível proeza
da bailarina que gira sem parar.
											Ficamos maravilhados
perante estes ""fouettés"",
											mas qual é a física
que se esconde por detrás?
									","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
","
","
","
","
","
","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
											La danseuse commence le fouetté
											en poussant sur son pied
pour générer un couple.
											Mais la partie difficile
est de maintenir sa vitesse.
											En tournant,
											la friction entre la pointe et le sol
											et un peu aussi entre son corps et l'air
											réduit sa quantité de mouvement.
											Comment la danseuse 
continue-t-elle de tourner ?
									","
											The dancer starts the fouetté by pushing
off with her foot to generate torque.
											But the hard part 
is maintaining the rotation.
											As she turns,
											friction between her pointe shoe 
and the floor,
											and somewhat between her body and the air,
											reduces her momentum.
											So how does she keep turning?
									","
											Dansçı fouetté'ye ayağını itip
dönme momenti sağlayarak başlar.
											Ama zor kısmı dönmeyi sürdürmektir.
											Döndükçe,
											point ayakkabısı ve yer arasındaki
											ve kısmen vücuduyla hava 
arasındaki sürtünme,
											momentini azaltır.
											Peki öyleyse dönmeye nasıl
devam ediyor?
									","
											Die Tänzerin stößt sich
zuerst vom Boden ab,
											um an Drehkraft zu gewinnen.
											Das Schwere ist, die Drehung
aufrecht zu erhalten.
											Bei der Drehung bremst die Reibung
zwischen ihrem Spitzenschuh und dem Boden,
											und ein wenig auch zwischen
ihrem Körper und der Luft,
											ihren Schwung.
											Wie dreht sie sich also weiter?
									","
											La bailarina empieza el fouetté
y empuja con el pie para generar torque.
											Pero la parte más difícil
es mantener el giro.
											Con cada vuelta,
											la fricción entre la punta
de la zapatilla y el suelo,
											y la de su cuerpo con el aire
reduce su impulso.
											¿Por lo tanto, cómo sigue girando?
									","
											A bailarina começa o ""fouetté""
pressionando o pé para gerar a rotação.
											Mas a parte mais difícil
é manter a rotação.
											Em cada volta,
											a fricção entre a ponta
da sapatilha e o chão
											e, de certa forma,
entre o corpo dela e o ar,
											reduz o impulso.
											Então, como é que ela
continua a girar?
									","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
","
","
","
","
","
","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
											Entre chaque tour, elle fait une pause
d'une fraction de seconde face au public.
											Son pied d'appui s’aplatit
											et se tord en remontant sur la pointe,
											le pressant contre le sol pour générer
un minuscule nouveau couple.
											Simultanément, elle déploie ses bras 
pour maintenir son équilibre.
											Les rotations sont plus efficaces
si son centre de gravité est immobile
											et une danseuse expérimentée 
maintient son axe de rotation vertical.
									","
											Between each turn, the dancer pauses
for a split second and faces the audience.
											Her supporting foot flattens,
											and then twists as it rises 
back onto pointe,
											pushing against the floor to generate
a tiny amount of new torque.
											At the same time, her arms sweep open
to help her keep her balance.
											The turns are most effective if her center
of gravity stays constant,
											and a skilled dancer will be able to keep
her turning axis vertical.
									","
											Her dönüş arasında,
											dansçı bir an için durur
ve seyirciye döner.
											Destekleyen ayağı düzleşir
											ve tekrar point'e yükselirken döner,
											ayağıyla yere basarak
											küçük bir miktar
yeni dönme momenti yaratır.
											Aynı zamanda kolları da dengesini
korumak için açılır.
											Dönüşler ağırlık merkezi sabit
kaldığında en etkilidir
											ve yetenekli bir dansçı
											bu süreçte dönme aksını dik tutabilir.
									","
											Nach jeder Drehung pausiert die Tänzerin
blitzschnell und schaut zum Publikum.
											Der stützende Fuß
senkt sich und dreht sich,
											wenn er wieder zur Spitze zurückkehrt.
											Dabei drückt er gegen den Boden,
um ein wenig Drehkraft zu erzeugen.
											Zur selben Zeit öffnet sie ihre Arme,
um ihr Gleichgewicht zu halten.
											Die Drehungen sind am effektivsten,
wenn der Schwerpunkt konstant bleibt,
											und eine geübte Tänzerin schafft es,
ihre Drehachse senkrecht zu halten.
									","
											Con cada giro,
											la bailarina para una fracción
de segundo y mira al público.
											Su pie de apoyo se aplana,
											luego da medida vuelta, se eleva de nuevo
en punta sobre sus zapatillas,
											dando un empujón para
generar un poco de torque.
											Al mismo tiempo, tiene los brazos abiertos
para ayudarse a mantener el equilibrio.
											Los giros son más eficaces si su centro
de gravedad se mantiene constante,
											y una bailarina con experiencia
podrá mantener su eje de giro vertical.
									","
											Entre cada volta, a bailarina pausa
uma fração de segundo e encara o público.
											O pé de apoio baixa,
											e eleva-se de novo
na ponta da sapatilha,
											dando um empurrão
para gerar mais rotação.
											Ao mesmo tempo, tem os braços abertos
para ajudar a manter o equilíbrio.
											As voltas são mais bem conseguidas
											se o centro de gravidade
se mantiver constante.
											Uma bailarina com experiência
poderá manter o eixo vertical de rotação.
									","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
","
","
","
","
","
","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
"
											Les bras déployés
et le couple généré par le pied d'appui
											aident à conduire le fouetté.
											Mais le secret, et la raison pour laquelle
vous ne remarquez pas la courte pause,
											est que l'autre jambe
n'interrompt jamais son mouvement.
											Durant la pause,
											la jambe en l'air se tend
et passe du plan frontal au côté
											avant de se replier sur son genou.
											En restant en mouvement, cette jambe garde
une réserve de quantité de mouvement
											pour accomplir le tour.
Quand cette jambe est ramenée au corps,
											cette réserve de quantité de mouvement
est transmise au corps de la danseuse,
											ce qui la propulse 
tandis qu'elle s'élève sur sa pointe.
											Alors que la ballerine déploie et rétracte
sa jambe à chaque tour,
											la quantité de mouvement oscille
entre sa jambe et son corps,
											ce qui la maintient en mouvement.
									","
											The extended arms 
and torque-generating foot
											both help drive the fouetté.
											But the real secret and the reason
you hardly notice the pause
											is that her other leg never stops moving.
											During her momentary pause,
											the dancer's elevated leg straightens
and moves from the front to the side,
											before it folds back into her knee.
											By staying in motion, that leg is storing
some of the momentum of the turn.
											When the leg comes back in 
towards the body,
											that stored momentum gets transferred
back to the dancer's body,
											propelling her around as she rises
back onto pointe.
											As the ballerina extends and retracts
her leg with each turn,
											momentum travels back and forth
between leg and body,
											keeping her in motion.
									","
											Açılmış kollar ve dönme momenti
sağlayan ayak
											fouetté'nin sürdürülmesini sağlar.
											Ama anlık duraklamayı fark
etmememizin asıl sırrı ve nedeni
											diğer ayağın hareketinin
hiç durmamasıdır.
											Anlık duraklaması sırasında,
											dansçının havadaki bacağı
önden yana doğru giderek düzleşir,
											sonra tekrar dizine doğru kıvrılır.
											Bu bacak harekette kalarak
											dönüşün momentinin bir kısmını depolar.
											Bacak tekrar vücuda çekildiğinde
											depolanmış olan moment tekrar
dansçının gövdesine aktarılır
											ve dansçı tekrar point'e yükseldiğinde
ona itici bir kuvvet sağlar.

											Balerin her dönüşle bacağını
uzatıp geri çektikçe
											moment bacak ve gövde 
arasında gidip gelir,
											balerini hareket hâlinde tutar.
									","
											Die gestreckten Arme und
der Drehkraft erzeugende Fuß helfen,
											das Fouetté anzutreiben.
											Man bemerkt die Pause kaum
— und das ist das Geheimnis —,
											da das andere Bein nie aufhört,
sich zu bewegen.
											Während ihrer kurzen Pause
											streckt sich das erhobene Bein
der Tänzerin von vorn zur Seite,
											bevor das Knie wieder gebeugt wird.
											Indem es in Bewegung bleibt,
											speichert das Bein einen Teil
des Drehschwungs.
											Wenn das Bein wieder zum Körper kommt,
											geht die gespeicherte Schwungkraft
wieder in die Tänzerin über
											und dreht sie bei
ihrer Rückkehr zur Spitze.
											Während die Ballerina ihr Bein bei
jeder Drehung streckt und einzieht,
											wandert die Schwungkraft
zwischen Bein und Körper,
											was sie in Bewegung hält.
									","
											Los brazos extendidos
y el torque de los pies
											le ayudan a aumentar su fouetté.
											Pero el secreto y la razón
de que todo esto apenas se note
											es que la otra pierna
nunca deje de moverse.
											Durante su pausa momentánea,
											el pie de la bailarina se endereza
y se mueve hacia delante
											antes de que doble su rodilla.
											Al mantener el movimiento, la pierna
almacena parte del impulso de giro.
											Cuando la pierna se acerca
de nuevo al cuerpo,
											el impulso almacenado se transfiere
de nuevo al cuerpo de la bailarina,
											propulsándola mientras
se eleva de nuevo en punta.
											A medida que la bailarina extiende
y flexiona la pierna con cada giro,
											el impulso viaja entre
su pierna y su cuerpo
											manteniéndola en movimiento.
									","
											Os braços estendidos
e a rotação dos pés
											ajudam-na a aumentar o ""fouetté"".
											Mas o segredo e a razão
por que mal reparamos nesta pausa
											é que a outra perna nunca 
deixa de se mover.
											Durante aquela pausa momentânea,
											a bailarina endireita a perna no ar
e move-a da frente para o lado,
											antes de voltar a dobrá-la
pelo joelho.
											Mantendo-se em movimento,
											aquela perna armazena 
parte do impulso da rotação.
											Quando a perna volta
a ficar contra o corpo,
											esse impulso armazenado
é transferido para o corpo da bailarina,
											impelindo-a a girar
quando ela volta a elevar-se em pontas.
											Quando a bailarina estende
e encolhe a perna, em cada volta,
											o impulso passa de um lado
para o outro, entre a perna e o corpo,
											mantendo-a em movimento.
									","The physics of the ""hardest move"" in ballet",Arleen Sugano,4:16,"TED-Ed,dance,physics,science and art,science,sports"
