en,tr,pt,title,speaker,duration,tags
"
","
","
",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
											Workplace romance can be a tricky topic.
									","
											İş yerinde aşk zor bir konu olabilir.
									","
											O namoro no trabalho pode ser um problema.
									",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
","
","
",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
											(Music)
									","
											(Müzik)
									","
											(Música)
									",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
","
","
",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
											[The Way We Work]
									","
											[Çalışma Şeklimiz]
									","
											[O modo como trabalhamos]
									",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
","
","
",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
											How do we manage the boundaries
											between our personal
and professional lives?
											How do we deal with gender imbalances
and power dynamics in the workplace?
											There's a lot of gray area
in workplace romance.
											I'd like to take a few minutes
											and answer some of your
frequently asked questions.
									","
											Kişisel ve iş yaşamımız
arasındaki sınırları
											nasıl yönetiriz?
											İş yerindeki cinsiyet dengesizliği
ve güç dengeleriyle nasıl baş ederiz?
											İş yerinde aşk konusunda
çok fazla gri alan var.
											Sık sorulan soruları yanıtlamak için
											birkaç dakikanızı alacağım.
									","
											Como podemos gerir os limites
											entre a nossa vida pessoal e o trabalho?
											Como enfrentar diferenças de género?
E a dinâmica de poder no trabalho?
											O romance no trabalho
é uma área de indefinição.
											Gostaria de ter uns minutos
											para responder às
questões mais frequentes.
									",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
","
","
",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
											So, question one:
Should I date my coworker?
											Uh ... it depends.
											Do you want to date
your coworker for a bit of fun?
											Do you want to date
your coworker to hook up?
											Because then you're really
better off on Tinder.
											If you want to date your coworker
											because you really, sincerely think
you're falling in love with them
											or there's a real potential
for a long-term, committed relationship,
											maybe you should date your coworker.
											Studies show that your coworkers
are generally positive about it
											if they perceive
that you're falling in love
											and genuinely care about each other.
											It's when your coworkers sense
that something else is in play —
											that can be disruptive.
									","
											Soru bir:
İş arkadaşımla çıkmalı mıyım?
											Hımm, değişir.
											Eğlence için mi çıkmak istiyorsunuz?
											Takılmak için mi çıkmak istiyorsunuz?
											Öyleyse Tinder daha iyi bir çözüm.
											İş arkadaşınıza
											gerçekten aşık oluyorsanız
											veya ya da uzun dönemli
bir ilişki potansiyeli görüyorsanız
											belki de çıkabilirsiniz.
											Çalışmalar, iş arkadaşlarının, 
aşık olduklarında,
											birbirlerini önemsediklerini 
düşündüklerinde
											bu duruma pozitif baktığını gösteriyor.
											İş arkadaşınız farklı bir durum
olduğunu sezerse
											sonuç yıkıcı olabiliyor.
									","
											Questão 1:
Devo namorar um colega?
											Hum... depende.
											Você quer namorar apenas por diversão?
											Apenas para curtir?
											Pois nesse caso o Tinder seria melhor.
											Se quer namorar um colega
											porque, sinceramente, acha
que se está a apaixonar por ele
											ou porque existe potencial
para um relacionamento a longo prazo,
											então talvez o deva fazer.
											Estudos mostram
que os colegas são recetivos a isso,
											se eles perceberem
que vocês se estão a apaixonar
											e se preocupam mesmo
um com o outro.
											Mas quando os colegas percebem
que há algo mais em jogo,
											isso poderá ser disruptivo.
									",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
"
","
","
",7 common questions about workplace romance,Amy Nicole Baker,5:54,"work,love,work-life balance,relationships,business"
