en,tr,de,title,speaker,duration,tags
"
","
","
",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
											Alright, so I want you to imagine that you
get a text from a friend, and it reads ...
											""You will NOT believe what just happened.
I'm SO MAD right now!""
											So you do the dutiful thing as a friend,
and you ask for details.
											And they tell you a story
about what happened to them
											at the gym or at work
or on their date last night.
											And you listen and you try
to understand why they're so mad.
											Maybe even secretly judge
whether or not they should be so mad.
									","
											Arkadaşınızdan bir mesaj geldiğini 
ve bu mesajda,
											""Ne olduğuna inanmayacaksın.
Çok öfkeliyim!"" yazdığını düşünün.
											Sonrasında bir arkadaş olarak 
hareket edip detayları sorarsınız.
											Onlar da size, spor salonunda, işte
											veya akşamki buluşmalarında
ne olduğunu anlatırlar.
											Dinlersiniz ve neden bu kadar
sinirlendiklerini anlamaya çalışırsınız.
											Belki de sinirli olup olmamaları
konusunda onları yargılarsınız.
									","
											Stellen Sie sich vor, Sie bekommen
folgende Nachricht von einem Freund:
											""Du GLAUBST nicht,
was mir eben passiert ist.
											Ich bin SO WÜTEND!""
											Sie tun, was ein guter Freund eben tut,
und fragen nach Details.
											Ihr Freund erzählt,
was im Fitnessclub, auf der Arbeit
											oder beim gestrigen Date passiert ist.
											Sie hören zu und versuchen zu verstehen,
warum er so sauer ist.
											Insgeheim urteilen Sie vielleicht sogar,
ob seine Wut berechtigt ist.
									",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
","
","
",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
","
","
",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
											And maybe you even offer some suggestions.
											Now, in that moment, you are doing
essentially what I get to do every day,
											because I'm an anger researcher,
											and as an anger researcher, I spend
a good part of my professional life —
											who am I kidding, also my personal life —
											studying why people get mad.
											I study the types of thoughts
they have when they get mad,
											and I even study what they do
when they get mad,
											whether it's getting into fights
or breaking things,
											or even yelling at people
in all caps on the internet.
									","
											Belki çözüm önerisi bile sunabilirsiniz.
											İşte o sırada, gün boyunca benim
yaptığım şeyi yapmış olursunuz,
											çünkü ben bir öfke araştırmanıyım
											ve bir öfke araştırmanı 
olarak iş hayatımın çoğunda,
											kimi kandırıyorum, kişisel
hayatımın da çoğunda
											insanların neden sinirlendiğini 
araştırıyorum.
											Sinirlendiklerinde neler düşündüklerini,
											hatta neler yaptıklarını araştırıyorum;
											kavga mı ediyorlar, 
bir şeyleri mi kırıyorlar
											veya internette büyük
harflerle mi konuşuyorlar.
									","
											Vielleicht geben Sie sogar Ratschläge.
											In diesem Moment tun Sie,
was ich als Wutforscher täglich mache.
											Als Wutforscher ist
ein Großteil meiner Arbeit —
											ach, auch meines Privatlebens —,
											zu erforschen, warum wir wütend werden.
											Ich erforsche, was sie denken, 
wenn sie wütend werden,
											und sogar, was sie dann tun:
											ob sie Streit anfangen, Dinge zerschlagen
											oder andere in Großbuchstaben
im Internet anschreien.
									",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
","
","
",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
","
","
",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
"
											And as you can imagine,
											when people hear I'm an anger researcher,
											they want to talk to me about their anger,
											they want to share with me
their anger stories.
											And it's not because
they need a therapist,
											though that does sometimes happen,
											it's really because anger is universal.
											It's something we all feel
and it's something they can relate to.
											We've been feeling it
since the first few months of life,
											when we didn't get what we wanted
in our cries of protests,
											things like, ""What do you mean
you won't pick up the rattle, Dad,
											I want it!""
									","
											Tahmin edebildiğiniz gibi,
											insanlar öfke araştırmanı
olduğumu duyduğunda
											öfkeleri hakkında konuşmak,
											öfke hikâyelerini anlatmak istiyorlar.
											Bir terapiste ihtiyaçları
olduğundan değil,
											bazen öyle de olabiliyor gerçi ama
											asıl sebep öfkenin evrensel olması.
											Hepimizin hissettiği 
ve anlayabildiği bir şey.
											Hayatımızın ilk aylarında
bir şey isteyip de elde edemediğimizde
											ağladığımız zamanlardan
beri hissediyoruz,
											""Çıngırağı alamayız ne demek baba,
											onu istiyorum!"" gibi.
									","
											Natürlich wollen die Menschen mir
ihre Wutgeschichten erzählen,
											wenn sie erfahren,
dass ich Wutforscher bin.
											Nicht, weil sie einen
Therapeuten nötig hätten —
											obwohl auch das vorkommt.
											Der Grund ist: Wut ist universell.
											Wir alle spüren sie und kennen das Gefühl.
											Schon in den ersten
Lebensmonaten fühlen wir Wut.
											Kriegen wir nicht, was wir wollen,
zeigt sie sich im Protestgeschrei.
											Etwa so: ""Warum hebst du
meine Rassel nicht auf, Papa?""
											""Ich will die Rassel!""
									",Why we get mad — and why it's healthy,Ryan Martin,13:06,"TEDx,evolutionary psychology,evolution,psychology,science,emotions,mental health"
