en,fr,pt,tr,es,title,speaker,duration,tags
"
","
","
","
","
",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
											So, I'm afraid.
											Right now,
											on this stage,
											I feel fear.
											In my life, I ain't met many people
											that will readily admit
when they are afraid.
											And I think that's because deep down,
											they know how easy it spreads.
											See, fear is like a disease.
											When it moves, it moves like wildfire.
											But what happens when,
											even in the face of that fear,
											you do what you've got to do?
											That's called courage.
											And just like fear,
											courage is contagious.
									","
											J'ai peur.
											Maintenant,
											sur cette scène,
											je ressens de la peur.
											Je n'ai pas rencontré
beaucoup de gens
											admettant volontiers quand ils ont peur.
											Je crois que c'est parce qu'au fond,
											ils savent que la peur se propage.
											La peur est comme une maladie.
											Quand elle se déplace,
c'est un feu de forêt.
											Que se passe-t-il quand,
											même face à la peur,
											vous agissez ?
											C'est du courage.
											Comme la peur,
											le courage est contagieux.
									","
											Tenho medo
											Agora mesmo,
											neste palco,
											eu sinto medo.
											Na minha vida, não
conheci muitas pessoas
											que prontamente admitem
que estão assustadas.
											E eu penso que é
porque, lá no fundo,
											elas sabem a facilidade
com que se espalha.
											O medo é como uma doença.
											Quando se move, espalha-se rapidamente.
											Mas o que acontece quando,
											mesmo diante do medo,
											fazemos o que temos que fazer?
											A isso chama-se coragem
											E tal como o medo,
											a coragem é contagiosa.
									","
											Korkuyorum.
											Şimdi,
											bu sahnede,
											korkuyu hissediyorum.
											Hayatımda, korktuğunu kolayca
											itiraf edecek pek fazla insan tanımadım.
											Bence bunun derinlerdeki nedeni,
											onun kolayca yayıldığını biliyor olmaları.
											Korku bir hastalık gibidir.
											Hareket ettiğinde, süratle yayılır.
											Ancak, bu korku karşısında bile
											yapmanız gerekeni
											yaptığınızda ne olur?
											Buna cesaret denir.
											Ve korku gibi,
											cesaret de bulaşıcıdır.
									","
											Veamos, tengo miedo.
											Ahora mismo,
											en este escenario,
											siento temor.
											En mi vida no he conocido mucha gente
											que admita fácilmente que tienen miedo.
											Y en mi opinión, se debe a que en el fondo
											saben lo rápido que se propaga.
											Verán, el miedo es como una enfermedad
											cuando se contagia,
se esparce como fuego fatuo.
											Pero ¿qué sucede cuando,
											enfrentando ese temor,
											haces lo que se debe hacer?
											Eso se llama valentía.
											Y al igual que el miedo,
											el valor es contagioso.
									",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
","
","
","
","
",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
											See, I'm from East St. Louis, Illinois.
											That's a small city
											across the Mississippi River
from St. Louis, Missouri.
											I have lived in and around
St. Louis my entire life.
											When Michael Brown, Jr.,
											an ordinary teenager,
											was gunned down by police in 2014
in Ferguson, Missouri —
											another suburb, but north of St. Louis —
											I remember thinking,
											he ain't the first,
											and he won't be the last young kid
to lose his life to law enforcement.
									","
											Je viens d'East St. Louis,
dans l'Illinois.
											C'est une petite ville
											sur la rive du Mississippi,
face à St. Louis, dans le Missouri.
											J'ai vécu aux alentours de St. Louis
durant toute ma vie.
											Quand Michael Brown,
											un adolescent ordinaire,
											a été tué par la police en 2014
à Ferguson, dans le Missouri —
											une autre banlieue au nord de St. Louis —
											je me souviens avoir pensé
											qu'il n'était ni le premier
											ni le dernier des jeunes gamins
à perdre sa vie aux mains de la police.
									","
											Eu sou de East St. Louis, no Illinois.
											É uma cidade pequena
											do outro lado do rio Mississippi
de St. Louis, no Missouri
											Eu tenho vivido em St. Louis e nos
seus arredores a minha vida inteira.
											Quando o Michael Brown Jr.,
um adolescente vulgar,
											foi abatido a tiro pela polícia, em 2014,
em Ferguson, no Missouri,
											— outro subúrbio,
mas a norte de St. Louis —
											eu lembro-me de pensar:
											""Ele não é o primeiro,
											""e não será o último rapaz
a perder a vida na aplicação da lei"".
									","
											Ben Doğu St. Louis, Illinois'liyim.
											Doğu St.Louis,
											Mississippi Nehri karşısında
yer alan küçük bir şehir.
											Bütün hayatım boyunca St. Louis 
çevresinde yaşadım.
											Michael Brown, Jr.,
											sıradan bir gençken,
											2014 yılında St. Louis'in kuzeyindeki 
Missouri, Ferguson'da bir banliyöde

											polis tarafından vurularak öldürüldü.

											Düşünüyorum da,
											o ilk değil
											ve polisin canını alacağı
son genç çocuk olmayacak.
									","
											Soy de East St. Louis, Illinois.
											Es una ciudad pequeña
											cruzando la rivera del río Mississippi
en St. Louis, Missouri.
											Nací y he vivido en el sector
de St. Louis toda mi vida.
											Cuando Michael Brown, hijo,
											un adolescente normal,
											fue abatido a tiros por la policía en 2014
en Ferguson, Missouri,
											otro suburbio pero al norte de St. Louis,
											recuerdo que pensé,
											no es el primero,
											ni será el último joven que pierda la vida
a manos de las fuerzas del orden.
									",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
","
","
","
","
",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
											But see, his death was different.
											When Mike was killed,
											I remember the powers that be
trying to use fear as a weapon.
											The police response to a community
in mourning was to use force
											to impose fear:
											fear of militarized police,
											imprisonment,
											fines.
											The media even tried
to make us afraid of each other
											by the way they spun the story.
											And all of these things
have worked in the past.
											But like I said,
this time it was different.
									","
											Sa mort était différente.
											Quand Mike a été tué,
											je me souviens du pouvoir
essayant d'utiliser la peur comme arme.
											La réponse de la police face
à une communauté en deuil était la force
											pour imposer la peur :
											la peur de la police militarisée,
											de la prison,
											des amendes.
											Les médias ont voulu
nous faire avoir peur des autres
											par leur narration de l'histoire.
											Toutes ces choses
ont marché dans le passé.
											Comme je l'ai dit,
cette fois-ci, c'était différent.
									","
											Mas a morte dele foi diferente.
											Quando o Mike foi morto,
											lembro-me que as forças tentaram
usar o medo como uma arma.
											A resposta da polícia para a
comunidade de luto foi usar a força
											para impor medo:
											medo da polícia militarizada,
											da detenção, de sanções
											Os ""media"" tentaram fazer-nos
ter medo uns dos outros,
											pela maneira como
distorceram a história.
											E todas estas coisas
funcionaram no passado.
											Mas como eu disse,
desta vez era diferente.
									","
											Ama biliyorsunuz, onun ölümü farklıydı.
											Mike öldürüldüğünde,
											korkuyu bir silah olarak kullanmaya 
çalışan güçleri hatırlıyorum.
											Yas içindeki bir topluluğa polisin müdahalesi, 
korkuyu empoze etmek için

											kuvvet kullanmak oldu:
											askeri polis korkusu,
											hapis cezası,
											para cezası.
											Hatta Medya birbirimizden
korkmamıza da uğraştı,
											hikayeler uydurma yoluyla.
											Bunların hepsi geçmişte işe yaradı.
											Ancak, söylediğim gibi, bu defa farklıydı.
									","
											Pero su muerte fue diferente.
											Cuando mataron a Mike,
											recuerdo al poder oficial
tratando de usar el miedo como arma.
											La policía, ante una comunidad en luto,
respondió con el uso de la fuerza
											para infundir miedo:
											a una fuerza militarizada,
											al encarcelamiento,
											a las multas.
											La prensa incluso trató de provocar
que nos temiéramos unos a otros
											por la forma de presentar la historia.
											Y este tipo de cosas
ya había resultado antes.
											Pero como dije, esta vez fue diferente.
									",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
","
","
","
","
",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
											Michael Brown's death and the subsequent
treatment of the community
											led to a string of protests in and around
Ferguson and St. Louis.
											When I got out to those protests
about the fourth or fifth day,
											it was not out of courage;
											it was out of guilt.
											See, I'm black.
											I don't know if y'all noticed that.
									","
											La mort de Michael Brown et le traitement
ultérieur de la communauté
											ont mené à une série de manifestations
aux alentours de Ferguson et St. Louis.
											Quand je suis allé à ces manifestations,
le quatrième ou cinquième jour,
											ce n'était pas par courage ;
											c'était par culpabilité.
											Je suis noir.
											Je ne sais pas si vous l'avez vu.
									","
											A morte do Michael Brown
e o tratamento posterior da comunidade
											levaram a uma série de protestos
dentro e fora de Ferguson e St. Louis.
											Quando fui a esses protestos,
por volta do quarto ou quinto dia;
											não foi por coragem;
											mas por um sentimento de culpa.
											Sou negro.
											Não sei se vocês repararam nisso.
									","
											Michael Brown'ın ölümü ve sonrasında 
toplumun yaklaşımı,
											Ferguson ve St.Louis çevresinde 
bir dizi protestoya yol açtı.
											Dördüncü veya beşinci gün
o protestolara gittiğimde,
											cesaretten dolayı değildi;
											suçluluktan dolayı idi.
											Gördüğünüz gibi zenciyim.
											Hepiniz fark ettiniz mi bilmiyorum.
									","
											La muerte de Michael Brown 
y la forma en que trataron a la comunidad
											desató una ola de protestas en Ferguson,
St. Louis y en sus alrededores.
											Cuando salí a esas protestas
cerca del cuarto o quinto día,
											no fue por valentía.
											Fue por culpa.
											Como ven, soy negro.
											No sé si lo notaron.
									",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
","
","
","
","
",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Risas)
									",Courage is contagious,Damon Davis,5:25,"activism,art,film,community,fear,inequality,protests,race,TED Fellows,social change"
