en,fr,es,tr,pt,title,speaker,duration,tags
"
","
","
","
","
",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
											Hercules, son of Zeus 
and champion of humankind,
											gazed in horror as he realized
											he had just committed 
the most unspeakable crime imaginable.
											The goddess Hera, who hated Hercules 
for being born of her husband’s adultery,
											had stricken him 
with a temporary curse of madness.
											And his own family were the casualties.
									","
											Hercule, fils de Zeus
et champion de l'humanité,
											fut saisi d'horreur lorsqu'il comprit
											qu'il venait de commettre
le plus innommable des crimes.
											La déesse Héra, qui haïssait Hercule
											parce qu'il était le fils
de l'adultère de son mari,
											l'avait frappé
d'un accès de folie passager.
											Et les victimes furent sa propre famille.
									","
											Hércules, hijo de Zeus
y salvador de la humanidad,
											fue presa del horror 
cuando cayó en la cuenta
											de que había cometido el crimen
más terrible que se pueda imaginar.
											La diosa Hera, que odiaba a Hércules
por ser hijo del adulterio de su esposo,
											lo había castigado
con una demencia temporal.
											Y fue víctima de ello 
la propia familia del héroe.
									","
											Zeus'un oğlu,
insan türünün şampiyonu Herkül
											hayal bile edemeyeceği
											en acımasız suçu işlediğini anladığında
dehşete kapıldı.
											Herkül'den kocasının zinalanmasından
dolayı nefret eden tanrıça Hera,
											geçici bir delilik laneti ile
onu darmadağın etmişti.
											Kendi ailesi ise ölmüştü.
									","
											Hércules — filho de Zeus
e paladino da humanidade —
											ficou horrorizado quando percebeu
											que acabara de praticar o mais abominável
dos crimes que se possa imaginar.
											A deusa Hera, que odiava Hércules
por ele ser fruto do seu marido adúltero,
											lançara-lhe uma maldição
temporária de loucura.
											As vítimas foram a família dele.
									",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
","
","
","
","
",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
											Consumed by grief, Hercules sought out 
the Oracle of Delphi,
											who told him the path to atonement lay
with his cousin,
											King Eurystheus of Tiryns, 
a favorite of Hera’s.
											Eurystheus hoped to humiliate Hercules 
with ten impossible tasks
											that pitted him against 
invincible monsters
											and unfathomable forces.
											Instead, the king set the stage 
for an epic series of adventures
											that would come to be known 
as the Labors of Hercules.
									","
											Rongé par le chagrin, Hercule
alla trouver l'oracle de Delphes,
											qui lui dit que le chemin vers l'expiation
se trouvait chez son cousin,
											le roi Eurysthée de Tirynthe,
l'un des favoris d'Héra.
											Eurysthée espérait humilier Hercule
avec dix tâches impossibles
											qui allaient l'opposer à 
des monstres invincibles
											et à des forces inimaginables.
											Mais en réalité le roi mit en place
une épique série d'aventures
											qui seraient connues sous le nom
de Travaux d'Hercule.
									","
											Consumido por el dolor, Hércules
consultó el oráculo de Delfos,
											tras lo cual supo que para expiar 
su culpa debía acudir a su primo,
											el rey Euristeo de Tirinto,
favorito de Hera.
											Euristeo decidió humillar a Hércules
con diez trabajos imposibles
											que lo enfrentarían
a monstruos invencibles
											y fuerzas inconmensurables.
											Pero, en realidad, el rey preparó
el escenario de una serie de aventuras
											que se conocerían con el nombre
de ""los trabajos de Hércules"".
									","
											Kederin tükettiği Herkül,
telafi etmenin yolunun
											Hera'nın favorisi
Tiryns Kralı Eurystheus'tan geçtiğini
											söyleyen Delphi'nin kahinini
aramaya başladı.
											Eurystheus, Herkül'ü,
onu yenilmez canavarlara
											ve aşılmaz güçlere karşı çektiği
on imkansız görevle
											küçük düşürmeyi umuyordu.
											Bunun yerine kral,
Herkül'ün Görevleri olarak bilinen
											epik bir serüven serisinin
sahnesini kurdu.
									","
											Consumido pela dor, Hércules
consultou o Oráculo de Delfos
											que lhe indicou que a via para a expiação
passava pelo seu primo,
											o rei Euristeu de Tirinto,
um protegido de Hera.
											Euristeu esperava humilhar Hércules
com dez tarefas impossíveis
											que o colocariam perante
monstros invencíveis
											e forças incomensuráveis.
											Em vez disso, o rei preparou tudo
para uma série épica de aventuras
											que viriam a ser conhecidas
pelos Trabalhos de Hércules.
									",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
","
","
","
","
",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
											The first labor was 
to slay the Nemean Lion,
											who kidnapped women 
and devoured warriors.
											Its golden fur was impervious to arrows,
											but Hercules cornered 
the lion in its dark cave,
											stunned it with a club,
											and strangled it with his bare hands.
											He found no tool sharp enough 
to skin the beast,
											until the goddess Athena suggested 
using one of its own claws.
											Hercules returned to Tiryns 
wearing the lion’s hide,
											frightening King Eurystheus so much 
that he hid in a wine jar.
											From then on, Hercules was ordered
											to present his trophies 
at a safe distance.
									","
											Le premier travail consistait
à tuer le Lion de Némée,
											qui enlevait des femmes
et dévorait des guerriers.
											Les flèches ne pouvaient pas
transpercer sa fourrure d'or,
											mais Hercule enferma
le lion dans sa cave ténébreuse,
											l'assomma avec une massue
											et l'étouffa à main nue.
											Il ne trouva pas d'outil assez tranchant
pour écorcher la peau de la bête,
											jusqu'au moment où la déesse Athéna
											lui suggéra d'utiliser
l'une des griffes du lion.
											Hercule retourna à Tirynthe
vêtu de la peau du lion.
											Le roi Eurysthée en fut si terrifié
qu'il se cacha dans une jarre de vin.
											À partir de là, il ordonna à Hercule
											de présenter ses trophées
à une distance raisonnable.
									","
											El primer trabajo fue 
matar al león de Nemea,
											que secuestraba mujeres
y devoraba guerreros.
											Tenía un pelaje dorado
invulnerable a las flechas,
											pero Hércules arrinconó
al león en su oscura cueva,
											lo golpeó con un garrote
											y lo estranguló con sus propias manos.
											Sin disponer de ningún instrumento 
filoso para quitarle la piel,
											la diosa Atenea le sugirió
usar una de sus garras.
											Hércules regresó a Tirinto
cubierto con la piel del león,
											causándole tal susto al rey Euristeo
que debió ocultarse en una vasija de vino.
											Desde entonces, Hércules 
recibió la orden
											de presentar sus trofeos
a una distancia prudencial.
									","
											İlk görev kadınları kaçıran
ve savaşçıları yutan
											Nemea Aslanı'nı öldürmekti.
											Oklar altın kürkünden geçemezdi
											fakat Herkül aslanı kendi
karanlık mağarasında tuzağa düşürdü,
											bir sopa ile sersemletti
											ve çıplak elleriyle boğdu.
											Canavarın derisini yüzmek için
yeterince keskin bir şey bulamadığında
											Tanrıça Athena hayvanın pençelerinden
birini kullanmasını tavsiye etti.
											Herkül Tiryn'e aslanın postunu
giymiş bir şekilde döndü
											ve Kral Eurystheus o kadar korktu ki
bir şarap fıçısına saklandı.
											O andan itibaren Herkül'e
											kupalarını güvenli bir mesafede
sunması emredildi.
									","
											A primeira tarefa
foi matar o leão de Nemeia
											que raptava mulheres
e devorava guerreiros.
											A sua pelagem dourada
era impenetrável às flechas,
											mas Hércules encurralou
o leão na sua gruta escura,
											atordoou-o com uma clava
											e estrangulou-o com as mãos nuas.
											Não encontrou nenhuma arma
bastante afiada para esfolar o animal,
											até que a deusa Atena lhe sugeriu
usar uma das garras do leão.
											Hércules regressou a Tirinto
usando a pele do leão,
											assustando tanto o rei Euristeu
que se escondeu numa talha de vinho.
											Depois disso, Hércules recebeu ordens
											de apresentar os seus troféus
a uma distância segura.
									",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
","
","
","
","
",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
											The second target was the Lernaean Hydra,
a giant serpent with many heads.
											Hercules fought fiercely,
											but every time he cut one head off,
two more grew in its place.
											The battle was hopeless
											until his nephew Iolaus thought 
to cauterize the necks with fire,
											keeping the heads from regrowing.
											The dead serpent’s remains 
became the Hydra constellation.
									","
											Le deuxième travail
était l'Hydre de Lerne,
											un serpent géant à plusieurs têtes.
											Hercule lutta farouchement,
											mais à chaque fois qu'il coupait une tête,
deux autres poussaient à sa place.
											La bataille était désespérée,
											jusqu'à ce que son neveu Iolas
pense à cautériser les cous avec du feu,
											empêchant ainsi les têtes de repousser.
											Les restes du serpent mort
devinrent la constellation d'Hydra.
									","
											El segundo desafío fue la hidra de Lerna,
una enorme serpiente de varias cabezas.
											Hércules luchó ferozmente contra ella,
											pero cada vez que cortaba una cabeza,
otras dos crecían en su lugar.
											La batalla parecía perdida,
											hasta que su sobrino Yolao le sugirió 
cauterizar los cuellos con fuego
											para impedir que las cabezas
volvieran a crecer.
											Los restos de la serpiente 
se transformaron en la constelación Hidra.
									","
											İkinci görev, çok kafalı bir yılan olan
Lerne Hydra’sıydı.
											Herkül şiddetli bir şekilde dövüştü
											fakat yılanın her bir kafasını kopardığı
zaman yerinde iki tane kafa bitiyordu.
											Yeğeni Iolaus,
											başların tekrar çıkmasını engellemek için
ateş ile boynunu dağlamayı söyleyene kadar
											kavga umutsuzdu.
											Yılandan geriye kalanlar
Hydra takımyıldızı oldu.
									","
											O segundo objetivo foi a Hidra de Lerna,
											uma serpente gigantesca
com muitas cabeças.
											Hércules combateu ferozmente
											mas, sempre que cortava uma cabeça,
cresciam outras duas no mesmo lugar.
											A batalha era impossível
											até que o seu sobrinho Iolau lhe sugeriu
cauterizar os pescoços com fogo,
											impedindo que as cabeças
renascessem.
											Os restos da serpente morta
transformaram-se na constelação da Hidra.
									",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
","
","
","
","
",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
"
											Instead of slaying a beast, 
Hercules next had to catch one, alive.
											The Ceryneian Hind was a female deer 
so fast it could outrun an arrow.
											Hercules tracked it for a year,
											finally trapping it in the northern land 
of Hyperborea.
											The animal turned out to be sacred 
to Artemis, goddess of the hunt,
											and Hercules swore to return it.
											When Eurystheus saw the hind, 
he demanded to keep it instead,
											but as soon as Hercules let go,
the animal ran to its mistress.
											Thus, Hercules completed his task 
without breaking his promise.
									","
											Au lieu de tuer une bête, Hercule dut
ensuite en capturer une, vivante.
											La biche de Cérynie était si rapide
qu'elle allait plus vite qu'une flèche.
											Hercule la poursuivit pendant un an
											et la prit finalement au piège 
dans les terres nordiques d'Hyperborée.
											L'animal était en fait sacré 
pour Artémis, déesse de la chasse,
											et Hercule jura de le lui rendre.
											Lorqu'Eurysthée vit la biche,
il voulut la garder,
											mais dès qu'Hercule la lâcha,
l'animal courut rejoindre sa maîtresse.
											Ainsi Hercule accomplit-il sa tâche
sans rompre sa promesse.
									","
											En vez de matar a una bestia, la siguiente
tarea consistió en capturarla con vida.
											La cierva de Cerinea
era un animal tan rápido
											que podía superar 
la velocidad de una flecha.
											Hércules estuvo tras ella durante un año,
											y finalmente la atrapó en las tierras
de Hiperbórea, en el norte.
											Pero la cierva era el animal sagrado 
de Artemisa, diosa de la caza,
											por lo que Hércules prometió regresársela.
											Cuando Euristeo vio la cierva, 
ordenó que se la entregase,
											pero en cuanto Hércules la soltó,
el animal huyó para unirse a su ama.
											De este modo, Hércules cumplió 
con su tarea sin romper su promesa.
									","
											Öldürmek yerine, Herkül 
bir sonraki canavarı canlı yakalayacaktı.
											Keryneia Geyiği o kadar hızlıydı ki
bir oktan daha hızlı koşabilirdi.
											Herkül bir yıl boyunca onu takip etti,
											sonunda Hyperboreios'in kuzey
topraklarında buldu.
											Hayvanın Av Tanrısı Artemis
için kutsal olduğu ortaya çıktı
											ve Herkül geri getireceğine söz verdi.
											Eurystheus geyiği gördüğünde
onu tutmaya karar verdi
											fakat Herkül gider gitmez hayvan
sahibesine geri döndü.
											Böylece, Herkül sözünü
bozmadan görevini yerine getirdi.
									","
											A seguir, em vez de matar uma fera,
Hércules tinha de apanhar uma, viva.
											A Corça de Cerineia era uma corça
mais rápida que uma flecha.
											Hércules perseguiu-a durante um ano
											e, por fim, apanhou-a a norte,
na terra dos Hiperbóreos.
											Acontece que a corça era sagrada
para Artemis, a deusa da caça,
											e Hércules jurou devolver-lha.
											Quando Euristeu viu a corça,
exigiu ficar com ela,
											mas logo que Hércules a soltou,
o animal correu para a sua dona.
											Assim, Hércules cumpriu a tarefa
sem quebrar a sua promessa.
									",The myth of Hercules,Alex Gendler,7:42,"history,TED-Ed,culture,world cultures,death,war"
