de,en,es,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
","
","
","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
											(Musik)
									","
											(Music)
									","
											(Música)
									","
											(Musique)
									","
											(Música)
									","
											(Müzik)
									","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
","
","
","
","
","
","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
											Guten Tag.
									","
											Good afternoon.
									","
											Buenas tardes.
									","
											Bonsoir
									","
											Boa tarde.
									","
											İyi akşamlar.
									","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
","
","
","
","
","
","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
											Wie Sie alle wissen, stehen wir 
vor wirtschaftlich schwierigen Zeiten.
											Ich möchte Ihnen einen bescheidenen Vorschlag
											für die Erleichterung der finanziellen Belastung machen.
									","
											As you're all aware, we face difficult economic times.
											I come to you with a modest proposal
											for easing the financial burden.
									","
											Como todos saben, nos enfrentamos
a tiempos económicos difíciles.
											Les traigo una modesta propuesta
											para aligerar la carga financiera.
									","
											Comme vous le savez tous, 
nous faisons face à une crise économique.
											Je me présente à vous 
avec une proposition modeste
											pour alléger le fardeau financier.
									","
											Como sabem, enfrentamos
tempos económicos difíceis.
											Venho apresentar-vos 
uma proposta modesta
											para diminuir o fardo financeiro.
									","
											Hepinizin farkında olduğu gibi, zorlu ekonomik zamanlarla karşı karşıyayız.
											Ben finansal yükleri hafifletecek
											mütevazi bir teklifle geldim.
									","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
","
","
","
","
","
","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
											Diese Idee kam mir während eines Gesprächs
											mit einem Freund, der Physiker am MIT ist.
											Er hat versucht, mir etwas zu erklären:
											ein schönes Experiment, das 
Laser zum Abkühlen von Materie benutzt.
											Er hat mich gleich am Anfang verwirrt,
											weil Licht Dinge nicht abkühlt.
											Es macht es heißer. Das passiert auch jetzt grade.
											Der Grund dafür, dass Sie mich hier sehen können, ist,
											dass dieser Raum mit mehr als 
100 Trillionen Photonen gefüllt ist,
											die sich zufällig fast mit Lichtgeschwindigkeit 
durch den Raum bewegen.
											Alle von ihnen haben verschiedene Farben,
											sie haben unterschiedliche Frequenzen
											und sie prallen an jeder Oberfläche ab, auch an mir.
											Einige von ihnen fliegen direkt in Ihre Augen
											und deshalb bildet Ihr Gehirn ein Bild von mir, 
wie ich hier stehe.
									","
											This idea came to me while talking to
											a physicist friend of mine at MIT.
											He was struggling to explain something to me:
											a beautiful experiment that uses lasers to cool down matter.
											Now he confused me from the very start,
											because light doesn't cool things down.
											It makes it hotter. It's happening right now.
											The reason that you can see me standing here is because
											this room is filled with more than 100 quintillion photons,
											and they're moving randomly through the space, near the speed of light.
											All of them are different colors,
											they're rippling with different frequencies,
											and they're bouncing off every surface, including me,
											and some of those are flying directly into your eyes,
											and that's why your brain is forming an image of me standing here.
									","
											Esta idea se me ocurrió hablando
											con un físico amigo mío del MIT.
											Le estaba costando explicarme una cosa:
											un bonito experimento que 
usa láseres para enfriar materia.
											Me confundió desde el principio,
											porque la luz no enfría las cosas.
											Las calienta. Está pasando ahora mismo.
											La razón de que me puedan ver aquí de pie
											es que esta sala está llena de más 
de 100 quintillones de fotones
											que se mueven al azar a través del aire, 
a una velocidad cercana a la de la luz.
											Son todos de distintos colores,
											vibran a distintas frecuencias,
											y rebotan en todas las superficies, 
incluyéndome a mí,
											y algunos vuelan directamente a sus ojos,
											y por eso sus cerebros forman 
una imagen de mí aquí de pie.
									","
											Cette idée m'est venue 
alors que je discutais
											avec un ami physicien du MIT
											Il s'efforçait de m'expliquer une chose :
											une merveilleuse expérience qui utilise 
un laser pour refroidir la matière.
											Au début, j'étais déconcerté,
											parce que la lumière 
ne refroidit pas les choses.
											Elle les réchauffe. 
C'est ce qui se passe en ce moment.
											La raison pour laquelle 
vous pouvez me voir ici est que
											cette pièce est remplie 
de plus de 100 quintillions de photons,
											et ils bougent de manière aléatoire dans l'espace, 
à une vitesse proche de celle de la lumière.
											Tous ces éléments 
sont de couleurs différentes,
											ils ondulent à différentes fréquences,
											et ils rebondissent sur 
toutes les surfaces, moi inclus,
											et certains s'envolent 
directement dans vos yeux,
											et c'est pour ça que votre cerveau 
forme une image de moi me tenant devant vous.
									","
											Esta ideia surgiu-me
quando falava
											com um físico amigo,
no MIT.
											Ele estava a ter dificuldade
em explicar-me uma coisa:
											uma bela experiência
que usa ""lasers"" para arrefecer a matéria.
											Ele deixou-me confuso
desde o início,
											porque a luz não
arrefece as coisas.
											Aquece-as. 
Está a acontecer agora mesmo.
											A razão por que 
me conseguem ver aqui
											é que esta sala está cheia 
com mais de 100 triliões de fotões
											e eles movem-se aleatoriamente através
do espaço, quase à velocidade da luz.
											Todos eles são cores diferentes,
											ondulam a frequências diferentes,
											e fazem ricochete em todas as superfícies,
inclusive em mim,
											e alguns voam diretamente
para os vossos olhos,.
											É por isso que o vosso cérebro está
a formar uma imagem de mim, aqui de pé.
									","
											Bu fikir aklıma MIT'deki fizikçi
											bir arkadaşımla konuşurken geldi.
											Bana bir şeyler açıklamaya çabalıyordu:
											Maddeyi soğutmak için lazerleri kullanan güzel bir deney.
											Beni ilk başlarda çok şaşırtmıştı;
											çünkü ışık eşyaları soğutmaz.
											Isıtır. Şu anda da oluyor.
											Sizin beni burada ayakta duruyor olarak görebilmenizin sebebi
											bu odanın 100 kentilyondan fazla foton ile dolu olması
											ve onlar uzayda gelişigüzel olarak ışık hızına yakın bir hızda hareket ediyorlar.
											Hepsi farklı renklerde,
											farklı frekanslarda hafifçe dalgalanıyorlar
											ve ben de dahil her yüzeye çarpıp geri sıçrıyorlar,
											bazıları direkt olarak gözünüze doğru uçuyorlar,
											ve bu nedenle beyniniz, benim burada ayakta duran bir görüntümü oluşturuyor.
									","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
","
","
","
","
","
","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
"
											Ein Laser ist da anders.
											Er nutzt auch Photonen, aber sie sind genau synchronisiert,
											und wenn Sie sie in einem Strahl konzentrieren,
											bekommen Sie ein unglaublich nützliches Werkzeug.
											Die Steuerung des Lasers ist so präzise,
											dass Sie im Auge operieren können,
											dass Sie große Mengen an Daten damit speichern können,
											und dass Sie ihn für dieses schöne 
Experiment nutzen können,
											das mein Freund mir zu erklären versucht hat.
											Zuerst fangen Sie Atome in einer speziellen Flasche.
											Es verwendet elektromagnetische Felder, um die Atome
											vom Lärm der Umwelt zu isolieren.
											Und die Atome selbst toben ganz schön,
											aber wenn Sie Laser abfeuern, die genau 
auf die richtige Frequenz abgestimmt sind,
											wird ein Atom kurz die Photonen absorbieren
											und dazu neigen langsamer zu werden.
											Es wird allmählich kälter,
											bis es schließlich den absoluten Nullpunkt erreicht.
									","
											Now a laser is different.
											It also uses photons, but they're all synchronized,
											and if you focus them into a beam,
											what you have is an incredibly useful tool.
											The control of a laser is so precise
											that you can perform surgery inside of an eye,
											you can use it to store massive amounts of data,
											and you can use it for this beautiful experiment
											that my friend was struggling to explain.
											First you trap atoms in a special bottle.
											It uses electromagnetic fields to isolate the atoms
											from the noise of the environment.
											And the atoms themselves are quite violent,
											but if you fire lasers that are precisely tuned to the right frequency,
											an atom will briefly absorb those photons
											and tend to slow down.
											Little by little it gets colder
											until eventually it approaches absolute zero.
									","
											Pero un láser es distinto.
											También usa fotones, pero todos están sincronizados,
											y si los enfocamos en un rayo,
											lo que tenemos es 
una herramienta increíblemente útil.
											El control de un láser es tan preciso
											que se puede realizar una cirugía dentro de un ojo,
											se puede usar para almacenar 
cantidades enormes de datos,
											y se puede usar en este bonito experimento
											que mi amigo intentaba explicar.
											Para empezar, atrapamos átomos 
en un frasco especial.
											Usa campos electromagnéticos para aislarlos
											del ruido ambiental.
											Y los átomos en sí son bastante violentos,
											pero si disparamos láseres sintonizados 
exactamente a la frecuencia correcta,
											un átomo absorbe brevemente esos fotones,
											que tienden a ralentizarse.
											Poco a poco se va enfriando
											hasta que finalmente se acerca al cero absoluto.
									","
											Un laser, c'est différent.
											Il utilise également des photons, 
mais ils sont tous synchronisés,
											et si vous les concentrez en un rayon,
											ce que vous avez est 
un outil incroyablement utile.
											Le contrôle d'un laser est si précis
											qu'il vous permet de réaliser 
de la chirurgie oculaire,
											vous pouvez l'utiliser pour stocker 
une énorme quantité de données,
											et vous pouvez l'utiliser 
pour cette merveilleuse expérience
											que mon ami s'efforçait de m'expliquer.
											En premier lieu, vous capturez des atomes 
dans une bouteille spéciale,
											Ceci nécessite l'usage de champs magnétiques 
pour isoler les atomes
											des interférences de l'environnement.
											Et les atomes eux-mêmes 
sont assez violents,
											mais si vous allumez des lasers qui sont 
précisément paramétrés à la bonne fréquence,
											un atome va brièvement 
absorber ces photons
											et avoir tendance à ralentir.
											Petit à petit, il va refroidir,
											jusqu'à finalement
approcher le zéro absolu.
									","
											Agora, um ""laser"" é diferente.
											Também usa fotões,
mas estão todos sincronizados,
											e se os concentrarmos num raio,
											o que obtemos é uma ferramenta
incrivelmente útil.
											O controlo de um ""laser""
é tão preciso
											que podemos fazer uma operação cirúrgica 
no interior de um olho,
											podemos armazenar 
quantidades maciças de dados,
											e podemos usá-lo para fazer
esta bela experiência
											que o meu amigo me tentava explicar.
											Primeiro, capturamos átomos
numa garrafa especial.
											Ela usa campos eletromagnéticos 
para isolar os átomos
											do ruído do ambiente.
											E os próprios átomos
são bastante violentos,
											mas se dispararmos ""lasers"" que
estejam sintonizados na frequência certa,
											um átomo rapidamente absorve
esses fotões
											e tende a abrandar.
											Aos poucos, vai arrefecendo,
											até que acaba
por se aproximar do zero absoluto.
									","
											Lazer ise farklıdır.
											O da fotonları kullanır fakat hepsi senkronize olmuştur
											ve eğer lazerleri bir ışına odaklarsanız,
											inanılmaz kullanışlı bir alet elde etmiş olursunuz.
											Lazerin kontrolü öyle kusursuz ki
											göz ameliyatı yapabilir,
											çok büyük miktarda veriyi depolamak için kullanabilir
											ve arkadaşımın açıklamakta zorlandığı
											bu güzel deney için kullanabilirsiniz.
											İlk olarak atomları özel bir şişe içine sıkıştırırsınız.
											Bu şişe, atomları çevrenin gürültüsünden yalıtmak için
											elektromanyetik alanları kullanır.
											Ve atomların kendisi hayli şiddetlidir,
											ama doğru sıklıklarla tam olarak ayarlanan lazerleri ateşlerseniz,
											bir atom bu fotonları kısa süreliğine emecek
											ve yavaşlama eğilimi gösterecektir.
											Sonunda sıfır noktasına
											ulaşıncaya kadar yavaş yavaş soğur.
									","Dance vs. powerpoint, a modest proposal",John Bohannon,11:17,"TEDx,biology,dance,entertainment,physics,presentation,science,technology,science and art"
