en,fr,title,speaker,duration,tags
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											[This talk contains mature content]
									","
											[Cette intervention contient
du contenu réservé aux adultes]
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											Moritz Riesewieck: On March 23, 2013,
											users worldwide
discovered in their news feed
											a video of a young girl
being raped by an older man.
											Before this video
was removed from Facebook,
											it was already shared 16,000 times,
											and it was even liked 4,000 times.
											This video went viral
and infected the net.
									","
											Moritz Riesewieck : Le 23 mars 2013,
											des utilisateurs du monde entier
ont découvert dans leur fil d'actualités
											la vidéo d'une jeune fille
se faisant violer par un homme plus âgé.
											Avant que cette vidéo
ne soit retirée de Facebook,
											elle avait déjà été partagée 16 000 fois
											et avait même été aimée 4 000 fois.
											La vidéo est devenue virale
et a infecté internet.
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											Hans Block: And that was the moment
we asked ourselves
											how could something like this
get on Facebook?
											And at the same time,
why don't we see such content more often?
											After all, there's a lot
of revolting material online,
											but why do we so rarely see such crap
on Facebook, Twitter or Google?
									","
											Hans Block : C'est le moment
où nous nous sommes demandé :
											comment une telle chose
a-t-elle pu arriver sur Facebook ?
											Et en même temps,
											pourquoi ne voyons-nous pas
des contenus similaires plus souvent ?
											Il y a beaucoup de contenus
révoltants en ligne,
											mais pourquoi voyons-nous si rarement
											de telles merdes
sur Facebook, Twitter ou Google ?
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											MR: While image-recognition software
											can identify the outlines
of sexual organs,
											blood or naked skin in images and videos,
											it has immense difficulties
to distinguish pornographic content
											from holiday pictures, Adonis statues
											or breast-cancer screening campaigns.
											It can't distinguish
Romeo and Juliet dying onstage
											from a real knife attack.
											It can't distinguish satire
from propaganda
											or irony from hatred,
and so on and so forth.
											Therefore, humans are needed to decide
											which of the suspicious content
should be deleted,
											and which should remain.
									","
											MR : Si les logiciels
de reconnaissance des images
											peuvent identifier l’esquisse
d'organes sexuels,
											de sang ou de peau nue
dans des images et des vidéos,
											ils ont d'immenses difficultés
à distinguer du contenu pornographique
											de photos de vacances, de statues d'Adonis
											ou de campagnes de dépistage
du cancer du sein.
											Ils ne peuvent pas distinguer
Roméo et Juliette mourant sur scène
											d'une vraie attaque au couteau.
											Ils ne peuvent pas distinguer
la satire de la propagande
											ou l'ironie de la haine et ainsi de suite.
											Par conséquent, des êtres humains
sont nécessaires pour décider
											quels contenus suspicieux
doivent être supprimés
											et lesquels doivent être conservés.
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											Humans whom we know almost nothing about,
											because they work in secret.
											They sign nondisclosure agreements,
											which prohibit them
from talking and sharing
											what they see on their screens
and what this work does to them.
											They are forced to use code words
in order to hide who they work for.
											They are monitored
by private security firms
											in order to ensure
that they don't talk to journalists.
											And they are threatened by fines
in case they speak.
											All of this sounds
like a weird crime story,
											but it's true.
											These people exist,
											and they are called content moderators.
									","
											Des êtres humains au sujet desquels
nous ne savons presque rien
											car ils travaillent dans le secret.
											Ils signent des accords de confidentialité
											qui leur interdisent
de parler ou de partager
											ce qu'ils voient sur leur écran
et ce que ce travail leur fait.
											Ils sont obligés d'utiliser des codes
pour dissimuler pour qui ils travaillent.
											Ils sont surveillés par des sociétés
de sécurité privée
											afin d'assurer qu'ils ne parlent pas
à des journalistes.
											Ils sont menacés d'amende s'ils parlent.
											Tout cela semble être
une histoire policière étrange,
											mais c'est vrai.
											Ces gens existent
											et ils sont appelés
modérateurs de contenu.
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											HB: We are the directors of the feature
documentary film ""The Cleaners,""
											and we would like to take you
											to a world that many of you
may not know yet.
											Here's a short clip of our film.
									","
											HB : Nous sommes les réalisateurs
du documentaire « The Cleaners »
											et nous aimerions vous emmener
											dans un monde que beaucoup
ne connaissent pas encore.
											Voici un court extrait de notre film.
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											(Music)
									","
											(Musique)
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
											(Video) Moderator: I need to be anonymous,
because we have a contract signed.
											We are not allowed to declare
whom we are working with.
											The reason why I speak to you
											is because the world should know
that we are here.
											There is somebody
who is checking the social media.
											We are doing our best
to make this platform
											safe for all of them.
											Delete.
											Ignore.
											Delete.
											Ignore.
											Delete.
											Ignore.
											Ignore.
											Delete.
									","
											(Vidéo) Modérateur : Je dois être anonyme
car nous avons signé un contrat.
											Nous n'avons pas le droit de déclarer
avec qui nous travaillons.
											Je vous parle
											car le monde devrait savoir
que nous existons.
											Il y a quelqu'un qui vérifie
les réseaux sociaux.
											Nous faisons de notre mieux
pour rendre cette plateforme
											sûre pour tous.
											Supprimer.
											Ignorer.
											Supprimer.
											Ignorer.
											Supprimer.
											Ignorer.
											Ignorer.
											Supprimer.
									","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
"
","
","The price of a ""clean"" internet",Hans Block and Moritz Riesewieck,15:37,"TEDx,social media,web,society,activism,social change,Internet,technology"
