en,pt,title,speaker,duration,tags
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
											Me Too and Time's Up have highlighted
											that harassment and discrimination
are a shockingly common part
											of many people's lived reality,
											and that this reality
extends into the workplace.
											Whether in tech or finance,
sports or the service industry,
											every day we seem to hear another story
about an abuse of power
											or another grossly inappropriate
workplace behavior.
											People are furious.
											They're taking to Twitter and social media
to voice that this must change.
									","
											#MeToo e o movimento ""Time's Up""
trouxeram à luz do dia
											que o assédio e a discriminação
são uma parte chocantemente comum
											da realidade vivida por muitas pessoas
											e que esta realidade se estende
ao local de trabalho.
											Quer seja na tecnologia, na finança,
no desporto ou nos serviços,
											todos os dias aparece mais uma notícia
de abuso de poder
											ou de mais um comportamento
grosseiro impróprio do local de trabalho.
											As pessoas estão furiosas.
											Estão a invadir o Twitter
e as redes sociais
											para dizerem que isto tem de mudar.
									",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
											But it's time to move beyond the hashtag.
											It's time for us to report
harassment and discrimination
											to those who can fix this mess.
											And it's time for us
to talk about harassment
											in a more inclusive way:
											not just about sexual harassment,
											but to encourage people to come forward
											about harassment and discrimination
based on other characteristics
											such as age, disability or ethnicity.
											Because only together can we fix
											the underlying causes
and consequences of harassment.
									","
											Mas chegou a altura de passar
para além do ""hashtag"",
											é altura de transmitirmos
o assédio e a discriminação
											às pessoas que podem remediar
estes abusos.
											É altura de falarmos sobre o assédio
											de forma mais inclusiva:
											não basta falar do assédio sexual,
											é preciso encorajar as pessoas
a denunciarem
											o assédio e a discriminação
com base noutras características,
											tais como a idade,
a deficiência ou a etnia.
											Porque, só todos juntos,
podemos remediar
											as subjacentes causas
e consequências do assédio.
									",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
											You see, most of us will,
at some point in our lives,
											experience workplace
harassment or discrimination.
											Research shows that particularly
women, people of color
											and people who openly identify as LGBTQI
are likely to be targeted,
											and for some people, this is a pervasive
and persistent part of their reality.
											And for most of these people -
											98 percent according to some studies -
											most of these people will never
speak up and tell their employer.
											Too often, harassment and discrimination
is a lonely and isolating experience,
											but we need to help people
out from under their desks.
											We need to empower people to have a voice.
									","
											A maioria das pessoas,
em qualquer altura da sua vida,
											sofrerá, no local de trabalho,
o assédio ou a discriminação.
											A investigação demonstra que, em especial,
as mulheres, as pessoas de cor,
											e os que se identificam como LGBTQI,
correm o risco de ser visadas.
											Para algumas pessoas, isto faz parte
invasiva e permanente, da sua realidade,
											Para muitas dessas pessoas
											— 98% segundo alguns estudos —
											muitas dessas pessoas
nunca denunciam ao seu patrão.
											Muitas vezes, o assédio e a discriminação
é uma experiência solitária e isoladora,
											mas precisamos de ajudar as pessoas
a sair de detrás da secretária.
											Precisamos de dar a voz a essas pessoas.
									",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
											The reasonable first question
that everybody asks
											once they've been harassed
is, ""What do I do now?""
											And this is what I want to help you with.
											Navigating the barriers to reporting
can be absolutely dizzying.
											How can we speak up in a society
											that too often discredits
or diminishes our experiences?
											How can we speak up in a society
											that is likely to be
retributive towards us?
											How can we deal with the silencing
that goes on all around us?
									","
											A primeira pergunta razoável
que todos fazem,
											depois de serem assediadas, é:
""O que é que eu faço agora?""
											É aí que eu quero ajudá-las
											Ultrapassar as barreiras para a denúncia
pode ser desnorteante..
											Como podemos fazer uma denúncia
numa sociedade
											que põe em dúvida ou menoriza
as nossas experiências?
											Como podemos fazer uma denúncia
numa sociedade
											que, provavelmente,
se vai vingar de nós?
											Como podemos lidar com o silêncio
que se instala a toda a nossa volta?
									",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
											Making matters worse,
											often our memories are the only
evidence we have of what happened.
											Now, here's where I can come in.
											I'm a memory scientist,
											and I specialize in how we remember
important emotional events.
											I've particularly focused
on how the memory interview process
											can severely impact the evidentiary
quality of reports that we produce.
											A bad interview can lead you
to forget details or misremember them,
											while a good interview can forever
change your life for the better.
											After looking at lab reports
and working, studying this issue,
											both in the courtroom
and in research settings,
											I've dissected all the different things
that can go wrong with our memories
											that can really threaten your case.
											And now I'm turning my attention
to helping people tackle
											recording and reporting of workplace
harassment and discrimination.
									","
											Para piorar as coisas,
											as nossas lembranças são a única
prova do que nos aconteceu.
											É aqui que eu posso intervir.
											Sou cientista da memória
											e especializei-me em como recordamos
importantes eventos emotivos.
											Dediquei-me, em especial, à forma
como o processo da memória
											pode ter um impacto grave na qualidade
probatória do relato que fazemos.
											Uma má entrevista pode levar
a esquecer ou a deturpar pormenores,
											enquanto uma boa entrevista
pode mudar a vida para melhor.
											Depois de olhar
para relatos de laboratório
											e de trabalhar, de estudar este problema,
											tanto no tribunal, como
em ambientes de investigação,
											dissequei todas as diferentes coisas
que podem correr mal na nossa memória
											que podem ameaçar um processo.
											Agora, dedico-me a ajudar as pessoas
											a registar e a relatar o assédio
e a discriminação no local de trabalho.
									",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
											There's three things that I've learned
from my research on this
											that you can immediately apply
											if you've been harassed
or discriminated against at work.
											I want to help you
turn your memory into evidence -
											evidence that even
a memory skeptic like me
											is unlikely to find fault with.
									","
											Há três coisas que aprendi
na minha investigação sobre isto
											que é possível aplicar imediatamente,
											quando se é assediado
ou discriminado no trabalho.
											Quero ajudar as pessoas
a transformar a memória em provas
											— provas que até uma cética
da memória como eu
											dificilmente achará defeituosas.
									",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
											First of all, James Comey had it right.
											The former head of the FBI
used to sit in his car,
											lock himself in after meetings
with the president
											and write down absolutely everything
he could remember about what happened.
											The now-famous recordings
proved to be quite useful later on.
											Be like Comey.
											Now, you don't need to lock yourself
into your car to do this,
											but please, immediately
after something happens,
											I want you to contemporaneously
record what happened.
											And do this before talking
to anyone else about it.
											Because as soon as your share your story
											with friends or family
or colleagues or therapists,
											you have the potential to distort
or change your memory of the event.
											Uncontaminated, contemporaneous
evidence is worth gold.
									","
											Primeiro, James Comey tinha razão.
											O antigo chefe do FBI
costumava sentar-se no carro,
											ou fechava-se com o presidente,
depois das reuniões,
											e anotava absolutamente tudo
de que se lembrava, quanto ao sucedido.
											Esses registos, hoje famosos,
provaram ser muito úteis, mais tarde.
											Façam como Comey.
											Não precisam de se fechar
no carro, para fazer isso,
											mas, por favor, logo a seguir
a qualquer coisa acontecer,
											registem o que aconteceu,
exatamente na mesma altura.
											Isso, antes de falarem
com quem quer que seja,
											porque, logo que contarem a vossa história
											a amigos ou à família,
a colegas ou a um terapeuta,
											correm o risco de distorcer
ou alterar a recordação do sucedido.
											Sem contaminação, na altura imediata,
essa prova vale ouro.
									",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
"
","
",How memory science can help fight harassment,Julia Shaw,9:41,"technology,science,sexual violence,memory,women,work"
