en,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
											Despite a serene sunset 
on the Dnipro river,
											the mood is tense for the 
Zaporozhian Cossacks.
											The year is 1676, and the Treaty of 
Żurawno has officially ended hostilities
											between the Polish-Lithuanian Commonwealth
and the Ottoman Empire.
											But as Stepan and his men ride 
towards their stronghold,
											peace is far from their minds.
									","
											Dnipro nehrinde
sakin bir gün batımına rağmen
											Zaporojya Kazaklarının ruh hali gergin.
											Yıl 1676 ve Żurawno Antlaşması,
Polonya-Litvanya Topluluğu ile
											Osmanlı Devleti arasındaki
düşmanlığı resmen sona erdirdi.
											Fakat Stepan ve adamları
kalelerine doğru ilerlerken
											barış akıllarından uzakta.
									","
											Apesar de um pôr-do-sol calmo
no rio Dnieper,
											o ambiente é tenso
para os cossacos de Zaporozhia.
											Estamos em 1676 e o Tratado de Zurawno
acabou oficialmente com as hostilidades
											entre a Comunidade Polaco-Lituana
e o Império Otomano.
											Mas, enquanto Stepan e os seus homens
cavalgam para o seu reduto,
											a paz está longe dos espíritos deles.
									","
											Malgré un coucher de soleil serein
sur la rivière Dniepr,
											l'atmosphère est tendue chez 
les Cosaques zaporogues.
											L'année 1676 et le traité de Jouravno
met officiellement un terme
											aux hostilités entre le royaume
polono-lithuanien et l'empire ottoman.
											Mais alors que Stepan et ses hommes
chevauchent vers leur forteresse,
											la paix est loin de leurs pensées.
									",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
","
","
","
",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
											Having made their home in the Wild Fields 
north of the Black Sea,
											these cossacks— derived from a Turkic 
word for ""free man""—
											are renowned as one of Europe’s most 
formidable military forces.
											Composed of hunters, fishermen, 
nomads and outlaws,
											the Cossacks found freedom in these 
fertile unclaimed lands.
											Yet this freedom has proven increasingly 
difficult to maintain.
											Their decades-long strategy of shifting 
alliances between Poland and Moscow
											has led to the partitioning 
of their lands.
											In a desperate bid to reclaim independence
and reunite the fractured Cossack state,
											their most recent leader, hetman Petro 
Doroshenko allied with the Ottoman Empire.
											This alliance successfully freed the 
Zaporozhian Cossacks
											in the west from Polish dominion, but 
their victory was a bitter one.
											Doroshenko’s Ottoman allies 
ravaged the countryside,
											carrying off peasants into slavery.
											And outrage at allying with Muslims 
against fellow Christians
											cost him any remaining local support.
											Now, with Doroshenko deposed and exiled,
											the Cossacks are at odds, disagreeing 
on what their next move should be.
									","
											Evlerini Karadeniz'in kuzeyindeki 
Yabani Tarlalarda yapan,
											isimleri Türkçe ""özgür adam""
kelimesinden türetilen bu Kazaklar,
											Avrupa'nın en zorlu
askeri güçlerinden biri olarak bilinir.
											Avcı, balıkçı, göçebe
ve haydutlardan oluşan Kazaklar,
											bu verimli sahipsiz
topraklarda özgürlük buldu.
											Ancak bu özgürlüğün devam etmesinin
giderek zorlaştığı kanıtlandı.
											Polonya ve Moskova
arasında on yıllardır süren
											ittifakları değiştirme stratejileri
topraklarının bölünmesine yol açtı.
											Bağımsızlığı geri kazanmak ve parçalanan
Kazak devletini birleştirmek için
											en son liderleri Ataman Petro Doroshenko,
Osmanlı İmparatorluğu ile müttefik oldu.
											Bu ittifak batıda
yer alan Zaporojya Kazaklarını
											Polonya egemenliğinden başarıyla kurtardı
											ancak zaferleri acıydı.
											Doroshenko’nun Osmanlı müttefikleri
köylüleri köle haline getirerek
											kırsal kesimleri perişan etti.
											Müslümanlarla Hristiyanlara
karşı müttefik olmak,
											ona geride kalan
herhangi bir yerel desteğe mal oldu.
											Şimdi, Doroshenko'nun görevden
alınması ve sürgün edilmesiyle
											Kazaklar bir sonraki hareketlerinin
ne olması gerektiği konusunda kararsızlar.
									","
											Depois de se instalarem
nos Campos Selvagens
											a norte do Mar Negro,
											estes cossacos — um termo derivado
da palavra turca para ""homem livre"" —
											são conhecidos como uma das forças
militares mais poderosas da Europa.
											Formados por caçadores, pescadores,
nómadas e foras-de-lei,
											os cossacos encontraram a liberdade
nestas terras férteis sem dono.
											Mas essa liberdade tornou-se
cada vez mais difícil de manter.
											A sua estratégia de décadas de alternar
alianças entre a Polónia e Moscovo
											levou à divisão dessas terras.
											Numa tentativa desesperada
de reclamar a independência
											e reunir o estado cossaco dividido,
											o seu líder mais recente,
o ""hetman"" Petro Doroshenko,
											aliou-se ao Império Otomano.
											Esta aliança conseguiu libertar
os cossacos de Zaporozhia
											do domínio polaco, a oeste,
mas a vitória foi amarga.
											Os aliados otomanos de Doroshenko
devastaram o país,
											e escravizaram muitos camponeses.
											E a indignação por ele se ter aliado
a muçulmanos contra cristãos
											custou-lhe o apoio local restante.
											Depois de Doroshenko
ser deposto e exilado,
											os cossacos desentendem-se,
											sem chegarem a acordo quanto
ao que devem fazer a seguir.
									","
											S'étant installés dans les Terres Sauvages
au Nord de la Mer Noire,
											ces Cosaques, dérivé du turc
signifiant « homme libre »,
											sont reconnus comme l'une des forces
militaires les plus redoutables d'Europe.
											Composé de chasseurs, de pêcheurs, 
de nomades et de bandits,
											les Cosaques ont trouvé leur liberté
dans ces terres fertiles non réclamées.
											Cependant, cette liberté s'est avérée
de plus en plus difficile à maintenir.
											Leur vieille stratégie d'alterner
leur alliance entre la Pologne et Moscou
											a mené au partage de leurs terres.
											Dans une tentative désespérée
de reconquête de leur indépendance
											et de réunification
de l'État cosaque fracturé,
											leur plus récent chef,
l'hetman Piotr Dorochenko,
											s'allie avec l'empire ottoman.
											Cette alliance permet de libérer
avec succès les Cosaques zaporogues
											à l'ouest du royaume polonais,
mais leur victoire est amère.
											Les alliés ottomans de Dorochenko
ont ravagé les campagnes,
											réduisant les paysans en esclavage.
											Et l'indignation de s'allier
avec des musulmans
											contre d'autres chrétiens lui coûte
tout le soutien local restant.
									",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
","
","
","
",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
											Until then, Stepan must keep order.
											With his musket and curved saber, 
he cuts an imposing figure.
											He surveys his battalion of 180 men.
											Most are Orthodox Christians 
and speak a Slavic language
											that will become modern Ukrainian.
											But there are also Greeks, Tatars, 
and even some Mongolian Kalmyks,
											many with different opinions 
on recent events.
											Officially, all of Stepan’s men have 
sworn to uphold the Cossack code
											by undergoing seven years of military 
training and remaining unmarried.
											In practice, some are part-timers, holding
more closely to their own traditions,
											and maintaining families in nearby 
villages, outside Cossack lands.
									","
											O zamana kadar Stephan düzeni korumalı.
											Tüfek ve kavisli kılıcı ile 
etkileyici bir figürdür.
											180 kişilik taburunu denetler.
											Çoğu Ortodoks Hristiyandır
											ve gelecekte modern Ukraynaca
olacak bir Slav dili konuşur.
											Ancak Yunanlılar, Tatarlar
ve hatta bazı Moğol Kalmukları da var.
											Bunların çoğu son olaylar
hakkında farklı görüşlere sahip.
											Resmi olarak, Stepan’ın tüm adamları
yedi yıllık askeri eğitimden geçerek
											ve evlenmeyerek Kazak Kodunu 
korumaya yemin ettiler.
											Uygulamada, bazıları kendi
geleneklerine daha yakın
											ve ailelerini Kazak topraklarının 
dışındaki yakındaki köylerde tutan
											yarı zamanlı çalışanlardır.
									","
											Até lá, Stepan tem de manter a ordem.
											Com o seu mosquete e o sabre curvo,
tem uma figura imponente.
											Inspeciona o seu batalhão de 180 homens.
											A maioria são cristãos ortodoxos
e falam uma língua eslava
											que virá a ser o ucraniano moderno.
											Mas também há gregos, tártaros,
e até ""kalmiks"" mongóis,
											muitos deles com opiniões diferentes
sobre os acontecimentos recentes.
											Oficialmente, todos os homens de Stepan
juraram respeitar o código cossaco
											prestando serviço militar
durante sete anos,
											treinando e mantendo-se solteiros.
											Na prática, alguns estão a tempo parcial,
mais agarrados às suas tradições,
											e mantendo famílias nas aldeias vizinhas,
fora das terras dos cossacos.
									","
											Maintenant,
avec Dorochenko destitué et exilé,
											les Cosaques sont divisés, ne s'entendant
pas sur ce qu'ils devraient faire.
											D'ici là, Stepan doit maintenir l'ordre.
											Avec son mousquet et son sabre courbé,
il est une figure imposante.
											Il examine son bataillon de 180 hommes.
											La plupart sont des chrétiens orthodoxes
et parlent une langue slave
											qui deviendra l'ukrainien moderne.
											Mais il y a aussi les Grecs, les Tatars,
et même des Mongols kalmouks,
											beaucoup avec des opinions différentes
sur les événements récents.
											Officiellement, tous les hommes de Stepan
ont juré de respecter le code cosaque
											en suivant un entraînement militaire 
de sept ans et en restant célibataires.
									",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
","
","
","
",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
											Thankfully, the tenuous peace is not 
broken before they reach the Sich—
											the center of Cossack military life.
											Currently located at Chortomlyk,
											the Sich’s location shifts with 
the tide of military action.
											The settlement is remarkably well-
organized, with administrative buildings,
											officers’ quarters, and even schools, 
as Cossacks prize literacy.
											Stepan and his men make their way 
to the barracks where they live and train
											alongside several other 
battalions or kurins,
											all of which make up a several 
hundred man regiment.
									","
											Neyse ki Kazak askeri yaşamın
merkezi olan Sich'e ulaşmadan
											önce barışçıl bir kırılma yaşanmadı.
											Halen Chertomlyk'te
bulunan Sich’in konumu,
											askeri harekat
gelgitiyle birlikte kayıyor.
											Yerleşimde, Cossack'ın ödüllü
okuryazarlığı gibi idari binalar,
											memurların mahalleleri ve hatta
okullar da oldukça iyi düzenlenmiştir.
											Stepan ve adamları,
yüzlerce insan alayını oluşturan
											diğer birçok tabur
veya kurinleri ile birlikte
											yaşadıkları ve antrenman yaptıkları
kışlalara doğru yola koyuluyorlar.
									","
											Felizmente,
a frágil paz não é interrompida
											antes de eles chegarem ao Sich,
											o centro da vida militar dos cossacos.
											Atualmente situado em Chortomlyk,
											a localização do Sich varia de acordo
com a ação militar.
											Este aldeamento está excecionalmente
bem organizado,
											com edifícios administrativos,
											casernas para oficiais e até tem escolas
porque os cossacos apreciam a literacia.
											Stepan e os seus homens seguem
para os quartéis onde vivem e treinam
											juntamente com os outros
batalhões ou ""kurins"",
											que formam, todos juntos, 
um regimento de várias centenas de homens.
									","
											En pratique, 
certains le font partiellement,
											plus fidèles à leurs propres traditions et
ayant une famille dans un village voisin,
											en dehors des terres cosaques.
											Par chance, cette paix fragile
n'est pas rompue
											avant qu'ils n'arrivent au Stich,
le centre de la vie militaire cosaque.
											Actuellement situé à Chortomlyk,
											l'emplacement du Stich change 
avec les vagues d'action militaire.
											Le camp est très bien organisé,
avec des bâtiments administratifs,
											des casernes d'officiers
et même des écoles
											car les Cosaques
prônent l'alphabétisation.
									",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
","
","
","
",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
"
											Inside, the men dine on dried fish, 
sheep’s cheese, and salted pork fat—
											along with plenty of wine.
											Stepan instructs his friend Yuri to 
lighten the mood with his bandura.
											But before long, an argument 
has broken out.
											One of his men has raised 
a toast to Doroshenko.
											Stepan cuts him off.
											The room is silent until he raises 
his own toast to Ivan Sirko,
											the new hetman who favors an alliance 
with Moscow against the Turks.
											Stepan plans to support him, and 
he expects his men to do the same.
									","
											İçeride, erkekler
kurutulmuş balık, koyun peyniri
											ve tuzlanmış domuz yağı
ile birlikte bol miktarda şarap içer.
											Stepan, arkadaşı Yuri'ye bandura ile
ortamı yumuşatmasını söyler.
											Fakat çok geçmeden bir tartışma çıkar.
											Adamlarından biri
Doroshenko'ya kadeh kaldırır.
											Stepan onu böler.
											Moskova ile Türklere
karşı ittifakı destekleyen
											yeni ataman Ivan Sirko'ya
kadeh kaldırana kadar oda sessizdir.
											Stepan onu desteklemeyi planlıyor
ve adamlarından da aynısını bekliyordur.
									","
											Lá dentro, os homens jantam peixe seco,
queijo de ovelha e toucinho,
											acompanhado por muito vinho.
											Stepan dá instruções ao seu amigo Yuri
para animar o ambiente com a sua bandura.
											Mas, em breve surge uma discussão.
											Um dos seus homens
fez um brinde a Doroshenko.
											Stepan interrompe-o.
											A sala fica silenciosa até que ele
faz um brinde a Ivan Sirko,
											o novo ""hetman"" que favorece
uma aliança com Moscovo contra os turcos.
											Stepan está a pensar apoiá-lo,
e espera que os seus homens o sigam.
									","
											Stepan et ses hommes se dirigent vers
la caserne où ils vivent et s'entraînent
											aux côtés de plusieurs
autres bataillons, ou kurins,
											constituant en tout un régiments
de plusieurs centaines d'hommes.
											À l'intérieur, les hommes mangent du
poisson séché, du fromage de chèvre
											et du lard salé -
le tout avec beaucoup de vin.
											Stepan demande à son ami Yuri de détendre
l'atmosphère avec sa bandoura.
											Mais peu de temps après,
une dispute éclate.
											Un de ses hommes
a porté un toast à Dorochenko.
											Stepan le coupe.
									",A day in the life of a Cossack warrior,Alex Gendler,4:29,"TED-Ed,animation,history,war,culture,world cultures,military,religion"
