en,tr,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											In our culture we tend to see sex
											as something that's more important
to men than it is to women.
											But that's not true.
											What is true is that women often feel
more shame in talking about it.
											Over half of women quietly suffer
from some kind of sexual dysfunction.
											We've been hearing
more about the orgasm gap.
											It's kind of like the wage gap
but stickier ...
									","
											Kültürümüzde cinselliğin, kadınlardan çok
											erkekler için daha önemli bir şey
olduğunu düşünmeye eğilimliyiz.
											Fakat bu doğru değil.
											Doğru olan şey, kadınların bu konuda
konuşurken daha fazla utanç hissetmesidir.
											Kadınların neredeyse yarısı, sessizce,
bir tür cinsel işlev bozukluğu yaşıyor.
											Orgazm farkıyla ilgili
bir şeyler duyuyoruz.
											Gelir farklılığı gibi ama daha yapışkan.
									","
											Dans notre culture,
nous tendons à voir le sexe
											comme étant plus important
pour les hommes que pour les femmes.
											Mais ce n'est pas vrai.
											Ce qui est vrai,
											c'est que les femmes ressentent
souvent plus de honte à en parler.
											Plus de la moitié des femmes souffrent
en silence d'un trouble sexuel.
											Nous entendons plus parler
de l'inégalité face à l'orgasme.
											C'est comme l'inégalité salariale
mais en plus collant...
									","
											En nuestra cultura, solemos ver el sexo
											como algo que es más importante
para los hombres que para las mujeres.
											Pero eso no es cierto.
											Lo que es cierto es que a las mujeres
les suele avergonzar más hablar del tema.
											Más de la mitad de las mujeres sufren en
silencio algún tipo de disfunción sexual.
											Cada vez se oye más eso
de la brecha del orgasmo.
											Es un poco como la brecha salarial
pero más embarazoso...
									","
											In unserer Kultur glauben wir,
											dass Sex für Männer
wichtiger ist als für Frauen.
											Aber das ist falsch.
											Allerdings schämen sich Frauen
oft mehr, darüber zu reden.
											Mehr als die Hälfte der Frauen 
leidet an einer Art sexueller Dysfunktion.
											Wir hören mehr vom Orgasmusunterschied.
											Er ist wie der Lohnunterschied,
nur klebriger ...
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											Straight women tend to reach climax
											less than 60 percent
of the time they have sex.
											Men reach climax 90 percent
of the time they have sex.
											To address these issues,
women have been sold flawed medication,
											testosterone creams ...
											even untested genital injections.
									","
											Eşcinsel olmayan kadınlar
											yaşadıkları cinselliğin yüzde 60'ından
daha azında doruğa ulaşıyorlar.
											Erkekler ise yüzde 90'ında
doruğa ulaşıyorlar.
											Bu meseleleri irdelemek için
kadınlara hasarlı ilaçlar,
											testosteron kremleri
ve hatta test edilmemiş
											genital enjeksiyonlar satılıyor.
									","
											Les femmes hétérosexuelles
atteignent l'orgasme
											dans moins de 60%
de leurs rapports sexuels.
											Les hommes atteignent l'orgasme
dans 90% de leurs rapports sexuels.
											Pour résoudre ces problèmes, on vend
aux femmes des médicaments discutables,
											des crèmes de testostérone...
											même des injections génitales non testées.
									","
											Las mujeres heterosexuales
suelen alcanzar el clímax
											menos del 60 % de las veces
que mantienen relaciones.
											Los hombres lo alcanzan
el 90 % de las veces.
											Para solucionar esto, se ha vendido
a las mujeres medicación inadecuada,
											cremas de testosterona...
											incluso inyecciones genitales que 
no fueron probadas en ensayos clínicos.
									","
											Heterosexuelle Frauen 
erreichen den Höhepunkt
											bei weniger als 60 Prozent 
ihrer sexuellen Aktivitäten.
											Männer erreichen den Höhepunkt 
bei 90 Prozent ihrer Sexualakte.
											Zur Behandlung der Probleme
											verkauft man Frauen mangelhafte
Medikamente wie Testosteron-Cremes
											und sogar ungeprüfte Genitalspritzen.
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											The thing is, female sexuality
can't be fixed with a pill.
											That's because it's not broken:
											it's misunderstood.
											Our culture has had a skewed
and medically incorrect picture
											of female sexuality
											going back centuries.
											If over half of women
have some kind of sexual problem,
											maybe our idea of sexuality
doesn't work for women.
											We need a clearer understanding
of how women actually work.
									","
											Sorun şu ki kadın cinselliği
bir hapla düzeltilemez.
											Çünkü bozuk değildir:
											yanlış anlaşılmıştır.
											Kültürümüzde yüzyıllar öncesine dayanan,
											çarpık ve tıbben yanlış
											bir kadın cinselliği resmi var.
											Kadınların yarısından fazlası
aynı tür cinsel problemi yaşıyorsa
											belki de cinsellik fikrimiz
kadınlarda işe yaramıyordur.
											Kadınların nasıl işlediğini anlamak için
daha net bir bakışa ihtiyacımız var.
									","
											On ne peut pas arranger
la sexualité féminine avec une pilule.
											C'est parce qu'elle n'est pas détraquée,
											mais incomprise.
											Notre culture a une vision biaisée
et médicalement incorrecte
											de la sexualité féminine
											qui remonte à des siècles.
											Si la moitié des femmes
ont un trouble sexuel,
											peut-être que notre idée de la sexualité
n'est pas appropriée pour les femmes.
											Il nous faut mieux comprendre
comment les femmes fonctionnent.
									","
											El tema es que la sexualidad femenina
no se puede arreglar con una pastilla.
											Y eso no es porque esté dañada,
											sino mal entendida.
											Nuestra cultura ha tenido una imagen
sesgada y médicamente incorrecta
											de la sexualidad femenina
desde hace siglos.
											Si más de la mitad de las mujeres
tienen algún problema sexual,
											quizás nuestra idea de sexualidad
no funciona para las mujeres.
											Necesitamos entender mejor
cómo funcionan las mujeres en verdad.
									","
											Allerdings kann weibliche Sexualität 
nicht mit einer Pille repariert werden.
											Denn sie ist gar nicht defekt —
sie wird missverstanden.
											Unsere Kultur hat ein verzerrtes 
und medizinisch falsches Bild
											von weiblicher Sexualität —
											und das seit Jahrhunderten.
											Wenn mehr als die Hälfte der Frauen 
sexuelle Probleme hat,
											funktioniert unser Bild von Sexualität
vielleicht bei Frauen nicht .
											Wir müssen besser verstehen,
wie Frauen wirklich funktionieren.
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
","
","
","
","
",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
"
											I'm a journalist,
											and I recently wrote a book
											about how our understanding
of female sexuality is evolving.
											So sexuality itself was defined
back when men dominated science.
											Male scientists
tended to see the female body
											through their own skewed lens.
											They could've just asked women
about their experience.
											Instead they probed the female body
like it was a foreign landscape.
											Even today we debate the existence
of female ejaculation and the G-spot
											like we're talking about aliens or UFOs.
											""Are they really out there?""
									","
											Ben bir gazeteciyim
											ve yakın zamanda
											kadın cinselliği anlayışımızın
nasıl değiştiğine dair bir kitap yazdım.
											Cinsellik, bilim erkeklerin
hükmü altındayken tanımlanmıştır.
											Erkek bilimciler
kadın vücudunu kendi eğri lensleri
											aracılığıyla görmeye meyilliydi.
											Kadınlara tecrübelerini sorabilirlerdi.
											Bunun yerine, kadın vücudunu
yabancı bir manzara gibi irdelediler.
											Günümüzde bile hala kadının boşalması
ve G-noktasının varlığını tartışıyoruz,
											uzaylılardan veya uçan daireden
bahsediyormuş gibi.
											""Gerçekten oradalar mı?""
									","
											Je suis journaliste
											et récemment, j'ai écrit un livre
											sur l'évolution de notre compréhension
de la sexualité féminine.
											La sexualité a été définie
quand les hommes dominaient la science.
											Les hommes scientifiques
voyaient le corps féminin
											à travers leur prisme biaisé.
											Ils auraient pu interroger les femmes
sur leur expérience.
											Au lieu de cela, ils ont examiné
le corps féminin tel un paysage étranger.
											Même aujourd'hui,
nous débattons de l'existence
											de l'éjaculation féminine et du point G
											comme si nous parlions
d'extraterrestres ou d'OVNI.
											« Existent-ils vraiment ? »
									","
											Soy periodista
											y hace poco escribí un libro
											sobre la evolución de cómo
entendemos la sexualidad femenina.
											La sexualidad en sí fue definida
cuando los hombres dominaban la ciencia.
											Los científicos masculinos
veían el cuerpo femenino
											a través de sus lentes sesgadas.
											Podrían haber preguntado
a las mujeres sobre su experiencia.
											En vez de eso, investigaron el cuerpo
femenino como si fuera algo extraño.
											Aún seguimos debatiendo la existencia
de la eyaculación femenina y el punto G
											como si habláramos
de extraterrestres o de ovnis.
											""¿De verdad existen?"".
									","
											Ich bin Journalistin
und habe ein Buch geschrieben,
											wie sich unser Verständnis 
von weiblicher Sexualität entwickelt.
											Die Sexualität wurde definiert, 
als Männer die Wissenschaften dominierten.
											Diese Forscher sahen den weiblichen Körper
durch ihre eigene verzerrte Brille.
											Sie hätten Frauen einfach 
nach ihren Erfahrungen fragen können.
											Doch sie erforschten den Frauenkörper
wie eine fremde Landschaft.
											Noch heute wird über die weibliche 
Ejakulation und den G-Punkt diskutiert,
											als spräche man von Aliens oder Ufos.
											""Gibt es sie wirklich?""
									",The uncomplicated truth about women's sexuality,Sarah Barmak,11:20,"TEDx,sex,science,culture,human body,society,women,relationships"
