en,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
											In 1987, Tina Lord
found herself in quite the pickle.
											See, this gold digger made sure
she married sweet Cord Roberts
											just before he inherited millions.
											But when Cord found out
Tina loved his money
											as much as she loved him,
											he dumped her.
											Cord's mother Maria was thrilled
											until they hooked up again.
											So Maria hired Max Holden to romance Tina
											and then made sure Cord didn't find out
Tina was pregnant with his baby.
											So Tina, still married
but thinking Cord didn't love her
											flew to Argentina with Max.
											Cord finally figured out what was going on
											and rushed after them,
but he was too late.
											Tina had already been kidnapped,
											strapped to a raft
and sent over a waterfall.
											She and her baby were presumed dead.
											Cord was sad for a bit,
											but then he bounced right back
											with a supersmart
archaeologist named Kate,
											and they had a gorgeous wedding
											until Tina, seemingly back from the dead,
ran into the church holding a baby.
											""Stop!"" she screamed.
											""Am I too late?
											Cord, I've come so far.
											This is your son.""
									","
											1987'de, Tina Lord kendini 
zor bir durumun içinde buldu.
											Bu servet avcısı kadın tam da 
Cord Roberts'a miras kalmadan önce
											onunla evlenmek için her şeyi yaptı.
											Ancak Cord, Tina'nın Cord'un parasını
											Cord'dan daha fazla sevdiğini anlayınca
											Tina'yı terk etti.
											Cord'un annesi Maria durumdan 
çok memnundu
											ta ki onlar yeniden birleşene dek.
											Bundan sonra Maria, Max Holden'a 
Tina ile birlikte olması için para verdi.
											Ve Max'in çocuğunun Tina'nın karnında
olduğunu Cord'dan gizledi.
											Tina hâlâ Cord'la evliydi 
ancak Cord'un onun sevmediğini düşünüyordu
											Bu yüzden Max ile Arjantin'e kaçtı.
											Cord da nelerin döndüğünü anladı,
											peşlerinden gitti 
fakat her şey için çok geçti.
											Tina kaçırılmış,
											bir kayığa bağlanmış
uçurumdan aşağıya yollanmıştı.
											Çocuğuyla birlikte öldükleri düşünülüyordu.
											Cord ilk başta biraz üzüldü,
											daha sonra acısını unuttu ve
											çok zeki bir arkeolojist olan
Kate ile yakınlaştı.
											Muazzam bir düğün planladılar
											ancak ölümden dönmüş Tina
kiliseye kucağındaki çocuğuyla daldı
											""Durun!"" diye haykırdı.
											""Geç kalmadım değil mi?
											Cord, uzun yoldan geldim.
											Bu da senin oğlun.""
									","
											En 1987, Tina Lord s'est retrouvée
dans un sacré pétrin.
											Cette croqueuse de diamants 
a épousé le doux Cord Roberts
											juste avant qu'il n'hérite de millions.
											Mais quand Cord a compris
que Tina aimait son argent
											autant qu'elle l'aimait lui,
											il l'a plaquée.
											La mère de Cord, Maria était ravie
jusqu'à ce qu'ils se racoquinent.
											Du coup, Maria engagea Max Holden
pour séduire Tina
											et s'assura que Cord n'apprenne pas
que Tina était enceinte de son enfant.
											Tina, toujours mariée
mais pensant que Cord ne l'aimait pas,
											s'est enfuie en Argentine avec Max.
											Quand Cord finit par comprendre
ce qu'il se passait,
											il les a poursuivis,
mais c'était trop tard.
											Tina venait d'être enlevée,
											attachée à un radeau,
et précipitée dans une cascade.
											Elle et son bébé furent présumés morts.
											Cord fut très triste...
pendant quelques jours,
											mais il se rétablit rapidement
											avec une archéologue
très intelligente prénommée Kate.
											Leur mariage était magnifique,
											jusqu’à ce que Tina, apparemment revenue
à la vie, accoure à l'église avec un bébé.
											« Stop ! », cria-t-elle.
											« Suis-je arrivée trop tard ?
											Cord, je reviens de si loin.
											Voici ton fils. »
									","
											Em 1987, Tina Lord encontrava-se
metida numa alhada.
											Esta caça-fortunas conseguiu
casar com o simpático Cord Roberts
											pouco antes de ele herdar milhões.
											Mas quando Cord descobriu
											que Tina gostava tanto
do dinheiro como gostava dele
											deixou-a.
											A mãe de Cord, Maria, ficou encantada
											até que eles se juntaram novamente.
											Então, Maria contratou Max Holden
para seduzir Tina
											e tratou de esconder a Cord
que Tina estava à espera de um filho dele.
											Tina, ainda casada,
mas julgando que Cord não a amava,
											fugiu com Max para a Argentina.
											Por fim, Cord percebeu 
o que se estava a passar
											e foi atrás dela,
mas era tarde demais.
											Tina já tinha sido raptada,
											atada a uma jangada
e lançada para uma catarata.
											Jugava-se que ela e o bebé tinham morrido.
											Cord ficou desolado durante uns tempos
											mas depressa recuperou
											com uma arqueóloga super inteligente
chamada Kate.
											Fizeram um casamento magnífico
											até que Tina, parecendo voltar dos mortos,
entrou na igreja com um bebé ao colo.
											""Alto!"" gritou.
											""Chego tarde demais?
											""Cord, venho de muito longe.
											""Este é o teu filho!""
									",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
","
","
","
",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
											And that, ladies and gentlemen,
											is how the soap opera ""One Life to Live""
introduced a love story
											that lasted 25 years.
									","
											Ve bu, bayanlar baylar,
											""One Life to Live"" adlı pembe dizide geçen
											25 yıl sürecek aşk hikâyesinin
başlangıcıydı,
									","
											Et voilà, mesdames et messieurs,
											comment la série télévisée « On ne vit
qu'une fois » lança une histoire d'amour
											qui dura 25 ans.
									","
											Foi assim, senhoras e senhores,
											que a telenovela ""Uma Vida para Viver""
lançou uma história de amor
											que durou 25 anos.
									",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
","
","
","
",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risos)
									",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
","
","
","
",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
											Now, if you've ever seen a soap opera,
											you know the stories and the characters
can be exaggerated, larger than life,
											and if you're a fan,
you find that exaggeration fun,
											and if you're not,
											maybe you find them
melodramatic or unsophisticated.
											Maybe you think watching soap operas
											is a waste of time,
											that their bigness means
their lessons are small or nonexistent.
											But I believe the opposite to be true.
											Soap operas reflect life, just bigger.
											So there are real life lessons
we can learn from soap operas,
											and those lessons
are as big and adventurous
											as any soap opera storyline.
									","
											Şimdi, eğer hepiniz bir 
pembe dizi izlediyseniz,
											oradaki olayların ve karakterlerin destansı
bir abartıya sahip olduğunu bilirsiniz.
											Bu dizilerin hayranıysanız,
bu abartıyı eğlenceli bulabilirsiniz.
											Ancak değilseniz,
											bunların yapmacık ve 
tekdüze olduğunu düşünebilirsiniz.
											Hatta belki de pembe dizileri izlemenin
											vakit kaybı olduğunu,
											anlamsız ve eğiticilikten uzak 
olduğunu düşünebilirsiniz.
											Ama bence durum tam olarak öyle değil.
											Pembe diziler hayatı yansıtıyor. 
Sadece biraz abartarak.
											İçlerinde çıkarılacak dersler var,
biz onlardan öğrenebiliriz,
											ki bu pembe dizilerde görülebileceği gibi
											çok önemli ve cesurcadır.
									","
											Si vous avez déjà vu une série télé,
											vous savez que leurs histoires
et leurs personnages sont exagérés,
											démesurément.
											Si vous êtes fan,
vous trouvez cette exagération drôle,
											mais si ce n'est pas le cas,
											vous les trouverez mélodramatiques
ou peu sophistiquées.
											Vous pourriez penser
que regarder une série télé
											est une perte de temps,
											que leur énormité cache forcément
une vacuité morale.
											Mais je crois que c'est tout le contraire.
											Les séries télévisées
reflètent la vie, en plus grand.
											On peut donc en retirer
des vraies leçons de vie.
											Ces leçons sont aussi grandes
et audacieuses
											que n'importe quel scénario
de série télévisée.
									","
											Se já viram uma telenovela,
											sabem que as histórias e as personagens
											podem ser exageradas,
maiores do que a vida.
											Se vocês gostam delas,
acham divertido esse exagero.
											Se não gostam,
											talvez as achem melodramáticas
ou pouco sofisticadas.
											Talvez pensem que ver telenovelas
é uma perda de tempo,
											que o seu exagero significa
uma vacuidade moral.
											Mas eu acredito que é o contrário.
											As telenovelas refletem a vida,
só que em maior.
											As telenovelas podem dar-nos
verdadeiras lições de vida.
											Essas lições são tão grandes
e aventureiras
											como qualquer enredo duma telenovela.
									",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
","
","
","
",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
"
											Now, I've been a fan since I ran home
from the bus stop in second grade
											desperate to catch the end
of Luke and Laura's wedding,
											the biggest moment
in ""General Hospital"" history.
									","
											Şimdi, ben ikinci sınıftayken hayranı 
olduğum ""General Hospital"" dizisinin
											en önemli anı olan Luke ve Laura'nın
düğününün sonunu yakalamak için
											otobüs durağından eve koşturdum.
									","
											Je suis fan depuis
que je me suis précipitée
											à la maison après l'école primaire,
											déterminée à voir la fin
du mariage de Luke et Laura,
											l'apothéose de l'histoire
d'« Alliances et trahisons ».
									","
											Sou apaixonada por elas
desde que corri da escola para casa
											aos oito anos,
											ansiosa para apanhar o fim
do casamento de Luke e Laura,
											o grande momento da história 
""Hospital Geral"".
									",4 larger-than-life lessons from soap operas,Kate Adams,12:27,"personal growth,television,storytelling,business"
