en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
											I am a chef
											and a food policy guy,
											but I come from a whole
family of teachers.
											My sister is a special ed
teacher in Chicago.
											My father just retired
after 25 years teaching fifth grade.
											My aunt and uncle were professors.
											My cousins all teach.
											Everybody in my family, basically,
teaches except for me.
											They taught me that the only way
to get the right answers
											is to ask the right questions.
											So what are the right questions
											when it comes to improving
the educational outcomes for our children?
											There's obviously
many important questions,
											but I think the following
is a good place to start:
											What do we think the connection is
											between a child's growing mind
											and their growing body?
											What can we expect our kids to learn
											if their diets are full of sugar
and empty of nutrients?
											What can they possibly learn
											if their bodies
are literally going hungry?
											And with all the resources
that we are pouring into schools,
											we should stop and ask ourselves:
											Are we really setting
our kids up for success?
									","
											Soy chef
											y responsable de políticas alimentarias,
											pero provengo de una familia de maestros.
											Mi hermana es maestra de 
educación especial en Chicago.
											Mi padre acaba de jubilarse tras 
impartir por 25 años el quinto grado.
											Mis tíos fueron profesores universitarios,
											y todos mis primos son maestros.
											Básicamente, todos en mi familia
son maestros, excepto yo.
											Me enseñaron que la única forma de 
encontrar las respuestas correctas
											es hacer las preguntas correctas.
											Así que ¿cuáles son las 
preguntas correctas...
											cuando se trata de mejorar los
resultados académicos de nuestros hijos?
											Es obvio que existen 
muchas preguntas importantes,
											pero creo que estas son 
buenos puntos de partida:
											¿Qué relación existe entre
											la mente en desarrollo de un niño
											y su cuerpo en desarrollo?
											¿Qué podemos esperar que 
aprendan nuestros niños
											si sus dietas están llenas de azúcar
y carecen de nutrientes?
											¿Qué posibilidad tienen de aprender
											si literalmente tienen hambre?
											Y con todos los recursos que 
despilfarramos en las escuelas
											deberíamos detenernos y preguntarnos:
											¿Realmente estamos preparando
a nuestros hijos para el éxito?
									","
											Je suis cuisinier et je travaille
dans la politique alimentaire.
											Mais tous les membres de ma famille
sont des enseignants.
											Ma sœur est professeur
d'éducation spécialisé à Chicago.
											Mon père vient de prendre sa retraite
après 25 ans d'enseignement en CM2.
											Ma tante et mon oncle étaient professeurs.
											Tous mes cousins enseignent.
											Tout le monde dans ma famille
enseigne à part moi.
											Ils m'ont appris que la seule façon
d'obtenir les bonnes réponses
											était de poser les bonnes questions.
											Quelles sont les bonnes questions
											quand il s'agit d'améliorer
les résultats scolaires de nos enfants ?
											Il y a beaucoup de questions importantes
											mais la suivante est, je pense,
un bon point de départ :
											à votre avis, quel est le lien
											entre l'esprit d'un enfant
qui se développe
											et son corps qui grandit ?
											Que pouvons-nous attendre
que nos enfants apprennent
											si leur régime est plein de sucre
et dépourvu de nutriments ?
											Que peuvent-ils bien apprendre
											si leur corps a faim ?
											Avec toutes les moyens
que nous mettons dans les écoles,
											nous devrions faire une pause
et nous demander :
											préparons-nous nos enfants à la réussite ?
									","
											Ich bin Koch
											und kümmere mich um Ernährungsrichtlinien,
											aber ich stamme aus einer Lehrerfamilie.
											Meine Schwester ist 
Sonderschullehrerin in Chicago.
											Mein Vater ist gerade nach 25 Jahren 
Unterricht in der fünften Schulstufe
											in Pension gegangen.
											Meine Tante und mein Onkel 
waren Professoren.
											Meine Cousins und Cousinen 
unterrichten alle.
											Jeder in meiner Familie, 
außer mir, unterrichtet.
											Sie brachten mir bei, dass ich
nur durch die richtigen Fragen
											die richtigen Antworten bekommen würde.
											Wie lauten die richtigen Fragen,
											wenn es darum geht, die Lernergebnisse
unserer Kinder zu verbessern?
											Es gibt natürlich viele wichtige Fragen,
											aber ich denke, die folgenden 
bilden einen guten Anfang:
											Worin besteht die Verbindung
											zwischen dem wachsenden Verstand
											und dem wachsenen Körper eines Kindes?
											Was werden unsere Kinder lernen,
											wenn ihre Ernährung aus Zucker
besteht, aber Nährstoffe fehlen?
											Was können sie wohl lernen,
											wenn ihre Körper buchstäblich hungern?
											Bei all den Mitteln, 
die wir in unsere Schulen stecken,
											sollten wir innehalten und uns fragen:
									","
											Ben bir şef
											ve gıda politikacısıyım.
											Fakat tamamı öğretmen olan
bir aileden geliyorum.
											Kız kardeşim Şikago'da
özel eğitim öğretmeni.
											Babam 25 yıllık beşinci sınıf öğretmenliği
hayatından yeni emekli oldu.
											Halam ve amcam profesör.
											Kuzenlerimin hepsi eğitimci.
											Ben hariç, ailemdeki herkes öğretmen.
											Bana doğru cevapları almanın tek yolunun
											doğru sorular sormak olduğunu öğrettiler.
											Peki konu çocuklarımızın
											eğitimsel sonuçlarını geliştirmek
olduğunda, doğru sorular nelerdir?
											Çok fazla önemli soru olduğu ortada,
											fakat bence şu şekilde
güzel bir başlangıç yapılabilir:
											Bir çocuğun gelişen zihni ile
											gelişen bedeni arasındaki ilişkinin
											ne olduğunu düşünüyoruz?
											Çocuklarımızın tüm yedikleri şeker dolu
											ve besleyicilikten uzaksa
ne öğrenmelerini umuyoruz?
											Bedenleri gerçekten aç kalıyorsa
											ne öğrenebilirler?
											Ve okullara akıttığımız tüm kaynaklarla
											durup kendimize şunu sormalıyız:
											Çocuklarımızı gerçekten
başarı için mi hazırlıyoruz?
									",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
","
","
","
","
",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
											Now, a few years ago,
											I was a judge on a cooking
competition called ""Chopped.""
											Four chefs compete
with mystery ingredients
											to see who can cook the best dishes.
											Except for this episode —
it was a very special one.
											Instead of four overzealous chefs
trying to break into the limelight —
											something that I would know
nothing about —
											(Laughter)
											these chefs were school chefs;
											you know, the women that you used
to call ""lunch ladies,""
											but the ones I insist
we call ""school chefs.""
											Now, these women — God bless
these women —
											spend their day cooking
for thousands of kids,
											breakfast and lunch,
with only $2.68 per lunch,
											with only about a dollar of that
actually going to the food.
											In this episode,
											the main-course
mystery ingredient was quinoa.
											Now, I know it's been a long time
											since most of you have had a school lunch,
											and we've made a lot
of progress on nutrition,
											but quinoa still is not a staple
in most school cafeterias.
									","
											Bueno, hace algunos años
											participé como juez en un concurso
de cocina llamado ""Chopped"",
											en el que cuatro chefs cocinaban 
con ingredientes misteriosos
											para ver quién podía preparar 
los mejores platos.
											Y solo para este episodio, 
un episodio muy especial,
											en lugar de cuatro chefs entusiastas
que buscan robarse la atención,
											—algo que desconozco totalmente—,
											(Risas)
											tuvimos chefs escolares
											ya saben, mujeres a las que llaman 
""señoras del almuerzo"",
											pero yo insisto en llamarlas
""chefs escolares"".
											Bien, estas mujeres
—Dios bendiga a estas mujeres—
											pasan su día cocinando
para miles de niños,
											desayuno y almuerzo, 
con solo USD 2.68 por plato,
											de lo cual solo casi USD 1 
se utiliza para la comida.
											Bien, en ese episodio,
											el ingrediente misterioso 
del plato principal era quinoa.
											Bien, sé que ha pasado mucho tiempo
											desde su último almuerzo en la escuela,
											y hemos avanzado mucho en nutrición,
											pero la quinoa aún no es algo tan básico
en muchos comedores escolares.
									","
											Il y a quelques années,
											j'étais juge dans une compétition
de cuisine, « Chopped ».
											Ce sont quatre chefs en concurrence
avec des ingrédients mystères
											pour voir lequel peut cuisiner
le meilleur plat.
											A part que cet épisode,
c'est un épisode spécial.
											Au lieu d'avoir quatre chefs zélés
essayant de sortir de l'ombre —
											chose dont j'ignore tout —
											(Rires)
											ces chefs étaient des chefs d'école —
											ces femmes que vous appeliez
« dames de la cantine »
											mais que, j'insiste,
nous appelons « chefs d'école ».
											Ces femmes — que Dieu les bénisse —
											passent leur journée à cuisiner
pour des milliers d'enfants,
											petit-déjeuner et déjeuner,
avec seulement 2,68$ par déjeuner
											et seulement 1$ dédié à la nourriture.
											Dans cet épisode,
											l'ingrédient mystère
du plat de résistance était le quinoa.
											Je sais que cela fait longtemps
											que vous avez déjeuné à la cantine
											et nous avons beaucoup
progressé en nutrition,
											mais le quinoa n'est pas incontournable
dans la majorité des cafétérias.
									","
											Bereiten wir unsere Kinder
wirklich auf Erfolg vor?
											Vor einigen Jahren
											war ich Preisrichter in einer Kochshow
namens ""Chopped"" [gehackt].
											Vier Köche treten 
mit geheimnisvollen Zutaten an,
											um herauszufinden, wer 
die besten Gerichte kochen kann.
											Außer bei dieser Folge —
das war eine ganz besondere.
											Statt vier übereifrigen Köchen,
die im Rampenlicht stehen wollen —
											etwas, von dem ich nichts verstehe —
											(Gelächter)
											waren es diesmal Schulköchinnen —
											Sie wissen schon, die Damen, die man
früher ""lunch ladies"" nannte,
											aber ich bestehe darauf, 
sie ""Schulköchinnen"" zu nennen.
											Diese Frauen — Gott segne sie —
											verbringen ihren Tag damit,
für Tausende von Kindern zu kochen:
											Frühstück und Mittagessen;
bei nur $2,68 pro Mittagessen
											fließt nur ein Dollar davon
tatsächlich ins Essen.
											In dieser Folge
											war die geheimnisvolle Zutat 
für das Hauptgericht Quinoa.
											Ich weiß, es ist lange her,
											seit die meisten von Ihnen 
in der Schule zu Mittag aßen,
											und die Ernährung
hat sich weiter entwickelt,
									","
											Şimdi, birkaç yıl önce,
											""Chopped"" adlı bir yemek
yarışmasında jüriydim.
											Dört şef gizemli malzemeler kullanarak
											en iyi yemeği hazırlamak için yarışıyor.
											Bir bölüm hariç — çok özel bir bölümdü.
											İlgi odağı olmaya çalışan
çok istekli dört şef yerine
											- bunlar hiç anlamadığım işler -
											(Gülüşmeler)
											okul şefleri katılmıştı;
											""Bayan Öğle Yemeği"" dediğiniz kadınlar,
											ama ben ""okul şefi"" denmesinde ısrarcıyım.
											Şimdi bu kadınlar
- Allah bu kadınlardan razı olsun -
											günlerini binlerce çocuk için
kahvaltı ve öğle yemeği
											hazırlayarak geçiriyor ve
yemek başına sadece 2,68 dolara.
											Bunun sadece bir doları yemeğe gidiyor.
											Bu bölümde,
											ana yemeğin gizemli malzemesi kinoa.
											Birçoğunuzun okul yemeği
yemesinin üzerinden
											epey bir zaman geçtiğini biliyorum.
											Ayrıca beslenme konusunda
epey ilerleme katettik
											fakat kinoa hâlâ birçok okul
yemekhanesinde temel gıda değil.
									",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
","
","
","
","
",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											aber Quinoa gehört in den wenigsten
Schulkantinen zum Standard.
									","
											(Gülüşmeler)
									",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
","
","
","
","
",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
											So this was a challenge.
											But the dish that I will never forget
was cooked by a woman
											named Cheryl Barbara.
											Cheryl was the nutrition director
											at High School in the Community
in Connecticut.
											She cooked this delicious pasta.
											It was amazing.
											It was a pappardelle with Italian sausage,
											kale, Parmesan cheese.
											It was delicious, like,
restaurant-quality good, except —
											she basically just threw the quinoa,
pretty much uncooked,
											into the dish.
											It was a strange choice,
											and it was super crunchy.
											(Laughter)
											So I took on the TV accusatory judge thing
that you're supposed to do,
											and I asked her why she did that.
									","
											Así que ese era el reto.
											Pero el plato que nunca olvidaré
lo preparó una mujer llamada:
											Cheryl Barbara.
											Ella era la directora de nutrición
											de la Escuela Secundaria
en la Comunidad de Connecticut.
											Ella cocinó una pasta deliciosa.
											Era increíble.
											Era pappardelle con salchicha italiana,
											col rizada y queso parmesano.
											Estaba deliciosa, tan buena
como la de un restaurante,
											solo que le agregó al plato
											la quinoa prácticamente cruda.
											Fue una elección extraña,
											y estaba muy, muy crujiente.
											(Risas)
											Tomé el papel del jurado acusador de TV, 
que se supone debo hacer,
											y le pregunté por qué lo había hecho.
									","
											C'était un défi.
											Mais le plat que je n'oublierai jamais
a été cuisiné par une femme
											qui s'appelle Cheryl Barbara.
											Cheryl était directrice nutrition
											à High School in the Community
au Connecticut.
											Elle a cuisiné ces pâtes délicieuses.
											C'était génial.
											C'étaient des parpadelles
avec une saucisse italienne,
											du chou frisé et du parmesan.
											C'était délicieux, aussi bon
que dans un restaurant sauf
											qu'elle a presque jeté le quinoa cru
											dans le plat.
											C'était un choix étrange
											et c'était très croquant.
											(Rires)
											J'ai pris le ton de juge télé accusateur
que j'étais censé prendre
											pour lui demander
pourquoi elle avait fait cela.
									","
											(Gelächter)
											Das war die Herausforderung.
											Das Gericht, das ich 
niemals vergessen werde,
											kochte eine Frau namens Cheryl Barbara.
											Cheryl war für die Ernährung
											an der Highschool
in Connecticut verantwortlich.
											Sie kochte ausgezeichnete Nudeln.
											Es war fantastisch.
											Pappardelle mit italienischer Wurst,
											Grünkohl und Parmesan.
											Es war ausgezeichnet,
von Restaurantqualität, außer —
											dass sie die Quinoa im Grunde
mehr oder weniger ungekocht
											in das Gericht gab.
											Eine merkwürdige Entscheidung,
											und es war sehr knusprig.
											(Gelächter)
											Ich nahm eine sehr kritische Rolle ein, 
wie es von einem erwartet wird,
									","
											Yani bu zor bir görev.
											Fakat Cheryl Barbara isimli
bir bayanın pişirdiği yemeği
											hiç unutmayacağım.
											Cheryl,
											Connecticut <i>High School in the Community</i>
lisesinin beslenme müdürü.
											Lezzetli bir makarna pişirdi.
											İnanılmazdı.
											İtalyan soslu, lahanalı, Parmesan peynirli
											bir pappardelleydi.
											Lezzetliydi, restorant kalitesindeydi,
											ama kinoayı tabağa neredeyse
											çiğ koydu.
											Garip bir seçimdi
											ve süper gevrekti.
											(Gülüşmeler)
											Ben de TV'de yapmanız gereken
suçlayıcı jüri tavrımı takındım
											ve bunu neden yaptığını sordum.
									",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
","
","
","
","
",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
"
											Cheryl responded, ""Well, first,
I don't know what quinoa is.""
											(Laughter)
											""But I do know that it's a Monday,
											and that in my school,
at High School in the Community,
											I always cook pasta.""
									","
											Cheryl respondió: ""Bueno, primero,
no tengo idea de qué es la quinoa"".
											(Risas)
											""Pero sí sé que hoy es lunes,
											y en la Escuela Secundaria de la Comunidad
											cocino pasta todos los lunes"".
									","
											Cheryl a répondu : « Premièrement,
je ne sais pas ce qu'est le quinoa. »
											(Rires)
											« Mais je sais que c'est lundi
											et que dans mon école,
High School in the Community,
											je cuisine toujours des pâtes. »
									","
											und fragte sie nach dem Grund.
											Cheryl antwortete: 
""Erstens weiß ich nicht, was Quinoa ist.""
											(Gelächter)
											""Aber ich weiß, dass es Montag ist,
											und an meiner Schule,
an der Gemeinde-Highschool,
									","
											Cheryl şöyle dedi: ""Öncelikle,
kinoanın ne olduğunu bilmiyorum.""
											(Gülüşmeler)
											""Lakin bugünün Pazartesi
olduğunu biliyorum
											ve okulum <i>High School in the Community</i>'de
											daima makarna yaparım.""
									",Want kids to learn well? Feed them well,Sam Kass,12:08,"children,education,health,community,food,inequality,mental health,personal growth,society,teaching,policy"
