es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											¿Cuál es la intersección
											entre la tecnología, 
el arte y la ciencia?
											La curiosidad y la maravilla,
											porque nos impulsan a explorar,
											porque estamos rodeados de cosas
que no podemos ver.
											Y me gusta usar la película
											para que nos lleve en una travesía
											a través de los portales 
del tiempo y del espacio,
											para hacer lo invisible visible
											porque lo que hace
											expande nuestros horizontes,
											transforma nuestra percepción,
											abre nuestras mentes
											y toca nuestro corazón.
											Aquí tenemos unas escenas
											de mi película IMAX 3D,
											""Los misterios del mundo desconocido"".
									","
											Qual é a intersecção
											entre a tecnologia, a arte e a ciência?
											A curiosidade e o deslumbramento,
											porque nos levam a explorar,
											porque estamos rodeados 
de coisas que não conseguimos ver.
											Adoro usar o vídeo
											para nos levar numa viagem
											através dos portais do tempo e do espaço,
											para tornar visível o invisível,
											porque isso
											alarga os nossos horizontes,
											transforma a nossa percepção,
											abre-nos a mente
											e toca-nos o coração.
											Portanto, aqui estão algumas cenas
											do meu filme IMAX em 3D,
											""Mistérios do Mundo Invisível"".
									","
											Teknoloji, sanat ve bilimin
											kesişim noktası nedir?
											Merak ve ilgidir;
											çünkü bizi keşfetmeye iter.
											Çünkü çevremiz, göremediğimiz şeylerle dolu.
											Ben, uzay ve zaman içinde
											gezintiye çıkmak için,
											görünmez olanı görmek için
											film kullanmayı seviyorum;
											çünkü yaptığı şey,
											ufkumuzu genişletmek,
											algılarımızı değiştirmek,
											zihnimizi açmak ve
											yüreğimize dokunmaktır.
											İşte 3D IMAX filmim
											""Görünmeyen Dünyanın Gizemleri""nden
											birkaç sahne.
									","
											Was haben Technologie,
											Kunst und Wissenschaft gemeinsam?
											Neugierde und Staunen.
											Sie regen zum Erforschen an.
											Denn wir sind umgeben 
vom Unsichtbaren.
											Und ich benutze gerne Filme,
											um uns auf eine Reise
											durch Zeit und Raum zu führen,
											das Unsichtbare sichtbar zu machen.
											Denn das erweitert
											unseren Horizont,
											verändert unsere Wahrnehmung,
											öffnet unseren Geist
											und berührt unser Herz.
											Hier also einige Ausschnitte
											aus meinem IMAX-3D-Film
											""Mysteries of the Unseen World"" 
[Geheimnisse der unsichtbaren Welt]
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											(Música)
									","
											(Música)
									","
											(Müzik)
									","
											(Musik)
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											Hay un movimiento bastante lento
											para que lo detecten nuestros ojos,
											y el lapso de tiempo que nos 
permite descubrir
											y ampliemos nuestra perspectiva de la vida.
											Podemos ver cómo los organismos
emergen y crecen,
											cómo una vid sobrevive 
trepando por los árboles
											para ver la luz del sol.
											Y a una gran escala,
											el lapso de tiempo nos permite ver
nuestro planeta en movimiento.
											No solo podemos ver 
la vasta extensión de la naturaleza
											sino el movimiento agitado 
de la humanidad.
											Cada línea marcada con un punto
representa un avión con pasajeros,
											y al convertir la información
del tráfico aéreo
											en una imagen de lapso,
											podemos ver algo que constantemente
está arriba de nosotros
											pero es invisible:
											la extensa red de tráfico aéreo
por todos los Estados Unidos.
											Lo mismo podemos hacer
con los barcos en el mar.
											Podemos convertir la información
en una vista del lapso de tiempo
											de una economía global en movimiento.
											Décadas de información
											nos permiten tener una vista completa 
de nuestro planeta
											como un único organismo
											sostenido por las corrientes que
circulan por todos los océanos
											y por las nubes que giran
por la atmósfera,
											latiendo con los relámpagos,
											coronado por la aurora boreal.
											Pudiera ser la última
imagen del lapso del tiempo:
											la anatomía de la Tierra 
traída a la vida.
									","
											Há movimentos que são demasiado lentos
											para os nossos olhos detectarem,
											e a câmara parada permite-nos descobrir
											e alargar a nossa perspectiva da vida.
											Conseguimos ver como
os organismos emergem e crescem,
											como uma planta trepadeira sobrevive
rastejando desde o solo da floresta
											para ver a luz do Sol.
											E, em grande escala,
											a câmara parada permite-nos 
ver o nosso planeta em movimento.
											Conseguimos ver não só 
a vasta extensão da Natureza,
											como também o movimento 
irrequieto da Humanidade.
											Cada um destes pontos que deixam rasto 
representa um avião de passageiros,
											e, transformando os dados do tráfego aéreo
											em imagens de câmara parada,
											conseguimos ver algo que está 
constantemente sobre a nossa cabeça
											mas é invisível:
											a vasta rede de deslocações 
aéreas sobre os Estados Unidos.
											Podemos fazer o mesmo 
com os navios no oceano.
											Podemos transformar os dados 
numa visão com câmara parada
											de uma economia global em movimento.
											E décadas de dados
											dão-nos uma visão de todo o planeta
											como um único organismo
											sustentado por correntes que circulam, 
percorrendo todos os oceanos
											e por nuvens que rodopiam 
por toda a atmosfera,
											pulsando com relâmpagos,
											coroadas pela aurora boreal.
											Pode ser a sequência temporal 
de imagens mais elementar:
											a anatomia da Terra trazida à vida.
									","
											Gözlerimizin algılayamayacağı kadar
											yavaş hareketler vardır
											ve hızlı çekim yaşama bakış açımızı
											keşfetmemizi ve genişletmemizi sağlar.
											Organizmaların nasıl belirip büyüdüğünü,
											orman tabanından bir sarmaşığın nasıl çıkıp,
											güneşe ulaşmaya çalıştığını görebiliriz.
											Ve daha büyük ölçekte ise,
											hızlı çekim, gezegenimizin hareketini görmemizi sağlar.
											Sadece doğadaki engin devinimleri değil,
											insanlığın duraksız hareketini de izleyebiliriz.
											Buradaki her nokta, bir yolcu uçağını simgeliyor
											ve hava trafik verilerini
											hızlı-çekim görüntülemeye çevirerek,
											sürekli üstümüzde olan görünmez bir şeyi
											görebiliriz:
											Amerika üzerindeki uçuşların dev ağını.
											Aynı şeyi denizdeki gemiler için de yapabiliriz.
											Veriyi, hızlı çekim görüntüsü hâline getirip
											küresel ekonominin hareketine bakabiliriz.
											Onlarca yıldır toplanan veri,
											bize gezegenimizin tek bir organizmaya benzeyen
											görüntüsünü veriyor;
											okyanuslarda dolaşan akıntılarla ve
											atmosferde gezinen bulutlarla devamlı kılınan,
											şimşeklerle titreyen ve
											kuzey ışıklarıyla taçlanan.
											Bu, nihai hızlı çekim görüntüsü olabilir:
											Dünya anatomisinin vücuda gelmiş hâli.
									","
											Es gibt Bewegung, 
die zu langsam ist,
											um sie mit den Augen wahrzunehmen,
											und Zeitraffer helfen uns 
bei der Entdeckung
											und Erweiterung 
unserer Sicht auf das Leben.
											Wir können sehen, wie Organismen 
entstehen und wachsen,
											wie eine Kletterpflanze überlebt, 
indem sie vom Waldboden
											zum Sonnenlicht kriecht.
											Und aus einer größeren Perspektive
											sehen wir im Zeitraffer 
unseren Planeten in Bewegung.
											Wir betrachten nicht nur 
den gewaltigen Strom der Natur,
											sondern auch die rastlose 
Bewegung der Menschheit.
											Jeder bewegte Punkt steht 
für ein Passagierflugzeug
											und indem wir Luftverkehrsdaten
											im Zeitraffer darstellen,
											sehen wir etwas, 
das sich stets über uns befindet,
											doch unsichtbar ist:
											Das riesige Netz des Luftverkehrs 
über den Vereinigten Staaten.
											Das Gleiche können wir 
mit Schiffen auf See tun.
											Wir können im Zeitraffer die Daten
											einer Weltwirtschaft 
in Bewegung darstellen.
											Und Daten von Jahrzehnten
											geben uns ein Bild 
unseres gesamten Planeten
											als Organismus.
											Getragen von den zirkulierenden 
Strömungen der Ozeane
											und von umherwirbelnden Wolken 
in der Atmosphäre,
											im Takt mit Blitzen,
											gekrönt vom nördlichen Polarlicht.
											Es ist das ultimative Zeitraffer-Bild:
											Die mit Leben erfüllte Anatomie der Erde.
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											Al otro extremo
											hay cosas que se mueven 
muy rápido ante nuestros ojos,
											pero contamos con la tecnología
que puede ver ese mundo
											también.
											Con cámaras de alta velocidad,
											podemos hacer lo contrario
que sucede con el lapso del tiempo.
											Podemos filmar imágenes 
que son mil veces
											más rápidas que nuestra visión.
											Y podemos ver cómo funcionan
los ingeniosos dispositivos de la naturaleza
											y quizá aún podemos imitarlos.
											Cuando una libélula revolotea,
											puede ser que no se den cuenta,
											pero es la mejor voladora 
de la naturaleza.
											Puede flotar en el aire,
volar hacia atrás,
											incluso boca abajo.
											Y al rastrear los marcadores
en las alas de los insectos,
											podemos visualizar 
el flujo de aire que producen.
											Nadie sabía el secreto,
											pero la alta velocidad muestra
que una libélula
											puede mover las cuatro alas
en direcciones diferentes
											al mismo tiempo.
											Y lo que aprendamos
nos puede llevar a
											clases nuevas de voladores robóticos
											que pueden expandir nuestra visión
											sobre lugares importantes y remotos.
									","
											No extremo oposto,
											há coisas que se mexem demasiado 
depressa para os nossos olhos,
											mas também temos tecnologia
											que consegue olhar para esse mundo.
											Com câmaras de alta velocidade,
											podemos fazer o contrário 
da câmara parada.
											Podemos captar imagens 
que são milhares de vezes
											mais rápidas do que a nossa visão.
											E podemos ver como funcionam
os dispositivos engenhosos da Natureza,
											e talvez até consigamos imitá-los.
											Quando uma libelinha 
passa por nós a bater as asas,
											talvez não se apercebam,
											mas é a maior voadora da Natureza.
											Consegue pairar, voar para trás,
											até de pernas para o ar.
											E, seguindo marcadores 
nas asas de um insecto,
											conseguimos visualizar 
o fluxo de ar que produzem.
											Ninguém sabia o segredo,
											mas a alta velocidade 
mostra que uma libelinha
											consegue mexer 
as quatro asas em direcções diferentes
											ao mesmo tempo.
											E o que descobrimos pode levar-nos
											a novos tipos de voadores robóticos
											que conseguem expandir a nossa visão
											de lugares importantes e remotos.
									","
											Öteki uçta ise,
											gözümüz için fazla hızlı hareket eden şeyler var.
											Ama bu dünyaya da bakmamızı sağlayan teknolojiye
											sahibiz.
											Yüksek hızlı kameralarla,
											hızlı çekimin tam tersini yapabiliriz.
											Görüşümüzden bin defa daha hızlı
											görüntüler çekebiliriz.
											Ve doğanın marifetli yaratıklarının nasıl çalıştığını görebiliriz
											ve hatta onları taklit edebiliriz.
											Bir yusufçuk kanat çırptığında
											farkına varmazsınız ama,
											o doğadaki en harika uçan canlıdır.
											Havada durabilir, geriye doğru uçabilir,
											hatta tepetaklak uçabilir.
											Ve bir böceğin kanatlarındaki işaretleri izleyerek,
											ürettikleri hava akımını gözümüzde canlandırabiliriz.
											Hiç kimse bu sırrı bilmiyordu,
											ancak yüksek hız bir yusufçuğun dört kanadını da
											aynı anda farklı yönlerde hareket
											ettirebildiğini gösteriyor.
											Ve öğrendiğimiz şey bizi
											önemli ve uzak yerlere olan görüşümüzü
											artıran yeni çeşit robotik uçanlara
											doğru götürebilir.
									","
											Im Gegensatz dazu
											gibt es Dinge, die zu schnell 
für unsere Augen sind.
											Doch es gibt Technologien,
											die auch in diese Welt schauen können.
											Mit Hochgeschwindigkeitskameras können wir
											das Gegenteil des Zeitraffers erschaffen.
											Wir können Bilder aufnehmen, 
die 1000-fach schneller sind
											als unser Sehvermögen.
											Wir können sehen, wie 
die genialen Bausteine der Natur wirken
											und sie unter Umständen sogar nachbilden.
											Wenn eine Libelle vorbeifliegt
											werden Sie es womöglich nicht bemerken,
											doch sie ist der beste Flieger der Natur.
											Sie kann schweben, rückwärts fliegen
											und sogar kopfüber fliegen.
											Und indem wir den Bewegungen 
der Insektenflügel folgen,
											können wir den erzeugten 
Luftstrom abbilden.
											Keiner kannte das Geheimnis,
											Hochgeschwindigkeitskameras 
aber zeigen, dass Libellen
											alle vier Flügel in 
unterschiedlichen Richtungen
											gleichzeitig bewegen können.
											Und das Gelernte verhilft uns
											zu neuartigen Flugrobotern,
											die uns einen Blick
											auf wichtige und 
abgelegene Orte erlauben.
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
","
","
","
",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
"
											Somos gigantes, y no estamos conscientes
											de las cosas que son muy pequeñas
para que nosotros las veamos.
											El microscopio de electrones
dispara electrones
											que crean imágenes
											que pueden magnificar cosas tantas veces
											como un millón de veces.
											Este es el huevo de una mariposa.
											Y hay criaturas ocultas
viviendo por todo nuestro cuerpo,
											incluyendo a los ácaros
que pasan toda su vida
											viviendo en sus pestañas,
											gateando por su piel durante la noche.
											¿Pueden adivinar qué es esto?
											Piel de tiburón.
											Una boca de una oruga.
											El ojo de una mosca de la fruta.
											Una cáscara de huevo.
											Una pulga.
											La lengua de un caracol.
											Pensamos que conocemos
la mayoría del reino animal,
											pero puede ser que haya millones
de especies pequeñas
											esperando ser descubiertas.
									","
											Somos gigantes e não nos apercebemos
											de coisas que são demasiado pequenas para vermos.
											O microscópio electrónico dispara electrões
											que criam imagens
											que conseguem ampliar as coisas
											até um milhão de vezes.
											Isto é o ovo de uma borboleta.
											E há criaturas ocultas que vivem 
por todo o nosso corpo,
											incluindo ácaros que passam a vida inteira
											a andar pelas nossas pestanas,
											a rastejar pela nossa pele à noite.
											Conseguem adivinhar o que é isto?
											Pele de tubarão.
											A boca de uma lagarta.
											O olho de uma mosca-da-fruta.
											Uma casca de ovo.
											Uma pulga.
											A língua de um caracol.
											Achamos que conhecemos 
a maior parte do reino animal,
											mas pode haver milhões 
de espécies minúsculas
											à espera de ser descobertas.
									","
											Biz dev gibiyiz ve görmek için çok küçük olan
											şeylerin farkında değiliz.
											Elektron mikroskobu, nesneleri
											milyon kez büyüten
											görüntüler yaratan
											elektronlar ateşler.
											Bu, bir kelebeğin yumurtası.
											Ve vücudunuzun her yerinde göremediğiniz yaratıklar bulunur,
											tüm hayatlarını kirpiklerinizde geçiren,
											geceleri derinizde yürüyen
											akarlar dahil.
											Bunun ne olduğunu tahmin edebiliyor musunuz?
											Köpekbalığı derisi.
											Bir tırtılın ağzı.
											Bir meyve sineğinin gözü.
											Bir yumurta kabuğu .
											Bir pire.
											Bir salyangozun dili.
											Hayvan krallığının çoğunu bildiğimizi zannediyoruz,
											ancak keşfedilmeyi bekleyen milyonlarca
											küçük tür bulunuyor olabilir.
									","
											Wir sind Riesen und 
bemerken die Dinge nicht,
											die für uns zu klein sind, 
um gesehen zu werden.
											Das Elektronenmikroskop 
strahlt Elektronen ab,
											die Bilder
											millionenfach vergrößern.
											Das ist das Ei eines Schmetterlings.
											Überall auf unserem Körper 
leben unsichtbare Kreaturen.
											Unter anderem Milben, 
die ihr gesamtes Leben
											auf unseren Wimpern verbringen
											und nachts über unsere Haut kriechen.
											Können Sie erraten, 
was das ist?
											Haifischhaut.
											Der Mund einer Raupe.
											Das Auge einer Fruchtfliege.
											Eine Eierschale.
											Ein Floh.
											Die Zunge einer Schnecke.
											Wir denken, das gesamte 
Tierreich zu kennen,
											aber womöglich gibt es 
Millionen kleinster Spezien,
											die darauf warten, 
entdeckt zu werden.
											Auch eine Spinne hat 
große Geheimnisse.
									",Hidden miracles of the natural world,Louie Schwartzberg,7:24,"bacteria,film,insects,nanoscale,nature,photography"
