es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
											Si están presentes aquí hoy, y estoy muy contenta de que así sea,
											es porque han escuchado decir que el desarrollo sostenible
											nos salvará de nosotros mismos. Sin embargo, cuando no estamos en TED
											se nos dice que una agenda real de política sostenible no es viable.
											Especialmente en grandes áreas urbanas como Nueva York.
											Esto sucede porque los que tienen el poder de tomar decisiones,
											tanto en el sector público como en el privado,
											en realidad no sienten que están en peligro.
									","
											Se estão aqui hoje 
— e estou muito contente com isso —
											já ouviram dizer que só 
um desenvolvimento sustentado nos salvará.
											Mas, quando não estamos no TED,
											dizem-nos muitas vezes que não é possível
											uma verdadeira agenda 
de política sustentada
											especialmente em grandes áreas urbanas, 
como a cidade de Nova Iorque,
											porque a maior parte das pessoas 
com poder de tomada de decisões,
											tanto no setor público como no privado,
											não se sentem pessoalmente ameaçadas.
									","
											Bugün buraya geldiyseniz, ki burada olmanıza çok sevindim,
											hepiniz sürdürülebilir kalkınmanın bizleri kendimize karşı
											nasıl koruyacağını duymuşsunuzdur. Ancak, TED'de olmadığımız zaman,
											bizlere gerçek sürdürülebilirlik gündeminin özellikle New York gibi
											büyük kentsel alanlarda uygulanabilir olmadığı söylenir.
											Ve bunun sebebi, hem kamu sektöründe hem özel sektörde,
											karar alma yetkisine sahip kişilerin çoğunun,
											gerçekten tehlikede olmadıklarını hissetmesidir.
									","
											Si vous êtes là aujourd'hui — et j'en suis très heureuse —
											c'est que vous avez tous entendu parler de comment le développement durable
											nous sauvera de nous-même. Cependant, quand nous ne sommes pas à TED,
											on nous dit souvent qu'une véritable politique de développement durable n'est tout simplement pas réalisable.
											en particulier dans les grandes zones urbaines telles que New York City.
											Tout cela parce que la plupart des personnes qui détiennent le pouvoir de décision,
											que ce soit dans le secteur public ou privé,
											ne se sentent pas personnellement en danger.
									","
											Wenn Sie heute hier sind, und ich freue mich, dass Sie es sind,
											haben Sie alle schon davon gehört, dass nachhaltige Entwicklung
											uns vor uns selbst rettet. Wenn wir jedoch nicht bei TED sind,
											wird uns oft gesagt, dass ein echtes politisches Programm für Nachhaltigkeit,
											insbesondere in großen städtischen Gebieten wie New York City, einfach nicht realisierbar ist.
											Der Grund dafür ist, dass die meisten Entscheidungsträger
											im öffentlichen und privaten Sektor
											nicht wirklich das Gefühl haben, dass sie in Gefahr sind.
									",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
","
","
","
","
",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
											El motivo por el cual estoy aquí hoy es, en parte, por un perro:
											una cachorrita abandonada que encontré bajo la lluvia en 1998,
											que resultó ser una perra mucho más grande de lo que imaginé.
											Cuando llegó a mi vida, estábamos luchando contra un enorme depósito de desperdicios
											planificado en las orillas del East River, a pesar de que Nueva York
											ya manejaba más del 40% de todo el residuo comercial de la ciudad.
											Una planta de tratamiento de aguas residuales, otra de sedimentos de aguas residuales,
											cuatro plantas nucleares, el centro de distribución de alimentos más grande del mundo,
											y otras industrias que hacen circular a más de 60 000 camiones diésel cada semana.
											El área tiene, además, la menor cantidad de parques de la ciudad.
									","
											Em parte, estou aqui hoje, 
é por causa de um cão,
											um cachorro abandonado 
que encontrei à chuva, em 1998.
											Acabou por ser um cão 
muito maior do que eu julgava.
											Quando entrou na minha vida, 
estávamos a lutar
											contra um enorme aterro sanitaria 
planeado para a margem do East River,
											apesar de o nosso pequeno bairro 
da cidade de Nova Iorque
											já ter mais de 40% do lixo comercial 
de toda a cidade,
											uma instalação de tratamento de esgotos, 
outra de tratamento de lamas,
											quatro centrais elétricas,
											o maior centro mundial 
de distribuição de alimentos,
											assim como outras indústrias
											que trazem mais de 60 000 camiões 
à área todas as semanas.
											A área também tem 
uma das taxas mais baixas
											de parques por habitante, na cidade
									","
											Bugün buraya geliş sebebim kısmen bir köpek:
											1998 yılında yağmurda bulduğum terk edilmiş bir köpek.
											Beklediğimden daha da büyük bir köpek çıktı.
											O hayatıma girdiği zaman, New York'un bu küçük bölgesinde
											bütün şehrin ticari atıklarının zaten yüzde 40'ı işlenirken
											East River'da büyük bir atık tesisi kurulması planına karşı mücadele ediyorduk.
											Evsel atık su arıtma tesisi, çamur arıtma tesisi, dört adet enerji santrali,
											dünyanın en büyük gıda dağıtım merkezi,
											ve bölgeye her hafta 60:00'den fazla dizel kamyon getiren diğer endüstriler.
											Aynı zamanda bölge, şehrin en düşük nüfus-park oranına sahip.
									","
											Si je suis ici aujourd'hui, c'est, en partie, à cause d'un chien:
											une petite chienne que j'ai trouvé en 1998 par un jour de pluie.
											Il s'avère qu'elle est devenue bien plus grande que je ne l'aurais imaginé.
											Quand elle est entrée dans ma vie, nous étions en train de nous battre contre une énorme déchetterie
											qui devait s'installer au bord de l'East River, malgré le fait que notre petite partie de New York City
											devait déjà faire face à plus de 40 pourcents des déchets commerciaux de l'ensemble de la ville.
											Une station d'épuration des eaux usées, une usine de traitement des boues, quatre centrales électriques,
											le plus grand centre de distribution alimentaire du monde,
											ainsi que d'autres industries qui amènent chaque semaine plus de 60 000 passages de camions alimentés au diesel dans la zone
											Ce quartier a également le taux de parc par habitant le plus bas de la ville.
									","
											Der Grund, weswegen ich heute hier bin, ist zum Teil wegen eines Hundes,
											einem ausgesetzten jungen Hund, den ich 1998 im Regen fand.
											Sie wurde ein viel größerer Hund, als ich dachte.
											Als sie in mein Leben kam, kämpften wir gerade gegen eine riesige Müllentsorgungsanlage,
											die trotz der Tatsache, dass unser kleiner Stadtteil von New York City bereits
											mehr als 40 Prozent des Industrieabfalls der gesamten Stadt verarbeitete, am Ufer des East River geplant war.
											Ein Klärwerk mit Pelletierung, eine Klärschlammentsorgungsanlage, vier Kraftwerke,
											die größte Verteilungszentrale für Nahrungsmittel der Welt
											sowie andere Industrien, die mehr als 60.000 Dieselfahrzeuge pro Woche in das Gebiet schicken.
											Das Gebiet hat auch einen der niedrigsten Anteile an Parks für Menschen in der Stadt.
									",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
","
","
","
","
",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
											De modo que cuando me contactaron del Departamento de Parques
											para obtener un subsidio de 10 000 dólares en semillas para el desarrollo de proyectos
											a la orilla del río, pensé que las intenciones eran buenas pero un tanto ingenuas.
											Viví en esta área toda mi vida y no se podía ir al río por
											todas esas hermosas instalaciones que he mencionado antes.
											Un día, mientras corría en el parque, mi perra me condujo
											hacia lo que pensé que era simplemente otro basurero ilegal.
											Había malezas, pilas de basura y demás sustancias que no mencionaré aquí.
											Mi perra continuó conduciéndome hasta que llegamos al río.
											Supe que valía la pena salvar ese pequeño lugar olvidado,
											abandonado como la perra que me había llevado allí.
											Y supe que crecería hasta ser el orgulloso comienzo
											de la revitalización llevada a cabo por la comunidad del nuevo sur del Bronx.
									","
											Quando fui contactada pelo 
Departamento de Parques
											para um subsídio 
de 10 000 dólares em sementes
											para desenvolver projetos ribeirinhos,
											pensei que estavam 
a ser bem intencionados,
											mas um pouco ingénuos.
											Vivi nesta área toda a vida 
e nunca pudemos chegar ao rio
											por causa de todas essas 
""belas"" instalações que já referi.
											Uma manhã, quando estava a correr, 
com o meu cão,
											ele levou-me a um sítio que eu pensava 
ser mais uma lixeira ilegal.
											Havia ervas, pilhas de lixo e mais coisas 
que não vou referir aqui,
											mas ele continuava a puxar-me e, 
para lá de tudo aquilo estava o rio.
											Eu sabia que aquele beco abandonado
											— como o cão que ali me levava —
devia ser salvo.
											E sabia que viria a ser o início orgulhoso
											da revitalização feita pela comunidade 
da nova South Bronx.
									","
											Parklar ve Bahçeler müdürlüğü, nehir kenarı projelerine destek amacıyla
											10,000 dolarlık bir tohum bağışıyla ilgili aradığı zaman
											onların ciddi ama biraz saf olduklarını düşündüm.
											Ben hayatım boyunca bu bölgede yaşadım ve az önce dile getirdiğim
											bütün o sevimli tesislerden dolayı nehre gidemiyorduk.
											Sonra, bir sabah köpeğimle koşuya çıkmıştım ve köpeğim beni,
											yine başka bir kaçak çöp döküm alanı olduğunu düşündüğüm bir yere götürdü.
											Orada yabani otlar, çöp yığınları ve burada söylemeyeceğim başka şeyler vardı,
											köpeğim ısrarla çekmeye devam etti ve o da ne, alanın sonu nehirdi.
											Bu unutulmuş küçük sokağın bittiği yerin
											tıpkı beni oraya götüren terk edilmiş köpek gibi korumaya değer olduğunu biliyordum.
											Ve bunun gelişerek, yeni South Bronx'un toplumsal canlanmasının
											gurur verici başlangıcı olacağını biliyordum.
									","
											Alors quand j'ai été contactée par le Département des espaces verts
											à propos d'une subvention-test de 10 000 dollars pour renforcer les projets de développement des abords de la rivière,
											je me suis dit que leurs intentions étaient très louables mais un peu naïves.
											J'ai vécu toute ma vie dans ce quartier, et n'ai jamais pu aller jusqu'à la rivière à cause
											de toutes ces ""magnifiques"" usines dont j'ai parlé
											Puis un matin, lors de mon jogging avec ma chienne,
											elle me tira vers ce que je pensais n'être qu'une autre décharge illégale.
											Il y avait là des herbes folles, des tonnes de déchets et d'autres choses dont je ne parlerai pas ici
											mais elle continua à m'y entrainer — et oh surprise! au bout de ce terrain se trouvait la rivière.
											J'ai su tout de suite que cette petite impasse oubliée de tous,
											abandonnée tout comme la chienne qui m'y avait emmenée, valait le coup d'être sauvée.
											Et j'ai su qu'elle deviendrait le point de départ des débuts prometteurs
											d'une revitalisation du nouveau South Bronx portée par la communauté.
									","
											Als mich das Parks Department wegen einer
											Unterstützung in Höhe von 10.000 USD zur Entwicklung von Uferprojekten ansprach,
											dachte ich, dass sie zwar guten Willens, jedoch etwas naiv waren.
											Ich habe mein ganzes Leben in dieser Gegend gelebt und man konnte nicht zum Fluss gelangen
											wegen all dieser netten Anlagen, die ich zuvor erwähnt habe.
											Dann, als ich an einem Morgen mit meinem Hund joggte,
											zog sie mich an eine Stelle, von der ich dachte, sie sei nur wieder eine illegale Müllkippe.
											Ich sah Unkraut und Berge von Müll und andere Dinge, die ich hier nicht erwähnen möchte,
											aber sie zog mich immer weiter und siehe da, am Ende des Geländes war der Fluss.
											Ich wusste, dass diese vergessene kleine Sackgasse,
											die genauso verlassen wurde wie der Hund, der mich hierhergebracht hatte, es wert war, gerettet zu werden.
											Und ich wusste, dass sie den stolzen Anfang einer von
											der Kommune geführten Revitalisierung der neuen Südbronx machen würde.
									",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
","
","
","
","
",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
											Y, como mi perra, fue una idea que creció más de lo que había imaginado.
											Cosechamos mucho apoyo durante el camino.
											Y el Hunts Point Riverside Park se convirtió en el primer parque de la ribera del río,
											el primero que tuvo el sur del Bronx en más de 60 años.
											Multiplicamos ese subsidio de 10 000 dólares en semillas por 300, y así
									","
											Tal como o meu novo cão, foi uma ideia 
que se tornou maior do que eu julgava.
											Fomos arranjando muitos apoios.
											O Parque Hunts Point Riverside 
foi o primeiro parque ribeirinho
											que o South Bronx teve em mais de 60 anos.
											Multiplicámos por 300 o subsídio 
de 10 000 dólares,
											para um parque de 3 milhões de dólares.
									","
											Ve bu, tıpkı köpeğim gibi, tahminimden daha büyük bir fikir haline geldi.
											Gittikçe daha da çok destek gördük.
											Ve Hunts Point Riverside Park, South Bronx'un
											son 60 yılda sahip olduğu ilk nehir kenarı parkı oldu.
											10,000 dolarlık tohum bağışını 300 kat arttırıp 3 milyon dolarlık bir parka dönüştürdük.
									","
											Et tout comme ma nouvelle chienne, cette idée est devenue bien plus grande que je ne l'aurais imaginé
											Nous avons, au fur et à mesure, recueilli beaucoup de soutien.
											Et le Hunts Point Riverside Park devint le premier parc au bord de l'eau
											du South Bronx en plus de 60 ans.
											Nous avons multiplié par 300 l'aide initiale de 10 000 dollars pour déboucher sur un parc de 3 millions de dollars.
									","
											Und wie mein neuer Hund nahm diese Idee größere Ausmaße an, als ich es mir vorgestellt hatte.
											Wir erhielten viel Unterstützung auf dem Weg.
											Und der Hunts Point Riverside Park wurde zu unserem ersten Park am Fluss
											in der Südbronx seit mehr als 60 Jahren.
											Wir vervielfachten die 10.000 USD Unterstützung um mehr als 300 Mal in einen drei Millionen USD Park.
									",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
","
","
","
","
",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
"
											se convirtió en un parque de 3 millones de dólares. Y en el otoño... en realidad
											voy a comprometerme con mi pareja. Muchas gracias. (Aplausos)
											Ese fue él que presiona estos botones de aquí, lo hace todo el tiempo.
											(Risas). (Aplausos)
									","
											No outono, é lá que vou 
ficar noiva do meu amado.
											(Aplausos)
											Muito obrigada.
											(Aplausos)
											Lá está ele aos comandos, 
uma coisa que está sempre a fazer.
											(Risos)
											(Aplausos)
									","
											Ve sonbaharda
											sevgilimin evlenme teklifini kabul edeceğim. Çok teşekkür ederim. (Alkış.)
											Her zamanki gibi arkada beni teşvik ediyor.
											(Gülüşmeler.) (Alkış.)
									","
											Et à l'automne, je vais en fait —
											je vais y échanger mes voeux de mariage avec mon bien-aimé. Merci beaucoup.
											C'est lui, là, derrière aux commandes, mais ce n'est pas comme ça tous les jours!
											(Rires) (Applaudissement)
									","
											Und im Herbst werde ich sogar
											das Ehegelübde mit meinem Verlobten ablegen. Vielen Dank.
											Das ist er, er drückt immer meine Knöpfe, das macht er immer.
											(Gelächter) (Applaus)
									",Greening the ghetto,Majora Carter,18:36,"MacArthur grant,activism,business,cities,environment,green,inequality,politics,pollution"
