es,tr,de,title,speaker,duration,tags
"
","
","
",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
											De niño soñaba con el océano.
											Para mí era ese lugar salvaje
lleno de color y vida,
											morada de unas criaturas
de aspecto extraño y fantástico.
											Imaginaba tiburones gigantes
que dominaban la cadena trófica
											y elegantes tortugas que bailaban
entre los arrecifes de coral.
											Como biólogo marino
convertido en fotógrafo.
											he pasado la mayor parte de mi carrera
											en busca de lugares igual de mágicos
											con los que soñaba de niño.
											Como pueden ver,
											empecé a explorar las aguas
desde una edad temprana.
											Pero la primera vez que buceé en serio
											solo tenía unos 10 años.
											Todavía recuerdo perfectamente
cómo nadé frenéticamente
											para conseguir llegar a este viejo cañón
incrustado en los arrecifes de coral.
											Cuando por fin llegué a tocarlo,
											miré arriba, y vi
que me rodearon al instante
											peces de todos los colores del arco iris.
											Ese fue el día en que
me enamoré del océano.
									","
											Çocukken okyanus hayal ederdim.
											Bu vahşi alan, fantastik yaratıkların
											evi ve renkli, hayat dolu bir yerdi.
											Besin zincirini yöneten köpek balıklarını,
											dansçı deniz kaplumbağalarını düşünürdüm.
									","
											Als Kind habe ich oft vom Ozean geträumt.
											Es war dieser wilde Ort 
voller Farben und Leben,
											Heimat dieser fremd wirkenden, 
fantastischen Kreaturen.
											Ich stellte mir große Haie 

											am Ende der Nahrungskette vor
											und sah anmutige Meeresschildkröten, 

											die über Korallenriffe tanzen.
									",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
","
","
",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
											[Thomas Peschak]
									","
											Fotoğrafçılık yapan bir deniz biyoloğu
											olarak vaktimi küçükken hayal ettiğim
											kadar büyülü yerler bulmaya harcadım.
											Gördüğünüz gibi,
											oldukça genç yaşta suları keşfe başladım.
											Ama ilk kez gerçekten suya daldığımda
											yaklaşık on yaşındaydım.
											Üstü kabuklanmış eski bir topa ulaşmak
											için kızgınca yüzdüğümü hiç unutmam.
											Topu nihayet tuttuğumda yukarı baktım
											ve anında gökkuşağının her renginden
											balıklarla çevrelenmiştim.
											İşte o gün okyanusa âşık oldum.
									","
											Als Fotograf und Meeresbiologe
											habe ich die meiste Zeit damit verbracht,
											solche magischen Orte zu suchen, 
von denen ich als Kind träumte.
											Wie man sieht,
											begann ich schon ziemlich früh,
Gewässer zu erkunden.
											Doch meinen ersten richtigen Tauchgang
											machte ich mit etwa 10 Jahren.
											Ich erinnere mich daran,
dass ich wie wild paddelte,
											um zu dieser alten, krustigen 
Kanone auf einem Riff zu gelangen.
											Als ich sie endlich zu fassen bekam,
											schaute ich auf, und war
sofort von Fischen umgeben,
											in allen Farben des Regenbogens.
											An diesem Tag verliebte
ich mich in den Ozean.
									",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
","
","
",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
											[Fotógrafo de la conservación]
									","
											Thomas Peschak
									","
											Naturschutzfotograf
									",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
","
","
",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
											En mis 40 años en este planeta,
											he tenido el gran privilegio
											de explorar algunos de los paisajes
marinos más sorprendentes
											para la revista National Geographic
											y la Fundación Save Our Seas.
											He fotografiado todo
desde tiburones extremadamente grandes
											hasta otros tan diminutos
que caben en la palma de la mano.
											Sentí el aliento a pescado
de las ballenas jorobadas
											mientras comían
a pocos metros de distancia
											en los mares fríos lejos de la costa
de la Selva del Gran Oso de Canadá.
											Fui testigo de los rituales
de apareamiento
											de las tortugas marinas verdes
en el canal de Mozambique.
									","
											Koruma Fotoğrafçısı
									","
											In meinen 40 Jahren auf diesem Planeten
											hatte ich das große Privileg,
											einige seiner unglaublichsten 
Meereslandschaften
											für das National Geographic Magazin
und die Stiftung ""Save Our Seas""
											zu entdecken.
											Ich habe alles fotografiert:
von sehr, sehr großen Haien
											zu ganz kleinen, die in 
eine Handfläche passen.
											Ich habe den sehr fischigen Atem
von Buckelwalen gerochen,
											die im kalten Wasser vor dem
kanadischen Great Bear Rainforest
											nur wenige Meter vor mir gefressen haben.
											Ich wurde in die Paarungsrituale 
von Suppenschildkröten
											im Mosambik-Kanal eingeweiht.
									",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
","
","
",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
"
											Todo el mundo afecta al océano
y se ve afectado por él.
											Los mares de aguas cristalinas,
con los que soñé de niño
											son cada vez más difíciles de encontrar.
											Cada vez son más reducidos
											y cada vez están más amenazados.
											A medida que los humanos
seguimos manteniendo nuestro puesto
											de depredadores número uno del planeta
											fui testigo y fotografié
muchos de estos efectos dominó.
											Durante mucho tiempo pensé
que tenía que sacar a mi público
											a golpes, de su indiferencia,
con imágenes perturbadoras.
											Pero si bien este enfoque
tiene sus méritos,
											entré en un círculo vicioso.
											Creo que la mejor manera
de lograr un cambio
											es mediante el amor.
											Creo que soy
una especie de Celestina
											y, como fotógrafo,
											tengo la rara oportunidad
											de revelar animales y ecosistemas enteros
											que se esconden debajo
de la superficie del océano.
											No podemos amar algo
y defenderlo con pasión
											si no sabemos que existe.
											Revelarlo, ese es el poder
de la fotografía de conservación.
									","
											Bu gezegende bulunduğum 40 yılda
											National Geographic ve
											Denizlerimizi Kurtarın Derneği için
											bazı inanılmaz deniz manzaralarını
											keşfetme ayrıcalığını yakaladım.
											Devasadan ufacık köpek balıklarına
											kadar her şeyi fotoğrafladım.
											Kanada Büyükayı Yağmur Ormanı açıklarında
											yakınımda beslenen kambur balinaların
											balık kokan nefeslerini kokladım.
											Mozambik Kanalı'nda yeşil su kaplumbağası
											çiftleşme törenini izledim.
									","
											Jeder auf diesem Planeten 
hat eine Verbindung mit dem Ozean.
											Die unberührten Meere,
von denen ich als Kind träumte,
											sind immer schwieriger zu finden.
											Sie werden immer kleiner und gefährdeter.
											Während wir Menschen weiterhin
											als vorderstes Raubtier 
auf der Erde agieren,
											habe ich viele der Konsequenzen
dessen gesehen und fotografiert.
											Lange Zeit dachte ich,
ich müsse mein Publikum
											mit schockierenden Bildern
aus seiner Gleichgültigkeit wecken.
											Dieser Ansatz hat zwar Vorteile,
											aber ich bin zum Anfang zurückgekehrt.
											Der beste Weg für mich ist,
Liebe zu verkaufen,
											um etwas zu verändern.
											Ich sehe mich selbst als eine Art Kuppler,
											und als Fotograf habe ich 
die seltene Gelegenheit,
											Tiere und ganze Ökosysteme zu zeigen,
											die unter dem Meer versteckt sind.
											Man kannst nichts lieben und retten,
											wenn man nicht weißt, dass es existiert.
											Dafür gibt es die Naturschutzfotografie.
									",Dive into an ocean photographer's world,Thomas Peschak,10:10,"adventure,biodiversity,beauty,animals,curiosity,conservation,environment,fish,exploration,global issues,future,nature,mission blue,photography,sustainability,water,oceans,science and art,ecology,marine biology"
