en,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											Let me introduce you to
											something I've been working on.
											It's what the Victorian illusionists
											would have described as a mechanical marvel,
											an automaton,
											a thinking machine.
											Say hello to EDI.
											Now he's asleep. Let's wake him up.
											EDI, EDI.
									","
											Deixem-me apresentar-vos
											aquilo em que tenho
estado a trabalhar.
											Uma coisa que os ilusionistas
da era vitoriana
											chamariam de ""maravilha mecânica""
											""autómato"",
											""máquina pensante"".
											Apresento-vos o EDI.
											Está a dormir.
Vamos acordá-lo.
											
EDI, EDI.
									","
											Permettez-moi de vous présenter
											une chose sur laquelle j'ai travaillée.
											C'est ce que les illusionnistes
de l'ère victorienne
											auraient décrit comme étant 
une merveille de la mécanique,
											un automate,
											une machine pensante.
											Dites bonjour à EDI.
											Il est endormi. Essayons de le réveiller.
											EDI, EDI.
									","
											Ich möchte Ihnen etwas vorstellen,
											woran ich gearbeitet habe.
											Das hätten viktorianische Illusionisten
											als ein mechanisches Wunder 
beschrieben,
											als einen Automaten,
											eine Maschine, die denken kann.
											Sagen Sie hallo zu EDI.
											Er schläft noch. 
Wecken wir ihn auf.
											""EDI, EDI.""
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											These mechanical performers were popular
											throughout Europe.
											Audiences marveled at the way they moved.
											It was science fiction made true,
											robotic engineering in a pre-electronic age,
											machines far in advance of anything
											that Victorian technology could create,
											a machine we would later know
											as the robot.
									","
											Estes artistas mecânicos eram populares
											pela Europa fora.
											O público maravilhava-se
por onde passavam.
											Eram ficção científica
tornada realidade,
											engenharia robótica
da era pré-eletrónica,
											máquinas mais avançadas
do que quaisquer outras
											que a era vitoriana conseguia criar,
											a máquina a que mais tarde chamámos
											de robô.
									","
											Ces artistes mécaniques
											étaient populaires à travers l’Europe.
											Les gens étaient émerveillés
par leur façon de bouger.
											C'était de la science-fiction
devenue réalité,
											de l'ingénierie robotique 
dans une ère pré-électronique,
											des machines très avant-gardistes
											par rapport à tout ce que les Victoriens
ont pu inventer comme technologie.
											Une machine 
qui sera plus connue par la suite,
											sous le nom de robot.
									","
											Diese mechanischen Darsteller
											waren in ganz Europa beliebt.
											Die Zuschauer wunderten sich 
über die Art der Bewegung.
											Science Fiction wurde Realität,
											Robotertechnik 
im vor-elektronischen Zeitalter,
											Maschinen, die weit 
über das hinaus gingen,
											was die viktorianische Technik 
entwickeln konnte,
											eine Maschine, die wir später
											als Robotor kennen würden.
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											EDI: Robot. A word coined in 1921
											in a science fiction tale
											by the Czech playwright Karel Čapek.
											It comes from ""robota.""
											It means ""forced labor.""
									","
											EDI: Robô. 

											Uma palavra criada em 1921 
num conto de ficção científica
											do escritor checo Karel Čapek.
											Provém de ""robota"".
											Significa ""trabalho forçado"".
									","
											EDI : Un mot inventé en 1921
											dans un conte de science-fiction
											par le dramaturge tchèque Karel Čapek.
											Cela vient de « robota ».
											Cela veut dire « travail forcé ».
									","
											EDI: Roboter. 
Das Wort wurde 1921
											in einer Science-Fiction-Geschichte
											von dem tschechischen Bühnendichter 
Karel Čapek geprägt.
											Es stammt ab von ""robota""
											und bedeutet ""Zwangsarbeit"".
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											Marco Tempest: But these robots were not real.
											They were not intelligent.
											They were illusions,
											a clever combination of mechanical engineering
											and the deceptiveness of the conjurer's art.
											EDI is different.
											EDI is real.
									","
											Marco Tempest: Mas esses
robôs não eram reais.
											Não eram inteligentes.
											Eram ilusões,
											uma inteligente combinação
de engenharia mecânica
											com a capacidade de iludir
a arte do seu utilizador.
											O EDI é diferente.
											O EDI é real.
									","
											Marco Tempest : Mais ces robots
n'étaient pas réels.
											Ils n'étaient pas intelligents,
											c'était des illusions,
											un savant mélange de génie mécanique
											et du caractère trompeur
de l'art de l'illusionnisme.
											EDI est différent.
											EDI est réel.
									","
											Marco Tempest: Aber das 
waren keine richtigen Roboter.
											Sie waren nicht intelligent.
											Sie waren nur Illusionen,
											eine clevere Kombination 
aus Maschinentechnik
											und der Täuschung 
der Zauberkunst.
											EDI ist anders.
											EDI ist ein richtiger Roboter.
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											EDI: I am 176 centimeters tall.
									","
											EDI: Meço 1,76 m.
									","
											EDI : Je mesure 176 cm.
									","
											EDI: Ich bin 176 cm groß.
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											MT: He weighs 300 pounds.
									","
											MT: E pesa 150 quilogramas.
									","
											MT : Il pèse 136 kg.
									","
											MT: Er wiegt 300 Pfund (135kg).
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											EDI: I have two seven-axis arms —
									","
											EDI: Tenho dois braços com
sete articulações...
									","
											EDI : J'ai deux bras de sept axes -
									","
											EDI: Ich habe zwei 7-achsige Arme —
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											MT: Core of sensing —
									","
											MT: Núcleo sensorial...
									","
											MT : Un noyau de détection -
									","
											MT: Sensorkern —
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											EDI: A 360-degree sonar detection system,
											and come complete with a warranty.
									","
											EDI: Um sistema de sonar de 360 graus,
											e até venho com garantia.
									","
											EDI: Un système de détection
sonar de 360 ​​degrés,
											et livré avec une garantie.
									","
											EDI: Ein 360-Grad-Geräuschortungssystem,
											und mich gibt es komplett mit Garantie.
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											MT: We love robots.
									","
											MT: Adoramos robôs.
									","
											MT : Nous aimons les robots.
									","
											MT: Wir lieben Roboter.
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
											EDI: Hi. I'm EDI. Will you be my friend?
									","
											EDI: Olá. Sou o EDI.
Queres ser meu amigo?
									","
											EDI : Salut. Je m'appelle EDI.
Veux-tu être mon ami ?
									","
											EDI: Hi. Ich bin EDI. 
Willst du mein Freund sein?
									","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
"
","
","
","
","And for my next trick, a robot",Marco Tempest,6:18,"entertainment,magic,robots,technology"
