en,es,tr,title,speaker,duration,tags
"
","
","
",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
											15th century Europeans believed 
they had hit upon a miracle cure:
											a remedy for epilepsy, hemorrhage, 
bruising, nausea,
											and virtually any other 
medical ailment.
											This brown powder could be mixed 
into drinks, made into salves
											or eaten straight up.
											It was known as mumia and made 
by grinding up mummified human flesh.
									","
											Los europeos del siglo XV creyeron
haber encontrado una cura milagrosa:
											un remedio para la epilepsia,
la hemorragia, los hematomas, las náuseas
											y prácticamente cualquier
otro tipo de problema de salud.
											Este polvo marrón 
podía incorporarse en bebidas,
											usarse como ungüento
											o ingerirse directamente por boca.
											Se lo conocía como ""mumia""
											y se obtenía triturando
carne humana momificada.
									","
											15. yüzyıl Avrupalıları mucize 
bir kür keşfettiklerini sanıyorlardı:
											epilepsi, kanama, morarma, bulantı
											ve neredeyse diğer tüm 
hastalıklar için bir çare.
											Bu kahverengi toz,
içeceklere karıştırılabiliyor,
											merhem hâline getirilebiliyor
veya doğrudan yenilebiliyordu.
											Mumya olarak biliniyordu ve mumyalanmış
insan eti öğütülerek yapılıyordu.
									",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
","
","
",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
											The word ""cannibal"" dates from the 
time of Christopher Columbus;
											in fact, Columbus may even have 
coined it himself.
											After coming ashore on the 
island of Guadaloupe,
											Columbus' initial reports back 
to the Queen of Spain
											described the indigenous people as 
friendly and peaceful—
											though he did mention rumors of a 
group called the Caribs,
											who made violent raids and then cooked 
and ate their prisoners.
											In response, Queen Isabella granted 
permission to capture and enslave
											anyone who ate human flesh.
											When the island failed to produce the gold
Columbus was looking for,
											he began to label anyone who resisted his 
plundering and kidnapping as a Caribe.
											Somewhere along the way, the word ""Carib"" 
became ""Canibe"" and then ""Cannibal.""
											First used by colonizers to dehumanize 
indigenous people,
											it has since been applied to anyone 
who eats human flesh.
									","
											La palabra ""caníbal"" data 
de la época de Cristóbal Colón.
											Incluso se especula
con que él mismo inventó el término.
											Tras desembarcar en la isla de Guadalupe,
											Colón escribió en sus primeras 
crónicas a la reina de España
											que los pueblos indígenas
eran amables y pacíficos,
											aunque mencionó rumores 
sobre la existencia de los ""caribes"",
											una tribu que, tras violentos ataques,
cocinaban y comían a sus prisioneros.
											Como resultado, la reina Isabel concedió
el permiso de capturar y esclavizar
											a toda persona que comiera carne humana.
											Al ver que la isla no contenía
el oro que buscaba,
											Colón empezó a llamar a quien 
se resistía a sus saqueos y secuestros
											con el nombre de ""caribe"".
											Con el tiempo, la palabra ""caribe""
derivó en ""canibe"" y de allí en ""caníbal"".
											El término, inicialmente usado
por los colonizadores
											para deshumanizar a los indígenas,
											se aplicó desde entonces para designar
a todo aquel que comiera carne humana.
									","
											""Yamyam"" kelimesi,
Kristof Kolomb'un zamanına ait.
											Hatta Kolomb'un kendisi 
bile uydurmuş olabilir.
											Guadeloupe adasında 
karaya çıktıktan sonra
											Kolomb'un İspanya Kraliçesi'ne 
verdiği ilk raporlar
											yerli halkı dostane ve barışçıl 
olarak nitelendirdi.
											Gerçi, şiddetli baskınlar yapan 
ve daha sonra tutsaklarını pişirip yiyen
											Caribler adlı bir grubun 
rivayetinden de bahsetti.
											Buna karşılık, Kraliçe Isabella, 
insan eti yiyenleri
											yakalamaya ve esir etmeye izin verdi.
											Ada, Kolomb'un istediği altını
üretemediğinde Kolomb,
											yağmalamaya ve kaçırılmaya direnen herkesi
Carib olarak sınıflandırmaya başladı.
											Zaman içinde ""Carib"" kelimesi ""Canibe"",
sonra da ""Cannibal"" yani ""yamyam"" oldu.
											İlk kez, yerli halkı canavarlaştırmak için
sömürgeciler tarafından kullanılan
											bu kelime o zamandan beri,
insan eti yiyenler için kullanılıyor.
									",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
","
","
",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
											So the term comes from an account that 
wasn't based on hard evidence,
											but cannibalism does have a real and 
much more complex history.
											It has taken diverse forms— sometimes, 
as with mumia,
											it doesn't involved recognizable parts 
of the human body.
											The reasons for cannibalistic practices 
have varied, too.
											Across cultures and time periods, there's 
evidence of survival cannibalism,
											when people living through a famine, 
siege or ill-fated expedition
											had to either eat the bodies of the dead 
or starve to death themselves.
											But it's also been quite common 
for cultures
											to normalize some form of eating human 
flesh under ordinary circumstances.
											Because of false accounts 
like Columbus's,
											it's difficult to say exactly how common 
cultural cannibalism has been—
											but there are still some examples of 
accepted cannibalistic practices
											from within the cultures practicing them.
									","
											Así pues, los antecedentes de este vocablo
carecen de fundamentos concluyentes,
											pero lo cierto es que el canibalismo
tiene una historia real y más compleja.
											Ha adoptado diversas formas
que, a veces, como la mumia,
											no incluye partes reconocibles
del cuerpo humano.
											Las razones que llevaron
a la práctica del canibalismo
											también fueron variando.
											En distintas culturas y épocas, 
ha habido evidencia de canibalismo
											con fines de supervivencia.
											Por ejemplo, en casos de hambruna,
asedio o expediciones malogradas,
											las personas involucradas 
debían comer cadáveres humanos
											o bien morir de inanición.
											Sin embargo, algunas culturas
llegaron a normalizar
											la práctica de comer carne humana
en ciertas situaciones de la vida.
											A raíz de relatos falsos
como los de Colón,
											se desconoce a ciencia cierta
si el canibalismo era tan común.
											Pero aún existen algunos ejemplos
de prácticas caníbales
											aceptadas en la cultura que las adoptan.
									","
											Yani bu terim, kesin kanıtlara 
dayanmayan bir açıklamadan geliyor.
											Ancak yamyamlığın gerçek
ve çok daha karmaşık bir geçmişi var.
											Değişik biçimler aldı.
											Bazen mumyalardaki gibi insan vücudunun 
tanınabilir kısımlarını içermiyordu.
											Yamyamlığın uygulanması da
değişiklik gösterdi.
											Farklı kültürler ve dönemler boyunca, 
hayatta kalma yamyamlığının kanıtları var.
											Kıtlık, kuşatma veya bahtsız
bir keşif zamanında yaşayanlar
											ya ölenlerin cesetlerini yemek
ya da açlıktan ölmek zorunda kalıyorlardı.
											Fakat kültürlerin normal koşullarda
											yamyamlığın bazı çeşitlerini 
normalleştirmesi de oldukça yaygındı.
											Kolomb gibilerin yanlış 
açıklamaları yüzünden,
											kültürel yamyamlığın tam olarak 
ne kadar yaygın olduğunu söylemek güçtür.
											Ancak hâlâ bunları uygulayan 
kültürlerin kabul ettiği
											yamyamlık uygulamaları var.
									",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
","
","
",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
											Take the medicinal cannibalism in Europe 
during Columbus's time.
											Starting in the 15th century, the demand 
for mumia increased.
											At first, stolen mummies from Egypt 
supplied the mumia craze,
											but soon the demand was too great to be 
sustained on Egyptian mummies alone,
											and opportunists stole bodies from 
European cemeteries to turn into mumia.
											Use of mumia continued for 
hundreds of years.
											It was listed in the Merck index, 
a popular medical encyclopedia,
											into the 20th century.
											And ground up mummies were far from 
the only remedy made from human flesh
											that was common throughout Europe.
											Blood, in either liquid or powdered form, 
was used to treat epilepsy,
											while human liver, gall stones, oil 
distilled from human brains,
											and pulverized hearts were popular 
medical concoctions.
									","
											Tal es el caso del canibalismo medicinal
practicado en Europa en la época de Colón.
											A partir del siglo XV, 
la demanda de mumia aumentó.
											En un principio, esta demanda fue suplida
con momias robadas en Egipto,
											pero, al poco tiempo, ya no alcanzó para 
sostenerla exclusivamente por este medio,
											y surgieron oportunistas que robaban
cadáveres de los cementerios en Europa
											para suplir la demanda de mumia.
											El consumo de este remedio 
se extendió cientos de años.
											Llegó a integrar el índice de Merck,
una conocida enciclopedia de medicina,
											hasta el siglo XX.
											Y el polvo de momias no fue el único
remedio hecho a base de carne humana
											que circulaba en Europa.
											La sangre, líquida o en polvo, 
se usaba para tratar la epilepsia,
											en tanto que con el hígado, 
los cálculos biliares,
											aceite extraído del cerebro humano
y corazones reducidos a polvo
											se hacían mezclas medicinales
de uso popular.
									","
											Kolomb döneminde Avrupa’daki 
tıbbi yamyamlığı ele alalım mesela.
											15. yüzyıldan başlayarak
mumyalar için talep arttı.
											İlk başta, Mısır'dan çalınan mumyalar
mumya çılgınlığını karşıladı
											ama kısa sürede talep, yalnızca Mısır 
mumyalarının karşılayamayacağı kadar arttı
											ve fırsatçılar Avrupa mezarlıklarından
mumya yapmak için cesetler çaldılar.
											Mumya kullanımı yüzlerce yıl devam etti.
											Popüler bir tıp ansiklopedisi
olan Merck indeksinde
											mumya kullanımı 20. yüzyılda girdi.
											Öğütülmüş mumyalar,
Avrupa genelinde yaygın olan
											ve insan etinden yapılan tek kür değildi.
											Epilepsiyi tedavi etmek için 
ya sıvı ya da toz hâlde kan kullanılırken,
											insan karaciğeri, safra taşları,
insan beyninden damıtılmış yağ
											ve öğütülmüş kalpler
popüler tıbbi karışımlardı.
									",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
","
","
",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
"
											In China,
											the written record of socially accepted 
cannibalism goes back almost 2,000 years.
											One particularly common 
form of cannibalism
											appears to have been filial cannibalism,
											where adult sons and daughters would 
offer a piece of their own flesh
											to their parents.
											This was typically offered as a last-ditch
attempt to cure a sick parent,
											and wasn't fatal to their offspring—
											it usually involved flesh from the thigh 
or, less often, a finger.
									","
											En China, los registros escritos
											de prácticas caníbales socialmente 
aceptadas datan de casi 2000 años.
											Una forma muy particular de canibalismo
											parece haber sido el canibalismo filial:
											las hijas y los hijos adultos
ofrecían una porción de su propia carne
											a sus padres.
											Se recurría a esta práctica como
último intento por curar la enfermedad
											de uno de los progenitores
											sin poner en riesgo a los hijos,
											pues solían ofrecer parte de la pierna 
o, con menos frecuencia, un dedo.
									","
											Çin'de sosyal olarak
kabul gören yamyamlığın
											yazılı kaydı neredeyse
2.000 yıl öncesine dayanıyor.
											Özellikle yaygın bir yamyamlık biçimi
											yetişkin oğulların ve kızların
											ebeveynlerine kendi etlerinin
bir parçasını sunduğu
											evlat yamyamlığı.
											Bu, genellikle hasta bir ebeveyni
tedavi etmek için
											son bir çare olarak öneriliyordu
ve çocuklar için ölümcül değildi.
											Çoğunlukla uyluktan,
bazen de parmaktan et verilirdi.
									",A brief history of cannibalism,Bill Schutt,4:30,"animation,TED-Ed,culture,world cultures,china,ancient world,history,exploration,death,Egypt,medicine"
