tr,fr,de,title,speaker,duration,tags
"
","
","
",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
											Adım Dan Cohen, dediklerine göre akademisyenim.
											Bunun anlamı, ben tartışırım.
											Tartışmak hayatımın önemli bir kısmı ve tartışmayı severim.
											Sadece akademisyen değil aynı zamanda filozofum,
											yani tartışmada oldukça iyi olduğumu düşünürüm.
											Fakat aynı zamanda 'tartışma' hakkında düşünmekten de hoşlanırım.
									","
											Mon nom est Dan Cohen, et comme il l'a précisé,
je suis un universitaire.
											Cela veut dire que je débats.
											C'est une part importante de ma vie,
et j'aime ça.
											Je ne suis pas juste un universitaire,
je suis un philosophe,
											donc j'aime à penser que
je suis réellement un bon débatteur.
											Mais j'aime aussi réfléchir
à propos de l'argumentation.
									","
											Ich heiße Dan Cohen und wie er schon sagte, 
bin ich Wissenschaftler.
											Und das bedeutet, dass ich streite.
											Das ist ein wichtiger Teil meines Lebens 
und ich streite gerne.
											Ich bin nicht nur Wissenschaftler, 
sondern auch Philosoph,
											also würde ich behaupten, dass ich sogar 
sehr gut im Streiten bin.
											Aber ich denke auch gerne viel 
über das Streiten nach.
									",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
","
","
",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
											Ve tartışma hakkında düşünürken bazı sorunlarla karşılaştım,
											bunlardan biri,
											yıllardır tartışmak hakkında düşünen biri olarak,
											on yıllar oldu artık, daha iyi tartışır oldum,
											ama daha çok tartıştıkça ve tartışmada daha iyiye gittikçe
											daha çok kaybettim. Ve işte, sorun bu.
											Diğer sorun ise aslında kaybetmekle bir sorunumun olmaması.
											Neden kaybetmekle bir sorunum yok
											ve neden iyi tartışan birinin aslında
											daha çok kaybettiğini düşünüyorum?
									","
											En y réfléchissant,
je suis tombé sur des énigmes,
											et l'une d'elles est la suivante :
											comme j'ai beaucoup réfléchi à l'argumentation
pendant toutes ces années,
											des décennies maintenant,
je suis devenu meilleur en argumentation,
											mais plus j'avance, plus je m'améliore,
											et plus je perds. C'est vraiment une énigme.
											L'autre casse-tête, c'est que
je suis en fait à l'aise avec cela.
											Pourquoi est-ce que j'accepte la défaite
											et pourquoi est-ce que 
je pense que les bons débatteurs
											sont effectivement ceux qui perdent ?
									","
											Dabei bin ich 
auf ein paar Rätsel gestoßen
											und eines dieser Rätsel ist:
											Wenn ich an Streitgespräche 
im Verlauf der Jahre zurückdenke,
											über Jahrzehnte hinweg, dann bin ich 
im Streiten immer besser geworden,
											aber je mehr ich streite
und je besser ich darin werde,
											desto mehr verliere ich. 
Und das ist das Rätsel.
											Und das andere Rätsel ist, 
dass ich damit kein Problem habe.
											Wieso ist es für mich in Ordnung, 
wenn ich verliere
											und wieso denke ich, 
dass gute Streitgesprächspartner
											besser im Verlieren sind?
									",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
","
","
",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
											Evet, başka sorunlar da var.
											Biri, neden tartışırız? Tartışmanın kime yararı var?
											Ve şimdi argümanlar hakkında düşündüğümde,
											mesela kavramsal bir şeylerin tehlike içinde olduğu.akademik veya kavramsal argümanlar olsun,
											akademik veya kavramsal argümanlar olsun,
											Bu önerme doğru mu? Bu iyi bir teori mi?
											Verinin ya da metnin uygulanabilir bir yorumlaması mı?
											Bunun gibi şeyler. Kimin bulaşıkları yıkaması gerektiği
											ya da kimin çöpleri atması gerektiğiyle ilgili argümanlarla ilgilenmiyorum.
											Evet, böyle argümanlarımız da var.
											Bu argümanları kazanmaya eğilimliyim çünkü püf noktalarını biliyorum.
											Ama bunlar önemli argümanlar değil.
											Bugün akademik argümanlarla ilgileniyorum
											ve işte kafamı karıştıran şeyler.
									","
											Eh bien, il y a quelques autres énigmes.
											L'une est : pourquoi débattons-nous ?
Qui profite de ces débats ?
											Quand je pense aux débatsd'aujourd'hui,
											appelons-les débats académiques ou cognitifs,
											où un aspect cognitif est en jeu.
											Cette proposition est-elle vraie ?
Cette théorie est-elle une bonne théorie ?
											Est-ce une interprétation viable
des données ou du texte ?
											Et ainsi de suite. Je ne suis pas vraiment
intéressé par les débats à propos
											de savoir qui doit faire la vaisselle
ou qui doit sortir les poubelles.
											Oui, nous avons ces débats aussi.
											J'ai tendance à gagner ceux-là,
parce que je connais les astuces.
											Mais ce ne sont pas les débats importants.
											Je suis intéressé
par des débats académiques aujourd'hui,
											et voici les choses qui me laissent perplexe.
									","
											Nun, es gibt da 
noch ein paar andere Rätsel.
											Eines ist: Wieso streiten wir? 
Wer profitiert von Streitgesprächen?
											Bei Streitgesprächen, 
von denen ich spreche,
											nennen wir sie wissenschaftliche 
oder kognitive Dispute,
											steht etwas Kognitives 
auf dem Spiel.
											Ist diese Behauptung wahr? 
Ist diese Theorie eine gute?
											Ist das eine vertretbare Interpretation
der Daten oder des Textes? usw.
											Ich interesse mich nicht für Streitereien, 
bei denen es darum geht,
											wer mit Spülen an der Reihe ist 
oder wer den Müll raus bringt.
											Klar, solche Streitereien haben wir auch.
											Bei solchen Streitereien gewinne ich immer, 
weil ich die Tricks kenne.
											Aber das sind keine 
wichtigen Diskusssionen.
											Heute geht es mir um 
wissenschaftliche Streitgespräche
											und dies sind die Dinge, 
die mich ins Grübeln bringen.
									",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
","
","
",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
											İlki, iyi bir tartışmacı, tartışmayı kazanınca ne kazanır?
											Sizi, faydacılığın, etik teoriler hakkında düşünmek için
											doğru bir çerçeve olmadığına ikna etsem, ne kazanırım?
											Bir tartışmayı kazandığımızda ne kazanırız?
											Bundan da önce, Kant'ın teorilerinin işe yaradığını
											ya da Mill'in takip edilecek doğru ahlakbilimci olduğunu
											düşünseniz benim için ne fark eder.
											İşlevselciliğin akılda kalıcı bir teori
											olduğunu düşünmeniz beni ilgilendirmez.
											Öyleyse neden tartışmaya çalışıyoruz?
											Neden insanları inanmak istemedikleri şeylere
											inanmaya ikna etmeye çalışıyoruz?
											Ve bu acaba doğru bir şey mi? Başka bir insana
											istemedikleri şeyleri düşündürmek
											güzel bir davranış mı?
									","
											Tout d'abord, qu'est-ce que les bons débatteurs gagnent quand ils remportent un débat ?
											Que gagnerais-je
si je pouvais vous convaincre que
											l'utilitarisme n'est pas vraiment le meilleur cadre
d'une réflexion sur les théories éthiques ?
											Alors que gagnons-nous
quand nous remportons un débat ?
											Même avant cela, en quoi cela me concerne-t-il
											si vous avez cette idée
que la théorie de Kant fonctionne
											ou si Mill est le bon éthicien à suivre ?
											Cela m'importe très peu si vous pensez
											que le fonctionnalisme est
une théorie viable de l'esprit.
											Alors pourquoi essayons-nous
encore d'en débattre ?
											Pourquoi essayons-nous
de convaincre d'autres personnes
											de croire à des choses
qu'elles ne veulent pas croire ?
											Et est-ce même une bonne chose à faire ?
Est-ce un bon moyen
											de traiter un autre être humain,
d'essayer de
											lui faire penser quelque chose
qu'il n'a pas envie de penser ?
									","
											Erstens, was gewinnen die Gesprächspartner, 
wenn sie ein Streitgesrpäch gewinnen?
											Was gewinne ich, wenn ich Sie
davon überzeuge, dass
											Utilitarismus eigentlich nicht der richtige Rahmen 
ist, um über ethische Theorien nachzudenken?
											Was gewinnen wir also, 
wenn wir ein Streitgespräch gewinnen?
											Sogar noch wichtiger ist, 
warum ist es mir nicht egal,
											ob Sie denken, 
dass Kants Theorie haltbar,
											oder dass Mill der Ethiker ist, 
dem man zustimmen sollte?
											Es ist nicht meine Sache, 
ob Sie finden, dass
											der Funktionalismus 
eine vertretbare Theorie ist.
											Warum versuchen wir dann 
überhaupt zu streiten?
											Wieso versuchen wir, andere Menschen 
davon zu überzeugen,
											Dinge zu glauben, 
die sie nicht glauben wollen?
											Und ist das überhaupt in Ordnung? 
Behandelt man so Menschen,
											indem man versucht, sie dazu zu bringen,
											etwas zu denken, 
das sie nicht denken wollen?
									",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
","
","
",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
"
											Cevabım tartışmanın üç modeline
											değinmek olacak.
											İlk model, ona diyalektik model diyelim,
											tartışmayı savaş olarak düşündüğümüz modeldir, bunun nasıl olduğunu bilirsiniz.
											Bir sürü gürültüler, bağırışlar,
											kazananlar, kaybedenler vardır,
											ve bu tartışmak için faydalı bir model değildir,
											ancak oldukça yaygın ve köklü bir modeldir.
									","
											Eh bien, ma réponse va faire référence à
											trois modèles d'argumentation.
											Le premier modèle, que nous appellerons
le modèle dialectique,
											est que nous considérons les débats
comme un combat, et vous savez ce que c'est.
											Il y a beaucoup de cris et de hurlements,
											de victoires et de défaites,
											et ce n'est pas vraiment
un modèle très utile pour débattre,
											mais c'est un modèle assez commun
et tranché pour argumenter.
									","
											Meine Antwort wird sich auf
											drei Streitmodelle beziehen.
											Das erste Modell, nennen wir es 
dialektisches Modell, besagt,
											dass wir Auseinandersetzungen 
für Krieg halten.
											Sie wissen schon. 
Viel Geschrei und Gebrüll
											und Gewinnen und Verlieren
											und das ist kein sehr hilfreiches,
											aber ein ziemlich verbreitetes und 
etabliertes Streitmodell.
									",For argument's sake,Daniel H. Cohen,9:35,"TEDx,culture,language,philosophy"
