es,pt,fr,title,speaker,duration,tags
"
","
","
",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
											Ésta es una foto mia con mi papá
											en la playa de Far Rockaway,
											en realidad Rockaway Park.
											Yo soy el del cabello rubio.
											Mi papá es el del cigarrillo.
											Eran los sesentas. Mucha gente fumaba entonces.
											En el verano de 2009,
											le diagnosticaron a mi padre cáncer de pulmón.
											El cáncer es algo que afecta a todo el mundo.
											Si eres hombre y vives en Estados Unidos,
											tienes una probabilidad de 50 %
											de ser diagnosticado con cáncer 
en algún momento de la vida.
											Si eres mujer, tu probabilidad
es un tercio
											de que te diagnostiquen cáncer.
											Todo el mundo conoce a alguien
											con cáncer.
									","
											Esta é uma fotografia do meu pai e eu,
											tirada na praia Far Rockaway,
											atualmente Rockaway Park.
											Eu sou o loiro.
											O meu pai é o tipo do cigarro.
											Estamos nos anos 60. 
Muita gente fumava, nessa altura.
											No verão de 2009,
											foi diagnosticado ao meu pai
um cancro de pulmão.
											O cancro é uma dessas coisas 
que toca toda a gente.
											Um homem que viva 
nos Estados Unidos da América,
											ao longo da sua vida, tem sensivelmente
50% de possibilidades
											de ter um diagnóstico de cancro.
											Uma mulher, tem cerca 
de 33% de hipótese
											de vir a ter um diagnóstico de cancro.
											Todos conhecemos alguém
											a quem foi diagnosticado cancro.
									","
											Ceci est une photo de mon père et moi
											à la plage à Far Rockaway,
											ou plutôt à Rockaway Park.
											Je suis celui qui a les cheveux blonds.
											Mon père tient une cigarette.
											C'était les années 60. 
Beaucoup de gens fumaient à l'époque.
											Pendant l'été 2009,
											on a diagnostiqué 
un cancer du poumon à mon père.
											Le cancer fait partie de ces choses 
qui touchent tout le monde.
											Un homme aux États-Unis
											a une chance sur deux
											d'avoir un cancer au cours de sa vie.
											Une femme a une chance sur trois
											d'être atteinte d'un cancer.
											On connaît tous quelqu'un
											à qui on a diagnostiqué un cancer.
									",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
","
","
",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
											Mi papá está mejorando hoy en día,
											en parte porque
											pudo participar en una prueba
											de una nueva medicina experimental
											que resultó precisamente formulada
											y muy buena para su tipo particular de cáncer.
											Hay más de 200 tipos de cáncer.
											Y de lo que quiero hablar hoy es
											sobre cómo ayudar a personas como mi padre,
											porque tenemos que cambiar la 
forma de recaudar fondos
											para financiar la investigación del cáncer.
									","
											O meu pai está melhor hoje em dia,
											e parte dessa melhoria deve-se ao facto
											de ele ter participado 
no teste experimental
											de um novo medicamento
											que estava especialmente ajustado
											ao seu tipo específico de cancro.
											Existem mais de 200 tipos de cancro.
											É sobre isto que eu quero falar hoje.
											Como podemos ajudar 
mais pessoas como o meu pai.
											Temos de mudar a nossa forma 
de pensar sobre angariar mais dinheiro
											para financiar a pesquisa sobre o cancro.
									","
											Aujourd'hui, mon père va mieux
											et c'est en partie grâce au fait
											qu'il a pu participer aux essais cliniques
											d'un nouveau médicament
											qui s'est avéré être spécialement conçu
											et très efficace pour son type de cancer.
											Il y a plus de 200 types de cancer.
											Et ce dont je voudrais
parler aujourd'hui c'est
											comment nous pouvons aider 
plus de gens comme mon père.
											Nous devons changer notre façon
de concevoir la collecte de fonds
											pour financer la recherche sur le cancer.
									",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
","
","
",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
											Después de que mi padre fue diagnosticado,
											yo fui a tomar un café con mi amigo Andrew Lo,
											el jefe del laboratorio de 
ingeniería financiera en MIT,
											donde yo también trabajo.
											Estábamos hablando sobre cáncer.
											Andrew había estado haciendo 
su propia investigación,
											y una de las cosas que le habían dicho
											y que había aprendido del estudio de publicaciones,
											era que hay un gran cuello de botella.
											Es muy difícil desarrollar nuevos fármacos
											y la razón de esta dificultad
											es porque en las primeras etapas 
del desarrollo de medicamentos,
											las drogas son muy riesgosas,
											y muy caras.
											Entonces me preguntó si me gustaría
											trabajar con él un poco,
											en algunos de los cálculos y análisis
											a ver si podíamos encontrar qué se puede hacer.
									","
											Depois do diagnóstico do meu pai,
											eu estava a beber um café 
com o meu amigo Andrew Lo,
											Ele é o chefe do Laboratório 
para Engenharia Financeira no MIT,
											onde eu também tenho um cargo,
											e estávamos a falar sobre o cancro.
											O Andrew andara a fazer 
a sua própria pesquisa,
											e uma das coisas que lhe disseram
											e que ele aprendera 
ao estudar a documentação
											era que hoje existia 
um grande estrangulamento.
											É muito difícil desenvolver
novos medicamentos.
											É difícil desenvolver novos medicamentos
											porque as primeiras etapas 
do seu desenvolvimento
											são de elevado risco e são muito caras.
											O Andrew perguntou-me
se eu não queria trabalhar com ele,
											fazendo alguns cálculos 
matemáticos e de análise
											para descobrir algo que pudéssemos fazer.
									","
											Juste après le diagnostic,
											je prenais un café avec mon ami Andrew Lo.
											Il est à la tête du laboratoire 
de l'ingénierie financière au MIT,
											où je travaille aussi,
											et nous parlions de cancer.
											Et Andrew avait fait 
sa propre petite recherche,
											et l'une des choses qu'on lui a dites
											et qu'il a apprise 
en étudiant les publications
											est qu'en réalité,
il y a des obstacles au développement.
											Il est très difficile de fabriquer
de nouveaux médicaments,
											pour la raison que,
											dans les premiers stades de développement,
											les médicaments sont très risqués
											et très coûteux.
											Puis Andrew m'a demandé si je voulais
											éventuellement travailler un peu avec lui,
											sur les données 
et les méthodes mathématiques
											et voir si nous pouvions trouver
quelque chose que nous pouvions faire.
									",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
","
","
",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
											No soy científico.
											Es decir, no sé cómo hacer un fármaco.
											Y ninguno de mis coautores, Andrew Lo
											o José María Fernandez o David Fagnan,
											ninguno de ellos lo es.
											No sabemos cómo hacer un 
fármaco contra el cáncer.
											Pero sabemos algo de la mitigación del riesgo
											y un poco de ingeniería financiera.
											Entonces pensamos, ¿qué se podría hacer?
											Lo que voy a contarles es un trabajo
											que hemos estado haciendo en los últimos dos años
											que pensamos que podría cambiar la forma
											de hacer investigación sobre el 
cáncer y otros asuntos.
											Queremos que la investigación impulse la financiación,
											no al revés.
									","
											Bom, eu não sou cientista.
											Como imaginam, 
não sei fazer medicamentos.
											Nenhum dos meus colegas: Andrew Lo,
											José Maria Fernandez, ou David Fagnan,
											nenhum deles é cientista.
											Não sabemos como desenvolver 
um medicamento para o cancro.
											Mas sabemos qualquer coisa
sobre a atenuação de riscos
											e sobre engenharia financeira,
											pelo que começámos a pensar
no que podíamos fazer.
											Vou contar-vos um pouco do trabalho
											que temos feito nos últimos anos
											que, pensamos nós, 
poderá mudar de forma radical
											a forma como é feita 
a pesquisa para o cancro e outras coisas.
											Queremos que seja a investigação
a conduzir o financiamento,
											e não o contrário.
									","
											Je ne suis pas un scientifique.
											Je ne sais pas 
comment fabriquer un médicament.
											Mes co-auteurs, Andrew Lo,
											Jose Maria Fernandez et David Fagnan,
											ne sont pas des scientifiques non plus.
											On ne connaît rien sur la fabrication 
d'un médicament contre le cancer.
											Mais nous avons quelques
notions sur l'atténuation des risques
											et sur l’ingénierie financière,

											donc nous nous sommes dit :
« Que pourrions-nous faire ? »
											Je vais vous parler aujourd'hui 
d'un travail
											effectué au cours 
des deux dernières années
											et qui, à notre avis,
changera fondamentalement
											la façon d'effectuer les recherches 
sur le cancer, et bien d'autres choses.
											Nous voulons que la recherche
attire les financements,
											et pas le contraire.
									",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
","
","
",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
"
											Para empezar, déjenme decirles
											cómo se financia un fármaco.
											Imagina que estás en tu laboratorio,
											que eres un científico, no como yo,
											eres científico y has desarrollado
											un nuevo compuesto que podría ser
											útil para personas con cáncer.
											Bueno, lo primero es probarlo en animales,
											con tubos de ensayo,
											pero existe la idea de ir del laboratorio
											al lado de la cama
											y para llegar desde el laboratorio
											al lado de la cama de un paciente,
											hay que tener el medicamento probado.
											La manera de probar el fármaco es a través
											de una serie de experimentos,
											largos experimentos, llamados ensayos,
											que se hacen para determinar si el fármaco es seguro
											y si funciona y todas esas cosas.
											La FDA tiene un protocolo muy específico.
											La primera etapa de estas pruebas,
											que se llama prueba de toxicidad,
											es la fase I.
											En la primera fase, se da el fármaco a personas sanas
											y se ve si les hace daño.
											Es decir, si los efectos secundarios son graves,
											no importa cuánto bien haga,
											no vale la pena.
											¿Causa ataques cardiacos, mata a la gente,
											produce insuficiencia hepática, otras cosas?
											Y resulta que esto es un obstáculo muy grande.
											Como un tercio de los 
fármacos se abandonan en ese momento.
											En la siguiente fase, se prueba para 
ver si la droga es eficaz.
											Se le da a personas con cáncer
											y se ve si en realidad mejoran.
											Y eso es otro obstáculo mayor. 
Muchos desisten.
											Y en la tercera fase, se prueba con mucha gente
											para tratar de determinar cuál 
es la dosis correcta y también
											si es mejor que otras que están disponibles.
											Si no, entonces ¿para qué hacerla?
											Cuando se ha terminado con todo ello,
											se ve que un porcentaje 
muy pequeño de fármacos
											que inician el proceso, logran 
pasarlo por completo.
											Esas botellas azules, 
esas botellas azules salvan vidas
											y también valen millones,
											a veces miles de millones al año.
											Ahora, una pregunta:
											Si les dijera, por ejemplo,
											que hicieran una inversión por una sola vez,
											de 200 millones de dólares
											para comprar una de esas botellas,
											200 millones dólares por adelantado, una vez,
											por comprar una de esas botellas,
											y no les digo cuál.
											Solo dentro de 10 años, les puedo 
decir si era una de las azules.
											¿Suena como un buen negocio para alguien?
											No. No, ¿verdad?
											Por supuesto, es una propuesta muy, muy arriesgada
											y por eso es muy difícil conseguir financiación,
											pero en primera aproximación,
											esa es en realidad la propuesta.
											Tienen que financiar estas cosas
											desde las primeras etapas. Toma un largo tiempo.
									","
											Assim, para começar, vou dizer-vos
											como são financiados os medicamentos.
											Imaginem que estão no laboratório,
											são cientistas — não são como eu —
											e estão a desenvolver um novo composto
											que, segundo pensam, poderá ser
terapêutico para alguém com cancro.
											Fazem testes em animais,
											testes em tubos de ensaio.
											Há esta noção de ir 
do banco de ensaios para a cabeceira.
											Mas, para dar o salto
do banco do laboratório
											para a cabeceira, para os pacientes,
											têm que testar devidamente o medicamento .
											A forma de testar o medicamento
											é através de uma série de experiências,
											bastante numerosas, chamadas ensaios,
											que irão determinar
se o medicamento é seguro,
											se funciona e todas essas coisas.
											A FDA tem um protocolo muito específico.
											A primeira fase deste teste,
											que se chama ""teste de toxicidade"".
											é a chamada Fase I.
											Nesta primeira fase, dá-se o medicamento
a pessoas saudáveis
											e verifica-se se alguém fica doente.
											Ou seja, se os efeitos secundários
são tão fortes
											que o benefício não compensa,
											não vale a pena o esforço.
											Provoca ataques de coração? 
Mata pessoas?
											Provoca falhas no fígado? Coisas dessas,
											Claro que esta é uma forte barreira.
											Cerca de 1/3 dos medicamentos 
são excluídos nesta fase.
											Na fase seguinte, ensaia-se
a eficácia do medicamento,
											dando-o a pessoas cancerosas
											e verifica-se se os pacientes melhoram.
											Esta é outra barreira.
Muitas pessoas desistem.
											Na terceira fase, fazem-se ensaios
com grandes amostras
											em que se tenta determinar a dose certa
											e se o medicamento é melhor 
do que os que já existem.
											Se não for, porquê criá-lo?
											Quando tudo isto está concluído,
											o que resta é uma percentagem
reduzida de medicamentos
											que começam o seu processo
saltando para o outro lado.
											Estas garrafas azuis salvam vidas
											e também valem milhares de milhões,
											algumas valem milhares de milhões por ano.
											Então, coloca-se uma pergunta:
											Se, por exemplo, eu vos perguntasse
											se querem fazer um único investimento
											de, digamos, 200 milhões de dólares
											para comprar uma dessas garrafas.
											Portanto, 200 milhões já, duma só vez,
											para comprar uma destas garrafas,
											e eu não diria qual delas é.
											E só ao fim de 10 anos, eu diria 
que vocês têm uma das azuis.
											Isto soa a um bom acordo para alguém?
											Não. Claro que não!
											Estes testes são de um risco muito elevado
											e por isso é muito difícil
obter financiamentos.
											Mas à primeira vista
esta é a proposta atual.
											Temos de financiar estas coisas
desde as fases iniciais,
											o que demora imenso tempo.
									","
											Pour commencer, 
laissez-moi expliquer
											comment un médicament est financé.
											Imaginez que vous êtes dans 
votre laboratoire
											(vous êtes un scientifique, 
pas comme moi)
											et vous avez développé un nouveau composé
											que vous pensez être thérapeutique
											pour les personnes atteintes du cancer.
											Vous commencez par
des tests sur les animaux,
											des tests dans des tubes à essai,
											mais ensuite,
											il faut passer du laboratoire,
											au chevet du patient,
											et pour ce faire,
											il faut mettre le médicament à l'essai.
											En pratique,
											c'est une série d'expériences,
											qu'on appelle essais cliniques,
											effectués pour déterminer
si le médicament est sûr,
											s'il fonctionne, et ainsi de suite.
											La FDA a un protocole très détaillé.
											La première phase des tests
											est appelée test de toxicité
											ou encore Phase 1.
											Lors de cette phase,
on administre le médicament
											à des personnes saines,
pour voir s'il les rend malades.
											Les effets secondaires sont-ils si graves
											que peu importe 
si l'état du patient s'améliore,
											ça ne vaut pas la peine ?
											Est-il mortel ?
Provoque-t-il des crises cardiaques,
											des insuffisances hépatiques
ou autres ?
											Il s'avère que c'est une étape difficile.
											Près du tiers des médicaments
est éliminé à cette phase.
											Dans la suivante, vous testez
l'efficacité du médicament
											en l'administrant à
une personne atteinte du cancer,
											pour voir si ça améliore son état.
											C'est une autre étape difficile
car les gens abandonnent.
											Dans la troisième phase, vous le
testez sur un très large échantillon,
											pour essayer de déterminer la bonne dose, 
et voir si c'est mieux
											que ce qui existe déjà aujourd'hui.
											Si ce n'est pas le cas,
pourquoi le concevoir ?
											Une fois tout ça terminé,
											vous avez un très petit
pourcentage de médicaments
											pour commencer le processus de promotion.
											Ces bouteilles bleues sauvent des vies
											et elles valent des milliards,
											parfois des milliards par an.
											Alors je vous pose une question :
											si je vous demande, par exemple,
											un investissement non renouvelable de
											200 millions de dollars
											pour acheter l'un de ces flacons,
											donc 200 millions de dollars d'avance,
											pour acheter l'un de ces flacons,
											sans savoir lequel est le bon,
											et dans 10 ans, je vous dirai
si oui ou non vous avez le bon.
											Ça vous paraît être une bonne affaire ?
											Non, n'est-ce pas ?
											Évidemment, c'est une situation risquée,
											et il est difficile de trouver des fonds,
											mais à première vue,
											c'est à ça que ça ressemble.
									",A bold new way to fund drug research,Roger Stein,11:09,"business,cancer,finance,medical research,medicine,pharmaceuticals"
