en,fr,tr,de,title,speaker,duration,tags
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											I want to talk to you about
how to build and rebuild trust,
											because it's my belief that trust
											is the foundation for everything we do,
											and that if we can learn
to trust one another more,
											we can have unprecedented human progress.
									","
											Je veux vous parler de comment
instaurer et réinstaurer la confiance
											car je crois que la confiance
											est la base de tout ce que nous faisons
											et que si nous pouvons apprendre
à faire confiance aux autres,
											l'humanité peut faire
des progrès sans précédent.
									","
											Sizinle güveni sağlamak ve tekrar 
inşa etmek hakkında konuşmak istiyorum.
											çünkü benim inancıma göre güven,
											yaptığımız her şeyin temeli
											ve eğer birbirimize daha çok
güvenmeyi öğrenebilirsek,
											emsalsiz bir insani gelişim
kaydedebiliriz.
									","
											Ich möchte mit Ihnen darüber sprechen, wie
man Vertrauen aufbaut und wiederherstellt,
											weil ich glaube, dass Vertrauen
die Grundlage für alles ist, was wir tun.
											Wenn wir lernen,
einander mehr zu vertrauen,
											kann es zu beispiellosen
menschlichen Fortschritten kommen.
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											But what if trust is broken?
											What if your CEO is caught on video,
disparaging an employee?
											What if your employees experience
a culture of bias, exclusion and worse?
											What if there's a data breach,
											and it feels an awful lot like a cover-up
than seriously addressing it?
											And most tragically,
											what if a technological fail
leads to the loss of human life?
									","
											Mais si cette confiance était perdue ?
											Et si votre PDG était filmé
en train de dénigrer un employé ?
											Et si vos employés subissaient
											une culture de préjugés,
d'exclusion et pire encore ?
											Et s'il y avait une violation des données
											et que les actions entreprises
ressemblaient plus
											à une dissimulation qu'à une résolution ?
											De façon plus tragique,
											et si une faille technologique menait
à la perte d'une vie humaine ?
									","
											Peki ya güven kırılırsa?
											Ya CEO'nuz bir videoda çalışanını
aşağılarken kaydedilmişse?
											Ya çalışanlarınız kültürel ön yargı,
dışlama, belki daha kötüsünü yaşıyorsa?
											Ya bir veri ihlali varsa
											ve konuyu ele almaktan çok örtbas
ediyormuşçasına kötü hissettiriyorsa?
											En trajik olanı ise,
											ya teknolojik bir hata insan
hayatı kaybına neden olursa?
									","
											Aber was, wenn Vertrauen zerstört ist?
											Was, wenn Ihr Chef auf Video ertappt wird,
											wie er einen Mitarbeiter
abfällig behandelt?
											Was ist, wenn Ihre Mitarbeiter
											eine Kultur der Vorurteile, Ausgrenzung
oder gar Schlimmerem erleben?
											Was ist, wenn es
einen Datenmissbrauch gibt,
											und alles sieht eher nach Vertuschung aus,
als nach einem ernsthaften Umgang damit?
											Und am tragischsten:
											Was, wenn ein technologisches Versagen
zum Verlust von Menschenleben führt?
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											If I was giving this talk six months ago,
											I would have been wearing an Uber T-shirt.
											I'm a Harvard Business School professor,
											but I was super attracted
to going to an organization
											that was metaphorically
and perhaps quite literally on fire.
											I had read everything
that was written in the newspaper,
											and that was precisely what drew me
to the organization.
											This was an organization
that had lost trust
											with every constituent that mattered.
									","
											Si j'avais donné cette
présentation il y a 6 mois,
											j'aurais porté un t-shirt Uber.
											Je suis professeur
à la Harvard Business School
											mais rejoindre une organisation
											qui était métaphoriquement, et peut-être
littéralement, en feu m'attirait beaucoup.
											J'avais lu tout ce qui était
écrit dans les journaux
											et c'est exactement ce qui m'a attirée
dans cette entreprise.
											C'était une entreprise
qui avait perdu la confiance
											de toutes ses composantes importantes.
									","
											Bu konuşmayı altı ay önce 
yapıyor olsaydım
											bir Uber tişörtü giyiyor olurdum.
											Harvard İşletme bölümünde
öğretim görevlisiyim
											ama mecazi hatta belki de
kelimenin tam anlamıyla
											""tutuşmuş"" bir organizasyona
gitmek inanılmaz ilgimi çekmişti.
											Gazetede yazan her şeyi okudum,
											hatta beni organizasyona
çeken şey kesinlikle buydu.
											Bu, önem taşıyan her kurucuya karşı
											güvenini kaybetmiş bir organizasyondu.
									","
											Vor sechs Monaten hätte ich diesen Vortrag
in einem Uber T-Shirt gehalten.
											Ich bin Professor
an der Harvard Businenss School,
											aber ich wollte unbedingt in
eine Organisation gehen,
											die metaphorisch und vielleicht auch
buchstäblich, in Flammen stand.
											Ich hatte alles gelesen,
was in der Zeitung stand,
											und genau das hat mich zu
der Organisation hingezogen.
											Dies war eine Organisation, die Vertrauen
											in jeder Hinsicht verloren hatte.
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											But there's a word about me
that I should share.
											My favorite trait is redemption.
											I believe that there is a better
version of us around every corner,
											and I have seen firsthand
											how organizations and communities
											and individuals change
at breathtaking speed.
									","
											Mais il y a un mot à mon sujet
que je devrais partager.
											Ma qualité préférée est la rédemption.
											Je crois qu'il y a une meilleure
version de nous à chaque tournant
											et j'ai personnellement vu
											comment les organisations, les communautés
											et les individus changent
à des vitesses époustouflantes.
									","
											Ama kendimle ilgili
birkaç şey paylaşmak istiyorum.
											En sevdiğim huyum bağışlayıcı olmam.
											Her köşede daha iyi bir versiyonumuzun
var olduğuna inanırım
											ve ben organize, topluluk ve bireylerin
											nefes kesen bir hızla nasıl değiştiğini
											kendi gözlerimle gördüm.
									","
											Aber sie sollten eines über mich wissen.
											Mein liebster Wesenszug ist Erlösung.
											Ich glaube, dass überall
eine bessere Version von uns lauert.
											Ich habe selbst erlebt,
											wie Organisationen, Gemeinschaften
											und Individuen sich mit atemberaubender
Geschwindigkeit verändert haben.
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											I went to Uber with the hopes
that a turnaround there
											could give license to the rest of us
											who might have narrower versions
of their challenges.
											But when I got to Uber,
I made a really big mistake.
											I publicly committed
to wearing an Uber T-shirt every day
											until every other employee
was wearing an Uber T-shirt.
											I had clearly not thought that through.
									","
											Je suis partie chez Uber
avec l'espoir qu'un revirement là-bas
											pourrait permettre la même chose
											à tous ceux ayant
des défis plus restreints.
											Mais arrivée chez Uber,
j'ai fait une grosse erreur.
											Je me suis publiquement engagée
à porter un t-shirt Uber tous les jours
											jusqu'à ce que tous les autres employés
portent un t-shirt Uber.
											Je n'y avais clairement pas réfléchi.
									","
											Uber'a gittim çünkü oradaki
beklenmeyen bir değişikliğin
											önündeki zorluklara
daha dar bir bakış açısı olan
											diğer hepimiz için bir imkân
olacağı umudu taşıyordum.
											Ama oraya gittiğimde
büyük bir hata yaptım.
											Toplum içinde her gün
Uber tişörtü giyindim,
											diğer her Uber çalışanı
aynısını yapana kadar.
											Bunu açıkça düşünmemişim.
									","
											Ich ging zu Uber mit der Hoffnung,
dass, wenn dort eine Wende stattfindet
											es alle anderen ermutigt,
											deren Herausforderungen vielleicht
nicht ganz so groß sind.
											Aber als ich nach Uber kam,
habe ich einen großen Fehler gemacht.
											Ich habe mich öffentlich verpflichtet,
solange täglich ein Uber T-Shirt zu tragen
											bis auch jeder andere Angestellte
ein Uber T-Shirt trägt.
											Ganz klar, ich hatte das nicht durchdacht.
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											(Laughter)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Lachen)
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											It was 250 days
of wearing an Uber T-shirt.
											Now I am liberated from that commitment,
											as I am back at HBS,
											and what I'd like to do is share with you
											how far I have taken that liberty,
											which, it's baby steps,
									","
											Ce furent 250 jours
à porter un t-shirt Uber.
											Je suis maintenant
libérée de cet engagement,
											je suis de retour à Harvard,
											et j'aimerais partager avec vous
											jusqu'où j'ai été avec cette liberté,
											ce sont de petits pas,
									","
											Tam 250 gün boyunca Uber tişörtü giyildi.
											Şimdi bu görevimden azat edildim,
											Harvard İşletme'ye geri döndüm
											ve sizinle paylaşmak istediğim şey de
											o özgürlüğü ne kadar ileri taşıdığım,
											küçük adımlarla
									","
											250 Tage lang trug ich ein Uber T-Shirt.
											Jetzt bin ich von dieser
Verpflichtung befreit,
											weil ich wieder bei HBS bin,
											und ich möchte Ihnen gerne zeigen
											wie weit meine Freiheit geht.
											Es sind Babyschritte,
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											(Laughter)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Lachen)
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											but I would just say I'm on my way.
									","
											mais je poursuis mon chemin.
									","
											ama yolda olduğumu söyleyebilirim.
									","
											aber immerhin, ich bin auf dem Weg.
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											(Laughter)
									","
											(Rires)
									","
											(Kahkahalar)
									","
											(Lachen)
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											Now, trust, if we're going to rebuild it,
											we have to understand its component parts.
											The component parts of trust
are super well understood.
											There's three things about trust.
											If you sense that I am being authentic,
											you are much more likely to trust me.
											If you sense that I have
real rigor in my logic,
											you are far more likely to trust me.
											And if you believe that my empathy
is directed towards you,
											you are far more likely to trust me.
											When all three
of these things are working,
											we have great trust.
											But if any one of these three gets shaky,
											if any one of these three wobbles,
											trust is threatened.
									","
											Si nous voulons réinstaurer la confiance,
											nous devons en comprendre ses composantes.
											Les composantes de la confiance
sont très bien comprises.
											Il y a trois choses dans la confiance.
											Si vous sentez que je suis authentique,
											vous avez plus de chances
de me faire confiance.
											Si vous sentez que j'ai vraiment
de la rigueur dans ma logique,
											vous avez plus de chances
de me faire confiance.
											Et si vous croyez que mon empathie
est dirigée vers vous,
											vous avez plus de chances
de me faire confiance.
											Quand ces trois choses fonctionnent,
											nous avons une confiance extraordinaire.
											Mais si l'une de ces choses vacille,
											si une de ces choses chancelle,
											la confiance est menacée.
									","
											Eğer güveni yeniden sağlayacaksak
											öncelikle tüm bileşenlerini
anlamamız gerekiyor.
											Güvenin bütünleyici parçaları
oldukça iyi anlaşılıyor.
											Güven hakkında üç şey var.
											Eğer özgün biri olduğumu
hissediyorsanız
											bana güvenme ihtimaliniz yüksek.
											Eğer mantığımda katı olduğumu
düşünüyorsanız
											bana güvenme ihtimaliniz daha yüksek.
											Eğer empatimin size yönelik
olduğuna inanırsanız
											bana güvenme ihtimaliniz daha da yüksek.
											Bu üç şey de olduğu zaman,
											büyük bir güven doğar.
											Ama üç husustan biri bile sarsılırsa,
											bu üç taştan biri yerinden oynarsa
											güven tehdit altına girer.
									","
											Wenn man Vertrauen wieder aufbauen will,
											muss man seine Bestandteile verstehen.
											Die Komponenten des Vertrauens
kennt man sehr gut.
											Vertrauen besteht aus drei Dingen.
											Wenn Sie wahrnehmen,
dass ich authentisch bin,
											vertrauen Sie mir sehr viel eher.
											Wenn Sie erkennen, dass
meine Argumente stringent sind,
											vertrauen Sie mir viel eher.
											Und wenn Sie glauben, dass meine
Empathie auf Sie gerichtet ist,
											vertrauen Sie mir viel eher.
											Wenn alle drei Dinge zusammen kommen,
											entsteht großes Vertrauen.
											Aber wenn ein Aspekt von diesen
dreien brüchig ist,
											wenn nur eins von diesen dreien wackelt,
											ist Vertrauen bedroht.
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
","
","
","
",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
"
											Now here's what I'd like to do.
											I want each of us to be able
to engender more trust tomorrow,
											literally tomorrow, than we do today.
											And the way to do that is to understand
where trust wobbles for ourselves
											and have a ready-made
prescription to overcome it.
											So that's what I would like
to do together.
									","
											Voici ce que j'aimerais faire.
											J'aimerais que nous puissions tous
engendrer plus de confiance demain,
											vraiment demain, qu'aujourd'hui.
											Pour cela, nous devons comprendre
comment la confiance chancelle pour nous
											et avoir une ordonnance toute faite
pour surmonter cela.
											C'est ce que j'aimerais
que nous fassions ensemble.
									","
											Şimdi, yapmak istediğim bir şey var.
											Hepimizin yarın daha fazla güven
oluşturabilmesini sağlamak istiyorum,
											Abartısız, yarın, 
bugün yaptığımızdan fazlasıyla.
											Bunu yapmanın yolu da bizim için güvenin 
hangi noktada sendelediğini anlamak
											ve üstesinden gelmek için
hazır bir plana sahip olmak.
											Beraber yapmamızı istediğim şey bu.
									","
											Jetzt möchte ich Folgendes tun.
											Ich möchte, dass wir alle morgen
mehr Vertrauen schaffen können —
											buchstäblich morgen —
als wir es heute können.
											Der Weg dahin ist das Verständnis,
wo wir selbst Vertrauen schwächen,
											und ein fertiges Rezept,
wie man das überwindet.
											Das würde ich gerne
zusammen mit Ihnen machen.
									",How to build (and rebuild) trust,Frances Frei,15:05,"collaboration,communication,leadership,social change,society,trust,work,business"
