en,de,title,speaker,duration,tags
"
","
",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
											I recently retired
											from the California Highway Patrol
											after 23 years of service.
											The majority of those 23 years
											was spent patrolling the southern end
											of Marin County,
											which includes the Golden Gate Bridge.
											The bridge is an iconic structure,
											known worldwide
											for its beautiful views of San Francisco,
											the Pacific Ocean, and its inspiring architecture.
									","
											Ich bin vor Kurzem
											nach 23 Jahren aus dem Dienst
											bei der kalifornischen
Verkehrswacht ausgeschieden.
											Die meiste Zeit dieser 23 Jahre
											verbrachte ich als Patrouille
an der Südspitze
											des Marin County,
											in dem auch die
Golden Gate Bridge liegt.
											Die Brücke ist ein ikonisches Bauwerk,
											das weltweit
											für seinen schönen Blick
auf San Francisco,
											den Pazifischen Ozean und seine
inspirierende Architektur bekannt ist.
									",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
","
",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
											Unfortunately, it is also a magnet for suicide,
											being one of the most utilized sites in the world.
											The Golden Gate Bridge opened in 1937.
											Joseph Strauss, chief engineer
in charge of building the bridge,
											was quoted as saying,
											""The bridge is practically suicide-proof.
											Suicide from the bridge
											is neither practical nor probable.""
											But since its opening,
											over 1,600 people have leapt to their death
											from that bridge.
											Some believe that traveling
											between the two towers
											will lead you to another dimension —
											this bridge has been romanticized as such —
											that the fall from that
											frees you from all your worries and grief,
											and the waters below
											will cleanse your soul.
									","
											Leider ist sie auch
ein Magnet für Selbstmord,
											denn sie gehört zu den weltweit
am meisten dafür genutzten Orten.
											Die Golden Gate Bridge
wurde 1937 eröffnet.
											Joseph Strauss,
der leitende Ingenieur,
											wird mit den Worten zitiert:
											""Die Brücke ist quasi selbstmordsicher.
											Selbstmord auf der Brücke zu begehen,
											ist weder praktisch noch wahrscheinlich.""
											Doch seit ihrer Eröffnung
											haben sich mehr als 1 600 Menschen
											von dieser Brücke in den Tod gestürzt.
											Manche glauben, dass einen das Bewegen
											zwischen den beiden Türmen
											in eine andere Dimension führt —
											die Brücke wurde derart romantisiert —
											dass man durch den Fall davon,
											von allen Sorgen 
und allem Kummer befreit wird,
											und das Wasser dort unten
											einem die Seele rein wäscht.
									",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
","
",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
											But let me tell you what actually occurs
											when the bridge is used
											as a means of suicide.
											After a free fall of four to five seconds,
											the body strikes the water
											at about 75 miles an hour.
											That impact shatters bones,
											some of which then puncture vital organs.
											Most die on impact.
											Those that don't
											generally flail in the water helplessly,
											and then drown.
											I don't think that those who contemplate
											this method of suicide
											realize how grisly a death that they will face.
											This is the cord.
											Except for around the two towers,
											there is 32 inches of steel
											paralleling the bridge.
											This is where most folks stand
											before taking their lives.
											I can tell you from experience
											that once the person is on that cord,
											and at their darkest time,
											it is very difficult to bring them back.
											I took this photo last year
											as this young woman spoke to an officer
											contemplating her life.
											I want to tell you very happily
											that we were successful that day
											in getting her back over the rail.
									","
											Ich erzähle Ihnen, was wirklich geschieht,
											wenn die Brücke als Mittel
											zum Selbstmord genutzt wird.
											Nach einem freien Fall
von vier bis fünf Sekunden
											schlägt der Körper mit 120 km/h
											auf das Wasser auf.
											Beim Aufprall zersplittern die Knochen,
											von denen einige
lebenswichtige Organe durchstechen.
											Die meisten sterben beim Aufprall.
											Diejenigen, die nicht sterben,
											rudern meistens hilflos im Wasser umher
											und ertrinken dann.
											Ich denke nicht, dass denjenigen,
											die diese Art des Selbstmords
in Betracht ziehen,
											klar ist, was für ein
grausiger Tod sie erwartet.
											Das hier ist das Kabel.
											Abgesehen von dem Bereich
um die beiden Türme
											laufen 80 cm Stahl
											neben der Brücke her.
											Hier stehen die meisten Menschen,
											bevor sie sich das Leben nehmen.
											Aus Erfahrung kann ich Ihnen sagen,
											dass eine Person,
die bereits auf dem Kabel steht,
											und das in ihrer dunkelsten Stunde,
											nur sehr schwer
wieder zurückzubringen ist.
											Ich habe dieses Foto
letztes Jahr geschossen,
											als diese junge Frau

											mit einem Polizisten sprach
											und über ihr Leben nachgedacht hat.
											Ich bin sehr froh,
Ihnen erzählen zu können,
											dass wir an jenem Tag erfolgreich waren,
											sie auf die andere Seite
des Geländers zu holen.
									",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
","
",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
											When I first began working on the bridge,
											we had no formal training.
											You struggled to funnel your
way through these calls.
											This was not only a disservice
											to those contemplating suicide,
											but to the officers as well.
											We've come a long, long way since then.
											Now, veteran officers and psychologists
											train new officers.
									","
											Als ich angefangen habe,
auf der Brücke zu arbeiten,
											gab es kein offizielles Training.
											Man hat sich seinen Weg
durch die ganzen Anrufe gesucht.
											
Das war nicht nur ein Bärendienst
											für potenzielle Selbstmörder,
											sondern auch für die Polizisten.
											Seitdem haben wir
einen langen Weg hinter uns.
											Heute trainieren ehemalige
Polizisten und Psychologen
											die neuen Polizisten.
									",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
","
",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
											This is Jason Garber.
											I met Jason on July 22 of last year
											when I get received a call
											of a possible suicidal subject
											sitting on the cord near midspan.
											I responded, and when I arrived,
											I observed Jason
											speaking to a Golden Gate Bridge officer.
											Jason was just 32 years old
											and had flown out here from New Jersey.
											As a matter of fact,
											he had flown out here on two other occasions
											from New Jersey
											to attempt suicide on this bridge.
											After about an hour of speaking with Jason,
											he asked us if we knew the story of Pandora's box.
											Recalling your Greek mythology,
											Zeus created Pandora,
											and sent her down to Earth with a box,
											and told her, ""Never, ever open that box.""
											Well one day, curiosity got the better of Pandora,
											and she did open the box.
											Out flew plagues, sorrows,
											and all sorts of evils against man.
											The only good thing in the box was hope.
											Jason then asked us,
											""What happens when you open the box
											and hope isn't there?""
											He paused a few moments,
											leaned to his right,
											and was gone.
											This kind, intelligent young man from New Jersey
											had just committed suicide.
									","
											Das ist Jason Garber.
											Ich habe Jason letztes Jahr
am 22. Juli getroffen,
											als ich einen Anruf erhielt,
											in dem es um einen möglichweise
Suizidgefährdeten ging,
											der ungefähr in der Mitte
der Brücke auf dem Kabel saß.
											Ich antwortete und als ich ankam,
											habe ich Jason beobachtet,
											wie er mit einem Polizisten
der Golden Gate Bridge sprach.
											Jason war gerade mal 32 Jahre alt
											und ist von New Jersey
hierher geflogen.
											Eigentlich ist er
											zuvor schon zwei Mal von New Jersey
											hierher geflogen,
											um sich auf der Brücke
das Leben zu nehmen.
											Nachdem wir ungefähr eine Stunde
mit Jason gesprochen hatten,
											fragte er uns, ob wir
die Geschichte der Pandora kennen.
											Wir erinnern uns
an die griechische Mythologie:
											Zeus erschuf Pandora
											und sandte sie zur Erde,
zusammen mit einer Büchse
											und sagte zu ihr:
""Öffne niemals, niemals diese Büchse.""
											Und eines Tages, als
die Neugier Pandora besiegte,
											öffnete sie die Büchse.
											Heraus kamen Seuchen, Leiden 
und alle Arten von Übeln,
											die sich über die Menscheit verbreiteten.
											Das einzig Gute in der Büchse
											war die Hoffnung.
											Dann fragte Jason uns:
											""Was passiert, wenn man
die Büchse öffnet
											und keine Hoffnung darin ist?""
											Er war für einen Moment still,
											lehnte sich nach rechts
											und war weg.
											Dieser nette intelligente
junge Mann aus New Jersey
											hatte sich gerade das Leben genommen.
									",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
"
","
",The bridge between suicide and life,Kevin Briggs,14:13,"culture,depression,mental health,suicide"
