fr,tr,de,en,es,title,speaker,duration,tags
"
","
","
","
","
",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
											La substance des choses cachées.
											Villes du passé et du futur.
											A Oxford, peut-être pouvons-nous utiliser Lewis Carroll
											et regarder dans le miroir qu'est New York
											pour voir qui nous sommes vraiment,
											ou peut-être pour pénétrer dans un autre monde.
											Ou bien, pour reprendre F. Scott Fitzgerald,
											""Alors que la Lune montait à l'horizon,
											les maisons superflues commençaient à disparaître
											tandis que je prenais progressivement conscience de la vieille île
											qui apparaissait jadis fleurie aux yeux des marins hollandais,
											une fraiche et verte poitrine du nouveau monde.""
									","
											Görülmemiş şeylerin maddi varlığı.
											Şehirlerin geçmişi ve geleceği.
											Oxford'da, belki Lewis Caroll'ı
kullanabiliriz;
											kendisi bir ayna olan New York
şehrine bakıp
											kendimizi görmeye çalışabiliriz
											veya belki de başka bir dünyaya
geçiş yapabiliriz.
											Ya da F. Scott Fitzgerald'ın sözleriyle;
											""Ay daha da yükselirken,
											yavaş yavaş eski adanın farkına
varana kadar,
											gereksiz evler erimeye başladı,
											bir zamanlar Hollandalı denizcilerin 
gözünde çiçeklenen buralar,
											yeni dünyanın yeşil bir memesiydi.""
									","
											Die Substanz ungesehener Dinge.
											Städte, vergangene und zukünftige.
											In Oxford können wir eventuell Lewis Carroll hernehmen
											und in den Spiegel schauen, der New York City ist,
											um zu versuchen zu erkennen, wer wir wirklich sind
											oder vielleicht um in eine andere Welt hinüber zu gleiten.
											Oder mit den Worten von F. Scott Fitzgerald:
											""Indes der Mond höher und höher stieg,
											sanken die Häuser ins Wesenlose zurück,
											und vor mir zeichnete sich allmählich die alte Insel ab,
											die einst vor den Augen holländischer Seefahrer
											eine schellende grüne Büste der neuen Welt.""
									","
											The substance of things unseen.
											Cities, past and future.
											In Oxford, perhaps
we can use Lewis Carroll
											and look in the looking glass
that is New York City
											to try and see our true selves,
											or perhaps pass through to another world.
											Or, in the words of F. Scott Fitzgerald,
											""As the moon rose higher,
											the inessential houses began to melt away
											until gradually I became
aware of the old island
											here that once flowered
for Dutch sailors' eyes,
											a fresh green breast of the new world.""
									","
											La sustancia de las cosas que no se ven.
											Ciudades, pasado y futuro.
											En Oxford, quizá podemos servirnos de Lewis Carroll
											para mirar en el espejo que es Nueva York,
											e intentar ver nuestro verdadero ser,
											o, quizá, pasar a otro mundo.
											O, en palabras de F. Scott Fitzgerald,
											""Mientras la luna ascendía,
											las casas no esenciales empezaron a desaparecer
											hasta que me di cuenta de que la vieja isla,
											que una vez floreció ante los ojos del marinero holandés,
											era el fresco y verde pecho del nuevo mundo”.
									",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
","
","
","
","
",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
											Mes collègues et moi travaillons depuis 10 ans
											à redécouvrir ce monde perdu,
											dans ce que nous avons appelé Le Projet Mannahatta.
											Nous essayons de savoir ce que Henry Hudson a pu voir
											en cet après-midi du 12 Septembre 1609,
											quand son navire entra dans le port de New York.
											J'aimerais vous raconter cette histoire en 3 actes.
											Et s'il me reste du temps, un épilogue.
									","
											Meslektaşlarımla birlikte 10 yıldır
											bu kayıp dünyayı tekrar keşfetmek üzere
											Mannahatta Projesi adlı bir
projeyle uğraşıyoruz.
											Henry Hudson'ın, New York limanına
girdiği 12 Eylül 1609 günü
											öğleden sonrasında neler görmüş
											olabileceğini keşfetmeye çalışıyoruz.
											Bu hikâyeyi size üç perdede
anlatmak istiyorum.
											Zamanım kalırsa bir son söz ile
kapanış yapacağım.
									","
											Meine Kollegen und ich haben zehn Jahre daran gearbeitet,
											diese verlorene Welt wiederzuentdecken,
											in einem Projekt, das wir Das Mannahatta-Projekt nennen.
											Wir versuchen zu erforschen, was Henry Hudson gesehen hat,
											am Nachmittag des 12. September 1609,
											als er in den Hafen von New York einfuhr.
											Ich möchte Ihnen die Geschichte in drei Akten erzählen.
											Und sollte ich noch Zeit haben, ein Nachwort.
									","
											My colleagues and I
have been working for 10 years
											to rediscover this lost world
											in a project we call
The Mannahatta Project.
											We're trying to discover
what Henry Hudson would have seen
											on the afternoon of September 12th, 1609,
											when he sailed into New York harbor.
											And I'd like to tell you
the story in three acts,
											and if I have time still, an epilogue.
									","
											Mis colegas y yo hemos estado trabajando durante diez años
											para redescubrir este mundo perdido
											en un proyecto que hemos llamado ""El Proyecto Mannhatta"".
											Estamos intentando descubrir lo que Henry Hudson vio
											la tarde del 12 de septiembre de 1609,
											cuando ancló en el puerto de Nueva York.
											Me gustaría contarles la historia en tres actos
											y, si tengo tiempo, un epílogo.
									",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
","
","
","
","
",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
											Allons-y. Acte 1 : une carte retrouvée.
											Je n'ai pas grandi à New York.
											J'ai grandi à l'Ouest, dans les montagnes de la Sierra Nevada,
											comme vous le voyez ici, dans le Red Rock Canyon.
											De ces premières années de ma vie,
											j'ai appris à aimer les paysages.
											Quand il fut temps pour moi de faire mes études supérieures,
											j'ai étudié le domaine nouveau de l'écologie des paysages.
											L'écologie des paysages s'intéresse
											à la manière dont les ruisseaux, les prairies, les forêts et les falaises
											forment des habitats pour la flore et la faune.
											Cette expérience et cette formation
											m'ont conduit à un travail merveilleux à la Société pour la Conservation de la Faune
											qui travaille à sauvegarder la faune et les endroits sauvages dans le monde entier.
											Depuis 10 ans,
											j'ai voyagé dans plus de 40 pays
											pour voir des jaguars, des ours, des éléphants
											des tigres et des rhinocéros.
									","
											Birinci Perde: Bulunmuş bir harita.
											Ben New York'ta büyümedim.
											Gördüğünüz gibi, Sierra Nevada
dağlarının batısında yer alan
											Red Rock Kanyonu'nda büyüdüm.
											Çocukluk yıllarımdan başlayarak,
											doğal alanları sevmeyi öğrendim.
											Üniversiteye gitme vaktim geldiğinde,
yeni yeni yükselişe geçen
											bir konu olan doğal alan ekolojisi
bölümünde okudum.
											Doğal alan ekolojisinde,
											akarsular, çayırlar, ormanlar ve
yamaçların, bitkiler ve hayvanlar için
											nasıl yaşam alanı yarattığı ele alınır.
											Edindiğim deneyim ve eğitimim sayesinde
											bütün dünyadaki yaban hayatını
ve doğal alanları kurtarmak için çalışan
											Wildlife Conservation Society 
(Yaban Hayatı Koruma Derneği)'de
											harika bir işe girdim.
											Geçtiğimiz 10 yıldan beri,
											40'ı aşkın ülkeye giderek
											jaguarları, ayıları, filleri, kaplanları
											ve gergedanları gördüm.
									","
											Akt I: Eine gefundene Karte.
											Ich bin nicht in New York aufgewachsen.
											Ich wuchs draußen im Westen, in Bergen der Sierre Nevada auf, wie Sie hier sehen,
											im Red Rock Canyon.
											Durch diese frühen Kindheitserfahrungen
											habe ich gelernt Landschaften zu lieben.
											Als für mich die Zeit kam, mein Hauptstudium zu beginnen,
											habe ich das neu enstandene Fach der Landschaftsökologie studiert.
											Landschaftsökologie beschäftigt sich
											damit wie der Strom und die Wiese und der Wald und die Felsen
											Lebensräume für Pflanzen und Tiere bilden.
											Diese Erfahrung und die Ausbildung
											verschafften mir eine wunderbare Arbeit bei der Gesellschaft zum Schutz wild lebender Tiere,
											die sich damit beschäftigt wild lebende Tiere und unberührte Orte auf der ganzen Welt zu schützen.
											In den letzten 10 Jahren
											bin ich in über 40 Länder gereist,
											um Jaguare und Bären und Elefanten
											und Tiger und Nashörner zu sehen.
									","
											So, Act I: A Map Found.
											So, I didn't grow up in New York.
											I grew up out west in the
Sierra Nevada Mountains, like you see here,
											in the Red Rock Canyon.
											And from these early
experiences as a child
											I learned to love landscapes.
											And so when it became time
for me to do my graduate studies,
											I studied this emerging field
of landscape ecology.
											Landscape ecology concerns itself
											with how the stream and the meadow
and the forest and the cliffs
											make habitats for plants and animals.
											This experience and this training
											lead me to get a wonderful job
with the Wildlife Conservation Society,
											which works to save wildlife
and wild places all over the world.
											And over the last decade,
											I traveled to over 40 countries
											to see jaguars and bears and elephants
											and tigers and rhinos.
									","
											Primer Acto: Encontrar un mapa.
											Yo no crecí en Nueva York,
											crecí en el oeste de las montañas de Sierra Nevada, como ven aquí,
											en el Red Rock Canyon.
											Desde muy temprana edad
											aprendí a amar los paisajes;
											así que, cuando llegó el momento de ir a la universidad,
											decidí estudiar este campo emergente de la ecología paisajística.
											La ecología paisajística se refiere
											a cómo los arroyos, los prados, los bosques y los acantilados
											se convierten en hábitat para las plantas y los animales.
											Esta experiencia y esta preparación
											me llevaron a obtener un maravilloso trabajo en la Sociedad de Conservación de la Naturaleza,
											que trabaja para preservar la vida silvestre y los hábitats naturales en todo el mundo.
											Durante la última década
											he viajado a más de 40 países
											para ver jaguares, osos y elefantes,
											tigres y rinocerontes,
									",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
","
","
","
","
",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
											Mais après chacun de mes voyages, je rentrais à New York.
											Les week-ends je montais, comme tous les autres touristes,
											tout en haut de l'Empire State Building,
											et j'observais ce paysage, ces écosystèmes,
											et je me demandais : ""Comment ce paysage
											fonctionne-t-il pour créer un habitat pour la faune et la flore?
											Comment peut-il créer un habitat adapté à un animal comme moi?""
											J'allais à Times Square et je regardais ces femmes magnifiques sur ce mur,
											et me demandais pourquoi personne ne regardait les personnages historiques juste derrière.
											J'allais à Central Park et voyais sa topographie ondulée
											comparée à la topographie abrupte
											et carrée de Manhattan.
									","
											Fakat bu gezilerden her döndüğümde,
hep New York'a dönüyordum.
											Hafta sonları ise bütün turistler gibi
ben de Empire State binasının
											tepesine çıkıp manzarayı ve
											ekosistemleri seyreder ve
merak ederdim, ""Acaba bu doğal alan,
											nasıl oluyor da bitki ve hayvanlar için
											bir yaşam alanı oluşturuyor?""
											""Benim gibi hayvanlara nasıl
bir yaşam alanı sağlıyor?""
											Times Meydanı'na gidip duvardaki
muhteşem kadınlara bakar ve
											neden kimse onların hemen arkasında duran 
tarihi figürlere bakmaz diye düşünürdüm.
											Central Park'a gider, Central Park'ın
inişli çıkışlı topografisinin
											Manhattan merkezinin apansız ve
											şeffaf topografisiyle 
çelişkisini görürdüm.
									","
											Aber jedes Mal, wenn ich von meinen Reisen zurück kam, kam ich nach New York City.
											An meinen Wochenenden ging ich, wie all die anderen Touristen,
											auf das Dach des Empire State Buildings,
											um auf diese Landschaft, auf dieses Ökosystem, hinabzuschauen
											und ich fragte mich: ""Wie funktioniert diese Landschaft
											als Lebensraum für Pflanzen und Tiere?
											Wie funktioniert sie als Lebensraum für Lebewesen wie mich?""
											Ich bin zum Times Square gegangen, sah all die tollen Frauen an der Leinwand
											und ich fragte mich, warum niemand die historischen Gebilde dahinter betrachtet.
											Ich bin zum Central Park gegangen und habe die geschwungene Topografie gesehen
											im Gegensatz zur schroffen und steilen
											Topografie in der Innenstadt Manhattans.
									","
											But every time I would return
from my trips I'd return back to New York City.
											And on my weekends I would go up,
just like all the other tourists,
											to the top of the Empire State Building,
											and I'd look down on this landscape,
on these ecosystems,
											and I'd wonder, ""How does this landscape
											work to make habitat
for plants and animals?
											How does it work to make habitat
for animals like me?""
											I'd go to Times Square and I'd look
at the amazing ladies on the wall,
											and wonder why nobody is looking
at the historical figures just behind them.
											I'd go to Central Park and see
the rolling topography of Central Park
											come up against the abrupt and sheer
											topography of midtown Manhattan.
									","
											pero cada vez que volvía de mis viajes, regresaba a Nueva York;
											y los fines de semana subía, como todos los turistas,
											a lo alto del Empire State,
											para otear el paisaje, estos ecosistemas,
											y me preguntaba: “¿Cómo hace este lugar
											para constituirse en hábitat de plantas y animales?
											¿Cómo hace para constiuirse en hábitat de animales como yo?”
											Iba a Times Square y miraba a las sorprendentes damas de los carteles,
											y me preguntaba por qué nadie miraba las figuras históricas que tenían detrás.
											Iba a Central Park y veía cómo su suelo ondulante
											se enfrentaba a la brusca y escarpada
											topografía del centro de Manhattan.
									",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
","
","
","
","
",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
"
											Je me suis alors renseigné sur l'histoire et la géographie de New York.
											J'ai appris que New York fut la première ville géante,
											une ville de plus de 10 millions de personnes en 1950.
											J'ai commencé à voir des tableaux comme celui-ci.
											Pour ceux d'entre vous qui habitent New York,
											voici la 125ème rue sous la West Side Highway.
											(Rires)
											Cet endroit était une plage. Ce tableau a été peint
											par John James Audubon assis sur un rocher.
											On y voit les hauteurs boisées de Washington Heights,
											jusqu'à Jeffrey's Hook, là où le pont George Washington se trouve aujourd'hui.
									","
											New York şehrinin tarihi ve coğrafyası
hakkında okumaya başladım.
											New York'un 1950 yılında, 10 milyonu aşkın
											nüfusu ile ilk mega şehir olduğunu okudum.
											Buna benzer tablolar görmeye başladım.
											New York'lular için belirteyim; burası,
											West Side otobanının altındaki 125. cadde.
											(Kahkahalar)
											Bir zamanlar bir kumsaldı. Bu tabloda,
											ressam John James Audubon bir kayanın
üzerinde oturuyor.
											Tablodaki ressam Washington Heights'in
ormanlık tepelerine,
											bugün George Washington Köprüsü'nün
geçtiği Jeffrey's Hook'a bakıyor.
									","
											Ich habe begonnen mich mit der Geschichte und der Geografie von New York City zu beschäftigen.
											Ich habe gelesen, dass New York City die erste Megastadt war,
											eine Stadt mit 10 Millionen Einwohnern oder mehr im Jahr 1950.
											Ich begann Bilder wie dieses zu sehen.
											Für diejenigen unter Ihnen, die aus New York sind,
											das ist die 125. Straße unterhalb des West Side Highways.
											(Lachen)
											Das war einst ein Strand. Und in diesem Gemälde
											sieht man John James Audubon, den Maler, auf dem Fels sitzend.
											Man schaut hoch zu den bewaldeten Anhöhen der Washington Heights,
											zu Jeffrey's Hook, wo sich heute die George-Washington-Brücke befindet.
									","
											I started reading about the history
and the geography in New York City.
											I read that New York City
was the first mega-city,
											a city of 10 million people
or more, in 1950.
											I started seeing paintings like this.
											For those of you who are from New York,
											this is 125th street
under the West Side Highway.
											(Laughter)
											It was once a beach.
And this painting
											has John James Audubon,
the painter, sitting on the rock.
											And it's looking up on the wooded heights
of Washington Heights
											to Jeffrey's Hook, where the George
Washington Bridge goes across today.
									","
											Empecé a leer sobre la historia y la geografía de Nueva York.
											Leí que Nueva York fue la primera megaciudad,
											una ciudad con 10 millones de personas, o más, en 1950.
											Empecé a ver cuadros como estos.
											Para aquellos que son de Nueva York,
											esta es la calle 125, debajo de la autopista oeste.
											(Risas)
											Una vez fue una playa; y en este cuadro está
											John James Audubon, el pintor, sentado en una roca.
											Está mirando hacia las boscosas cumbres de Washington Heights,
											hacia Jeffrey's Hook, donde ahora está el Puente George Washington.
									",New York — before the City,Eric Sanderson,16:09,"cities,environment,history,life,nature,sustainability,technology,visualizations"
