en,pt,fr,title,speaker,duration,tags
"
","
","
",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
											It has been 128 years
											since the last country
in the world abolished slavery
											and 53 years
											since Martin Luther King pronounced
his ""I Have A Dream"" speech.
											But we still live in a world
											where the color of our skin
not only gives a first impression,
											but a lasting one that remains.
									","
											Passaram 128 anos
											desde que o último país no mundo
aboliu a escravatura
											e 53 anos
											desde que Martin Luther King 
proferiu o seu discurso
											""Eu tenho um sonho"".
											Mas ainda vivemos num mundo
											onde a cor da nossa pele
não só cria a primeira impressão,
											mas uma que dura e permanece.
									","
											Il y a 128 ans
											que le dernier pays au monde 
a aboli l'esclavage
											et 53 ans que
											Martin Luther King a prononcé 
son discours : « I Have A Dream ».
											Cependant, nous vivons toujours
dans un monde
											où la couleur de notre peau, donne 
non seulement une première impression,
											mais aussi une impression qui perdure.
									",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
","
","
",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
											I was born in a family full of colors.
											My father is the son of a maid
											from whom he inherited
an intense dark chocolate tone.
											He was adopted by those
who I know as my grandparents.
											The matriarch, my grandma,
											has a porcelain skin and cotton-like hair.
											My grandpa was somewhere between
a vanilla and strawberry yogurt tone,
											like my uncle and my cousin.
											My mother is a cinnamon-skin
daughter of a native Brazilian,
											with a pinch of hazel and honey,
											and a man [who is]
a mix of coffee with milk,
											but with a lot of coffee.
											She has two sisters.
											One in a toasted-peanut skin
											and the other,
											also adopted,
											more on the beige side,
											like a pancake.
									","
											Eu nasci numa família cheia de cores.
											O meu pai é filho de uma empregada
											de quem herdou um tom
intenso de chocolate negro.
											Ele foi adotado por aqueles que conheço 
como os meus avós.
											A matriarca, a minha avó,
											tem uma pele de porcelana 
e um cabelo como algodão.
											O meu avô estava algures entre o tom 
de iogurte de baunilha e morango,
											como o meu tio e primo.
											A minha mãe é a de pele de canela,
filha de um nativo brasileiro,
											com uma pitada de avelã e mel,
											e de um homem que é a mistura
de café com leite,
											mas com muito café.
											Ela tem duas irmãs.
											Uma, com pele amendoim torrado,
											e outra,
											também adotada,
											mais para o lado bege,
											como uma panqueca.
									","
											Je suis née dans une famille 
de toutes les couleurs.
											Mon père est le fils d'une domestique
											dont il a hérité un teint très foncé.
											Il a été adopté par ces gens que je 
considère comme mes grands-parents.
											La matriarche, ma grand-mère,
											a une peau de porcelaine 
et des cheveux comme du coton.
											Mon grand-père avait un teint qui 
se situait quelque part entre le yaourt
											à la vanille et le yaourt à la fraise,
comme mon oncle et mon cousin.
											Avec sa peau couleur cannelle, ma mère 
est la fille d'une brésilienne,
											avec des nuances de noisettes et de miel,
											et d'un homme à la peau café au lait,
											mais principalement couleur café.
											Elle a deux sœurs.
											L'une a le teint d'une cacahuète grillée
											et l'autre,
											adoptée elle aussi,
											a plutôt le teint beige,
											comme une crêpe.
									",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
","
","
",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
","
","
",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
											Growing up in this family,
											color was never important for me.
											Outside home, however,
things were different soon.
											Color had many other meanings.
									","
											Ao crescer nesta família,
											a cor nunca foi importante para mim.
											contudo, fora de casa,
as coisas eram diferentes.
											A cor tinha muitos outros significados.
									","
											Ayant grandi dans cette famille,
la couleur de peau
											n'a jamais été un élément 
important pour moi.
											Cependant, à l'extérieur, 
les choses étaient différentes.
											La couleur de peau avait 
bien d'autres significations.
									",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
","
","
",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
											I remember my first
drawing lessons in school
											as a bunch of contradictory feelings.
											It was exciting and creative
											but I never understood
the unique flesh-colored pencil.
											I was made of flesh but I wasn't pink.
											My skin was brown,
and people said I was black.
											I was seven years old
with a mess of colors in my head.
									","
											Lembro-me das minhas primeiras 
aulas de desenho na escola
											como um conjunto de
sentimentos contraditórios.
											Era entusiasmante e criativo
											mas eu nunca entendi o 
invulgar lápis cor-da-pele.
											Eu era feita de carne 
mas não era cor-de-rosa.
											A minha pele era castanha, 
e as pessoas diziam que eu era preta.
											Eu tinha sete anos de idade e uma 
confusão de cores na minha cabeça.
									","
											Je me souviens de mon premier 
cours de dessin à l'école
											comme d'un déluge de sentiments
contradictoires.
											C'était passionnant et artistique
											mais je n'ai jamais compris 
l'unique crayon de couleur chair.
											J'étais faite de chair mais 
je n'étais pas rose.
											Ma peau était brune et les gens 
disaient que j'étais noire.
											J'avais sept ans et tout un fatras 
de couleurs dans ma tête.
									",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
"
","
","
",The beauty of human skin in every color,Angélica Dass,11:27,"beauty,Brazil,art,community,culture,creativity,design,global issues,identity,humanity,race,Slavery,social change,society,visualizations,photography,diversity"
