en,pt,tr,es,fr,title,speaker,duration,tags
"
","
","
","
","
",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
											Congratulations.
											By being here,
											listening, alive,
											a member of a growing species,
											you are one of history's
greatest winners —
											the culmination of a success story
four billion years in the making.
											You are life's one percent.
											The losers,
											the 99 percent of species
who have ever lived,
											are dead —
											killed by fire, flood, asteroids,
											predation, starvation, ice, heat
											and the cold math of natural selection.
											Your ancestors,
											back to the earliest fishes,
											overcame all these challenges.
											You are here because
of golden opportunities
											made possible by mass extinction.
									","
											Parabéns.
											Ao estarem aqui, 
a escutar-me, vivos,
											membros de uma espécie em crescimento,
											vocês são um dos maiores
vencedores da história,
											o culminar de uma história de sucesso
com quatro milhares de milhões de anos.
											Vocês pertencem aos 1% dos vivos.
											Os vencidos,
											os outros 99""das espécies 
que viveram no planeta,
											morreram.
											Mortos pelo fogo, pelas inundações,
pelos asteroides,
											pelos predadores, pela fome,
pelo gelo, pelo calor
											e pela fria matemática da seleção natural.
											Os nossos antepassados,
											desde os longínquos primeiros peixes,
											ultrapassaram todos esses desafios.
											Estamos hoje aqui graças
a oportunidades únicas
											possíveis unicamente devido
às extinções em massa.
									","
											Tebrikler!
											Burada olarak,
											dinleyen, yaşayan
											ve büyüyen bir türün bir üyesi olarak
											tarihin en büyük 
kazananlarından birisiniz,
											dört milyar yıla uzanan
bir başarı hikâyesinin sonucusunuz.
											Siz yaşamın yüzde birisiniz.
											Kaybedenler ise,
											daha önce yaşamış yüzde 99,
											hayatta değiller;
											yangın, sel, asteroid,
											avlanma, açlık, buz, ısı
											ve doğal seçilimin acımasız
döngüsü sonucu öldüler.
											Atalarınız,
											ilk balıklar zamanında,
											bu zorlukları aşmayı başardı.
											Kitlesel yok oluş ile mümkün olan
											altın fırsat sonucu burdasınız.
									","
											¡Felicitaciones!
											Por estar aquí,
											escuchando, estando vivos,
											siendo miembros de una especie
que está creciendo,
											Uds. son uno de los mayores
ganadores de la historia,
											la culminación de una historia exitosa
de 4000 millones años en construcción.
											Uds. son el 1 % de la vida.
											Los perdedores,
											el 99 % de las especies de la historia,
											están muertas,
											murieron debido a incendios,
inundaciones, asteroides,
											depredación, hambre, heladas, calor
											y por la frialdad matemática
de la selección natural.
											Sus antepasados,
											los peces más tempranos,
											superaron todos esos desafíos.
											Uds. están aquí debido
a las oportunidades de oro
											creadas por la extinción masiva.
									","
											Félicitations.
											Le fait d'être ici,
											en train d'écouter , vivant,
											un membre d'une espèce
en pleine croissance,
											vous êtes l'un des plus grands
gagnants de l'histoire -
											l'aboutissement d'une histoire à succès
qui dure depuis quatre milliards d'années.
											Vous représentez 1%.
											Les perdants,

											99% des espèces qui ont vécu,
											sont mortes —
											tuées par le feu, l'inondation, 
les astéroïdes,
											la prédation, la famine,
la glace, la chaleur
											et l'effet délétère
de la sélection naturelle.
											Vos ancêtres,
											remontant aux premiers poissons,
											ont surmonté tous ces défis.
											Vous êtes ici grâce
à des opportunités en or
											rendues possibles par
l'extinction massive.
									",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
","
","
","
","
",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkaha)
									","
											(Risas)
									","
											(Rires)
									",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
","
","
","
","
",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
											It's true.
											The same is true
of your co-winners and relatives.
											The 34,000 kinds of fishes.
											How did we all get so lucky?
											Will we continue to win?
											I am a fish paleobiologist
who uses big data —
											the fossil record —
											to study how some species win
and others lose.
											The living can't tell us;
											they know nothing but winning.
											So, we must speak with the dead.
									","
											É a verdade.
											É a mesma verdade dos nossos
covencedores e parentes,
											as 34 000 espécies de peixes.
											Como fomos todos tão afortunados?
											Iremos continuar a vencer?
											Eu sou paleobióloga de peixes
que usa os ""big data""
											— o registo dos fósseis —
											para estudar porque é que
espécies ganharam e outras perderam.
											Os vivos não conseguem explicar;
											só sabem que ganharam.
											Por isso, temos de falar com os mortos.
									","
											Bu doğru.
											Aynısı eş-kazananlarınız
ve akrabalarınız için de geçerli.
											34,000 tür balıktan bahsediyorum.
											Nasıl bu kadar şanslı olabildik?
											Kazanmaya devam edecek miyiz?
											Büyük veri kullanan bir paleobiyologum,
											fosil kayıtları ile
											türlerin niçin kazandığını
ve kaybettiğini araştırıyorum.
											Bunu yaşayanlar bilemez;
											bildikleri tek şey kazanmak.
											O yüzden ölülerle konuşmamız lazım.
									","
											Sí, es cierto.
											Lo mismo aplica a
sus coganadores y familiares.
											Las 34 000 especies de peces.
											¿Cómo tenemos tanta suerte?
											¿Continuaremos ganando?
											Soy una paleobióloga de peces
que usa datos a gran escala,
											el registro fósil,
											para estudiar cómo algunas especies
ganan y otras pierden.
											Las que están vivas no pueden explicarnos,
											no saben más que ganar.
											Por eso debemos hablar con los muertos.
									","
											C'est vrai.
											La même chose est vraie pour
vos co-gagnants et proches.
											Les 34 000 variétés de poissons.
											Comment avons-nous été si chanceux ?
											Continuerons-nous à gagner ?
											Je suis une paléobiologiste qui utilise
des big data —
											les archives fossiles —
											pour étudier la façon dont certaines
espèces gagnent et d'autres non.
											Le vivant ne peut pas le dire :
ils ne savent rien si ce n'est gagner.
											Alors, nous devons parler aux morts.
									",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
","
","
","
","
",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
											How do we make dead fishes talk?
											Museums contain multitudes
of beautiful fish fossils,
											but their real beauty emerges
											when combined with the larger
number of ugly, broken fossils,
											and reduced to ones and zeros.
											I can trawl a 500-million-year database
for evolutionary patterns.
											For example,
											fish forms can be captured by coordinates
											and transformed to reveal
major pathways of change
											and trends through time.
									","
											Como fazemos falar os peixes mortos?
											Os museus têm uma multitude
de lindos peixes fossilizados,
											mas a sua real beleza emerge
											quando combinados com o número maior
											de fósseis feios e partidos,
e reduzidos a uns e zeros.
											Posso percorrer uma base de dados com
500 milhões de anos de padrões evolutivos.
											Por exemplo,
											a forma dos peixes pode ser captada
por coordenadas
											e transformada para revelar
importantes traços de evolução
											e tendências ao longo do tempo.
									","
											Ölü balıkları nasıl konuşturacağız?
											Müzeler harika balık fosilleriyle dolu,
											ama asıl güzellikleri
											daha fazla sayıda çirkin 
ve kırık fosillerle birleştiklerinde
											ve sayıları azaltıldığında çıkıyor.
											500 milyon yıllık bir veritabanını
evrimsel kalıplar için kullanabilirim.
											Örneğin,
											balık formları 
koordinatlar ile yakalanabilir
											ve büyük değişim geçişlerini
ortaya çıkarmak için dönüştürülebilir
											ve zamanla eğilim gösterir.
									","
											¿Cómo obligamos a hablar
a los peces muertos?
											Los museos contienen
una multitud de fósiles hermosos,
											pero sus bellezas verdaderas surgen
											cuando se combinan con
el número mayor de fósiles feos y rotos,
											y se reducen a unos y ceros.
											Rastreo una base de datos de 500 millones
años en busca de patrones evolutivos.
											Por ejemplo,
											las formas de peces pueden
captarse mediante coordenadas
											y se pueden transformar para
revelar grandes vías de cambio
											y tendencias a través de tiempo.
									","
											Comment faisons-nous 
parler les poissons morts ?
											Des musées contiennent des centaines
de poissons fossiles magnifiques
											mais leur beauté réelle apparaît
											quand on les combine avec le plus grand
nombre de fossiles laids et brisés,
											et qu'on les réduit
à des uns et des zéros.
											Je peux remonter jusqu'à 500 millions
d'années pour des modèles évolutifs.
											Par exemple,
											des formes de poissons peuvent être
capturés par coordonnées
											et transformées afin de révéler
les voies majeures de changement
											et les tendances dans le temps.
									",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
","
","
","
","
",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
"
											Here is the story
of the winners and losers
											of just one pivotal event
I discovered using fossil data.
											Let's travel back 360 million years —
											six times as long ago
as the last dinosaur —
											to the Devonian period;
											a strange world.
											Armored predators
with razor-edge jaws dominated
											alongside huge fishes
with arm bones in their fins.
											Crab-like fishes scuttled
across the sea floor.
											The few ray-fin relatives
of salmon and tuna
											cowered at the bottom of the food chain.
											The few early sharks
lived offshore in fear.
											Your few four-legged ancestors,
the tetrapods,
											struggled in tropical river plains.
											Ecosystems were crowded.
											There was no escape,
											no opportunity in sight.
											Then the world ended.
									","
											Aqui está a história dos
vencedores e vencidos
											de um acontecimento fundamental
que descobri com a informação dos fósseis.
											Vamos recuar 360 milhões de anos
no passado
											— seis vezes o tempo desde o
último dinossauro —
											até ao Período Devoniano,
											um mundo estranho.
											Dominavam os predadores de carapaça,
com dentes afiados como lâminas,
											juntamente com enormes peixes
com ossos de braços nas barbatanas.
											Peixes tipo caranguejos
percorriam o fundo do mar.
											Os poucos parentes do salmão
e do atum, de barbatanas com ""raios"",
											encolhiam-se no fundo da cadeia alimentar.
											Os poucos tubarões primitivos
viviam longe da costa com medo.
											Os nossos poucos antecessores
de quatro patas, os tetrápodes,
											debatiam-se nas planícies
dos rios tropicais.
											Os ecossistemas estavam a abarrotar.
											Não havia fuga
											nem oportunidades à vista.
											E aí deu-se o fim do mundo.
									","
											Fosil verileri kullanarak keşfettiğim
											tek bir önemli olayın kazanan
ve kaybedenler hikâyesini anlatayım.
											360 milyon yıl öncesine seyahat edelim,
											son dinazordan 6 kat daha da geçmişe,
											yani Devoniyen döneme;
											garip bir dünya.
											Bir yandan çok keskin çakılarla
silahlı avcılar baskın çıkarken
											diğer yandan yüzgeçlerinde
kol kemiği olan dev balıklar.
											Yengeç benzeri balıklar
deniz yüzeyi boyunca gezinirdi.
											Somon ve ton balığının
yüzgeçli az sayıda akrabaları
											besin zincirinin en altını oluşturuyordu.
											Az sayıda ilk köpekbalıkları
açık denizde korku içinde yaşıyorlardı.
											Birkaç dört bacaklı atalarınız,
tetrapotlar,
											tropik nehir ovalarda mücadele ediyordu.
											Ekosistemler kalabalıktı.
											Kaçış yoktu,
											görünürde hiçbir fırsat yoktu.
											Sonra dünya sonra erdi.
									","
											Aquí está la historia de
los ganadores y perdedores
											de solo un acontecimiento crucial
que descubrí mediante datos fósiles.
											Viajemos 360 millones de años atrás,
											seis veces el tiempo
del último dinosaurio,
											el Devónico;
											un mundo raro.
											Dominaban los depredadores blindados
con mandíbulas de filo de navaja
											junto a peces enormes con
huesos de brazo en sus aletas.
											Peces similares al cangrejo hundidos
en el fondo del mar.
											Los pocos parientes de aletas rayadas
de salmón y atún
											estaban acobardados en el fondo
de la cadena alimenticia.
											Los pocos tiburones tempranos
vivían en alta mar con miedo.
											Nuestros pocos ancestros de cuatro patas,
los tetrápodos,
											luchaban en las llanuras
de los ríos tropicales.
											Los ecosistemas estaban abarrotados.
											No había escapatoria,
											ninguna oportunidad a la vista.
											Y el mundo se acababa.
									","
											C'est l'histoire 
des gagnants et des perdants
											d'un événement central que j'ai découvert
en utilisant des données fossiles.
											Revenons 360 millions d'années
en arrière -
											six fois plus loin que
le dernier dinosaure —
											à la période Dévonienne,
											un monde étrange.
											Les prédateurs armés de 
mâchoires aiguisées ont dominé
											aux côtés des gros poissons avec
des os de bras dans leur nageoires.
											Des poissons ayant l'aspect de crabes 
se sont enfuis au fond de la mer.
											Les quelques parents des nageoires rayées
de saumon et de thon
											se sont recroquevillés 
au bas de la chaine alimentaire.
											Les premiers requins ont vécu
près du littoral dans la peur.
											Vos ancêtres à quatre pattes,
les tétrapodes,
											se sont battus dans les plaines
des rivières tropicales
											Les écosystèmes étaient surpeuplés.
											Il n'y avait pas d'échappatoire,
											ni d'opportunité à l'horizon.
											Alors le monde s'est arrêté.
									",How to win at evolution and survive a mass extinction,Lauren Sallan,6:05,"science,fish,TED Fellows,biology,biodiversity,history"
