pt,en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
											Porquê cultivar casas?
Porque podemos.
											Neste momento, os EUA estão
num persistente estado de trauma.
											E há um motivo para isso, claro.
											Temos McPessoas, McCarros, McCasas.
											Como arquiteto, tenho de confrontar
coisas como estas.
									","
											Why grow homes? Because we can.
											Right now, America is in an unremitting state of trauma.
											And there's a cause for that, all right.
											We've got McPeople, McCars, McHouses.
											As an architect, I have to confront something like this.
									","
											¿Por qué cultivar hogares? Porque podemos.
											En este momento, EE.UU. está en un estado constante de trauma.
											Y hay un motivo para eso, muy bien.
											Tenemos McGente, McAutos, McCasas.
											Como arquitecto, tengo que enfrentar algo así.
									","
											Niye ev yetiştiriyoruz? Çünkü yapabiliyoruz.
											Amerika halen aralıksız devam eden bir travmaya maruz.
											Ve bunun da bir sebebi var.
											Mcİnsanlar, McArabalar, Mc Evlerimiz var.
											Bir mimar olarak böyle bir şeye karşı koymak zorundayım.
									","
											Pourquoi faire pousser des maisons ? Parce que c'est possible.
											En ce moment, l'Amérique est dans un état absolu de traumatisme.
											Et il y a une raison à cela, bien sûr.
											Nous avons un MacPeuple, des MacVoitures, des MacMaisons.
											En tant qu'architecte, je dois me confronter à cela.
									","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
","
","
","
","
","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
											Então, qual a tecnologia que nos permitirá
construir casas gigantescas?
											Já existe há 2500 anos.
											Chama-se ""pleaching"",
ou enxerto de árvores em conjunto,
											ou enxerto de matéria entrelaçada
num único sistema vascular contíguo.
											Nós fazemos algo diferente
do que fazíamos no passado.
											Adicionamos uma pitada de inteligência.
											Usamos CNC para criar a estrutura
											para fazer com que matéria
semi-independente — plantas —
											tenha uma geometria específica
											que faz uma casa a que chamamos
Fabulosa Casa da Árvore.
											Ela encaixa no ambiente.
Ela é o ambiente.
											Ela é a paisagem.
									","
											So what's a technology that will allow us
											to make ginormous houses?
											Well, it's been around for 2,500 years.
											It's called pleaching, or grafting trees together,
											or grafting inosculate matter into one contiguous, vascular system.
											And we do something different
											than what we did in the past;
											we add kind of a modicum of intelligence to that.
											We use CNC to make scaffolding
											to train semi-epithetic matter, plants,
											into a specific geometry
											that makes a home that we call a Fab Tree Hab.
											It fits into the environment. It is the environment.
											It is the landscape, right?
									","
											Entonces, ¿qué tecnología nos permitirá
											hacer casas enormes?
											Bueno, ha estado rondando durante 2.500 años.
											Es el «pleaching», o injertar árboles entre sí
											o injertar materia por anastomosis en un sistema vascular continuo.
											Y hacemos algo diferente
											de lo que hicimos en el pasado.
											Le agregamos un mínimo de inteligencia a eso.
											Usamos CNC para el andamiaje
											para amoldar la materia semi-epitética, las pantas,
											en una geometría específica
											que conforme un hogar al que llamamos Fab Tree Hab.
											Se adapta al medio ambiente. Es el medio ambiente.
											Es el paisaje, ¿correcto?
									","
											Bu durumda gino-rmous evler yapmamıza
											olanak veren teknoloji nedir?
											Yaklaşık 2500 yıldır bilinen bir şey aslında
											Buna örmek deniliyor, yada ağaçları birbirine aşılama
											veya birleştirici aşılama ile bitişik damarsal bir yapı elde etme.
											Biz bu geçmişte yapılandan
											daha farklı bir şey yapıyoruz.
											Buna bir parça da zeka katmayı deniyoruz.
											İskele yapımında CNC denilen
											yarı-hareketli maddeyi kullanıp bitkileri
											belirli bir geometride eğitmeyi
											ve bu şekilde ev yapmayı, büyük ağaç evler yapmayı deniyoruz.
											Bu doğaya çok güzel uyuyor. Zaten kendisi doğa.
											Ve kendisi bir bahçe yani, tamam.
									","
											Voici donc une technologie qui nous permettra
											de bâtir des maisons énormes ?
											Eh bien, ça existe depuis près de 2500 ans.
											Il s'agit de tresser ou greffer des arbres ensemble,
											ou de greffer de la matière en un seul système vasculaire cohérent.
											Mais nous faisons différemment
											de ce qui était fait dans le passé.
											Nous y avons ajouté un peu d'intelligence.
											Nous avons fait des calculs pour créer un échafaudage
											pour contraindre la matière et les plantes
											dans une forme géométrique spécifique
											pour créer une maison que nous avons appelé ""Fab Tree Hab"" (""Habitat Végétal Génial"")
											Cela se fond dans le décor. C'est le décor.
											C'est vraiment dans le paysage.
									","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
","
","
","
","
","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
											Podemos ter cem milhões de casas assim.
											E isso é ótimo,
porque elas consomem carbono.
											São perfeitas.
											Podemos ter 100 milhões de famílias
ou tirar coisas dos subúrbios,
											porque são casas
que fazem parte do meio ambiente.
											Imaginem cultivar uma aldeia
											— levaria entre 7 a 10 anos —
											e tudo é verde.
									","
											And you can have a hundred million of these homes,
											and it's great because they suck carbon.
											They're perfect.
											You can have 100 million families, or take things out of the suburbs,
											because these are homes that are a part of the environment.
											Imagine pre-growing a village —
											it takes about seven to 10 years —
											and everything is green.
									","
											Y se puede tener cien millones de estos hogares.
											Y es genial porque absorben carbono.
											Son perfectas.
											Se puede tener 100 millones de familias, o sacar cosas de los suburbios,
											porque se trata de viviendas que son una parte del medio ambiente.
											Imaginen pre-cultivar un pueblo;
											lleva de 7 a 10 años,
											y es todo verde.
									","
											Ve bunlarcan yüzlerce milyonuna sahip olabilirsiniz.
											Harika bir şey, çünkü karbon emiyorlar.
											Mükemmeller.
											100 milyon aileyi, veya banliyölerderdeki pek çok şeyi oradan
											çıkarabilirsiniz çünkü bunlar doğanın bir parçası.
											Bir köyün öz-büyümesini hayal etsenize—
											bu yaklaşık 7-10 yıl sürüyor—
											ve her şey yeşil.
									","
											On peut créer 100 millions de maisons comme celle-ci.
											C'est génial car elles aspirent le carbone.
											Elles sont parfaites.
											On peut y loger 100 millions de familles ou remplacer des choses dans les banlieues,
											car ces maisons font partie de l'environnement.
											Imaginez démarrer un village —
											cela prend entre 7 et 10 ans —
											et tout est vert.
									","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
","
","
","
","
","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
											Então, não só fazemos a casa vegetariana,
											também fazemos
o habitat de carne in-vitro,
											casas que são alvo
da nossa investigação, em Brooklyn,
											num escritório de arquitetura,
o pioneiro do seu tipo,
											para criar um laboratório
de biologia celular
											e começar a experimentar
com medicina regenerativa
											e engenharia de tecidos
											e começar a pensar em como seria o futuro
											se a arquitetura e a biologia
se fundissem.
									","
											So not only do we do the veggie house,
											we also do the in-vitro meat habitat,
											or homes that we're doing research on now in Brooklyn,
											where, as an architecture office, we're for the first of its kind
											to put in a molecular cell biology lab
											and start experimenting with regenerative medicine
											and tissue engineering
											and start thinking about what the future would be
											if architecture and biology became one.
									","
											No sólo hacemos la casa vegetal
											también hacemos el hábitat de la carne artificial
											o viviendas que estamos investigando ahora en Brooklyn
											donde, como estudio de arquitectura, fue el primero en su tipo
											en poner un laboratorio de biología molecular
											y comenzar a experimentar con medicina regenerativa
											e ingeniería de tejidos
											y comenzar a pensar cómo sería el futuro
											si la arquitectura y la biología fueran una sola cosa.
									","
											Ve sadece bu yeşil evleri de yapmıyoruz,
											ayrıca in-vitro et habitatı da yapıyoruz,
											veya et evleri, şu an Brooklyn'de bir araştırmamız sürüyor,
											bir mimarlık ofisi olarak, türünün bir ilki olup,
											moleküler hücre biyolojisi lab'ı kurduk.
											Rejenerasyon tıbbı ve doku mühendisliği deneyleri
											yapmaya başladık ve
											biyoloji ve mimari birleşirse acaba gelecek nasıl
											bir şekil alacak diye hayaller kuruyoruz.
									","
											Nous ne faisons pas seulement la maison du végétarien,
											mais aussi celle du mangeur de viande in-vitro.
											Des maisons que nous étudions actuellement à Brooklyn,
											où, en tant que cabinet d'architecte, pour la première fois,
											nous avons mis un laboratoire de biologie moléculaire
											et commencé à expérimenter des médecines régénératives
											et la création de tissus,
											et à penser à ce que serait le futur
											si l'architecture et la biologie s'unissaient.
									","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
","
","
","
","
","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
"
											Então é isto que fazemos desde há 2 anos,
e este é nosso laboratório.
											Cultivamos matrizes
extracelulares de porcos.
											Usamos uma impressora
jacto-de-tinta modificada.
											E imprimimos geometria.
											Imprimimos geometria onde podemos fazer
objetos de ""design"" industrial,
											como sapatos, cintos de couro,
bolsas, etc.,
											onde nenhuma criatura
sensível é prejudicada.
											É livre de vítimas.
É carne de tubo de ensaio.
											A nossa teoria
é que devíamos fazer isto com casas.
									","
											So we've been doing this for a couple of years, and that's our lab.
											And what we do is we grow
											extracellular matrix from pigs.
											We use a modified inkjet printer,
											and we print geometry.
											We print geometry where we can make industrial design objects
											like, you know, shoes, leather belts,
											handbags, etc.,
											where no sentient creature is harmed.
											It's victimless. It's meat from a test tube.
											So our theory is that eventually
											we should be doing this with homes.
									","
											Así que hemos estado haciendo esto por un par de años, y ese es nuestro laboratorio.
											Y lo que hacemos es cultivar
											matriz extracelular de cerdos.
											Usamos una impresora de inyección de tinta modificada.
											E imprimimos geometría.
											Imprimimos geometría donde podemos hacer diseño industrial
											como, ya saben, zapatos, cinturones de cuero,
											bolsos de mano, etc.,
											donde no hay criaturas sensibles perjudicadas.
											Es sin víctimas. Es carne de tubo de ensayo.
											Por eso nuestra teoría es que con el tiempo
											deberíamos estar haciendo esto con las viviendas.
									","
											Biz yaklaşık bir kaç yıldır bunun üstünde çalışıyoruz, bu da lab'ımız.
											Şu an domuzlardan ekstrasellüler
											matriks elde etme aşamasındayız.
											Modifiye edilmiş bir lazer printeri
											kullanıyor ve geometri basıyoruz.
											Geometri basıp bu yolla hisleri olan canlılara zarar gelmeden örneğin
											ayakkabı, deri kemer, kol çantaları
											ve benzer şeylerin
											endüstrisel tasarımını yapmaya çalışıyoruz.
											Bunda kurbansız, et test tübünden geliyor.
											teorimiz de neticede bunu evlerimiz
											için de yapmak zorunda kalacağımız.
									","
											Nous avons commencé il y a quelques années, voici notre labo.
											Nous y faisons pousser une matrice
											extracellulaire à partir de cochons.
											On utilise une imprimante à jet d'encre modifiée.
											Nous imprimons les formes.
											Celles à partir desquelles créer des objets industriels design :
											des chaussures, des ceintures,
											des sacs à main, etc.
											sans qu'aucune créature douée de sens ne soit blessée.
											C'est sans victimes. C'est de la viande issue de tubes à essais.
											Notre théorie est que finalement
											nous devrions faire aussi cela avec les maisons.
									","Don't build your home, grow it!",Mitchell Joachim,2:56,"TED Fellows,architecture,design,environment,urban planning"
