en,fr,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
											Like many of you, I'm often frustrated
by the democratic process.
											It's messy, it's complicated,
											it's often inefficient.
											Our political leaders feel disconnected
											from the concerns of ordinary people.
											Many feel that voting every few years
											for leaders disconnected
from their daily challenges
											is pointless.
											But before we reject democracy,
											let's imagine what it could be.
											And I believe that African activists
are redefining democracy
											by putting protest at its center,
											what I refer to as ""protest democracy.""
									","
											Comme beaucoup, je suis souvent frustré
par le processus démocratique.
											C'est chaotique, c'est compliqué,
											c'est souvent inefficace.
											Nos dirigeants politiques
semblent déconnectés
											des inquiétudes des gens ordinaires.
											Beaucoup ont l'impression
que voter régulièrement
											pour des dirigeants déconnectés
de leurs défis quotidiens
											est futile.
											Mais avant de rejeter la démocratie,
											imaginons comment cela pourrait être.
											Je crois que les activistes africains
redéfinissent la démocratie
											en plaçant la contestation en son cœur,
											ce que j'appelle « la démocratie
de la contestation ».
									","
											Demokratik süreç, çoğunuz gibi beni de 
sık sık hayal kırıklığına uğratıyor.
											Dağınık, karmaşık,
											çoğu kez de yetersiz.
											Siyasi liderlerimiz kendilerini
											sıradan insanların sorunlarından
kopuk hissediyor.
											Çoğu, birkaç yılda bir yapılan oylamaların
											kendilerini günlük zorluklardan
alıkoyup koparmasını
											anlamsız buluyor.
											Ancak demokrasiyi reddetmeden önce
											neler olabilir onu hayal edelim.
											İnanıyorum ki Afrikalı aktivistler,
demokrasinin merkezine protestoyu koyarak
											ki buna ""protesto demokrasisi"" diyorum,
											demokrasiyi yeniden tanımlıyorlar.
									","
											Como muitos de vocês, eu fico muitas vezes
frustrado com o processo democrático.
											É confuso, é complicado,
											é, muitas vezes, ineficiente.
											Os líderes políticos
sentem-se desligados
											das preocupações das pessoas comuns.
											Muitos sentem que votar de vez em quando
											em líderes desligados
dos seus problemas diários
											não faz sentido.
											Mas antes de rejeitarmos a democracia,
											vamos imaginar como ela poderia ser.
											Eu acredito que os ativistas africanos
estão a redefinir a democracia
											colocando o protesto no centro dela,
											ao que me refiro como
""democracia de protesto"".
									","
											Como a muchos de Uds., 
a veces el proceso democrático me frustra.
											Es desorganizado, complicado,
											y a menudo ineficiente.
											Los líderes políticos no están conectados
											con los problemas de la gente.
											Muchos consideran que no tiene sentido 
votar cada pocos años
											a políticos desconectados 
de sus desafíos diarios.
											Pero antes de rechazar
la democracia,
											imaginemos como podría ser.
											Creo que los activistas africanos
se encuentran redefiniendo su democracia
											al poner la protesta en su centro,
											a lo que yo denomino
""democrática de protesta"".
									",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
","
","
","
","
",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
											International organizations
and academic experts
											define democracy as regular,
multiparty electoral competition.
											But democracy should not only be
about elites competing at the ballot box.
											For it to have meaning,
											it's something we must
engage in every day.
											When I say ""protest democracy,""
											I'm challenging how we think
about democratic action.
											Viewing democracy as only elections
is no longer adequate
											and threatens democracy itself.
											So we must protest democracy
to give it a renewed meaning.
									","
											Les organisations internationales
et les experts universitaires
											définissent la démocratie comme étant
											une compétition électorale
régulière multipartite.
											Mais il ne devrait pas seulement s'agir
d'élites en compétition aux urnes.
											Pour qu'elle ait un sens,
											nous devons y participer chaque jour.
											Quand je dis « démocratie
de contestation »,
											je remets en question notre vision
de l'action démocratique.
											Voir la démocratie comme seulement
des élections n'est plus adéquat
											et menace la démocratie elle-même.
											Nous devons contester la démocratie
pour réaffirmer son sens.
									","
											Uluslararası organizasyonlar
ve akademik uzmanlar demokrasiyi,
											genelde çok partili seçim yarışması
şeklinde tanımlıyor.
											Ancak demokrasi, yalnızca seçkinlerin
oy sandığında yarıştığı bir şey olmamalı.
											Eğer bir anlamı olmasını istiyorsak
											her gün etkileşime girdiğimiz
bir şey olmak zorunda.
											""Protesto demokrasisi"" diyerek
											demokratik eylem üzerindeki
düşünüş şeklimizi zorluyorum.
											Demokrasiyi sadece seçimler çevresinde
açıklamak artık yeterli değil
											ve bu tabir demokrasinin 
kendisini tehdit ediyor.
											Bu nedenle demokrasiyi protesto ederek
ona yeni bir anlam vermeliyiz.
									","
											As organizações internacionais
e os especialistas académicos
											definem a democracia como simples
competição eleitoral multipartidária.
											Mas a democracia não deveria ser só
sobre elites a competir nas urnas.
											Para ter significado,
											tem de ser algo em que
nos envolvamos diariamente.
											Quando digo ""democracia de protesto"",
											estou a questionar o modo como
pensamos sobre ação democrática.
											Ver a democracia simplesmente
como eleições já não é adequado
											e ameaça a própria democracia.
											Portanto, devemos protestar a democracia
para lhe dar um novo significado.
									","
											Organizaciones internacionales y
expertos académicos
											definen la democracia como una competencia
electoral, regular y multipartidista.
											Sin embargo, no debería ser solo
sobre élites que compiten en las urnas.
											Para que tenga sentido, 

											debemos involucrarnos a diario
											Cuando menciono ""democrática de protesta""
											desafío la forma en que 
pensamos sobre acción democrática.
											Ver la democracia únicamente 
como elecciones ya no es válido;
											es una amenaza para la democracia en sí.
											Y debemos luchar
para darle un nuevo significado.
									",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
","
","
","
","
",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
											What would this look like?
											We need to turn to African societies,
											where ordinary people
are increasingly taking to the streets
											to transform their lives.
											African social movements
have often been at the forefront
											of conceptualizing democracy in this way.
											This may come as a surprise
to those of who think
											that the only way
Africans engage in politics
											is through the barrel of the gun.
											But increasingly, young people
are taking to the streets
											and abandoning organized violence
											in favor of more effective
nonviolent action.
									","
											A quoi cela ressemblerait-il ?
											Nous devons nous tourner
vers les sociétés africaines,
											où les gens ordinaires sortent
de plus en plus dans la rue
											pour transformer leur vie.
											Les mouvements sociaux africains
sont en première ligne
											d'une telle conceptualisation
de la démocratie.
											Cela peut surprendre ceux qui pensent
											que les Africains
participent à la politique
											grâce au canon d'un pistolet.
											De plus en plus, les jeunes
sortent dans les rues
											et abandonnent la violence organisée
											en faveur d'actions
non violentes plus efficaces.
									","
											Peki bunu nasıl yapabiliriz?
											Hayatlarını dönüştürmek üzere
sokaklara çıkan
											sıradan insanların her geçen gün arttığı 
Afrika topluluklarına
											dönüp bakmalıyız.
											Afrika'daki toplumsal hareketler,
demokrasiyi bu şekilde kavramlaştırmada
											sıklıkla ön planda olmuştur.
											Bu, Afrikalıların, 
yalnızca silahın namlusuyla
											siyaset yapabildiklerini
düşünenler için
											şaşırtıcı gelebilir.
											Gençler, giderek daha çok 
sokağa çıkıyor
											ve organize şiddeti, daha etkili olan
											şiddetsiz eylemin lehine terk ediyor.
									","
											Que significado seria esse?
											Temos de olhar para
as sociedades africanas,
											onde as pessoas comuns
estão cada a vez mais a sair à rua
											para transformar a sua vida.
											Os movimentos sociais africanos
têm tido um papel de vanguarda
											na conceptualização
deste tipo de democracia.
											Isto pode ser uma surpresa
para aqueles que assumem
											que os africanos
só se envolvem em política
											através da força das armas.
											Exceto que, cada vez mais, 
os jovens ocupam as ruas
											e abandonam a violência organizada
											a favor de uma ação mais eficaz
e não-violenta.
									","
											¿A qué se parecería?
											Volvamos a las sociedades africanas,
											donde la gente cada vez más 
está tomando las calles
											para transformar sus vidas.
											Los movimientos sociales africanos
a menudo han estado a la vanguardia
											de conceptualizar la democracia
de esta manera.
											Esto puede ser sorprendente 
para los que piensan que
											la única forma de que África
se involucre en política
											es a través del cañón de una pistola.
											Pero cada día salen 
más jóvenes a las calles
											y dejan la violencia de lado
											a favor de una acción pacífica
más efectiva.
									",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
","
","
","
","
",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
											I've spent much of the past two decades
talking to African activists,
											both violent and nonviolent.
											Across Africa, young people are rising up
											to challenge almost every
type of regime known to humanity.
											This is my friend Thiat.
											He's a rapper from Senegal.
											He led a large movement in Senegal
											that was successful in preventing
the president from stealing a third term.
											From Morocco to Lesotho,
											young people are rising up
against entrenched monarchies:
											in Egypt and Sudan,
											against brutal dictatorships;
											in Uganda and Ethiopia,
											against powerful militarized states
											with quasi-democratic veneers;
											in South Africa,
where this image was taken,
											and Burundi,
											against democratically elected leaders
											who have done little to improve
the conditions for ordinary people.
											Across the continent,
protest is not exceptional,
											but a normal part of life.
											Africans use protests
to challenge both dictators
											as well as power cuts.
											In a way, Africans are protesting
democracy itself,
											enriching its possibilities for us all.
									","
											Les 20 dernières années, j'ai beaucoup
parlé à des activistes africains,
											violents et non violents.
											A travers l'Afrique, les jeunes se lèvent
											pour remettre en question presque
tout type de régime connu de l'humanité.
											Voici mon ami Thiat.
											C'est un rappeur venant du Sénégal.
											Il a dirigé un large mouvement au Sénégal
											qui a réussi à empêcher le président
de voler un troisième mandat.
											Du Maroc au Lesotho,
											les jeunes se soulèvent
contre les monarchies assises :
											en Égypte et au Soudan,
											contre des dictatures brutales ;
											en Ouganda et en Éthiopie,
											contre des États militaires puissants
											avec des facettes presque démocratiques ;
											en Afrique du Sud,
où cette photo a été prise,
											et au Burundi,
											contre les dirigeants
élus démocratiquement
											qui ont très peu fait pour améliorer
la situation des gens ordinaires.
											A travers le continent,
la contestation n'est pas exceptionnelle
											mais est une composante normale de la vie.
											Avec les manifestations,
les Africains remettent en question
											les dictateurs
et les coupures électriques.
											Les Africains contestent
la démocratie elle-même,
											enrichissant ses possibilités
pour nous tous.
									","
											Son yirmi yılda zamanımın çoğunu
şiddete başvuran ve başvurmayan
											Afrikalı aktivistlerle konuşarak geçirdim.
											Afrika genelinde, insanlığın bildiği
											neredeyse her tür rejimle mücadele edecek
genç insanlar yetişiyor.
											Bu benim arkadaşım Thiat.
											Kendisi Senegalli bir rapçi.
											Senegal'de devlet başkanının
											üçüncü dönemi çalmasını başarıyla önleyen 
devasa bir harekete öncülük etti.
											Fas'tan Lesotho'ya kadar
											genç insanlar,
yerleşik monarşilere karşı;
											Mısır ve Sudan'da
											zalim diktatörlüklere karşı;
											Uganda ve Etiyopya'da
											yarım-demokrasi ile cilalanmış
											güçlü askeri devletlere karşı;
											bu resmin çekildiği
Güney Afrika'da
											ve Burundi'de
											sıradan insanların yaşam koşullarını
											çok az iyileştirmiş, demokratik yollarla
seçilmiş liderlere karşı duruyorlar.
											Kıta genelinde, protesto 
hayatın normal bir parçası,
											yani istisnai bir durum değil.
											Afrikalılar protestoyu
elektrik kesintisinde olduğu gibi
											diktatörlerle mücadele için kullanırlar.
											Bir bakıma Afrikalılar, 
demokrasinin kendisini protesto ediyorlar,
											bizim için olasılıklarını
zenginleştiriyorlar.
									","
											Passei a maior parte dos últimos
20 anos a falar com ativistas africanos,
											violentos e não-violentos.
											Em África, os jovens estão a levantar-se
											para desafiar quase todo o tipo
de regimes conhecidos.
											Este é o meu amigo Thiat.
											Ele é um ""rapper"" do Senegal.
											Liderou um grande movimento no Senegal
											que conseguiu impedir que o presidente
impusesse um terceiro mandato.
											De Marrocos ao Lesoto,
											os jovens estão a levantar-se
contra monarquias entrincheiradas:
											no Egito e no Sudão,
											contra ditaduras brutais;
											no Uganda e na Etiópia,
											contra poderosos estados militarizados
											que usam máscaras semidemocráticas;
											na África do Sul,
onde esta foto foi tirada,
											e no Burundi,
											contra líderes democraticamente eleitos
											que pouco fizeram para melhorar
as condições de vida dos cidadãos.
											Por todo o continente,
o protesto não é excecional,
											mas uma parte normal da vida.
											Os africanos usam manifestações
para protestar contra ditadores
											e contra cortes de energia.
											De certa forma, os africanos
estão a protestar a própria democracia,
											enriquecendo as possibilidades
para todos nós.
									","
											He pasado las últimas dos décadas
hablando con activistas africanos,
											violentos y no violentos.
											En todo África los jóvenes 
están levantándose
											para desafiar a los regímenes
conocidos por la humanidad.
											Este es mi amigo Thiat.
											Es un cantante de rap de Senegal.
											Dirigió un gran movimiento allí
											que previno que el presidente robara 
un tercer mandato.
											Desde Marruecos a Lesoto,

											los jóvenes se levantan
contra las monarquías atrincheradas:
											en Egipto y en Sudán,
											contra las salvajes dictaduras;
											en Uganda y en Etiopía,
											contra los poderosos estados militarizados
											con la fachada cuasi-democrática;
											En Sudáfrica, donde se tomó esta foto,
											y en Burundi,
											contra los líderes 
elegidos en democracia
											que no han hecho casi nada para mejorar
las condiciones de la gente.
											En todo el continente
la protesta no es excepcional,
											sino una parte de la vida.
											Utilizan las protestas para
desafiar tanto a los dictadores
											como también los cortes de luz.
											De alguna manera, están protestando
contra la democracia misma,
											para enriquecer 
las posibilidades de todos.
									",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
","
","
","
","
",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
"
											There have been two
major waves of African protest,
											and we are currently living
through the third,
											which began around 2005.
											It includes the so-called Arab Spring,
											which took place mostly on the continent.
											The first wave took place
in the 1940s and 1950s
											and led to Africa's decolonization.
											Kwame Nkrumah led
a broad coalition in Ghana
											that overthrew British rule,
											providing a template
for nonviolent movements globally.
											The second wave took place
in the 1980s and 1990s
											against austerity measures
that imposed harsh conditions
											on African economies.
											These protests led to the overthrow
of autocratic regimes
											and led to the introduction
											of multiparty elections
across the continent.
									","
											Il y a eu deux vagues majeures
de contestation en Afrique
											et nous vivons actuellement la troisième,
											qui a commencé en 2005.
											Elle comprend
le soi-disant Printemps arabe,
											qui a eu lieu majoritairement
sur le continent.
											La première vague a eu lieu
dans les années 1940 et 1950
											et a mené à la décolonisation
de l'Afrique.
											Kwame Nkrumah a dirigé
une vaste coalition au Ghana
											qui a renversé l'autorité britannique,
											offrant un modèle aux mouvements
non violents à travers le monde.
											La seconde vague a eu lieu
dans les années 80 et 90
											contre les mesures d'austérité
imposant des conditions difficiles
											aux économies africaines.
											Ces contestations ont mené
au renversement des régimes autocratiques
											et à l'introduction
											des élections multipartites
à travers le continent.
									","
											Afrika protesto tarihinde 
iki büyük dalga oldu
											ve biz şu anda 2005'te başlamış olan
											bir üçüncüsünü deneyimliyoruz.
											Bu, çoğunlukla kıta üzerinde gerçekleşen
											sözde Arap Baharı'nı da içeriyor.
											İlk dalga 1940 ve 1950'lerde
gerçekleşti ve Afrika'daki
											sömürge kolonilerinin 
bağımsızlığına öncülük etti.
											Kwame Nkrumah, Gana'da 
Britanya egemenliğini deviren
											geniş bir koalisyona öncülük ederek
											küresel anlamda şiddetsiz hareketlere
bir şablon sağladı.
											İkinci dalga, Afrika ekonomilerinde, 
sert koşullara dayandırılan
											kemer sıkma önlemlerine karşı
											1980 ve 1990'larda gerçekleşti.
											Bu protestolar, otokratik rejimleri
devirmeye öncülük etti
											ve kıta genelinde çok partili
											seçimlerin tanıtımının yapılmasına
önayak oldu.
									","
											Já houve duas principais
ondas de protesto africano,
											e atualmente estamos a passar
pela terceira,
											que começou por volta de 2005.
											Esta inclui a chamada Primavera Árabe,
											que ocorreu principalmente no continente.
											A primeira onda ocorreu
nas décadas de 1940 e 1950
											e levou à descolonização de África.
											Kwame Nkrumah liderou
uma ampla coligação no Gana
											que derrubou o governo britânico,
											constituindo um modelo para
movimentos não-violentos a nível global.
											A segunda onda ocorreu
nas décadas de 1980 e 1990
											contra medidas de austeridade
que impuseram duras condições
											às economias africanas.
											Estes protestos levaram à queda
de regimes autocráticos
											e à introdução de eleições multipartidárias
por todo o continente.
									","
											Ha habido dos grandes olas 
de protesta africana,
											y desde 2005 
estamos atravesando la tercera
											la cual comenzó en 2005.
											Incluye la llamada ""primavera árabe"",
											que se celebró en el continente.
											La primera ola tuvo lugar
en las décadas de 1940 y 1950
											y condujo a la descolonización de África.
											Kwame Nkrumah lideró 
una amplia colación en Ghan
											que derrocó al gobierno británico,
											al facilitar un documento para movimientos
no violentos a nivel mundial.
											La segunda, en las décadas de 1980 y 1990
contra las medidas de austeridad
											que impusieron condiciones severas
											en la economía africana.
											Estas protestas llevaron a la derrota 
de regímenes tiranos
											y a la introducción
											de elecciones multipartidistas
en todo el continente.
									",How protest is redefining democracy around the world,Zachariah Mampilly,10:15,"activism,Africa,corruption,leadership,democracy,politics,social change,society,protests"
