en,pt,es,fr,title,speaker,duration,tags
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											Chris Anderson: So Robert
spent the last few years
											think about how weird human behavior is,
											and how inadequate most
of our language trying to explain it is.
											And it's very exciting to hear him
explain some of the thinking behind it
											in public for the first time.
											Over to you now, Robert Sapolsky.
									","
											Chris Anderson: 
Robert passou os últimos anos
											a pensar como é estranho 
o comportamento humano
											e como a nossa língua é inadequada
para tentar explicá-lo.
											É muito excitante ouvi-lo
explicar as ideias por detrás disso,
											em público, pela primeira vez.
											Passo agora para si, Robert Sapolsky.
									","
											Chris Anderson: Robert pasó
los últimos años
											pensando lo raro que es 
el comportamiento humano
											y lo inadecuado que es
el lenguaje que trata de explicarlo.
											Es maravilloso 
escucharle explicar sus ideas
											en público por primera vez.
											Les presento a Robert Sapolsky.
									","
											Chris Anderson : Robert a passé
ces dernières années à réfléchir
											sur l'étrangeté des comportements humains
											et sur combien notre langage est peu
approprié pour tenter de les expliquer.
											C'est captivant de l'écouter expliquer
ses réflexions sur le sujet
											en public pour la première fois.
											Je vous passe le relai, Robert Sapolsky.
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											Robert Sapolsky: Thank you.
											The fantasy always runs
something like this.
											I've overpowered his elite guard,
											burst into his secret bunker
											with my machine gun ready.
											He lunges for his Luger.
											I knock it out of his hand.
											He lunges for his cyanide pill.
											I knock that out of his hand.
											He snarls,
											comes at me with otherworldly strength.
											We grapple, we fight,
											I manage to pin him down
											and put on handcuffs.
											""Adolf Hitler,"" I say,
											""I arrest you for crimes
against humanity.""
									","
											Robert Sapolsky: 
Obrigado.
											A fantasia segue sempre 
mais ou menos assim.
											Eu derrotei a guarda de elite dele,
											entrei no abrigo subterrâneo dele
											com a minha metralhadora preparada.
											Ele agarra na sua Luger.
											Eu arranco-lha da mão.
											Ele agarra na cápsula de cianeto.
											Eu arranco-lha da mão.
											Ele rosna,
											ataca-me com uma força monumental.
											Agarramo-nos, lutamos,
											eu consigo imobilizá-lo
											e algemá-lo.
											""Adolf Hitler"", digo eu,
											""Está detido por crimes
cometidos contra a humanidade.""
									","
											Robert Sapolsky: Gracias,
											La fantasía siempre es algo así.
											Dominé a su guardia de élite,
											entré de sopetón a su búnker secreto
											con mi ametralladora cargada.
											Se tiró a por su pistola.
											Se la quité de las manos.
											Se lanzó a por su píldora de cianuro.
											Se la arrebaté de las manos.
											El gruñó,
											se me abalanzó 
con una fuerza de otro mundo,
											chocamos, luchamos,
											logré echarme sobre él
											y ponerle las esposas.
											Y dije: ""Adolf Hitler,
											te arresto por tus crímenes
contra la humanidad"".
									","
											Robert Sapolsky : Merci.
											Le fantasme classique ressemble à ceci :
											J'ai neutralisé sa garde prétorienne
											et je me suis précipité
dans son abri secret,
											la mitrailleuse au poing.
											Il se penche vers son Luger.
											Mais j'arrache l'arme de sa main.
											Il se penche vers ses gélules de cyanide.
											Mais je les arrache de sa main.
											Dans un rugissement,
											il se jette sur moi
avec une force inhumaine.
											Corps à corps, on se bat,
											mais je parviens à le maîtriser
											et je lui passe les menottes.
											Je dis : « Adolf Hitler,
											je vous arrête pour crimes
contre l'humanité. »
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											Here's where the Medal of Honor
version of the fantasy ends
											and the imagery darkens.
											What would I do if I had Hitler?
											It's not hard to imagine
once I allow myself.
											Sever his spine at the neck.
											Take out his eyes with a blunt instrument.
											Puncture his eardrums. Cut out his tongue.
											Leave him alive on a respirator,
											tube-fed, not able to speak
or move or see or hear, just to feel,
											and then inject him
with something cancerous
											that's going to fester and pustulate
											until every cell in his body
is screaming in agony,
											until every second
feels like an eternity in hell.
											That's what I would do to Hitler.
									","
											É aqui que termina a fantasia
da Medalha de Honra
											e a imagem obscurece.
											O que faria eu, se apanhasse Hitler?
											Não é difícil de imaginar,
quando assim o permito.
											Partir-lhe a espinha no pescoço.
											Arrancar-lhe os olhos
com um objeto contundente.
											Furar-lhe os tímpanos.
Cortar-lhe a língua.
											Deixá-lo vivo com um respirador,
alimentado por tubos,
											incapaz de falar ou de se mover,
de ver ou ouvir, só sentir,
											e depois, injetá-lo
com algo canceroso
											que fosse supurar e criar pústulas
											até cada célula do corpo
gritar de agonia,
											até cada segundo lhe parecer 
uma eternidade no inferno.
											Era isso que eu faria a Hitler.
									","
											Aquí termina la versión 
de Medalla de Honor de la fantasía,
											y las imágenes se oscurecen.
											¿Qué haría si tuviera yo a Hitler ante mí?
											No es difícil imaginarlo si me esfuerzo.
											Le rompería la espalda y el cuello,
											le sacaría los ojos 
con un instrumento puntiagudo.
											Le reventaría los tímpanos.
Le cortaría la lengua.
											Lo dejaría vivo 
en un respirador artificial,
											alimentado por tubos, sin poder hablar
o moverse o ver o oír, solo sentir,
											y luego le inyectaría algo canceroso
											para que se pudriera,
											para que cada célula en su cuerpo
gritara agónicamente,
											para que cada segundo lo sintiera 
como una eternidad en el infierno.
											Eso es lo que le haría a Hitler.
									","
											A cet instant, la version
« Légion d'Honneur » prend fin
											et laisse place à un imaginaire obscur.
											Que ferais-je si j'avais arrêté Hilter ?
											En me laissant aller,
ce n'est pas difficile d'imaginer ça.
											Je lui ferais le cou du lapin.
											Je lui arracherais les yeux
avec une lame émoussée.
											Je lui percerais les tympans
et j'arracherais sa langue.
											Je le laisserais vivre avec un respirateur
et je le nourrirais avec une sonde.
											Incapable de parler, bouger, voir
ou entendre, il pourrait juste ressentir.
											Alors, je lui injecterais
un produit cancérigène
											qui infesterait son corps
et le putréfierait
											jusqu'à ce que chacune
de ses cellules hurle d'agonie,
											jusqu'à ce que chaque seconde passée
ressemble à l'éternité en enfer.
											C'est ce que je ferais à Hilter.
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											I've had this fantasy since I was a kid,
											still do sometimes,
											and when I do, my heart speeds up —
											all these plans for the most evil,
wicked soul in history.
											But there's a problem,
											which is I don't actually believe
in souls or evil,
											and I think wicked belongs in a musical.
											But there's some people
I would like to see killed,
											but I'm against the death penalty.
											But I like schlocky violent movies,
											but I'm for strict gun control.
											But then there was a time
I was at a laser tag place,
											and I had such a good time
hiding in a corner shooting at people.
											In other words, I'm your basic
confused human when it comes to violence.
									","
											Eu tive esta fantasia desde criança,
											por vezes, ainda a tenho,
											e quando a tenho, o meu
coração acelera.
											Todos esses planos para a alma 
mais malvada e perversa da História.
											Mas há um problema,
											é que eu não acredito
nem em almas nem no mal.
											Penso que os perversos
pertencem aos musicais.
											Mas não há nenhuma pessoa
que eu gostasse de ver morta,
											eu sou contra a pena de morte.
											Gosto de filmes muito violentos,
											mas defendo um rigoroso
controlo de armas.
											Mas também houve uma vez
em que eu estava num jogo de lasers,
											e diverti-me imenso a disparar contra
as pessoas, escondido num canto.
											Por outras palavras, eu sou
um vulgar ser humano confuso,
											quando falamos de violência.
									","
											He tenido esta fantasía desde niño
											y ahora todavía de vez en cuando.
											Y cuando la tengo, mi corazón se altera.
											Esos, mis planes contra el alma
más malvada de la historia...
											Pero hay un problema,
											es que realmente no creo
en el alma o en el mal,
											y ""malvado"" es el título de un musical.
											Pero hay gente
que me gustaría ver muerta,
											pero no creo en la pena de muerte.
											Pero me gustan las películas violentas,
											pero defiendo 
el control estricto de armas.
											Una vez estuve
en la web del juego ""Laser tag""
											y me divertí mucho escondido
en una esquina disparando a la gente.
											Es decir, soy el típico humano
confundido en cuanto a la violencia.
									","
											Je nourris ce fantasme
depuis que je suis gosse
											et il revient parfois encore.
											Quand j'y pense, mon cœur bat plus vite.
											Tous ces projets pour la plus maléfique,
la plus damnée des âmes de l'histoire.
											Mais il y a un problème,
											car je ne crois pas
aux âmes ou dans le mal
											et je pense que la damnation
est un terme d'opéra.
											En revanche, j'aimerais
que certaines personnes soient tuées,
											alors que je suis contre la peine de mort.
											J'adore les navets violents
											mais suis pour un contrôle
sévère des armes.
											Je me rappelle cette fois où
je suis allé dans à un laser game
											et que j'ai pris mon pied à fond
en me camouflant pour tirer sur des gens.
											En d'autres mots, je suis un humain
de base confus au sujet de la violence.
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											Now, as a species, we obviously
have problems with violence.
											We use shower heads to deliver poison gas,
											letters with anthrax,
airplanes as weapons,
											mass rape as a military strategy.
											We're a miserably violent species.
											But there's a complication,
											which is we don't hate violence,
											we hate the wrong kind.
											And when it's the right kind,
											we cheer it on, we hand out medals,
											we vote for, we mate with
our champions of it.
											When it's the right kind of violence,
											we love it.
											And there's another complication,
											which is, in addition to us
being this miserably violent species,
											we're also this extraordinarily
altruistic, compassionate one.
									","
											Agora, como espécie,
temos problemas com a violência.
											Utilizamos chuveiros 
para libertar gás venenoso,
											cartas com antraz,
aviões como armas,
											violações em massa
como estratégia militar.
											Somos uma espécie
miseravelmente violenta.
											Mas há uma complicação,
											que é, nós não odiamos violência,
											nós odiamos a forma errada de violência.
											Quando é a forma correta,
											festejamos, premiamos com medalhas,
											votamos a favor, acasalamos
com os nossos campeões.
											Quando é a forma certa de violência,
											nós adoramo-la.
											E há mais outra complicação,
											que é, para além de sermos esta 
espécie miseravelmente violenta,
											também somos uma espécie
											extraordinariamente
altruísta e compassiva.
									","
											Como especie, obviamente
tenemos problemas de violencia.
											Usamos duchas de gas para envenenar,
											cartas con ántrax, aviones como armas,
											la violación en masa 
como estrategia militar.
											Somos una especie
miserablemente violenta.
											Pero hay una complicación,
											no odiamos la violencia.
											Odiamos la violencia del tipo malo,
											y cuando la ejerce el buen tipo,
											la alentamos, la condecoramos,
											votamos por ella, nos
unimos a sus defensores.
											Cuando es la violencia correcta,
											nos encanta.
											Y hay otra complicación,
											además de ser una especie 
miserablemente violenta,
											también somos extraordinariamente
altruistas, compasivos.
									","
											En tant qu'espèce, la violence
est clairement un problème.
											On utilise des pommes de douche
pour vaporiser du gaz toxique,
											des lettres pour disperser de l'anthrax,
des avions comme des armes
											et le viol collectif
comme stratégie militaire.
											Notre espèce est désespérément violente.
											Il y a une subtilité complémentaire :
											on ne déteste pas la violence,
											on déteste la mauvaise violence.
											Quand il s'agit de la bonne,
											on s'en réjouit,
on distribue des médailles,
											on vote en sa faveur,
on s'accouple avec ses champions.
											Quand c'est la bonne violence,
											on l'adore.
											Subtilité supplémentaire :
											en plus du côté désespérément
violent de notre espèce,
											nous sommes aussi extraordinairement
altruistes et mus par la compassion.
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											So how do you make sense
of the biology of our best behaviors,
											our worst ones and all of those
ambiguously in between?
									","
											Então, como conjugamos a biologia
dos nossos melhores comportamentos
											com os nossos piores e com todos
os comportamentos ambíguos pelo meio?
									","
											¿Cómo da la biología respuesta 
a nuestro mejor comportamiento
											a nuestro peor comportamiento y 
a las ambigüedades entre ambos?
									","
											Comment comprendre la biologie
de nos meilleurs et pires comportements
											et de toute l'ambiguïté entre les deux ?
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											Now, for starters,
											what's totally boring is understanding
the motoric aspects of the behavior.
											Your brain tells your spine,
tells your muscles
											to do something or other,
											and hooray, you've behaved.
											What's hard is understanding
the meaning of the behavior,
											because in some settings,
pulling a trigger is an appalling act;
											in others, it's heroically
self-sacrificial.
											In some settings, putting your hand
one someone else's
											is deeply compassionate.
											In others, it's a deep betrayal.
											The challenge is to understand
											the biology of the context
of our behaviors,
											and that's real tough.
									","
											Ora bem, para começar,
											é muito aborrecido compreender
os aspetos motores do comportamento
											O cérebro comunica à espinha,
comunica aos músculos
											para fazer isto ou aquilo,
											e ""hurra!"", há um comportamento.
											O que é difícil, é compreender
o significado do comportamento
											porque, nalgumas situações, 
apertar o gatilho é um ato assustador,
											mas noutros, é um heroico
autossacrifício.
											Nalgumas situações, 
colocar a mão noutra pessoa
											é profundamente compassivo.
											Noutras, é uma traição profunda.
											O problema é compreender
											a biologia do contexto 
dos nossos comportamentos.
											Isso é realmente difícil.
									","
											Para empezar,
											lo totalmente aburrido es entender
las partes motoras de nuestra conducta.
											Tu cerebro ordena a 
tu médula espinal, a tus músculos
											que haga una cosa u otra,
											y sí, bien, lo haces.
											Lo que es difícil de entender
es el significado del comportamiento,
											porque en algunos casos,
apretar el gatillo es un acto terrible;
											en otros, es un sacrificio heroico. 

											En algunos casos, darle la mano a otro es
											misericordioso,
											en otros, una profunda traición.
											El desafío es entender
											la biología de nuestros actos en contexto,
											y eso es muy difícil.
									","
											Disons-le tout de suite :
											comprendre les aspects moteurs
des comportements est très ennuyeux.
											Le cerveau envoie un signal
à la colonne vertébrale, aux muscles,
											de faire une chose ou l'autre.
											Et voilà ! Vous avez un comportement.
											Ce qui est compliqué, c'est comprendre
le sens de ce comportement
											car dans certaines circonstances,
faire feu est un acte abominable,
											mais dans d'autres,
c'est un sacrifice personnel héroïque.
											Parfois, poser ses mains
sur celles de quelqu'un d'autre
											est un acte de profonde compassion.
											Mais parfois, c'est une trahison profonde.
											Le défi est de comprendre
											la biologie du contexte
de nos comportements.
											C'est ça qui est super dur.
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
											One thing that's clear, though,
is you're not going to get anywhere
											if you think there's going to be
the brain region or the hormone
											or the gene or the childhood experience
											or the evolutionary mechanism
that explains everything.
											Instead, every bit of behavior
has multiple levels of causality.
									","
											Mas uma coisa que é clara
é que não vamos a lado nenhum
											se pensarmos que será
a região no cérebro,
											ou a hormona, ou o gene,
ou a experiência na infância,
											ou o mecanismo evolutivo
que explica tudo.
											Em vez disso, cada bocado de comportamento
tem múltiplos níveis de causalidade.
									","
											Una cosa que está clara,
es que no se llega a nada
											si piensan que hay 
una región cerebral u hormona
											o gen o experiencia infantil
											o un mecanismo evolutivo
que explique todo.
											Al contrario, cada pequeño acto
tiene niveles múltiples de causalidad.
									","
											Une chose est cependant claire :
on n'avancera pas
											en pensant qu'il y a une région
du cerveau, une hormone,
											un gène, une expérience
durant l'enfance,
											ou un mécanisme de l'évolution
qui explique tout.
											Chaque petite partie du comportement
a plutôt plusieurs niveaux de causalité.
									",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
"
","
","
","
",The biology of our best and worst selves,Robert Sapolsky,15:51,"biology,brain,life,genetics,mind,motivation,personality,nature,physiology,neuroscience,society,science,war,violence"
