en,pt,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
											Cancer.
											Many of us have lost family,
friends or loved ones
											to this horrible disease.
											I know there are some of you
in the audience
											who are cancer survivors,
											or who are fighting cancer at this moment.
											My heart goes out to you.
											While this word often conjures up
emotions of sadness and anger and fear,
											I bring you good news
from the front lines of cancer research.
											The fact is, we are starting to win
the war on cancer.
											In fact, we lie at the intersection
											of the three of the most exciting
developments within cancer research.
									","
											O cancro.
											Muitos de nós já perdemos familiares,
amigos ou entes queridos
											para esta terrível doença.
											Sei que há aqui na audiência
											quem seja sobrevivente do cancro,
											ou que estão a lutar com um cancro
neste momento.
											O meu coração está convosco.
											Embora esta palavra evoque
emoções de tristeza, de raiva e de medo,
											eu trago-vos boas notícias da primeira
linha da investigação do cancro.
											Estamos a começar a vencer
a guerra contra o cancro.
											Na realidade, estamos na encruzilhada
											de três das evoluções mais animadoras
na investigação do cancro.
									","
											Le cancer.
											Beaucoup d'entre nous ont perdu
des amis ou des êtres chers
											à cause de cette horrible maladie.
											Je sais qu'il y a certains d'entre vous
											qui ont survécu au cancer,
											ou qui se battent
contre le cancer en ce moment.
											Je suis de tout coeur avec vous.
											Si ce mot évoque souvent la tristesse,
la colère et la peur,
											je vous apporte de bonnes nouvelles
des premières lignes de la recherche.
											Le fait est que l'on commence à gagner
la lutte contre le cancer.
											En fait, on se situe à la croisée
											de trois développements majeurs
dans la recherche contre le cancer.
									","
											Kanser.
											Çoğumuz bu korkunç hastalıktan
dolayı sevdiklerini,
											aike ve arkadaşlarını kaybetti.
											Şu an aranızda,
dinleyicilerden kanser olanların,
											kanserden kurtulanların
											veya kanserle olduğunu biliyorum.
											Sizi çok iyi anlıyorum.
											Bu dünya korku, öfke ve hüzün
gibi duyguları bir ayara getirse de
											kanser tedavisi için çok
güzel haberlerim var sizlere.
											Gerçek şu ki biz kansere açtığımız
savaşı kazanmaya başlıyoruz.
											Aslında biz kanser araştırmasının
											en heyecanlı 3 gelişmesinin
tam ortasında duruyoruz.
									","
											Krebs.
											Viele von uns haben Familienmitglieder, 
Freunde oder Angehörige
											an diese schreckliche Krankheit verloren.
											Ich weiß, 
dass einige von Ihnen im Publikum
											den Krebs überlebt haben
											oder gerade gegen Krebs ankämpfen.
											Wir fühlen mit Ihnen.
											Dieses Wort ruft oft Gefühle der Trauer, 
Wut und Angst hervor.
											Ich bringe jedoch gute Nachrichten von 
der vordersten Front der Krebsforschung.
											Tatsache ist: Wir beginnen, 
den Krieg gegen den Krebs zu gewinnen.
											In der Tat befinden 
wir uns am Schnittpunkt
											der drei spannendsten Entwicklungen 
innerhalb der Krebsforschung.
									",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
","
","
","
","
",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
											The first is cancer genomics.
											The genome is a composition
											of all the genetic information
encoded by DNA
											in an organism.
											In cancers, changes
in the DNA called mutations
											are what drive these cancers
to go out of control.
											Around 10 years ago,
I was part of the team at Johns Hopkins
											that first mapped
the mutations of cancers.
											We did this first for colorectal,
											breast, pancreatic and brain cancers.
											And since then, there have been
over 90 projects in 70 countries
											all over the world,
											working to understand
the genetic basis of these diseases.
											Today, tens of thousands
of cancers are understood
											down to exquisite molecular detail.
									","
											A primeira é a genómica do cancro.
											O genoma é uma composição
											de todas as informações genéticas
codificadas pelo ADN
											num organismo.
											Nos cancros, as alterações
no ADN, chamadas mutações,
											são o que faz com que estes cancros
fiquem fora de controlo,
											Há cerca de 10 anos,
fiz parte da equipa no John Hopkins
											que foi a primeira a mapear
as mutações dos cancros,
											Primeiro, fizemos isso
para os cancros do cólon,
											da mama, do pâncreas e do cérebro.
											Desde então, tem havido mais
de 90 projetos em 70 países,
											pelo mundo inteiro,
											que trabalham para compreender
a base genética destas doenças.
											Hoje, conhecemos dezenas
de milhares de cancros
											até ao mais requintado pormenor molecular.
									","
											Le premier est le cancer génomique.
											Le génome est la composition
											de toute l'information génétique
encodée par l'ADN
											dans un organisme.
											Dans un cancer, les changements
dans l'ADN sont appelés mutations
											et font que le cancer devienne
hors de contrôle.
											Il y a environ 10 ans, j'ai fait partie
de l'équipe à Johns Hopkins
											qui a été la première à cartographier
les mutations du cancer.
											Nous l'avons fait pour
le cancer colorectal,
											le cancer du sein, 
du pancréas et du cerveau.
											Et depuis, il y a eu
plus de 90 projets dans 70 pays
											partout dans le monde,
											qui travaillent à comprendre
la base génétique de cette maladie.
											Aujourd'hui, des dizaines de milliers
de cancers sont expliqués
											jusqu'à un niveau exquis 
de détail moléculaire.
									","
											İlki kanser genetiği.
											Genom, bir organizmadaki
											DNA tarafından kodlanmış
											genetik bir kod bileşiğidir.
											Kanserde kontrolden çıkan şey,
											mutasyon adı verilen,
DNA'da meydana gelen değişiklikler.
											10 yıl önce ben Johns Hopkins'te
											kanserdeki mutasyonları
belirleyen takımdaydım.
											Bunu ilk olarak kolon, mide,

											göğüs, pankreas 
ve beyin kanserleri için yaptık.
											O zamandan beri bu hastalığın
genetik temelini anlamak için
											dünya çapında,
											70 ülkeden 90 proje yapıldı.
											Günümüzde, on binlerce kanser
hassas moleküler yapılarına kadar
											anlaşılabiliyor.
									","
											Die Erste ist die Krebsgenomik.
											Das Genom ist die Zusammensetzung
											der gesamten in DNA verschlüsselten 
genetischen Information
											eines Organismus.
											Beim Krebs sind es Veränderungen
in der DNA, sogenannte Mutationen,
											die dazu führen,
dass der Krebs außer Kontrolle gerät.
											Vor etwa 10 Jahren
war ich Teil eines Teams
											am John-Hopkins-Krankenhaus,
											das Krebsmutationen
zum ersten Mal entschlüsselte.
											Dies taten wir als erstes 
für kolorektalen,
											Brust- und Pankreaskrebs 
sowie Gehirntumore.
											Seitdem gab es auf der ganzen Welt
											über 90 Projekte in 70 Ländern
											mit dem Ziel, die genetischen Grundlagen 
dieser Erkrankungen zu verstehen.
											Heute verstehen wir 
zehntausende Krebsarten
											auf molekularer Ebene 
außergewöhnlich genau.
									",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
","
","
","
","
",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
											The second revolution
is precision medicine,
											also known as ""personalized medicine.""
											Instead of one-size-fits-all methods
to be able to treat cancers,
											there is a whole new class of drugs
that are able to target cancers
											based on their unique genetic profile.
											Today, there are a host
of these tailor-made drugs,
											called targeted therapies,
											available to physicians even today
											to be able to personalize
their therapy for their patients,
											and many others are in development.
									","
											A segunda revolução
é a medicina de precisão,
											também conhecida
por ""medicina personalizada"".
											Em vez de métodos de utilização geral
para tratarmos cancros,
											há toda uma nova classe de medicamentos
que conseguem atingir os cancros
											com base no seu perfil genético especial.
											Hoje, há uma imensidade
destes medicamentos por medida,
											chamados terapias dirigidas,
											já disponíveis aos médicos
											que podem personalizar
a sua terapia para os doentes
											e há muitos outros em desenvolvimento.
									","
											La seconde révolution est
la médecine de précision,
											dite aussi 
« médecine personnalisée ».
											Au lieu d'utiliser des méthodes génériques
pour traiter les cancers,
											il y a une nouvelle classe de médicaments
capable de cibler les cancers
											basés sur leur profil génétique unique.
											Aujourd'hui, il y a une multitude
de ces médicaments sur mesure,
											appelés thérapies ciblées,
											déjà accessibles aux médecins aujourd'hui
											qui permettent de personnaliser
leurs thérapies pour leurs patients,
											et bien d'autres sont 
en train d'être développées.
									","
											İkinci madde ise
""hassas tıp.""
											diğer adıyla ""kişiselleştirilmiş tıp"".
											Kanser tedavisindeki
tek tip ilaçlar yerine,
											eşsiz genetik yapılarına göre 
farklı kanserleri hedef alan
											yepyeni bir dizi ilaç var.
											Bugün hedeflenmiş terapi denen
											kişiye özel ilaçları
											kullanan bir sürü taşıyıcı var.
											Bunlar kendi terapi ilaçlarını
ve gelişmekte olan ilaçları
											deneyip özelleştirmeye yarıyorlar.
									","
											Die zweite Revolution ist 
die Präzisionsmedizin,
											auch bekannt als 
""personalisierte Medizin"".
											Anstelle von Standardbehandlungen 
für Krebserkrankungen
											gibt es eine neue Klasse
von Arzneimitteln,
											die Krebserkrankungen basierend auf ihren
einzigartigen genetischen Profilen
											angreifen können.
											Heute stehen Ärzten schon viele
dieser maßgeschneiderten Arzneimittel,
											sogenannte ""zielgerichtete Therapien"",
zur Verfügung,
											um die Therapie ihrer 
Patienten zu personalisieren.
											Viele andere befinden sich 
in der Entwicklung.
									",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
","
","
","
","
",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
											The third exciting revolution
is immunotherapy,
											and this is really exciting.
											Scientists have been able
to leverage the immune system
											in the fight against cancer.
											For example, there have been ways
where we find the off switches of cancer,
											and new drugs have been able
to turn the immune system back on,
											to be able to fight cancer.
											In addition, there are ways
where you can take away immune cells
											from the body,
											train them, engineer them
and put them back into the body
											to fight cancer.
											Almost sounds like
science fiction, doesn't it?
									","
											A terceira revolução animadora
é a imunoterapia
											que é realmente animadora.
											Os cientistas têm conseguido
equilibrar o sistema imunitário
											na luta contra o cancro.
											Por exemplo, há formas de podermos
encontrar os interruptores do cancro
											e há novos medicamentos que permitem
voltar a ligar o sistema imunitário
											para este poder combater o cancro.
											Além disso, há formas de podermos
retirar células imunitárias do corpo,
											treiná-las, modificá-las
e voltarmos a colocá-las no corpo
											para combater o cancro.
											Até parece ficção científica, não é?
									","
											La troisième révolution passionnante
est l'immunothérapie,
											et elle est fascinante.
											Des scientifiques ont réussi
à influencer le système immunitaire
											dans le combat contre le cancer.
											Par exemple, il y a eu des techniques
où l'on trouve le bouton off du cancer
											et que de nouveaux médicaments
réactivent le système immunitaire,
											afin que celui-ci combatte le cancer.
											De plus, il y a des techniques où l'on
peut retirer des cellules immunitaires
											du corps,
											les entraîner, les façonner
et les replacer dans le corps
											pour combattre le cancer.
											On dirait de la science-fiction,
n'est-ce pas ?
									","
											Üçüncü heyecan verici etken ise
""immünoterapi""
											ve bu gerçekten heyecan verici.
											Bilim, bağışıklık sistemini 
kanserle savaşması için
											düzenlemeyi başardılar.
											Mesela, kanserin kapatma tuşunu
bulmamızı sağlayan bir çok yol var.
											Yeni ilaçlar da bağışıklık sistemini
aktive ederek
											kanserle savaşmasını sağlıyor.
											Ek olarak, vücuttaki bağışıklık
hücrelerini alıp
											eğitip değiştirerek
											kanserler savaşması 
için vücuda geri göndermenin
											bir çok yolu var.
											Tam bir bilimkurgu filmi
gibi geliyor, değil mi ?
									","
											Die dritte aufregende Entwicklung 
ist die Immuntherapie.
											Das ist wirklich spannend.
											Wissenschaftlern ist es gelungen,
das Immunsystem zu nutzen,
											um den Krebs zu bekämpfen.
											Zum Beispiel haben wir einige 
Aus-Schalter des Krebs gefunden
											und neue Arzneimittel sind in der Lage, 
das Immunsystem wieder anzuschalten,
											so dass es den Krebs bekämpfen kann.
											Außerdem ist es möglich,
											Immunzellen aus dem Körper zu entnehmen,
											sie zu trainieren und zu manipulieren, 
und sie zurück in den Körper zu geben,
											um den Krebs zu bekämpfen.
											Das hört sich fast an
wie Science Fiction, oder?
									",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
","
","
","
","
",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
"
											While I was a researcher
at the National Cancer Institute,
											I had the privilege of working
with some of the pioneers of this field
											and watched the development firsthand.
											It's been pretty amazing.
											Today, over 600 clinical trials are open,
											actively recruiting patients
to explore all aspects in immunotherapy.
									","
											Quando eu fazia investigação
no Instituto Nacional do Cancro,
											tive o privilégio de trabalhar
com alguns dos pioneiros nesta área
											e observei diretamente a evolução.
											Tem sido muito excitante.
											Hoje, estão em curso
mais de 600 experiências clínicas,
											que recrutam doentes
											para explorarem todos os aspetos
na imunoterapia.
									","
											Quand j'étais chercheur
à l'Institut National du Cancer,
											j'ai eu le privilège de travailler
avec certains pionniers dans ce domaine
											et j'ai vu la révolution 
de mes propres yeux.
											C'était vraiment incroyable.
											Aujourd'hui, plus de 600 essais cliniques
sont en cours,
											recrutant des patients pour explorer 
tous les aspects de l'immunothérapie.
									","
											Ulusal Kanser Enstitüsü'nde çalışırken
											alanında uzman kişilerle
çalışma ayrıcalığına sahip oldum
											ve çalışmaları yakından izleyebildim.
											Çok etkileyiciydi.
											Aktif olarak çalışan hastaların
immünuterapiyi anlamaları için
											bugün 600'ün üzerinde
deneme yapılıyor.
									","
											Als ich als Wissenschaftler am 
National Cancer Institute tätig war,
											durfte ich mit einigen der Pioniere
in diesem Bereich arbeiten
											und diese Entwicklungen
aus erster Hand beobachten.
											Es war wirklich staunenswert.
											Heute gibt es über 600 
aktive klinische Studien,
											die Patienten rekrutieren, um alle 
Aspekte der Immuntherapie zu untersuchen.
									",A simple new blood test that can catch cancer early,Jimmy Lin,12:10,"biology,cancer,disease,DNA,health,epidemiology,innovation,medical research,medicine,TED Fellows,science"
