es,tr,en,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
											Sé lo que están pensando.
											Creen que me he perdido,
											que alguien va a subir al escenario para devolverme
											a mi sitio amablemente.
											(Aplausos)
											Siempre me pasa lo mismo en Dubái.
											""¿De vacaciones, señora?"".
											(Risas)
											""¿Vino a visitar a sus hijos?
											¿Cuánto tiempo se quedará?"".
									","
											Ne düşündüğünüzü biliyorum.
											Size göre yolumu kaybettim,
											ve birisi az sonra sahneye çıkıp beni
											koltuğuma nazikçe geri döndürecek.
											(Alkışlar)
											Bununla Dubai'de her zaman karşılaşıyorum.
											''Burada tatilde misin?''
											(Kahkahalar)
											''Çocukları ziyarete mi geldin?
											Ne kadar kalıyorsun?''
									","
											I know what you're thinking.
											You think I've lost my way,
											and somebody's going to come on the stage in a minute
											and guide me gently back to my seat.
											(Applause)
											I get that all the time in Dubai.
											""Here on holiday are you, dear?""
											(Laughter)
											""Come to visit the children?
											How long are you staying?""
									","
											Je sais ce que vous pensez.
											Vous pensez que je me suis égarée
											et que quelqu'un va venir sur scène dans une minute
											pour me ramener gentiment à mon siège.
											(Applaudissements)
											C'est toujours comme ça pour moi à Dubai.
											""Vous êtes ici en vacances, ma chère?""
											(Rires)
											""Vous êtes venue voir vos enfants?
											Combien de temps restez-vous?""
									","
											Ich weiß, was Sie denken.
											Sie denken, ich habe mich verlaufen
											und jemand wird gleich auf die Bühne kommen,
											um mich behutsam zu meinem Stuhl zurück zu führen.
											(Applaus)
											Das passiert mir in Dubai die ganze Zeit.
											""Sind Sie im Urlaub hier, meine Liebe?""
											(Gelächter)
											""Besuchen Sie die Kinder?
											Wie lange bleiben Sie?""
									","
											Eu sei o que estão a pensar.
											Vocês estão a pensar
que eu estou perdida,
											e que alguém vai entrar no palco
dentro de pouco
											para me guiar cuidadosamente
de volta ao meu lugar.
											(Aplausos)
											As pessoas no Dubai estão
sempre a perguntar-me:
											""Está aqui de férias, minha senhora?""
											(Risos)
											""Veio visitar as crianças?
											""Quanto tempo vai ficar por cá?""
									",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
","
","
","
","
","
",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
											De hecho, creo que todavía un poco más.
											He vivido y trabajado en el Golfo
											durante más de 30 años.
											(Aplausos)
											Durante este tiempo, he visto muchos cambios.
											Esa cifra es impactante.
											[Lenguas del mundo. Hoy: 6000. En 90 años: 600].
											Hoy quiero hablarles
											de la desaparición de lenguas
											y de la globalización del inglés.
											Quiero hablarles de mi amiga,
											profesora de inglés para adultos en Abu Dabi.
											Un buen día,
											decidió llevarlos al jardín
											para enseñarles vocabulario.
											Pero fue ella la que terminó aprendiendo
											todas los términos árabes para las plantas locales,
											así como sus usos:
											médicos, cosméticos,
											gastronómicos, paramédicos...
											¿Cómo sabían todo eso sus alumnos?
											Lo habían aprendido de sus abuelos
											o incluso de sus bisabuelos.
											No hace falta que les diga lo importante que es
											la comunicación
											intergeneracional.
									","
											Aslında biraz daha fazla kalmayı umuyorum.
											Körfezde 30 sene boyunca
											yaşıyor ve öğretiyorum.
											(Alkışlar)
											Ve bu zamanda, birçok değişim gördüm.
											İstatistik oldukça
											şok edici.
											Ve size bugün İngilizce'nin
											küreselleşmesinden ve dil
											kaybından bahsedeceğim.
											Size yetişkinlere Abu Dabi'de İngilizce
											öğreten bir arkadaşımdan bahsedeceğim.
											Ve bir gün,
											onları bahçeye doğa hakkında
											kelime öğretme amaçlı götürmeye karar verdi.
											Ama sonunda bütün yerel bitkilerin isimlerini
											ve kullanımlarını, tıptaki kullanımını,
											kozmetik kullanımlarını,
											yemekteki kullanımını, şifalı bitkilerin isimlerini
											Arapça olarak öğrenen kendisiydi.
											Bu öğrenciler bu bilgileri nereden alıyorlardı?
											Tabiki, büyük anne ve babalarından
											ve hatta büyük büyük anne ve babalarından.
											Nesiller boyunca iletişim kurabilmenin
											ne kadar önemli olduğu sizlere
											söylememe gerek yok.
									","
											Well actually, I hope for a while longer yet.
											I have been living and teaching in the Gulf
											for over 30 years.
											(Applause)
											And in that time, I have seen a lot of changes.
											Now that statistic
											is quite shocking.
											And I want to talk to you today
											about language loss
											and the globalization of English.
											I want to tell you about my friend
											who was teaching English to adults in Abu Dhabi.
											And one fine day,
											she decided to take them into the garden
											to teach them some nature vocabulary.
											But it was she who ended up learning
											all the Arabic words for the local plants,
											as well as their uses —
											medicinal uses, cosmetics,
											cooking, herbal.
											How did those students get all that knowledge?
											Of course, from their grandparents
											and even their great-grandparents.
											It's not necessary to tell you how important it is
											to be able to communicate
											across generations.
									","
											Et bien en fait, j'espère pour encore un bon bout de temps.
											Je vis et j'enseigne dans le Golfe
											depuis plus de 30 ans.
											(Applaudissements)
											Et sur cette période, j'ai vu beaucoup de changement.
											Maintenant cette statistique
											et très choquante.
											Je veux vous parler
											de la perte des langues
											et de la mondialisation de l'anglais.
											Je veux vous parler de mon amie
											qui enseignait l'anglais à des adultes à Abu Dhabi.
											Un beau jour,
											elle a décidé de les emmener dans le jardin
											pour leur enseigner du vocabulaire de la nature.
											Mais c'est elle qui a fini par apprendre
											tous les mots arabes pour les plantes locales,
											en même temps que leurs utilisations —
											les utilisations médicales, les cosmétiques,
											la cuisine, les tisanes.
											Comment ces étudiants ont-ils obtenu toutes ces connaissances?
											Bien sûr, auprès de leurs grand-parents
											et même de leurs arrière-grand-parents.
											Il est inutile de vous dire combien il est important
											de pouvoir communiquer
											entre les générations.
									","
											Tatsächlich hoffe ich, ich bleibe noch ein bisschen länger.
											Ich lebe und unterrichte im Golf
											seit über 30 Jahren.
											(Applaus)
											In dieser Zeit habe ich viele Veränderungen gesehen.
											Diese Statistik hier
											ist ziemlich schockierend.
											Und ich will Ihnen heute etwas
											über Sprachverlust erzählen
											und über die Globalisierung der englischen Sprache.
											Ich will Ihnen von einer Freundin erzählen,
											die Erwachsenen in Abu Dhabi Englischunterricht gab.
											Eines schönen Tages
											ging sie mit ihnen in den Garten,
											um ihnen Vokabeln aus der Natur beizubringen.
											Aber am Ende war sie es,
											die all die arabischen Ausdrücke für die Pflanzenwelt lernte,
											ebenso wie ihre Verwendung –
											medizinisch, kosmetisch,
											zum Kochen und Würzen.
											Woher hatten ihre Studenten all dieses Wissen?
											Natürlich von ihren Großeltern
											und sogar ihren Urgroßeltern.
											Ich muss Ihnen nicht erzählen, wie wichtig
											die Fähigkeit ist, über Generationen hinweg
											kommunizieren zu können.
									","
											Na verdade, espero ficar
um pouco mais ainda.
											Eu tenho vivido e ensinado no Golfo
											há mais de 30 anos.
											(Aplausos)
											E durante estes anos,
vi muitas mudanças acontecerem.
											Esta estatística é muito chocante.
											Eu quero falar convosco hoje
											sobre a perda das línguas
											e a globalização do inglês.
											Eu quero falar-vos sobre uma amiga
											que ensinava inglês a adultos
em Abu Dhabi.
											Um certo dia,
											ela decidiu levar os alunos ao jardim,
											para lhes ensinar vocabulário
sobre a natureza,
											mas foi ela que acabou por aprender
											todas as palavras em árabe
sobre aquelas plantas locais,
											assim como as suas aplicações
											medicinais, cosméticas,
											para cozinhar e uso enquanto ervas.
											Como é que os alunos
conseguiram tais conhecimentos?
											É claro, dos seus avós,
											e até dos seus bisavós.
											Não é necessário dizer-vos
quão importante é
											ser-se capaz de comunicar entre gerações.
									",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
","
","
","
","
","
",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
											Sin embargo, hoy día
											las lenguas están desapareciendo
											más rápido que nunca.
											Cada 14 días desaparece una lengua;
											y, simultáneamente,
											el inglés es la lengua mundial por excelencia.
											¿Podría haber alguna conexión?
											Realmente no lo sé.
											Pero sé que he presenciado muchos cambios.
											Cuando llegué al Golfo, vine a Kuwait,
											cuando todavía era un lugar inhóspito.
											No hace tanto de eso.
											Bueno, de eso sí que hace mucho.
											No obstante,
											el British Council me contrató
											junto a otros 25 profesores.
											Fuimos los primeros no-musulmanes
											que dimos clases en los colegios públicos de Kuwait.
											Nos llamaron para enseñar inglés
											porque el gobierno quería modernizar el país
											y darle poder a sus ciudadanos a través de la educación.
											Y, por supuesto, Reino Unido sacaba
											provecho de su magnífica riqueza petrolera.
									","
											Ama üzülerek, bugün
											diller benzeri görülmemiş
											bir oranda ölüyor.
											Her 14 günde bir dil ölüyor.
											Aynı zamanda,
											İngilizce tartışmaz küresel dil.
											Arada bir bağlantı olabilir mi?
											Bilmiyorum.
											Ama biliyorum ki birçok değişiklik gördüm.
											Körfeze ilk geldiğim zaman, Kuveyt'e geldim
											hala cefa cekilen günlerdi.
											Aslında, bu kadar önce değil.
											Bu birazcık erken.
											Ama buna rağmen,
											diğer 25 öğretmen ile beraber
											British Council tarafından işe alındım.
											Ve biz Kuveyt'te devlet okullarında
											görev yapacak ilk müslüman olmayan öğretmenlerdik.
											Biz oraya İngilizce öğretmeye gittik
											çünkü devlet ülkeyi modernleştirmek istiyordu
											ve vatandaşlarını eğitim ile güçlendirmek istiyordu.
											Ve tabiki, Birleşik Krallık o güzel
											petrol refahının bir kısmından faydalandı.
									","
											But sadly, today,
											languages are dying
											at an unprecedented rate.
											A language dies every 14 days.
											Now, at the same time,
											English is the undisputed global language.
											Could there be a connection?
											Well I don't know.
											But I do know that I've seen a lot of changes.
											When I first came out to the Gulf, I came to Kuwait
											in the days when it was still a hardship post.
											Actually, not that long ago.
											That is a little bit too early.
											But nevertheless,
											I was recruited by the British Council,
											along with about 25 other teachers.
											And we were the first non-Muslims
											to teach in the state schools there in Kuwait.
											We were brought to teach English
											because the government wanted to modernize the country
											and to empower the citizens through education.
											And of course, the U.K. benefited
											from some of that lovely oil wealth.
									","
											Mais c'est triste, aujourd’hui,
											des langues meurent
											à une vitesse inédite.
											Une langue meurt tous les 14 jours.
											En même temps,
											l'anglais est la langue mondiale incontestée.
											Pourrait-il y avoir un rapport?
											Et bien je ne sais pas.
											Mais je sais que j'ai vu beaucoup de changements.
											Quand je suis venue dans le Golfe pour la première fois, je suis venue au Koweït
											à une époque où c'était encore un poste difficile.
											En fait, il n'y a pas si longtemps.
											Il est un peu trop tôt.
											Mais néanmoins,
											j'ai été recrutée par le British Council
											en même temps que 25 autres enseignants.
											Nous étions les premiers non-musulmans
											à enseigner dans des écoles d'états là-bas au Koweït.
											On nous y a amenés pour enseigner l'anglais
											parce que le gouvernement voulait moderniser le pays
											et donner du pouvoir aux citoyens par le biais de l'éducation.
											Et bien sûr, le Royaume-Uni a bénéficié
											d'une partie de cette belle richesse du pétrole.
									","
											Aber traurigerweise
											sterben heute soviele Sprachen aus
											wie noch nie zuvor.
											Alle 14 Tage stirbt eine Sprache.
											Gleichzeitig ist heute
											Englisch die unbestrittene Weltsprache.
											Könnte es da einen Zusammenhang geben?
											Ich weiß es nicht.
											Aber ich weiß, dass ich viel Wandel gesehen habe.
											Als ich zum ersten Mal zum Golf kam, kam ich nach Kuwait,
											zu der Zeit, als das noch eine mühselige Reise war.
											Das ist noch gar nicht so lang her.
											Das hier ist ein bisschen zu früh.
											Aber gleichwohl
											wurde ich vom Britischen Rat eingestellt,
											gemeinsam mit etwa 25 anderen Lehrkräften.
											Wir waren die ersten nicht-Muslime,
											die in den staatlichen Schulen von Kuwait unterrichteten.
											Wir wurden hergebracht, um Englisch zu unterrichten,
											weil die Regierung das Land modernisieren
											und die Bürgerinnen und Bürger durch Bildung stärken wollten.
											Und natürlich profitierte das Vereinigte Königreich
											von einem Teil dieses herrlichen Wohlstands durch das Öl.
									","
											Mas infelizmente, hoje,
											há línguas que estão a morrer
											a um ritmo sem precedentes.
											Morre uma língua a cada 14 dias.
											Ao mesmo tempo,
											o inglês é indiscutivelmente
a língua universal.
											Haverá aqui alguma conexão?
											Bem, eu não sei.
											Mas sei que vi ocorrerem muitas mudanças.
											Quando sai do Golfo, vim para o Kuwait
											quando este ainda era
um lugar em dificuldades.
											Na verdade, não foi há tanto tempo assim.
											É um pouco cedo demais.
											Mas, no entanto,
											fui recrutada pelo Consulado Britânico,
											juntamente com cerca
de mais 25 professores.
											Fomos os primeiros não-muçulmanos
											a ensinar nas escolas públicas do Kuwait.
											Fomos levados para ensinar inglês,
											porque o governo queria modernizar o país
											e melhorar a vida dos cidadãos
através do ensino.
											E claro, o Reino Unido beneficiou
											daquela encantadora riqueza do petróleo.
									",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
","
","
","
","
","
",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
											Bien.
											El mayor cambio que he presenciado...
											cómo la enseñanza del inglés
											ha pasado
											de ser una práctica beneficiosa para ambos
											a convertirse en el enorme negocio internacional que es hoy.
											Nunca más una lengua extranjera más en el plan de estudios,
											ni el dominio exclusivo
											de la madre patria inglesa.
											Y todas las naciones angloparlantes
											se han subido al carro.
											¿Y por qué no?
											Después de todo, según el último
											ranking mundial de universidades,
											las mejores se encuentran
											en Reino Unido y EE. UU.
											Y por eso todos quieren una educación en inglés.
											Pero si no eres nativo
											tendrás que pasar un examen.
									","
											Tamam.
											İngilizce öğretmenin nasıl
											karşılıklı fayda
											sağlayan bir durumdan
											devasa uluslararası bir iş haline
											gelmiş olduğu benim gördüğüm büyük değişikliklerden biri.
											Artık müfredatta sadece bir yabancı dil değil.
											Ve artık ana İngiltere'nin yalnız
											etki alanı değil.
											Bu, dünya üzerinde her ingilizce
											konuşan her ulus için takip edilesi birşey.
											Neden olmasın?
											Sonuçta —
											en son dünya üniversiteler sıralamasına göre
											en iyi eğitim Birleşik Krallık ve
											Amerika Birleşik Devletlerinde veriliyor.
											Yani doğal olarak herkes İngilizce eğitim almak istiyor.
											Ama anadiliniz İngilizce değilse,
											bir sınavı geçmek zorundasınız.
									","
											Okay.
											Now this is the major change that I've seen —
											how teaching English
											has morphed
											from being a mutually beneficial practice
											to becoming a massive international business that it is today.
											No longer just a foreign language on the school curriculum,
											and no longer the sole domain
											of mother England,
											it has become a bandwagon
											for every English-speaking nation on earth.
											And why not?
											After all, the best education —
											according to the latest World University Rankings —
											is to be found in the universities
											of the U.K. and the U.S.
											So everybody wants to have an English education, naturally.
											But if you're not a native speaker,
											you have to pass a test.
									","
											Bon.
											Voici le grand changement que j'ai vu —
											comment l'enseignement de l'anglais
											est passé
											d'une pratique mutuellement bénéfique
											à l'énorme marché international qu'il est aujourd'hui.
											Ce n'est plus seulement une langue étrangère dans les programmes scolaires.
											Et plus seulement le seul domaine
											de la mère Angleterre.
											C'est devenu le train que
											toutes les nations anglophones sur terre prennent en marche.
											Et pourquoi pas?
											Après tout, la meilleure éducation —
											selon le tout dernier classement World University —
											se trouve dans les universités
											du Royaume-Uni et des États-Unis.
											Tout le monde veut donc avoir une éducation anglaise, naturellement.
											Mais si vous n'êtes pas un locuteur natif,
											vous devez passer un examen.
									","
											Okay.
											Die größte Veränderung, die ich beobachtet habe –
											wie sich das Unterrichten von Englisch
											von einer wechselseitig nützlichen Sache
											zu dem massiven internationalen Geschäft
											gewandelt hat, das es heute ist.
											Es ist nicht mehr nur eine Fremdsprache im Lehrplan.
											Und es ist auch nicht mehr nur der Bereich
											von Mutter England.
											Jede englischsprachige Nation der Welt
											ist zu einem Mitläufer geworden.
											Und warum auch nicht?
											Schließlich findet man –
											gemäß der neusten Rangliste der Universitäten weltweit –
											die beste Bildung an den Universitäten
											in England und den Vereinigten Staaten.
											Also will natürlich jeder eine englische Bildung haben.
											Aber wenn man kein Muttersprachler ist,
											muss man einen Test bestehen.
									","
											Bom.
											Agora esta é a maior mudança
que eu vi acontecer.
											Como ensinar Inglês
											passou de ser uma prática
											mutuamente benéfica,
											para se tornar num grande negócio
internacional que é hoje.
											Deixou de ser apenas
uma língua estrangeira no currículo,
											e deixou de ser do domínio exclusive
da mãe Inglaterra.
											Tornou-se uma oportunidade
											para todas as nações
que falam inglês na terra.
											E porque não?
											Apesar de tudo, a melhor educação
											— de acordo com a última classificação
da World University —
											encontra-se nas universidades
											do Reino Unido e dos EUA.
											Então, todos querem ter
uma educação em inglês, naturalmente.
											Mas se vocês não são falantes nativos,
											vocês têm que passar num teste.
									",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
","
","
","
","
","
",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
"
											¿Es correcto
											rechazar a un estudiante
											solo por su conocimiento lingüístico?
											Quizá hay un ingeniero informático
											que es un genio.
											¿Necesita el mismo conocimiento lingüístico que un abogado?
											No lo creo.
											Los profesores de inglés los rechazamos cada dos por tres.
											Les decimos ""stop""
											y paramos su futuro.
											Ya no podrán perseguir su sueño
											hasta que aprendan inglés.
											Déjenme ponerles un ejemplo:
											si yo conociera a un holandés
											que tuviera la cura para el cáncer,
											¿le impediría entrar en mi universidad británica?
											No lo creo.
											Pero eso es exactamente lo que hacemos.
											Los profesores de inglés somos los porteros.
											Si no nos satisfaces,
											es que tu inglés no es lo suficientemente bueno.
											[Control de muchachas].
											Darle tanto poder a unos pocos
											puede ser muy peligroso.
											Los límites podrían ser demasiado universales...
									","
											Sadece dil yeteneklerine
											bakarak bir öğrenciyi kabul
											etmemek doğru olur mu?
											Belki de dahi olan bir
											bilgisayar bilimcisiniz.
											O kişi avukatın konuştuğu kadar İngilizce bilmek zorunda mı?
											Bence değil.
											Biz İngilizce öğretmenleri onları her zaman geri çeviriyoruz.
											Dur işareti koyuyoruz,
											ve onları durduruyoruz.
											Hayallerini İngilizce öğrenene kadar,
											sürdüremiyorlar.
											Bunu şu şekilde anlatayım,
											eğer sadece Hollandaca bilen ve
											kansere karşı tedavisi elinde olan biri ile tanışsam,
											onu Britanya Üniversitesi'ne girmekten alıkoyar mıyım?
											Hiçte öyle değil.
											Ama aslında, bu tam olarak yaptığımız şey.
											Biz İngilizce öğretmenleri kapıları tutanlarız.
											Ve İngilizce'nizin iyi olduğu konusunda
											önce bizi tatmin etmeniz lazım.
											Belli bir katmandaki topluluğa
											çok fazla güç vermek
											tehlikeli olabilir.
											Belki bariyer çok evrensel olacak.
									","
											Now can it be right
											to reject a student
											on linguistic ability alone?
											Perhaps you have a computer scientist
											who's a genius.
											Would he need the same language as a lawyer, for example?
											Well, I don't think so.
											We English teachers reject them all the time.
											We put a stop sign,
											and we stop them in their tracks.
											They can't pursue their dream any longer,
											'til they get English.
											Now let me put it this way:
											if I met a monolingual Dutch speaker
											who had the cure for cancer,
											would I stop him from entering my British University?
											I don't think so.
											But indeed, that is exactly what we do.
											We English teachers are the gatekeepers.
											And you have to satisfy us first
											that your English is good enough.
											Now it can be dangerous
											to give too much power
											to a narrow segment of society.
											Maybe the barrier would be too universal.
									","
											Maintenant, est-ce que c'est juste
											de rejeter un étudiant
											sur sa seule capacité linguistique?
											Vous avez peut-être un informaticien
											qui est un génie.
											Aurait-il besoin de la même langue qu'un avocat, par exemple?
											Et bien je ne le pense pas.
											Nous, les enseignants d'anglais, nous les rejetons tout le temps.
											Nous mettons un panneau stop,
											et nous les arrêtons dans leur élan.
											Ils ne peuvent plus poursuivre leur rêve
											tant qu'ils n'ont pas l'anglais.
											Maintenant, permettez-moi de le formuler ainsi,
											si je rencontrais une personne qui ne parle que le néerlandais
											qui détenait le remède contre le cancer,
											est-ce que je l'empêcherais d'entrer dans mon université britannique?
											Je ne crois pas.
											Mais bien sûr, c'est exactement ce que nous faisons.
											Nous, les enseignants d'anglais, sommes les garde-barrières.
											Vous devez d'abord nous satisfaire
											que votre anglais est assez bon.
											Et ça peut être dangereux
											de donner trop de pouvoir
											à un segment étroit de la société.
											Peut-être que la barrière serait trop universelle.
									","
											Kann es richtig sein,
											einen Studenten einzig
											aufgrund seiner sprachlichen Fähigkeit abzulehnen?
											Vielleicht ist er ein Computerwissenschaftler,
											der genial ist.
											Bräuchte er die selbe Sprache wie zum Beispiel ein Anwalt?
											Ich glaube das nicht.
											Wir Englischlehrer weisen sie ständig ab.
											Wir stellen ein Stoppschild auf
											und halten sie auf ihrem Weg auf.
											Sie können ihren Traum nicht weiter verfolgen,
											bevor sie Englisch können.
											Lassen Sie es mich so sagen,
											wenn ich einen einsprachigen, holländisch sprechenden Menschen träfe,
											der das Heilmittel für Krebs hätte,
											würde ich verhindern, dass er an meine Britische Universität kommt?
											Ich denke nicht.
											Aber tatsächlich tun wir genau das.
											Wir Englischlehrer sind die Torwächter.
											Als erstes müssen Sie uns befriedigen damit,
											dass Ihr Englisch gut genug ist.
											Es kann gefährlich sein,
											einem kleinen Teil der Gesellschaft
											zu viel Macht zu geben.
											Vielleicht ist die Barriere zu grundlegend.
									","
											Agora, estará certo rejeitar um aluno
											tendo em conta apenas
a sua capacidade linguística?
											Talvez haja um engenheiro informático
que seja um génio.
											Necessitaria ele da mesma língua
que um advogado, por exemplo?
											Eu acho que não.
											Nós, professores de inglês
rejeitamo-los o tempo todo.
											Nós metemos um sinal de STOP,
											e impedimo-los de seguir o seu caminho.
											Eles não podem realizar os seus sonhos,
											enquanto não falarem inglês.
											Vou apresentar as coisas desta forma,
											Se eu conhecesse um holandês monolingue
											que tivesse a cura para o cancro,
											iria impedi-lo de entrar
para a minha universidade britânica?
											Não me parece.
											Mas na verdade,
é exatamente isso que fazemos.
											Nós, professores de inglês,
somos os porteiros.
											E vocês têm que nos satisfazer primeiro
											e mostrar-nos que o vosso inglês
é bastante bom.
											Pode ser perigoso,
											dar tanto poder
											a um pequeno segmento da sociedade.
											Talvez as barreiras se tornassem
demasiado universais.
									",Don't insist on English!,Patricia Ryan,10:35,"TEDx,culture,global issues,language"
