en,fr,de,es,tr,title,speaker,duration,tags
"
","
","
","
","
",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
											Hello.
											I'd like to introduce you to a word
you may never have heard before,
											but you ought to know:
											drawdown.
											Drawdown is a new way of thinking about
and acting on global warming.
											It's a goal for a future that we want,
											a future where reversing
global warming is possible.
											Drawdown is that point in time
											when atmospheric concentrations
of greenhouse gases begin to decline
											on a year-to-year basis.
											More simply, it's that point
											when we take out more greenhouse gases
than we put into Earth's atmosphere.
									","
											Bonjour.
											J'aimerais vous présenter un mot
que vous n'avez peut-être jamais entendu
											mais que vous devez connaître :
											« drawdown ».
											Drawdown, c'est une nouvelle façon
de penser et d'agir
											envers le réchauffement climatique.
											C'est un objectif pour un avenir
que nous voulons,
											un avenir où il est possible
d'inverser le réchauffement climatique.
											Drawdown, c'est ce moment
											où les concentrations atmosphériques
de gaz à effet de serre diminuent
											année après année.
											Plus simplement, c'est ce moment
											où nous extrairons
plus de gaz à effet de serre
											que nous n'en libérerons
dans l'atmosphère terrestre.
									","
											Hallo.
											Ich möchte Ihnen ein Wort vorstellen,
das Sie vielleicht noch nie gehört haben,
											aber das Sie kennen sollten:
											[Absenkung].
											Absenkung ist eine neue Handlungs- und
Denkweise gegenüber globaler Erderwärmung.
											Es ist ein Ziel für
eine wünschenswerte Zukunft,
											eine Zukunft, in der die Umkehr
der Erderwärmung möglich ist.
											Absenkung ist der Zeitpunkt,
											an dem atmosphärische Konzentrationen
von Treibhausgasen abzunehmen beginnen,
											von Jahr zu Jahr.
											Einfacher gesagt, es ist der Zeitpunkt,
											an dem wir mehr Treibhausgase ausführen
als wir in die Erdatmosphäre bringen.
									","
											Hola.
											Me gustaría presentarles una palabra
que tal vez nunca han escuchado antes,
											pero que deberían conocer:
											reducción.
											La reducción es una nueva forma de pensar
											y actuar respecto al calentamiento global.
											Es un objetivo para 
un futuro que queremos,
											un futuro en el que revertir
el calentamiento global es posible.
											La reducción es el momento en 
que las concentraciones atmosféricas
											de los gases de efecto invernadero
comienzan a disminuir año a año.
											Es simplemente ese punto,
											en que eliminamos más
gases de efecto invernadero
											de los que introducimos 
en la atmósfera de la Tierra.
									","
											Merhaba.
											Sizlere belki daha önce hiç duymadığınız
ama bilmeniz gereken
											bir kelimeyi tanıtmak istiyorum:
											Düşüm.
											Düşüm, küresel ısınma hakkında 
düşünme ve hareket etmenin yeni bir yolu.
											İstediğimiz gelecek için bir hedef,
											küresel ısınmayı tersine çevirmenin 
mümkün olduğu bir gelecek.
											Düşüm, zaman içinde
											atmosferdeki sera gazı 
yoğunluğunun yıldan yıla
											düşmeye başladığı noktadır.
											Daha basit biçimde,
											atmosfere salgılanan sera gazından 
daha fazlasını çıkarabilmektir.
									",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
","
","
","
","
",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
											Now, I know we're all concerned
about climate change,
											but climate change is not the problem.
											Climate change is
the expression of the problem.
											It's the feedback of the system
of the planet telling us what's going on.
											The problem is global warming,
											provoked by the increasing
concentrations of greenhouse gases
											caused by human activity.
									","
											Je crois que le changement climatique
nous inquiète tous,
											mais le changement climatique
n'est pas le problème.
											Le changement climatique
est l'expression du problème.
											C'est le retour du système de la planète
qui nous dit ce qu'il se passe.
											Le problème est
le réchauffement climatique,
											provoqué par l'augmentation
des concentrations en gaz à effet de serre
											du fait de l'activité humaine.
									","
											Mir ist klar, dass der Klimawandel
uns alle beunruhigt,
											aber der Klimawandel
ist nicht das Problem.
											Klimawandel ist der Ausdruck des Problems.
											Es ist die Reaktion des Erdsystems,
die uns sagt, was vor sich geht.
											Das Problem ist globale Erderwärmung,
											ausgelöst durch die zunehmenden
Konzentrationen an Treibhausgasen
											verursacht durch den Menschen.
									","
											Ahora, sé que todos estamos
preocupados por el cambio climático,
											pero el cambio climático
no es el problema.
											El cambio climático es
la expresión del problema.
											Es la retroalimentación
del sistema del planeta,
											que nos dice lo que está sucediendo.
											El problema es el calentamiento global,
											provocado por
las crecientes concentraciones
											de gases de efecto invernadero
causadas por la actividad humana.
									","
											Biliyorum, hepimiz iklim değişikliği 
hakkında endişeliyiz
											ama problem iklim değişikliği değil.
											İklim değişikliği problemin
dışa vurumudur.
											Güneş sisteminin, yaptıklarımıza karşılık 
geri bildirim vermesidir.
											Asıl problem, beşeri faaliyetler sebebiyle
											sera gazı yoğunluğunun artışı 
sonucu meydana gelen
											küresel ısınmadır.
									",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
","
","
","
","
",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
											So how do we solve the problem?
											How do we begin the process
of reversing global warming?
											The only way we know how is to draw down,
											to avoid putting greenhouse gases up
											and to pull down what's already there.
											I know.
											Given the current situation,
it sounds impossible,
											but humanity already knows what to do.
											We have real, workable
technologies and practices
											that can achieve drawdown.
											And it's already happening.
											What we need is
to accelerate implementation
											and to change the discourse
											from one of fear and confusion,
which only leads to apathy,
											to one of understanding and possibility,
											and, therefore, opportunity.
									","
											Comment résoudre le problème ?
											Comment entamer le processus
d'inversion du réchauffement climatique ?
											La seule méthode que nous connaissons
est un rabattement, ou drawdown :
											éviter d'émettre des gaz à effet de serre
											et extraire ce qui est déjà là.
											Je sais.
											Étant donnée la situation actuelle,
cela semble impossible,
											mais l'humanité sait déjà quoi faire.
											Nous avons des technologies
et pratiques tangibles et applicables
											pouvant parvenir au drawdown.
											Cela se produit déjà.
											Nous avons besoin
d'accélérer la mise en œuvre
											et de changer le discours
											pour passer d'un de peur et de confusion
qui ne mène qu'à l'apathie,
											à un discours de compréhension
et de possibilité
											et, par conséquent, d'opportunité.
									","
											Wie lösen wir nun das Problem?
											Wie starten wir den Prozess
der Umkehr der Erderwärmung?
											Wir kennen nur den Weg der Absenkung,
											der Vermeidung von Treibhausgasen
											und der Reduktion der existierenden.
											Ich weiß.
											In Anbetracht der aktuellen Lage
klingt das unmöglich,
											aber die Menschheit
weiß schon, was zu tun ist.
											Wir haben echte, funktionierende
Technologien und Verfahren,
											die eine Absenkung erzielen können.
											Und es passiert schon.
											Wir brauchen eine schnellere Umsetzung
											und einen Wandel des Diskurses,
											von einem angstgesteuerten und konfusen,
der nur zu Gleichgültigkeit führt,
											zu einem verständnisvollen
und zuversichtlichen
											und dadurch einem mit Chancen.
									","
											¿Cómo resolvemos entonces el problema?
											¿Cómo comenzamos el proceso
de revertir el calentamiento global?
											La única forma que conocemos es reducir,
											evitar que asciendan más
gases de efecto invernadero
											y reducir los que ya están allí.
											Lo sé.
											Dada la situación actual parece imposible,
											pero la humanidad ya sabe qué hacer.
											Tenemos tecnologías y
prácticas reales y viables
											que pueden lograr una reducción.
											Y ya está sucediendo.
											Lo que necesitamos es
acelerar la implementación
											y cambiar el discurso
											de uno de miedo y confusión,
que sólo conlleva a la apatía,
											a uno de comprensión y posibilidad
											y, por lo tanto, a la oportunidad.
									","
											Peki bu problemi nasıl çözeriz?
											Küresel ısınmayı tersine çevirme sürecine 
nasıl başlarız?
											Düşüm için bildiğimiz tek yol,
											sera gazlarının salınmasından kaçınmak
											ve oradaki zararlı gazları yok etmek.
											Biliyorum.
											Mevcut durum göz önüne alındığında
kulağa imkânsız geliyor
											ama insanlık zaten ne yapacağını biliyor.
											Biz düşümü başarabilecek
gerçek, çalışabilir teknolojilere
											ve uygulamalara sahibiz.
											Bu zaten oluyor.
											İhtiyacımız olan, 
uygulamaları hızlandırmak
											ve sadece ilgisizliğe neden olan
											korku ve karışıklıktan oluşan söylemleri,
											anlayış ve olasılığa
											dolayısıyla fırsatlara dönüştürmektir.
									",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
","
","
","
","
",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
											I work for an organization
called Project Drawdown.
											And for the last four years,
											together with a team of researchers
and writers from all over the world,
											we have mapped, measured and detailed
											100 solutions to reversing global warming.
											Eighty already exist today,
											and when taken together,
those 80 can achieve drawdown.
											And 20 are coming attractions,
solutions on the pipeline,
											and when they come online,
											will speed up our progress.
											These are solutions
											that are viable, scalable
and financially feasible.
											And they do one or more of three things:
											replace existing fossil fuel-based energy
generation with clean, renewable sources;
											reduce consumption
through technological efficiency
											and behavior change;
											and to biosequester carbon
in our plants' biomass and soil
											through a process
we all learn in grade school,
											the magic of photosynthesis.
									","
											Je travaille pour l'organisation
Projet Drawdown.
											Ces quatre dernières années,
											avec une équipe de chercheurs et d'auteurs
venant des quatre coins du monde,
											nous avons recensé, mesuré et détaillé
											100 solutions pour inverser
le réchauffement climatique.
											Quatre-vingts existent déjà aujourd'hui
											et, ensemble, ces 80 solutions
peuvent parvenir au drawdown.
											Et 20 sont des attractions futures,
des solutions en cours de développement,
											et quand elles seront opérationnelles,
											elles accéléreront notre progression.
											Ce sont des solutions
											qui sont viables, évolutives
et possibles financièrement.
											Elles font au moins
une de ces trois choses :
											remplacer la production d'énergie
reposant sur des combustibles fossiles
											par des sources propres, renouvelables ;
											réduire la consommation via
une plus grande efficacité technologique
											et un changement de comportement ;
											bioséquestrer le carbone
dans la biomasse de nos plantes et le sol
											via un processus
que nous étudions en primaire :
											la magie de la photosynthèse.
									","
											Ich arbeite für ""Project Drawdown"".
											In den letzten 4 Jahre haben wir,
											mit einem Team aus Forschern
und Autoren aus der ganzen Welt,
											100 Lösungen zur Umkehr
der globalen Erderwärmung
											aufgezeichnet, untersucht
und ausgearbeitet.
											80 davon exisiteren schon heute,
											und zusammen genommen können
diese 80 eine Absenkung erreichen.
											Und 20 sind kommende Attraktionen,
Lösungen in der Planung,
											und wenn sie online gehen,
											beschleunigen wir unseren Fortschritt.
											Diese Lösungen sind umsetzbar,
											skalierbar und finanziell machbar.
											Sie bewirken eines
oder mehr von drei Dingen:
											ersetzen fossile Energiegewinnung
durch saubere erneuerbare Quellen;
											reduzieren den Verbrauch
durch technische Effizienz
											und Verhaltensänderung;
											und die CO2-Speicherung
in Pflanzen und Erde
											durch einen Prozess, den wir alle
in der Grundschule lernen,
											das Wunder der Photosynthese.
									","
											Trabajo para una organización
llamada Proyecto Reducción.
											Y durante los últimos cuatro años,
											junto con un equipo de investigadores
y escritores de todo el mundo,
											hemos mapeado, medido y detallado
											100 soluciones para revertir
el calentamiento global.
											Ya existen 80 hoy día
											y cuando se unen pueden
lograr una reducción.
											Y 20 son las próximas atracciones;
soluciones en espera
											y cuando se conecten
											acelerarán nuestro progreso.
											Estas son soluciones
											que son viables, escalables
y financieramente factibles.
											Y hacen una o más de tres cosas:
											reemplazar la generación de energía

											basada en combustibles fósiles existentes
											con fuentes limpias y renovables,
											reducir el consumo a través
de la eficiencia tecnológica
											y el cambio de comportamiento;
											y el bioaislamiento de carbono
											en la biomasa y el suelo 
de nuestras plantas,
											mediante un proceso que
todos aprendemos en la primaria,
											la magia de la fotosíntesis.
									","
											Project Drawdown adlı 
bir organizasyonda çalışıyorum.
											Son dört yıldır,
											dünyanın dört bir yanından araştırmacılar
ve yazarlardan oluşan bir takımla
											küresel ısınmayı tersine çevirmek için 
yüz çözüm önerisini
											haritalandırdık, ölçtük ve detaylandırdık.
											Seksen tanesi halihazırda 
günümüzde mevcut
											ve bunlar hep birlikte
düşümü başarabiliyor.
											Diğer yirmi tanesi planlanma 
aşamasında olan çözümler
											ve bunlar çevrim içi olduklarında
											sürecimizi hızlandıracaklar.
											Bunlar varlığı sürdürülebilir,
											ölçeklenebilir ve finansal açıdan 
uygulanabilir çözümler.
											Onlar bir veya üç şeyden 
fazlasını yapabilir:
											Fosil yakıt enerjisi temiz, yenilenebilir 
enerji kaynaklarıyla değiştirilebilir;
											tüketim teknolojik verimlilikle
											ve davranış değişikliğiyle azaltılabilir;
											bitkilerimizin canlı kütlesinde
ve toprağında
											karbonu ayrıştırıp tutması 
hepimizin ilkokulda öğrendiği,
											fotosentez mucizesidir.
									",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
","
","
","
","
",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
"
											It's through a combination
of these three mechanisms
											that drawdown becomes possible.
											So how do we get there?
											Well, here's the short answer.
											This is a list of the top 20 solutions
to reversing global warming.
											Now, I'll go into some detail,
											but take a few seconds
to look over the list.
											It's eclectic, I know,
											from onshore wind turbines
to educating girls,
											from plant-rich diets
to rooftop solar technology.
											So let's break it down a little bit.
											To the right of the slide,
you'll see figures in gigatons,
											or billions of tons.
											That represents the total
equivalent carbon dioxide
											reduced from the atmosphere
											when the solution is implemented
globally over a 30-year period.
											Now, when we think
about climate solutions,
											we often think about
electricity generation.
											We think of renewable energy
as the most important set of solutions,
											and they are incredibly important.
											But the first thing
to notice about this list
											is that only five of the top 20 solutions
relate to electricity.
											What surprised us, honestly,
											was that eight of the top 20
relate to the food system.
											The climate impact of food
may come as a surprise to many people,
											but what these results show
is that the decisions we make every day
											about the food we produce,
purchase and consume
											are perhaps the most
important contributions
											every individual can make
to reversing global warming.
											And how we manage land
is also very important.
											Protecting forests and wetlands
											safeguards, expands
and creates new carbon sinks
											that directly draw down carbon.
											This is how drawdown can happen.
											And when we take food
and land management together,
											12 of the top 20 solutions
relate to how and why we use land.
											This fundamentally shifts
traditional thinking on climate solutions.
											But let's go to the top of the list,
											because I think what's there
may also surprise you.
											The single most impactful solution,
											according to this analysis,
would be refrigeration management,
											or properly managing and disposing of
hydrofluorocarbons, also known as HFCs,
											which are used by refrigerators
and air conditioners to cool the air.
											We did a great job
with the Montreal Protocol
											to limit the production
of chlorofluorocarbons, CFCs,
											because of their effect
on the ozone layer.
											But they were replaced by HFCs,
											which are hundreds to thousands of times
more potent a greenhouse gas
											than carbon dioxide.
											And that 90 gigatons reduced
is a conservative figure.
											If we were to account for the impact
of the Kigali agreement of 2016,
											which calls for the phaseout
of hydrofluorocarbons
											and replace them with
natural refrigerants, which exist today,
											this number could increase to 120,
to nearly 200 gigatons
											of avoided greenhouse gases.
											Maybe you're surprised, as we were.
									","
											C'est via une combinaison
de ces trois mécanismes
											que le drawdown devient possible.
											Comment y arriver ?
											Voici la réponse courte.
											Ceci est une liste
des 20 solutions principales
											pour inverser le réchauffement climatique.
											Je vais rentrer dans les détails,
											mais prenez quelques secondes
pour jeter un œil à la liste.
											Elle est éclectique, je sais.
											Cela va des éoliennes offshore
à l'éducation des filles,
											des alimentations riches en plantes
à la technologie des panneaux solaires.
											Analysons un peu cela.
											A droite de l'écran,
vous voyez des chiffres en gigatonnes,
											soit des milliards de tonnes.
											Cela représente la réduction équivalente
en dioxyde de carbone
											dans l'atmosphère
											quand la solution est mise en œuvre
à l'échelle mondiale durant 30 ans.
											Quand nous pensons
aux solutions climatiques,
											nous pensons souvent
à la production électrique.
											Nous voyons les énergies renouvelables
comme les solutions les plus importantes
											et elles sont incroyablement importantes.
											La première chose
que l'on remarque avec cette liste,
											c'est que seulement cinq
des 20 solutions principales
											sont liées à l'électricité.
											Ce qui nous a surpris, honnêtement,
											c'est que huit des 20 solutions
sont liées au système alimentaire.
											L'impact climatique de l'alimentation
peut surprendre beaucoup de gens,
											mais ces résultats montrent
que nos décisions quotidiennes
											quant à la nourriture produite,
achetée et consommée
											sont peut-être les contributions
les plus importantes
											de chaque individu pour inverser
le réchauffement climatique.
											Notre gestion du territoire
est également très importante.
											Protéger les forêts et les zones humides
											sauvegarde, étend et crée
de nouveaux puits de carbone
											qui extraient directement du carbone.
											Voilà comment le drawdown peut arriver.
											En réunissant la nourriture
et la gestion du territoire,
											12 des 20 solutions sont liées à comment
et pourquoi nous utilisons le territoire.
											Cela change fondamentalement
la réflexion traditionnelle
											au sujet des solutions climatiques.
											Mais considérons le début de la liste
											car je crois que ce qu'il y a là
pourrait vous surprendre.
											La solution ayant le plus gros impact,
											d'après cette analyse,
serait la gestion de la réfrigération,
											ou la gestion et l'élimination
des hydrofluorocarbures, ou HFC,
											qui sont utilisés dans les réfrigérateurs
et les climatiseurs pour refroidir l'air.
											Nous avons bien réussi
avec le protocole de Montréal
											à limiter la production
de chlorofluorocarbures, CFC,
											du fait de leur effet
sur la couche d'ozone.
											Mais ils ont été remplacés par les HFC,
											dont l'effet de serre est des centaines
ou des milliers de fois plus fort
											que celui du dioxyde de carbone.
											Cette réduction de 90 gigatonnes
est une estimation prudente.
											Si nous devions prendre en compte l'effet
de l'accord de Kigali,
											qui appelle à l'élimination
des hydrofluorocarbures
											et les remplacions avec des réfrigérants
naturels qui existent aujourd'hui,
											ce chiffre pourrait augmenter
et atteindre 120 ou près de 200 gigatonnes
											de gaz à effet de serre évités.
											Vous êtes peut-être
aussi surpris que nous l'étions.
									","
											Durch eine Kombination
dieser drei Mechanismen
											wird die Absenkung ermöglicht.
											Wie gelangen wir dahin?
											Hier ist die Kurzantwort.
											Das ist eine Liste der 20 besten Lösungen,
um den Klimawandel umzukehren.
											Ich gehe jetzt ins Detail,
											aber nehmen Sie sich
ein paar Sekunden für die Liste.
											Es ist eine beliebige Auswahl,
											von Onshore-Windrädern
bis zur Ausbildung von Mädchen,
											von pflanzenreichen Diäten
bis zu Solardächern.
											Fassen wir es etwas zusammen.
											Rechts auf der Folie sehen Sie
Angaben in Gigatonnen,
											oder Milliarden Tonnen.
											Das stellt das CO2-Gesamtäquivalent dar,
											das der Atmosphäre entzogen wird,
											wenn weltweit die Lösung innerhalb
von 30 Jahren umgesetzt wird.
											Wenn wir an Klimalösungen denken,
											denken wir oft an Stromerzeugung.
											Wir denken an erneuerbare Energien
als wichtigsten Teil der Lösung,
											und sie sind unglaublich wichtig.
											Aber als erstes muss man
an der Liste erkennen,
											nur 5 der 20 wichtigsten
Lösungen sind energiebezogen.
											Was uns ehrlich überrascht hat,
											dass 8 der 20 wichtigsten Lösungen
auf das Nahrungssystem bezogen sind.
											Die Klimafolgen von Nahrung
mag viele Menschen überraschen,
											aber diese Ergebnisse zeigen,
dass unsere täglichen Entscheidungen,
											bezüglich der Nahrung, die wir
produzieren, kaufen und konsumieren,
											wohl die wichtigsten Beiträge sind,
											die jeder einzelne zur Umkehr
des Klimawandels leisten kann.
											Flächennutzung ist auch sehr wichtig.
											Der Schutz von Wäldern und Feuchtgebieten
											sichert, vergrößert und schafft
neue Kohlenstoffsenken,
											die CO2 direkt verringern.
											So kann die Absenkung gelingen.
											Nehmen wir Nahrung und
Flächennutzung zusammen,
											beziehen sich 12 der 20 wichtigsten
Lösungen darauf, wie wir Land nutzen.
											Das verschiebt traditionelles Denken
über Klimalösungen grundlegend.
											Aber kommen wir zur Spitze der Liste,
											denn das wird Sie wohl auch überraschen.
											Die wirkungsvollste Lösung,
											gemäß dieser Analyse,
wäre die Kälteerzeugung,
											oder Umgang mit und Entsorgung
von FCKW, Fluorcholenwasserstoffen,
											die von Kühlschränken oder
Klimaanlagen genutzt werden.
											Mit dem Montreal-Protokoll
haben wir tolle Arbeit geleistet,
											um die FCKW-Produktion zu begrenzen,
											wegen deren Auswirkung
auf die Ozonschicht.
											Aber sie wurden durch
Hydrofluorkarbonat ersetzt,
											die hundert- bis tausendmal
wirksamere Treibhausgase sind
											als Kohlendioxid.
											Der Rückgang um 90 Gigatonnen
ist eine vorsichtige Schätzung.
											Stünden wir für den Einfluss
des Kigali-Abkommens von 2016 ein,
											das die Abkündigung von
Hydrofluorkarbonaten fordert,
											und würden sie durch existierende
natürliche Kältemittel ersetzen,
											könnten diese Zahlen
um 120 bis ca. 200 Gigatonnen
											an vermiedenen Treibhausgasen zunehmen.
											Vielleicht wundern Sie sich,
so wie wir damals.
									","
											Es a través de una combinación
de estos tres mecanismos,
											que la reducción se hace posible.
											Entonces, ¿cómo llegamos allí?
											Bueno, está la respuesta corta.
											Esta es una lista de
las 20 soluciones principales
											para revertir el calentamiento global.
											Voy a entrar en algunos detalles,
											pero tómense unos segundos
para repasar la lista.
											Es ecléctica, lo sé,
											desde aerogeneradores en tierra
hasta la educación de las niñas,
											desde dietas ricas en plantas
hasta tecnología solar en los techos.
											Así que, desglosemos un poco.
											A la derecha de la diapositiva,
verán cifras en gigatoneladas,
											o miles de millones de toneladas.
											Eso representa el equivalente
total de dióxido de carbono
											reducido de la atmósfera,
											cuando la solución se implemente
globalmente en un período de 30 años.
											Ahora, cuando pensamos
en soluciones climáticas,
											a menudo pensamos en
la generación de electricidad.
											Pensamos en la energía renovable
											como el conjunto de 
soluciones más importante,
											y son increíblemente importantes.
											Pero, lo primero que se 
debe notar sobre esta lista
											es que sólo cinco de las
20 soluciones principales
											se relacionan con la electricidad.
											Lo que honestamente nos sorprendió,
											fue que 8 de los 20 se relacionan 
con el sistema alimentario.
											El impacto climático de los alimentos
											puede ser una sorpresa
para muchas personas,
											pero lo que muestran estos resultados
											es que las decisiones 
que tomamos todos los días
											sobre los alimentos que producimos,
compramos y consumimos
											son quizás las contribuciones
más importantes
											que todos los individuos pueden hacer
para revertir el calentamiento global.
											Y el cómo manejamos el suelo
también es muy importante.
											La protección de los bosques
y salvaguardar los humedales,
											expande y crea nuevos sumideros de carbono
											que reducen directamente el carbono.
											Así es como puede ocurrir la reducción.
											Y cuando juntamos la administración
de alimentos y suelos
											12 de las 20 soluciones principales
											se relacionan con cómo
y por qué usamos el suelo.
											Esto cambia fundamentalmente
el pensamiento tradicional
											sobre las soluciones climáticas.
											Pero vayamos a la parte
superior de la lista,
											porque creo que lo que hay
allí también puede sorprenderlos.
											La solución más impactante,
											según este análisis,
sería la gestión de la refrigeración
											o la gestión y eliminación adecuadas
de los hidrofluorocarbonos,
											también conocidos como HFC,
											los cuales son utilizados
por los refrigeradores
											y aires acondicionados
para enfriar el aire.
											Hicimos un gran trabajo
con el Protocolo de Montreal
											para limitar la producción
de clorofluorocarbonos, CFC,
											debido a su efecto en la capa de ozono.
											Pero fueron reemplazados por HFC,
											que son cientos a miles 
de veces más potentes
											como gas de efecto invernadero
que el dióxido de carbono.
											Y esas 90 gigatoneladas
reducidas es una cifra conservadora.
											Si tuviéramos que explicar el impacto
del acuerdo de Kigali de 2016,
											el cual exige la eliminación
gradual de los hidrofluorocarbonos
											y reemplazarlos por refrigerantes
naturales que existen actualmente,
											este número podría aumentar
a 120, a casi 200 gigatoneladas
											de gases de efecto invernadero evitados.
											Tal vez estén sorprendidos,
tal y como lo estábamos nosotros.
									","
											Bu üç mekanizmanın kombinasyonuyla
											düşüm mümkün hale gelir.
											Peki, o noktaya nasıl geliriz?
											İşte size kısa bir cevap.
											Bu, küresel ısınmayı tersine çevirecek 
yirmi çözüm yolunun bir listesi.
											Şimdi biraz detaya ineceğim,
											ama birkaç saniye listeye göz atın.
											Biraz seçmeci biliyorum,
											kıyıdaki rüzgar türbinlerinden
kızların eğitimine,
											bitkisel içerikli beslenmeden
güneş panellerine kadar uzanmakta.
											O halde parça parça açıklayalım.
											Sunumun sağında, milyarlarca 
ton rakam göreceksiniz.
											Bu bizlere, çözümler küresel çapta
											otuz yıllık bir süreçte uygulandığında
											atmosferdeki toplam karbondioksit 
düşüşünü gösteriyor.
											İklimsel çözümler hakkında düşündüğümüzde
											sıklıkla aklımıza elektrik üretimi gelir.
											Yenilenebilir enerjinin, çözümlerin
en önemlisi olduğunu düşünüyoruz
											ve gerçekten de önemliler.
											Ancak, listede ilk fark edilen şey,
											en önemli yirmi çözümden
yalnızca beşi elektrikle ilgili.
											Bizi gerçekte asıl şaşırtan,
											yirmi maddenin sekiz tanesinin 
besin zinciriyle ilişkili olması.
											İklimin besin zinciri üzerindeki etkisi 
birçok insanı şaşırtmış olabilir
											fakat sonuçların bize gösterdiği şey
her gün ürettiğimiz, satın aldığımız
											ve tükettiğimiz yiyecekler 
hakkında aldığımız kararlar
											muhtemelen küresel ısınmayı 
tersine çevirmek için
											yapabileceğimiz en önemli katkılar.
											Toprağı nasıl yönettiğimiz de çok önemli.
											Orman ve sulak alanları korumak,
											genişletmek ve yeni 
karbon havuzları yaratarak
											karbon salınımını azaltmak.
											Düşüm bu şekilde sağlanabilir.
											Beslenme ve toprak yönetimini 
birlikte ele aldığımızda,
											20 çözüm önerisinden 12'si toprağı
nasıl ve neden kullandığımızla ilgilidir.
											Bu temelde geleneksel düşünceyi
iklimsel çözümlere kaydırıyor.
											Hadi listenin en tepesine bakalım
											çünkü bence oradaki şey de 
sizi şaşırtabilir.
											En etkili tek çözüm,
											bu analize göre, soğutma yönetimi
											ya da hidroflorokarbonların yönetimi 
ve atılımı, HFC olarak da bilinir,
											buzdolabı ve klimalar tarafından 
havayı soğutmak için kullanılır.
											Biz Montreal Protokolü ile
											kloroflorokarbonların 
yani CFClerin üretimini,
											ozon tabakasına etkileri sebebiyle 
sınırlandırarak harika bir iş yaptık.
											Fakat onlar karbondioksitten
											binlerce kat daha güçlü bir sera gazı olan
											HFCler ile yer değiştirdi.
											Bu 90 milyar ton azalma
iyimser bir rakam.
											2016 Kigali Anlaşmasının 
etkilerini hesaba kattığımızda,
											hidroflorokarbonların kademeli azaltılması
											ve bugün var olan doğal soğutucu 
yöntemlerle yer değiştirmesiyle
											bu rakam 120 milyar ton yerine 
yaklaşık olarak 200 milyar ton
											kaçınılmış sera gazına yükselebilirdi.
											Belki siz de bizim kadar şaşırdınız.
									",100 solutions to reverse global warming,Chad Frischmann,17:01,"climate change,Anthropocene,nature,biosphere,science,social change,energy,sustainability,pollution,education,potential,electricity,global issues,food,policy"
