es,tr,en,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											Bueno, primero que todo, déjenme dar gracias a Emeka - de hecho,
											a TED Global - por organizar esta conferencia en conjunto.
											Esta conferencia será una de las más importantes
											del inicio del siglo 21.
											¿Creen que los gobiernos africanos organizarán una conferencia como esta?
											¿Piensan que la Unión Africana organizará una conferencia como esta?
											Aun antes de hacerlo, pedirán ayuda extranjera.
											También quiero rendir homenaje y honor a los TED Fellows [socios]
											June Arunga, James Shikwati, Andrew y los otros TED Fellows.
											Les llamo la Generación Chita.
											La Generación Chita es una nueva casta de africanos
											quienes no tienen tolerancia para con la corrupción.
											Entienden lo que es rendición de cuentas y lo que es democracia.
											No van a esperar que el gobierno haga las cosas por ellos.
											Esa es la Generación Chita.
											Y la salvación de África descansa sobre esos Chitas.
											En contraste, desde luego, está la Generación Hipopótamo.
									","
											Öncelikle Emeka'ya, aslına bakarsanız TED Global'a, bu konferansı...
											...düzenledikleri için teşekkür etmek istiyorum.
											Bu konferans, 21. yüzyılın başında en önemli...
											...konferans olarak yerini alacaktır.
											Sizce Afrika hükümetleri böyle bir konferansı düzenleyebilir mi?
											Afrika Birliği'nin böyle bir konferans düzenleyebileceğini düşünüyor musunuz?
											Bunu bile yapmadan önce, yabancı yardım isteyeceklerdir.
											Ayrıca TED arkadaşlarıma da şükran ve saygılarımı sunmak istiyorum...
											...June Arunga, James Shikwati, Andrew ve diğer TED arkadaşlarıma.
											Ben, onlara Çita Jenerasyonu diyorum.
											Çita Jenerasyonu, yozlaşma konusunda saçmalıklara...
											...tahammül göstermeyen yeni bir Afrikalı nesli.
											Onlar, sorumluluğun ve demokrasinin ne olduğunu anlıyorlar.
											Onlar, devletin kendileri için bir şeyler yapmasını beklemeyecekler.
											İşte bu, Çita Jenerasyonu.
											Ve Afrika'nın kurtuluşu, bu Çitaların sırtında.
											Tabi ki de, buna karşın Suaygırı Jenerasyonumuz var.
									","
											Well, first of all, let me thank Emeka — as a matter of fact,
											TED Global — for putting this conference together.
											This conference is going to rank as the most important
											in the beginning of the 21st century.
											Think African governments will put together a conference like this?
											You think the A.U. will put together a conference like this?
											Even before they do that they will ask for foreign aid.
											I would also like to pay homage and honor to the TED Fellows
											June Arunga, James Shikwati, Andrew, and the other TED Fellows.
											I call them the Cheetah Generation.
											The Cheetah Generation is a new breed of Africans
											who brook no nonsense about corruption.
											They understand what accountability and democracy is.
											They're not going to wait for government to do things for them.
											That's the Cheetah Generation,
											and Africa's salvation rests on the backs of these Cheetahs.
											In contrast, of course, we have the Hippo Generation.
									","
											Bon, tout d'abord, permettez-moi de remercier Emeka — en fait,
											TED Global — pour l'organisation de cette conférence.
											Cette conférence va devenir la plus importante
											de ce début de 21ème siècle.
											Vous croyez qu'un gouvernement africain organiserait une telle conférence ?
											Vous imaginez l'Union Africaine organiser une telle conférence ?
											Même pour cela, ils feraient appel à l'aide étrangère.
											J'aimerais également rendre hommage aux TED Fellows
											June Arunga, James Shikwati, Andrew et les autres TED Fellows.
											Ce sont eux que j'appelle la Génération des Guépards.
											Cette génération Guépard est une nouvelle sorte d'africains
											qui ne s'en laissent pas compter sur la corruption.
											Ils comprennent ce que la responsabilité et la démocratie veulent dire.
											Ils n'attendront pas que les gouvernements fassent quelque chose pour eux.
											C'est cela, la Génération Guépard.
											Et le salut de l'Afrique repose sur les épaules de ces guépards.
											Par opposition, bien sûr, nous avons la génération Hippopotame.
									","
											Zunächst, lassen sich mich Emeka - um genau zu sein -
											TED Global - danken, dass sie diese Konferenz organisieren.
											Diese Konferenz wird als die bedeutendste gelten
											zu Beginn des 21. Jahrhunderts.
											Glauben Sie, afrikanische Regierungen werden eine Konferenz wie diese organisieren?
											Glauben Sie, die Afrikanische Union wird eine solche Konferenz organisieren?
											Noch bevor sie das tun, werden sie nach ausländischer Hilfe fragen.
											Ich möchte auch den TED Fellows meinen Respekt bezeugen -
											June Arunga, James Shikwati, Andrew und den anderen TED Fellows.
											Ich nenne sie die ""Geparden-Generation"".
											Die Geparden-Generation ist eine neue Sorte Afrikaner,
											die Korruption nicht dulden.
											Sie wissen, was Verantwortlichkeit und Demokratie bedeuten.
											Sie warten nicht darauf, dass die Regierung die Dinge für sie erledigt.
											Das ist die Geparden-Generation.
											Und die Rettung Afrika liegt auf den Schultern dieser Geparden.
											Im Gegensatz dazu gibt es natürlich noch die ""Flusspferd-Generation"".
									","
											Primeiro que tudo, agradeço à Emeka
- ou seja, a TED Global -
											por organizar esta conferência.
											Esta conferência vai figurar
como a mais importante
											no início do século XXI.
											Acham que os governos africanos
organizariam uma conferência destas?
											Acham que a União Africana
organizaria uma conferência destas?
											Antes de a fazerem, pediriam 
ajuda ao estrangeiro.
											Também quero homenagear
											os TED Fellows June, Arunga,
											James Shikwati, Andrew
e os outros TED Fellows.
											Chamo-lhes a Geração da Chita.
											A Geração da Chita é uma nova
geração de africanos
											que não toleram a corrupção.
											Sabem o que é a responsabilidade
e a democracia.
											Não vão ficar à espera
que o governo faça coisas para eles.
											É a Geração Chita.
											A salvação de África repousa
nos ombros destes Chitas.
											Em contraste, temos
a Geração dos Hipopótamos.
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											(risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											La Generación Hipopótamo son las élites gobernantes.
											Están atascados en su terruño intelectual.
											Quejándose del colonialismo y el imperialismo -
											no moverían ni un pie.
											Si les pides que reformen las economías,
											ellos no las reformarán
											porque les beneficia el podrido estado actual.
											Ahora, hay muchos africanos muy enojados,
											enojados con la condición de África.
											Ahora, estamos hablando de un continente, que no es pobre.
											Es rico, en recursos minerales, recursos minerales naturales.
											Pero la riqueza mineral de África no se está usando
											para sacar al pueblo de la pobreza.
											Eso es lo que hace que muchos africanos estén muy enojados.
											Y en cierta forma, África es más que una tragedia, en más de una manera.
											Hay otra tragedia duradera, y esa tragedia es
											que hay mucha gente, muchos gobiernos
											muchas organizaciones, quienes quieren ayudar a la gente de África -
											pero no lo entienden.
											Vamos, no estoy diciendo, no ayuden a África.
											Ayudar a África es noble.
											Pero ayudar a África se convertido en un teatro del absurdo.
											Es como el ciego guiando al despistado.
									","
											Suaygırı Jenerasyonu, elitleri yönetiyor.
											Kendi entellektüel yollarında sıkışıp kalmışlar.
											Sömürgecilik ve emperyalizmden şikayet ederken...
											...bir adım dahi ilerleyemeyecekler.
											Onlardan ekonomileri düzeltmelerini isterseniz,
											düzeltmeyeceklerdir...
											...çünkü onlar, kokuşmuş statükodan faydalanıyorlar.
											Şimdi, Arkika'nın durumuna çok kızgın olan...
											...çok sayıda Afrikalı var.
											Şimdi, biz, yoksul olmayan bir kıtadan bahsediyoruz.
											Mineral kaynakları, doğal mineral kaynakları bakımından zengin bir kıta.
											Fakat Afrika'nın mineral zenginliği, insanlarının fakirlikten...
											...kurtarılması için kullanılmıyor.
											Birçok Afrikalıyı oldukça kızdıran da bu.
											Ve bir bakıma, Afrika, genellikle bir trajediden daha fazlası.
											Sürekli devam eden başka bir trajedi daha var ve bu trajedide...
											...Afrika'da hiç anlamadıkları insanlara yardım etmek isteyen...
											...çok sayıda insan, çok sayıda hükümet, ...
											...çok sayıda kuruluş var.
											Şimdi, biz demiyoruz ki, Afrika'ya yardım etmeyin.
											Afrika'ya yardım, soylu bir davranış.
											Fakat, Afrika'ya yardım, absürd bir tiyatroya dönüştü.
											Bu, körler sağırlar birbirini ağırlar gibi.
									","
											The Hippo Generation are the ruling elites.
											They are stuck in their intellectual patch.
											Complaining about colonialism and imperialism,
											they wouldn't move one foot.
											If you ask them to reform the economies,
											they're not going to reform it
											because they benefit from the rotten status quo.
											Now, there are a lot of Africans who are very angry,
											angry at the condition of Africa.
											Now, we're talking about a continent that is not poor.
											It is rich in mineral resources, natural mineral resources.
											But the mineral wealth of Africa is not being utilized
											to lift its people out of poverty.
											That's what makes a lot of Africans very angry.
											And in a way, Africa is more than a tragedy, in more ways than one.
											There's another enduring tragedy, and that tragedy is that
											there are so many people, so many governments,
											so many organizations who want to help the people in Africa.
											They don't understand.
											Now, we're not saying don't help Africa.
											Helping Africa is noble.
											But helping Africa has been turned into a theater of the absurd.
											It's like the blind leading the clueless.
									","
											La génération des Hippopotames sont les élites au pouvoir
											Ils sont vautrés dans leur marigot intellectuel
											se plaignant du colonialisme et de l'impérialisme
											mais sans jamais bouger une oreille.
											Si vous leur demandez de réformer les économies,
											ils ne les réformeront pas
											parce qu'ils profitent de ce statu quo pourri.
											Pourtant, il y a beaucoup d'africains très en colère,
											en colère à cause de la condition dans laquelle se trouve l'Afrique.
											Nous parlons ici d'un continent qui n'est pas pauvre.
											Il est riche de ressources minérales, de ressources minérales naturelles.
											Mais cette richesse minérale de l'Afrique n'est pas utilisée
											pour sortir son peuple de la pauvreté.
											C'est cela qui met beaucoup d'africains très en colère
											D'une certaine façon, l'Afrique vit une tragédie et sous plus d'une forme.
											Il y a une autre tragédie qui dure, cette tragédie est
											qu'il y a tellement de gens, tellement de gouvernements,
											tellement d'organisations qui veulent aider en Afrique
											ils ne comprennent pas.
											Attention, nous ne disons pas : n'aidez pas l'Afrique.
											Aider l'Afrique est noble.
											Mais l'aide à l'Afrique s'est transformée en une scène de l'absurde.
											C'est l'aveugle conduisant l'égaré.
									","
											Die Flusspferd-Generation sind die herrschenden Eliten.
											Sie sind in ihrem Gedankengebilde gefangen.
											Während sie sich über Kolonialismus und Imperialismus beklagen -
											würden sie nicht einen Finger krumm machen.
											Wenn man sie darum bittet, die Wirtschaft zu reformieren
											werden sie das nicht tun
											weil sie die Nutzniesser des schlechten Status quo sind.
											Eine grosse Zahl Afrikaner sind sehr wütend,
											wütend über den Zustand, in dem sich Afrika befindet.
											Wir sprechen über einen Kontinent, der nicht arm ist.
											Er ist reich an Bodenschätzen.
											Aber die Bodenschätze Afrikas werden nicht verwendet
											um seine Bevölkerung aus der Armut zu befreien.
											Das ist es, was viele Afrikaner sehr wütend macht.
											Und Afrika ist mehr als nur eine Tragödie, auf mehr als nur eine Weise.
											Es gibt eine andere dauerhafte Tragödie, und das ist:
											Es gibt so viele Menschen, so viele Regierungen,
											so viele Organisationen, die den Menschen in Afrika helfen wollen -
											sie verstehen nicht.
											Wir sagen nicht ""Helfen Sie Afrika nicht"".
											Afrika zu helfen ist eine edle Sache.
											Aber Afrika zu helfen wurde in absurdes Theater verwandelt.
											Es ist, als ob die Blinden die Ahnungslosen führen.
									","
											A Geração dos Hipopótamos
é formada pelas elites dirigentes.
											Estão presos no seu cantinho intelectual.
											Queixam-se do colonialismo
e do imperialismo,
											mas não se mexem um centímetro.
											Se lhes pedimos para reformar a economia,
											não vão reformá-la
											porque beneficiam
do ""status quo"" apodrecido.
											Há muitos africanos
que estão muito irritados
											com a situação de África.
											Estamos a falar de um continente
que não é pobre.
											É rico em recursos minerais,
recursos minerais naturais.
											Mas a riqueza mineral de África
não está a ser utilizada
											para libertar o povo da pobreza.
											É isso que irrita muitos africanos.
											África é mais do que uma tragédia,
sob muitas formas.
											Há uma outra tragédia duradoura
											que é haver muita gente, muitos governos,
											muitas organizações que querem
ajudar as pessoas de África.
											Mas eles não percebem.
											Não estamos a dizer
que não ajudem África.
											Ajudar África é nobre.
											Mas ajudar África tornou-se
um teatro do absurdo.
											É como um cego a guiar os ignorantes.
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											(risas)
									","
											(Gülüşmeler)
									","
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
","
","
","
","
","
",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
"
											Hay ciertas cosas que tenemos que reconocer.
											El tazón mendicante de África tiene fugas.
											¿Sabían que el 40 por ciento de la riqueza creada en África,
											no se invierte en África?
											Se saca de África.
											Eso es lo que dice el Banco Mundial.
											Miren el tazón mendicante de África.
											Tiene fugas horribles.
											Hay gente que piensa que debemos verter más dinero,
											más ayuda en este tazón, el cual tiene fugas.
											¿Cuáles son las fugas?
											La corrupción por sí misma le cuesta a África 148 mil millones de dólares al año.
											Sí, hagámoslo a un lado.
											La fuga de capitales de África, 80 mil millones al año.
											Hagámoslo a un lado.
											Tomemos la importación de alimentos.
											Cada año, África gasta 20 mil millones de dólares para importar comida.
											Súmenlas, todas esas fugas.
											Eso es mucho más que los 50 mil millones que Tony Blair quiere conseguir para África.
											Ahora, en los años 60, no sólo África se alimentaba sola,
											también exportaba comida.
											Ya no más.
									","
											Farkına varmamız gereken belirli şeyler var.
											Afrika'nın dilenci kutusu sızdırıyor.
											Afrika'da yaratılan sermayenin yüzde 40'nın, burada Afrika'da...
											...yatırım yapılmadığını biliyor muydunuz?
											Afrika dışına götürülüyor.
											Bunu, Dünya Bankası söylüyor.
											Afrika'nın dilenci kutusuna bakın.
											Fena halde sızdırıyor.
											Sızdıran bu kutuya daha çok para, daha çok yardım yağdırmamız...
											...gerektiğini düşünen kişiler var.
											Sızıntılar neler?
											Yolsuzluk, tek başına, Afrika'ya yılda 148 milyar dolara mal oluyor.
											Evet, bunu bir kenara koyun.
											Sermayenin Afrika dışına kaçışı, yılda 80 milyar.
											Bunu da bir kenara koyun.
											Yiyecek ithalatını ele alalım.
											Her yıl, Afrika, yiyecek ithalatına 20 milyar dolar harcıyor.
											Tüm bu sızıntıları toplayın.
											Bu, Tony Blair'ın Afrika için toplamak istediği 50 milyardan çok daha fazla.
											Şimdi 1960'lara geri dönelim, Afrika sadece kendini beslemiyor, ...
											...ayrıca yiyecek ihraç ediyordu.
											Fakat artık değil.
									","
											There are certain things that we need to recognize.
											Africa's begging-bowl leaks.
											Did you know that 40 percent of the wealth created in Africa
											is not invested here in Africa?
											It's taken out of Africa.
											That's what the World Bank says.
											Look at Africa's begging-bowl.
											It leaks horribly.
											There are people who think that we should pour more money,
											more aid into this bowl which leaks.
											What are the leakages?
											Corruption alone costs Africa 148 billion dollars a year.
											Yes, put that aside.
											Capital flight out of Africa, 80 billion a year.
											Put that aside.
											Let's take food imports.
											Every year Africa spends 20 billion dollars to import food.
											Just add that up, all these leakages.
											That's far more than the 50 billion Tony Blair wants to raise for Africa.
											Now, back in the 1960s Africa not only fed itself,
											it also exported food.
											Not anymore.
									","
											Il nous faut comprendre certaines choses.
											La sébile africaine a une fuite.
											Saviez-vous que 40% de la richesse créée en Afrique
											n'est pas investie ici en Afrique ?
											Elle est prise à l'Afrique.
											C'est ce que dit la Banque Mondiale.
											Regardez la sébile de l'Afrique.
											Elle fuit terriblement.
											Il y a ceux qui pensent que nous devrions y verser plus d'argent,
											plus d'aide dans cette sébile qui fuit.
											Où sont les fuites ?
											La corruption à elle seule coûte 148 milliards de dollars par an.
											Bon, mettons cela de côté.
											La fuite des capitaux hors d'Afrique, 80 milliards par an.
											Mettons cela de côté.
											Prenons l'importation de nourriture.
											Chaque année, l'Afrique dépense 20 milliards de dollars pour importer de la nourriture
											Additionnons simplement tout ça, toutes ces fuites.
											C'est beaucoup plus que les 50 milliards que Tony Blair voudrait lever pour l'Afrique.
											Maintenant, retournons dans les années 1960, l'Afrique ne faisait pas que se nourrir,
											elle exportait aussi de la nourriture.
											Plus maintenant.
									","
											Es gibt da einige Dinge, die man wissen muss.
											Afrikas Bettelschüssel hat Löcher.
											Wussten Sie, dass 40 Prozent des Wohlstandes, der in Afrika entsteht,
											nicht in Afrika investiert wird?
											Er wird aus Afrika entfernt.
											Das ist, was die Weltbank sagt.
											Schauen Sie sich Afrikas Bettelschüssel an.
											Sie hat viele Löcher.
											Es gibt Menschen die glauben, man müsse mehr Geld in die Schüssel tun,
											mehr Hilfe in die Schüssel tun, die Löcher hat.
											Wo sind diese Löcher?
											Korruption kostet Afrika 148 Milliarden Dollar jedes Jahr.
											Ok, legen wir das zur Seite.
											Kapitalflucht aus Afrika, 80 Milliarden jedes Jahr.
											Legen wir das zur Seite.
											Nehmen wir Nahrungsmittelimporte.
											Jedes Jahr gibt Afrika 20 Milliarden Dollar für Nahrungsmittelimporte aus.
											Addieren wir diese Löcher.
											Das ist viel mehr als die 50 Milliarden, die Tony Blair für Afrika aufbringen möchte.
											In den 60er Jahren des 20. Jahrhunderts konnte Afrika sich nicht nur selbst ernähren,
											es exportierte Nahrungsmittel.
											Heute nicht mehr.
									","
											Há certas coisas que temos de reconhecer.
											A tijela de pedinte de África está rota.
											Sabiam que 40% da riqueza criada em África
											não é investida aqui em África?
											É levada para fora de África.
											É o que diz o Banco Mundial.
											Reparem na tijela de pedinte de África.
											Está completamente rota.
											Há pessoas que acham
que devíamos despejar mais dinheiro,
											mais ajuda nesta tijela que está rota.
											O que é que se escapa da tijela?
											Só a corrupção custa a África
148 mil milhões de dólares por ano.
											Ponhamos isso de parte.
											A fuga de capitais de África,
80 mil milhões por ano.
											Ponhamos isso de parte.
											Vejamos a importação de alimentos.
											África gasta 20 mil milhões de dólares
em comida importada, por ano.
											Somem isso tudo, 
todas estas fugas.
											É muito mais do que os 50 mil milhões
que Tony Blair quer angariar para África.
											Recuando para os anos 60,
a África não só se alimentava por si mesma
											como exportava alimentos.
											Agora já não.
									",Africa's cheetahs versus hippos,George Ayittey,17:50,"Africa,business,economics,entrepreneur,global issues,philanthropy,corruption,global development"
