en,es,pt,title,speaker,duration,tags
"
","
","
",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
											How many of you have had
your doctor ask you about sex?
											Your mental health?
											Alcohol use?
											These questions are almost universal.
											But how many of you have had
your doctor ask you about money?
											Most of us haven't.
											But that is strange, because
compared to most high-income countries,
											child poverty is an epidemic
in the United States.
											It creates conditions that may elevate
stress hormone levels
											and impair brain development.
											Poor children in the US are one and a half
times more likely to die
											and twice as likely to be hospitalized
											as their middle-class counterparts.
									","
											¿A cuántos de Uds. el médico
le ha preguntado sobre sexo?
											¿Sobre su salud mental?
											¿Sobre el consumo de alcohol?
											Estas preguntas son casi universales.
											Pero ¿a cuántos el médico
le ha preguntado sobre sus finanzas?
											Pues no a la mayoría.
											Es extraño, porque comparado
con otros países de alto ingreso,
											la pobreza infantil es
una epidemia en EE. UU.
											Esto crea las condiciones que elevan
los niveles de la hormona del estrés
											y perjudica el desarrollo del cerebro.
											Los niños pobres en EE. UU. tienen
1,5 más probabilidades de fallecer
											y dos veces más la probabilidad
de ser hospitalizados
											en comparación con
niños de clase media.
									","
											Quantos de vocês já falaram
com o vosso médico sobre sexo?
											E sobre a vossa saúde mental?
											E sobre o consumo de álcool?
											Estas perguntas
são praticamente universais.
											Mas quantos de vocês já falaram
com o vosso médico sobre dinheiro?
											A maior parte das pessoas não o fazem.
											Mas é estranho, porque,
											em comparação com a maior parte
dos países de altos rendimentos,
											a pobreza infantil é uma epidemia nos EUA.
											Cria condições que podem elevar
os níveis das hormonas do ""stress""
											e prejudicar o desenvolvimento do cérebro.
											As crianças pobres nos EUA
											têm uma vez e meia
mais probabilidades de morrer
											e duas vezes mais probabilidades
de serem hospitalizadas
											do que as crianças da classe média.
									",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
","
","
",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
											So my colleague Dr. Michael Hole
and I started asking moms about money.
											We knew we needed to reimagine
what a doctor's visit looks like,
											to get kids out of poverty
											and to give them a fair shot
at a healthy life.
									","
											Así que con mi colega,
el Dr. Michael Hole,
											comenzamos a preguntarle 
a las madres sobre sus finanzas.
											Teníamos que reconsiderar
cómo sería una consulta médica
											que sacara a los niños de la pobreza
											y les diera la oportunidad
de tener una vida saludable.
									","
											Por isso, o meu colega
Dr. Michael Hole e eu
											começámos a falar com as mães
sobre dinheiro
											Sabíamos que tínhamos que dar
uma nova imagem à visita a um médico
											para tirar as crianças da pobreza
											e dar-lhes uma oportunidade
para uma vida saudável.
									",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
","
","
",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
											Our questions led
to a surprising solution:
											tax credits.
											It turns out, the earned income
tax credit, or EITC,
											is the best poverty prescription
we have in the US.
											The average mom gets two to three
thousand dollars a year from it.
											When families get it,
moms and babies are healthier:
											fewer depressed moms,
											babies weighing more at birth.
											But one out of five families
who could get it doesn't,
											and most who do
lose of hundreds of dollars
											to the for-profit
tax-preparation industry.
									","
											Nuestras preguntas nos llevaron
a una respuesta sorprendente:
											deducción de impuestos.
											Resulta que los ingresos por 
deducción de impuestos, o EITC,
											es la mejor prescripción
en EE. UU. para la pobreza.
											Una madre promedio recibe
de dos a tres mil dólares anuales.
											Cuando las familias lo reciben,
las madres y los bebés son más sanos,
											hay menos madres deprimidas,
											los bebés pesan más al nacer.
											Pero de cinco familias elegibles,
una no lo recibe,
											y la mayoría tiene que pagarle
cientos de dólares
											a las compañías que cobran 
por prepararle sus impuestos.
									","
											As nossas perguntas conduziram
a uma solução surpreendente:
											benefícios fiscais.
											Acontece que os benefícios fiscais
sobre os rendimentos, ou o EITC,
											são a melhor receita para a pobreza
que temos nos EUA.
											Em média, uma mãe pode receber
											dois a três mil dólares por ano,
de abono de família.
											Nas famílias que o recebem,
as mães e os bebés são mais saudáveis,
											as mães são menos deprimidas,
											os bebés pesam mais ao nascerem.
											Mas uma em cinco famílias
que podiam recebê-lo, não o fazem
											e a maior parte das que recebem
perdem centenas de dólares
											para pagarem a declaração dos impostos.
									",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
","
","
",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
											One day, a mom asked us
why we couldn't do her taxes
											while she waited for the doctor.
									","
											Un día una madre preguntó
por qué no podíamos ayudarle
											con la preparación de los impuestos
mientras esperaba.
									","
											Um dia, uma mãe pediu-nos
se podíamos tratar dos impostos dela
											enquanto ela aguardava a sua vez.
									",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
","
","
",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									",Why doctors are offering free tax prep in their waiting rooms,Lucy Marcil,4:56,"TED Fellows,medicine,health care,children,finance,social change,family,parenting,health"
