en,tr,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","
",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
											Speaking up is hard to do.
											I understood the true meaning
of this phrase exactly one month ago,
											when my wife and I became new parents.
											It was an amazing moment.
											It was exhilarating and elating,
											but it was also scary and terrifying.
											And it got particularly terrifying
when we got home from the hospital,
											and we were unsure
											whether our little baby boy was getting
enough nutrients from breastfeeding.
											And we wanted to call our pediatrician,
											but we also didn't want
to make a bad first impression
											or come across as a crazy,
neurotic parent.
											So we worried.
											And we waited.
											When we got to the doctor's office
the next day,
											she immediately gave him formula
because he was pretty dehydrated.
											Our son is fine now,
											and our doctor has reassured us
we can always contact her.
											But in that moment,
											I should've spoken up, but I didn't.
									","
											Açıkça konuşmak zor iştir.
											Bu sözün ne demek istediğini bir ay önce
											eşim ve ben yeni ebeveyn
olduğumuzda anladım.
											İnanılmaz bir andı.
											Neşe verici ve sevindiriciydi
											ama ayrıca korkutucuydu.
											Ve bu, hastaneden eve döndüğümüzde
daha da korkutucu oldu
											ve küçük oğlumuzun
											emerek yeterli besin alıp
almadığı konusunda emin değildik.
											Ve çocuk doktorumuzu aramak istedik
											fakat kötü bir ilk intiba bırakmak veya
											deli, nevrotik ebeveyn
imajı vermek istemedik.
											Yani endişeliydik.
											Ve bekledik.
											Ertesi gün doktorun ofisine gittiğimizde
											eşim bebeğimize hemen mama verdi
çünkü oldukça susuz kalmıştı.
											Çocuğumuz iyiydi
											ve doktorumuz daima
onu arayabileceğimizi söyledi.
											Fakat o anda,
											açıkça konuşmalıydım, ama yapmadım.
									","
											Il est très difficile
de prendre la parole.
											J'ai compris le vrai sens de cette phrase
il y a exactement un mois,
											quand ma femme et moi
sommes devenus parents.
											C'est un moment merveilleux.
											C'était exaltant,
nous étions emplis de joie,
											mais c'était aussi
effrayant et terrifiant.
											C'est devenu particulièrement terrifiant
quand nous sommes rentrés de l'hôpital
											et que nous n'étions pas sûrs
											que notre petit garçon tirait
assez de nutriments de l'allaitement.
											Nous voulions appeler notre pédiatre,
											et nous ne voulions pas
faire mauvaise impression
											ou paraître être des parents
fous ou névrosés.
											Donc nous nous inquiétions.
											Et nous attendions.
											Nous sommes allés
chez le médecin le lendemain,
											elle lui a immédiatement donné
du lait maternisé car il était déshydraté.
											Notre fils va bien,
											et notre médecin nous a assuré
que nous pouvions toujours appeler.
											Mais, à ce moment-là,
											j'aurais dû dire les choses,
mais je ne l'ai pas fait.
									","
											Dizer o que pensamos é difícil.
											Entendi o real significado
desta frase há um mês,
											quando a minha mulher e eu
fomos pais pela primeira vez.
											Foi um momento fantástico.
											Foi emocionante e eufórico,
											mas foi também assustador
e aterrador.
											Ficou particularmente aterrador
quando chegámos a casa do hospital
											e estávamos inseguros
											se o nosso pequeno bebé estava a ter
nutrientes suficientes da amamentação.
											Queríamos chamar a nossa pediatra,
											mas também não queríamos dar
uma má primeira impressão
											ou parecer uns pais malucos e neuróticos.
											Então ficámos preocupados.
											E esperámos.
											Quando chegámos
ao consultório médico no dia seguinte,
											ela deu-lhe de imediato um complemento
porque ele estava muito desidratado.
											O nosso filho agora está bem
											e a nossa médica assegurou-nos
que podíamos contactá-la sempre.
											Mas naquele momento,
											eu devia ter dito o que penso,
mas não o fiz.
									","
											Die eigene Meinung
zu vertreten ist schwer.
											Vor genau einem Monat wurde mir
die Bedeutung dieses Satzes klar.
											Da wurden wir nämlich Eltern.
											Ein wundervoller Moment.
											Er war beglückend und ermutigend,
											aber auch unheimlich und Angst einflößend.
											Besonders furchterregend wurde es,
als wir von der Klinik nach Hause kamen
											und uns unsicher waren,
											ob unser kleiner Junge genug
Nahrung beim Stillen erhielt.
											Wir wollten unsere Kinderärztin anrufen,
											aber auch keinen schlechten
ersten Eindruck machen,
											als verrückte, neurotische Eltern gelten.
											Wir machten uns Sorgen.
											Wir warteten.
											Als wir am nächsten Tag 
bei der Ärztin waren,
											gab sie ihm sofort Milchersatz,
weil er ziemlich dehydriert war.
											Unserem Sohn geht es jetzt gut.
											Die Ärztin ermutigte uns,
sie jederzeit zu kontaktieren.
											In dieser Situation
											hätte ich etwas sagen sollen,
tat es aber nicht.
									",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
","
","
","
","
",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
											But sometimes we speak up
when we shouldn't,
											and I learned that over 10 years ago
when I let my twin brother down.
											My twin brother
is a documentary filmmaker,
											and for one of his first films,
											he got an offer
from a distribution company.
											He was excited,
											and he was inclined to accept the offer.
											But as a negotiations researcher,
											I insisted he make a counteroffer,
											and I helped him craft the perfect one.
											And it was perfect —
											it was perfectly insulting.
											The company was so offended,
											they literally withdrew the offer
											and my brother was left with nothing.
									","
											Fakat bazen yapmamamız gerekirken
açıkça konuşuyoruz
											ve bunu 10 yıl önce ikiz kardeşimi
hayal kırıklığına uğrattığımda öğrendim.
											İkiz kardeşim belgesel yapımcısı
											ve ilk filmlerinden birinde
											bir dağıtım şirketinden teklif aldı.
											Heyecanlıydı
											ve teklifi kabul edecek gibiydi.
											Bir pazarlık araştırmacısı olarak
											karşı bir teklif yapmasında ısrar ettim
											ve en iyisini hazırlamasına yardım ettim.
											Ve mükemmeldi —
											mükemmel aşağılayıcıydı.
											Şirket o kadar gücenmişti ki,
											resmen tekliflerini geri çektiler
											ve kardeşimin eli boş kaldı.
									","
											Mais parfois, nous nous exprimons
alors que nous ne le devrions pas
											et je l'ai appris il y a 10 ans
quand j'ai laissé tomber mon jumeau.
											Mon jumeau est réalisateur
de documentaire.
											Pour l'un de ses premiers films,
											il a eu une offre
d'une société de distribution.
											Il était excité
											et était enclin à accepter l'offre.
											Mais, en tant que chercheur
en négociation,
											j'ai insisté pour qu'il fasse
une contre-offre
											et je l'ai aidé à travailler
la contre-offre parfaite.
											Elle était parfaite —
											parfaitement insultante.
											La société a été offensée,
											ils ont retiré leur offre
											et mon frère s'est retrouvé sans rien.
									","
											Por vezes, dizemos o que pensamos
quando não devíamos.
											Aprendi isto há mais de 10 anos
quando desiludi o meu irmão gémeo.
											O meu irmão gémeo
é realizador de documentários,
											e num dos seus primeiros filmes,
											recebeu uma proposta
de uma empresa distribuidora
											Ele estava entusiasmado,
											e estava inclinado
a aceitar a proposta.
											Mas, enquanto investigador de negócios,
											eu insisti que ele fizesse
uma contra proposta,
											e ajudei-o a criar a proposta perfeita.
											E era perfeita
											— era perfeitamente insultuosa.
											A companhia sentiu-se tão ofendida,
											que, literalmente, retirou a proposta
											e o meu irmão ficou sem nada.
									","
											Manchmal ist es auch umgekehrt.
											So geschehen vor 10 Jahren, als ich
meinen Zwillingsbruder enttäuschte.
											Mein Zwillingsbruder
macht Dokumentarfilme.
											Für einen seiner ersten Filme
											erhielt er das Angebot
einer Vertriebsgesellschaft.
											Er war begeistert,
											er wollte das Angebot annehmen.
											Aber als Verhandlungsexperte
											bestand ich darauf, ein
Gegenangebot zu machen.
											Ich half ihm dabei,
ein perfektes abzugeben.
											Es war auch perfekt —
											perfekt beleidigend.
											Die Firma war so entrüstet,
											dass sie das Angebot zurückzog.
											Mein Bruder kam nicht ins Geschäft.
									",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
","
","
","
","
",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
											And I've asked people all over the world
about this dilemma of speaking up:
											when they can assert themselves,
											when they can push their interests,
											when they can express an opinion,
											when they can make an ambitious ask.
									","
											Dünyanın dört bir yanında insanlara
açıkça konuşma ikilemini sordum:
											Ne zaman kendilerini savunabileceklerini,
											ne zaman çıkarlarını zorlayabileceklerini,
											ne zaman fikirlerini
ifade edebildiklerini,
											ne zaman hırslı bir istekte
bulunabildiklerini.
									","
											J'ai parlé de ce dilemme de s'exprimer
à des gens venant du monde entier :
											quand peuvent-ils s'affirmer,
											faire prévaloir leurs intérêts,
											exprimer une opinion,
											faire une demande ambitieuse.
									","
											Eu falei a pessoas por todo
o mundo acerca deste dilema:
											quando é que podemos ser assertivos,
											zelar pelos nossos interesses,
											expressar uma opinião,
											fazer uma tarefa ambiciosa.
									","
											Ich habe Menschen auf der ganzen Welt
zu diesem Dilemma befragt:
											Wann können sie sich behaupten,
											wann können sie ihre
Interessen durchsetzen,
											wann können sie ihre Meinung äußern,
											ehrgeizig für sich selbst
etwas einfordern.
									",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
","
","
","
","
",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
											And the range of stories
are varied and diverse,
											but they also make up
a universal tapestry.
											Can I correct my boss
when they make a mistake?
											Can I confront my coworker
who keeps stepping on my toes?
											Can I challenge my friend's
insensitive joke?
											Can I tell the person I love the most
my deepest insecurities?
									","
											Hikâyeler çeşit çeşitti
											fakat evrensel bir doku da
oluşturuyorlardı.
											Hata yaptığımda patronumu
düzeltebilir miyim?
											Sürekli damarıma basan
iş arkadaşımla yüzleşebilir miyim?
											Arkadaşımın düşüncesiz şakasına
karşı çıkabilir miyim?
											En çok sevdiğim insana en derin
güvensizliklerimi anlatabilir miyim?
									","
											Et les histoires sont diverses et variées
											mais elles composent
une tapisserie universelle.
											Puis-je corriger mon patron
quand il fait une erreur ?
											Puis-je confronter mon collègue
qui marche sur mes plates-bandes ?
											Puis-je contester
la blague insensible de mon ami ?
											Puis-je parler de mes incertitudes
les plus profondes à l'être aimé ?
									","
											A gama destas histórias
é variada e diversa,
											mas elas constituem também
uma tapeçaria universal.
											Posso corrigir o meu chefe
quando ele comete um erro?
											Posso confrontar o meu colega
que insiste em prejudicar-me?
											Posso contestar
a piada insensível do meu amigo?
											Posso dizer à pessoa que mais amo
as minhas inseguranças mais profundas?
									","
											Das Spektrum der Geschichten
ist sehr vielfältig und unterschiedlich,
											aber es gab auch ein gemeinsames Muster.
											Kann ich meinen Chef korrigieren,
wenn er Fehler macht?
											Kann ich meinen Kollegen zur Rede
stellen, wenn er mir auf die Füße tritt?
											Kann ich den taktlosen Witz
meines Freundes in Frage stellen?
											Kann ich meiner Liebsten meine
tiefsten Unsicherheiten verraten?
									",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
","
","
","
","
",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
"
											And through these experiences,
I've come to recognize
											that each of us have something called
a range of acceptable behavior.
											Now, sometimes we're too strong;
we push ourselves too much.
											That's what happened with my brother.
											Even making an offer was outside
his range of acceptable behavior.
											But sometimes we're too weak.
											That's what happened with my wife and I.
											And this range of acceptable behaviors —
											when we stay within our range,
we're rewarded.
											When we step outside that range,
we get punished in a variety of ways.
											We get dismissed or demeaned
or even ostracized.
											Or we lose that raise
or that promotion or that deal.
									","
											Ve bu deneyimler sonucunda,
şunu anladım ki
											her birimizde kabul edilebilir bir
davranış yelpazesi vardır.
											Bazen çok güçlüyüzdür;
kendimizi çok zorlarız.
											Kardeşimle yaşadığım böyle bir şeydi.
											Teklifte bulunmak bile kabul edilebilir
davranış yelpazesinin dışındaydı.
											Ama bazen çok zayıfızdır.
											Eşimle aramda olan da buydu.
											Ve bu kabul edilebilir
davranış yelpazesi —
											bu yelpaze içinde kalırsak,
karşılığını alırız.
											Fakat dışına çıkarsak,
çeşitli şekillerde cezalandırılırız.
											İşimizden oluruz veya küçük düşeriz
veya hatta dışlanırız.
											Veya aldığımız zammı, promosyonu
veya anlaşmamızı kaybederiz.
									","
											A travers ces expériences,
j'ai fini par reconnaître
											ce que chacun d'entre nous considère
être un comportement acceptable.
											Parfois, nous sommes trop durs ;
nous poussons trop nos limites,
											comme je l'ai fait avec mon frère.
											Même faire une offre était en dehors
											de son éventail
de comportements acceptables.
											Parfois, nous sommes trop faibles,
											ça a été le cas avec ma femme et moi.
											Cet éventail
de comportements acceptables —
											quand nous nous y tenons,
nous sommes récompensés.
											Quand nous en sortons,
nous sommes punis de bien des façons.
											Nous sommes congédiés,
rabaissés voire ostracisés.
											Ou nous perdons une augmentation,
une promotion ou un contrat.
									","
											Através destas experiências
comecei a reconhecer
											que cada um de nós tem algo chamado
um limite de comportamento aceitável.
											Por vezes somos demasiado fortes
puxamos demasiado por nós,
											Foi o que aconteceu com o meu irmão.
											Mesmo fazer uma proposta estava fora
do seu limite de comportamento aceitável.
											Mas, por vezes, somos muito fracos.
											Foi o que aconteceu comigo
e com a minha mulher.
											Neste limite de comportamentos aceitáveis,
											quando ficamos dentro do nosso limite,
somos recompensados.
											Quando saímos fora desse limite,
somos castigados de várias maneiras.
											Somos rejeitados ou rebaixados
e até mesmo ostracizados.
											Ou perdemos aquele aumento
ou aquela promoção ou aquele negócio.
									","
											Durch diese Erfahrungen
habe ich herausgefunden,
											dass jeder von uns einen Toleranzbereich 
von annehmbaren Verhalten hat.
											Manchmal sind wir zu stark, wir
drängen uns zu sehr in den Vordergrund.
											Das passierte mir mit meinem Bruder.
											Ein Gegenangebot abgeben, war
außerhalb seines akzeptablen Verhaltens.
											Manchmal sind wir aber auch zu schwach.
											Das passierte meiner Frau und mir.
											Dieser Toleranzbereich
erlaubter Handlungen —
											wenn wir darin bleiben,
werden wir belohnt.
											Wenn wir ihn überschreiten, bestraft.
											Wir werden entlassen,
erniedrigt oder sogar geächtet.
											Wir bekommen keine Gehaltserhöhung,
Beförderung, Vertragsabschluss.
									",How to speak up for yourself,Adam Galinsky,15:08,"motivation,business,communication,decision-making,empathy,personal growth,leadership,identity,personality,relationships,society,TEDx,work,women in business"
