en,tr,es,title,speaker,duration,tags
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											Languages don't just die naturally.
											People abandon mother tongues,
because they're forced to.
											Often, the pressure is political.
									","
											Diller doğal bir şekilde yok olmuyor.
											İnsanlar ana dillerini
terk etmeye zorlanıyor.
											Baskı çoğunlukla politik.
									","
											Las lenguas no desaparecen
de manera natural.
											Cuando una persona abandona su lengua
materna, es porque se ve obligada a ello.
											En general, se debe a razones políticas.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											In 1892,
											the US Army general Richard Henry Pratt
											argued that killing indigenous cultures
											was the only alternative
to killing indigenous people.
											""Kill the Indian,"" he said,
""but save the man.""
											And until 1978,
the government did just that,
											removing indigenous children
from their families
											and forcing them into boarding schools
where they were given English names
											and punished for speaking their languages.
											Assimilation was a compliment to genocide.
									","
											1892 yılında
											ABD ordusu generali Richard Henry Pratt
											yerli halkı öldürmeye karşı 
tek alternatifin
											kültürlerini yok etmek olduğunu
masaya yatırdı.
											Irklarını yok edin
ama insanları kalsın, dedi.
											1978 yılına kadar hükûmet bunu yaptı;
											yerli halktan çocukları
ailelerinden kopararak
											İngilizce isimler verildikleri
yatılı okullara zorlandılar
											ve ana dillerini konuşmaları yasaklandı.
											Asimilasyon, soykırıma övgüdür.
									","
											En 1892, el general del ejército
de EE. UU. Richard Henry Pratt
											dijo que matar las culturas indígenas
											era la única manera de matar 
a los pueblos indígenas.
											""Maten al indio, 
pero salven al hombre"", decía.
											Y eso fue exactamente
lo que hizo el gobierno hasta 1978:
											separó a los niños indígenas 
de sus familias,
											los obligó a ir a escuelas
donde les asignaron nombres en inglés
											y los castigaba 
si hablaban su lengua propia.
											La asimilación era parte del genocidio.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											Seven thousand languages are alive today,
											but few are recognized
by their own governments
											or supported online.
											So for people from the vast
majority of cultures,
											globalization remains
profoundly alienating.
											It means giving up your language
for someone else's.
											And if nothing changes,
											as many as 3,000 languages
could disappear in 80 years.
									","
											Bugün hayatta olan yedi bin dil var,
											ancak çok azı hükûmetlerce tanınıyor
											veya internette destekleniyor.
											Kültürlerin büyük çoğunluğundan
insanlar için
											küreselleşme son derece
yabancılaşmak demek.
											Başkalarınınki için kendi dillerinden 
vazgeçmek demek.
											Böyle giderse
											üç bin kadar dil 
80 yıl içinde yok olabilir.
									","
											Actualmente hay 7000 lenguas en el mundo,
											pero pocas son reconocidas
por sus propios gobiernos
											o están representadas en la web.
											Es decir, para los pueblos
de la mayoría de las culturas,
											la globalización sigue siendo 
un fuerte factor de alienación.
											Supone el abandono de la propia lengua 
a favor de la lengua de otro.
											Y si las cosas no cambian,
											podrían desaparecer 
hasta 3000 lenguas en 80 años.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											But things are changing.
											Around the world,
											people are reviving ancestral languages
											and rebuilding their cultures.
											As far as we know,
											language reclamation began in the 1800s
when, at a time of rising antisemitism,
											Jewish communities looked
to their ancestral language, Hebrew,
											as a means of cultural revival.
											And though it had been dormant
for over 1,000 years,
											it was well preserved in books
of Jewish religion and philosophy.
											So Jewish activists studied
and taught it to their children,
											raising the first native speakers
in nearly 100 generations.
											Today, it's the mother tongue
of five million Jews.
											And at least for me,
											an assimilated English-speaking member
of the Jewish diaspora,
											a pillar of cultural sovereignty.
											Two thousand years later,
											we're still here.
									","
											Ama bir şeyler değişmeye başladı.
											Dünya genelinde,
											insanlar ata dillerini canlandırmaya
											ve kültürlerini yeniden 
inşa etmeye başladı.
											Bildiğimiz kadarıyla
dillerin yeniden kazanımı
											1800'lü yıllarda antisemitistliğin 
yükselişte olduğu bir dönemde başladı,
											Yahudi cemaati ata dilleri olan İbraniceyi
											kültürel uyanış için gözetirken.
											Bin küsur yıldır uykuda da olsa
											Yahudi dini ve felsefesine ilişkin
kitaplarla iyi muhaza edilmişti.
											Böylece Yahudi aktivistler çalışıp
çocuklarına öğrettiler
											ve yüzlerce yıllık neslin ana dillerini 
ilk konuşanlarını yetiştirdiler.
											Bugün ise beş milyon Yahudinin ana dili.
											En azından benim gibi
											Yahudi diasporasının İngilizce konuşan 
asimile kesimi için
											kültürel egemenlikte bir yapı taşı.
											İki bin yıl sonra
											hâlâ buradayız.
									","
											Pero algo está cambiando.
											En todo el mundo,
											hay pueblos que quieren rescatar
su lengua ancestral
											y reconstruir la propia cultura.
											Según sabemos, 
la reivindicación de la propia lengua
											empezó en el siglo XIX
con el auge del antisemitismo,
											cuando los pueblos judíos recurrieron 
a su lengua ancestral, el hebreo,
											como medio para rescatar 
su propia cultura.
											Y si bien esta lengua no se usó
durante más de 1000 años,
											permaneció intacta en libros
de religión y filosofía judíos.
											Los activistas judíos empezaron 
a estudiar y enseñar hebreo a sus hijos,
											y así formaron a los primeros hablantes 
nativos en casi 100 generaciones.
											Actualmente, es la lengua materna
de 5 millones de judíos.
											Y, al menos para mí,
											como miembro asimilado 
de la diáspora judía y hablante de inglés,
											es un pilar de la soberanía cultural.
											Dos mil años más tarde,
											seguimos aquí.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											Now, until recently,
											Hebrew's reawakening was an anomaly.
											Few languages are
as well preserved as ours was,
											and the creation of Israel,
											the first Jewish state
in over 1,000 years,
											provided a space for Hebrew's daily use.
											In other words, most cultures
just weren't given a chance.
									","
											Yakın tarihe kadar
											İbranicenin yeniden uyanışı anormaldi.
											Bizimki kadar iyi korunmuş çok az dil var
											ve bin küsur yıl sonra 
ilk Yahudi devlet olarak
											İsrail'in doğuşu
											İbranicenin kullanımı için 
bir alan yarattı.
											Bir diğer deyişle
çoğu kültüre bu şans verilmedi.
									","
											Ahora bien, hasta hace poco,
											la reaparición del hebreo
era una anomalía.
											Pocas lenguas fueron
tan bien preservadas como la nuestra,
											y la creación de Israel,
											el primer Estado judío
en más de 1000 años,
											brindó un espacio 
para el uso cotidiano del hebreo.
											En otras palabras, no todas
las culturas corrieron la misma suerte.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											(Video) Good evening, I'm Elizabeth
											and I live in Cornwall.
									","
											(Video) İyi akşamlar. Ben Elizabeth
											ve Cornwall'da yaşıyorum.
									","
											(Video) Buenas tardes. Me llamo Elizabeth
											y vivo en Cornualles.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											That was Cornish,
											the ancestral language of Cornwall,
											which today is technically
a county in southern England.
											In the 1900s, Cornish activists
fought for their culture.
											The language had been dormant
for over 100 years,
											but they used old books and plays
to teach it to their children.
											However, this new generation
of Cornish speakers
											was scattered across Cornwall
											and unable to use the language freely.
											By the 1990s, Cornish had reawakened,
											but it wasn't thriving.
											Then, in the early 2000s,
Cornish speakers found one another online
											and leveraged digital spaces
to speak on a daily basis.
											From there, they organized
weekly or monthly events
											where they could gather
and speak in public.
									","
											Bu Kernevekçe,
											bugün teknik olarak
											Güney İngiltere'de bir ilçe olan 
Cornwall'ın ata dili.
											1900'lü yıllarda Kernevekçe konuşan 
aktivistler kültürleri için savaştı.
											Dilleri yüz yılı aşkın süredir
uyumakta da olsa
											çocuklarına öğretmek için 
eski kitaplar ve oyunlardan yararlandılar.
											Ancak, Kernevekçe konuşan son jenerasyonun
											Cornwall dışına yayılmasıyla
											dillerini özgürce konuşabilme 
imkanları kısıtlandı.
											1990'lara yaklaşırken
Kernevekçe yeniden uyandı,
											ancak başarılı olmadı.
											2000'li yılların başında ise Kernevekçe 
konuşanlar bunu her gün yapabilmek için
											çevrim içi ve avantajlı
dijital ortamlar keşfettiler.
											Oradan haftalık ve aylık etkinlikler
organize ettiler
											ve dışarıda bir araya gelerek
konuşabildiler.
									","
											Lo que acabamos de escuchar es córnico,
la lengua ancestral de Cornualles,
											técnicamente un condado
que hoy está al sur de Inglaterra.
											En el siglo XX, los activistas córnicos
lucharon por su cultura.
											Su lengua había caído en desuso
por más de 100 años,
											pero ellos usaban antiguos libros y 
obras teatrales que enseñaban a sus hijos.
											Sin embargo, esta nueva generación
de hablantes de córnico
											estaba dispersa por Cornualles
y no podía usar la lengua libremente.
											Hacia la década de 1990, 
el córnico había renacido,
											pero no prosperaba.
											Luego, a principios del siglo XXI,
											los hablantes de córnico
se conocieron por internet
											y utilizaron los espacios digitales
para hablar de manera cotidiana.
											A partir de ahí, organizaron eventos
cada semana o cada mes,
											puntos de encuentro
donde hablaban en público.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											Today, some schools teach Cornish.
											There are Cornish language signs,
											ice-cream commercials,
											Wikipedia, and even memes.
									","
											Bugün bazı okullarda 
Kernevekçe öğretiliyor.
											Kernevekçe tabelalar,
											dondurma reklamları,
											Vikipedi ve hatta meme'ler var.
									","
											Actualmente, algunas escuelas 
enseñan el córnico.
											Hay una lengua de señas en córnico,
											publicidad de helados,
											Wikipedia... y hasta memes.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risas)
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											And with their language once again intact,
											the people of Cornwall
have secured recognition
											as a Celtic nation alongside
Ireland, Scotland and Wales.
											They stared down centuries
of forced assimilation
											and said, ""We're not a county in England.
											We're a people in our own right.
											And we're still here.""
									","
											Dilleri bir kez daha bütünlük kazandığında
											Cornwall insanları
bir Kelt ulusu olarak
											İrlanda, İskoçya ve Galler yanında
tanınmayı başardılar.
											Yüzyıllar boyu süren 
baskı asimilasyonuna bakarak
											""Biz İngiltere'nin bir ilçesi değiliz.
											Biz kendi hakları olan insanlarız.
											Ve hâlâ buradayız."" dediler.
									","
											Y al mantener la lengua intacta,
											la gente de Cornualles
se ha asegurado el reconocimiento
											como nación celta, 
junto a Irlanda, Escocia y Gales.
											Se enfrentaron a siglos 
de asimilación forzada
											y dijeron: ""No somos
un condado de Inglaterra,
											sino un pueblo por derecho propio,
y todavía estamos aquí"".
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											And they're not the only ones.
											The Tunica-Biloxi tribe of Louisiana
is reviving their ancestral language.
									","
											Onlar tek örnek değil.
											Louisiana'daki Tunica-Biloxi kabilesi de
ata dillerini canlandırıyor.
									","
											Y no son los únicos.
											La tribu tunica-biloxi de Louisiana
está rescatando su lengua ancestral.
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
											(Video) My name is Teyanna.
											My friends, they call me ""Quiet Storm.""
									","
											(Video) Benim adım Teyanna.
											Arkadaşlarım bana ""Sessiz Fırtına"" derler.
									","
											(Video) Me llamo Teyanna.
											Mis amigos me llaman ""Tormenta quieta"".
									",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
"
","
","
",How to save a language from extinction,Daniel Bögre Udell,6:46,"language,community,indigenous peoples,culture,humanity,world cultures,TED Residency"
