pt,tr,en,de,title,speaker,duration,tags
"
","
","
","
",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
											O progresso científico,
											do tipo que pode vir a salvar vidas,
											por vezes pode estar apenas à espera
											que o descubramos,
											no corpo evoluído, acumulado
											de uma tradição humana, por exemplo,
											ou nas adaptações testadas pelo tempo
											que observamos no mundo natural 
à nossa volta.
											A ciência começa com a observação,
											mas o truque é identificar 
os padrões e as assinaturas
											que, de outro modo, podíamos desprezar
											como mitos ou coincidências,
											isolá-los, e testá-los com rigor científico.
											E quando fazemos isso, 
os resultados muitas vezes surpreendem-nos.
									","
											Bilimsel ilerlemeler,
											özellikle potansiyel olarak hayat kurtarabilecek olanlar,
											bazen oralarda bir yerlerde onu keşfetmemiz
											için bekler.
											Örneğin evrilmiş, birikmiş
											insana dair hikâyelerde
											veya çevremizdeki doğal yaşamda gözlemlediğimiz
											zamana karşı test edilmiş uyarlamalarda.
											Bilim gözlemle başlar,
											ancak işin püf noktası başka türlü
											efsane veya tesadüf diyerek kabul etmeyeceğimiz
											kalıpları ve işaretleri belirlemek,
											onları izole edip bilimsel kesinlikle test etmektir.
											Ve bunu yapınca, sonuçlar çoğunlukla şaşırtır.
									","
											Scientific breakthrough,
											the kind that can potentially save lives,
											can sometimes be lying right out in the open
											for us to discover,
											in the evolved, accumulated body
											of human anecdote, for example,
											or in the time-tested adaptations
											that we observe in the natural world around us.
											Science starts with observation,
											but the trick is to identify the patterns and signatures
											that we might otherwise dismiss
											as myth or coincidence,
											isolate them, and test them with scientific rigor.
											And when we do, the results will often surprise.
									","
											Wissenschaftliche Durchbrüche,
											die Leben retten können,
											liegen manchmal direkt vor unserer Nase
											und warten auf ihre Entdeckung:
											Als gesammelte Fülle an Anekdoten
											oder als lange erprobte Anpassungen,
											die wir in der Natur beobachten können.
											Wissenschaft beginnt mit Beobachtung.
											Doch die Kunst dabei ist,
											Muster und Merkmale zu erkennen,
											die wir oft als Irrtum oder Zufall abtun.
											Wir müssen sie isoliert betrachten
und wissenschaftlich testen.
									",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
","
","
","
",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
											A Austrália Ocidental tem tido 
um problema especial
											com ataques de tubarões nos últimos três anos,
											que culminaram, de modo infeliz e trágico,
											em cinco ataques fatais de tubarões 
num período de 10 meses
											nesse período de tempo.
											Mas a Austrália Ocidental não está sozinha.
											O interesse dos tubarões pelos seres humanos
											está a aumentar a nível mundial.
											E por isso talvez não seja de admirar
											que em Julho deste ano,
											o Shark Attack Mitigation Systems, 
em colaboração
											com a Universidade do Instituto dos Oceanos 
da Austrália Ocidental,
											fez um anúncio que chamou a atenção
											dos meios de comunicação mundiais 
e dos utilizadores do oceano
											em todo o mundo,
											e que girava em torno do 
desenvolvimento da tecnologia
											para minimizar ou reduzir 
o risco de um ataque de tubarões,
											baseado na ciência daquilo 
que os tubarões conseguem ver.
											E hoje trago-vos aqui
											a história dessa caminhada,
											mas também a noção de que a ciência
											pode ser tão poderosa na tradução
											como na invenção.
									","
											Batı Avustralya'nın son üç yıldır köpek balığı
											saldırıları ile ilgili dikkat çekici bir problemi oldu,
											talihsiz ve üzücü bir şekilde bu
											10 aylık süreçte beş ölümcül köpek balığı
											saldırısı gerçekleşmiştir.
											Ancak Batı Avustralya bu konuda yalnız değildir.
											Köpek balıklarının insanlara saldırdığı olaylar
											dünya çapında artmaktadır.
											Ve belki de sürpriz değil ama,
											bu sene Temmuz ayında
											Köpek balığı Saldırısı Azaltma Sistemleri (SAMS),
											Batı Avustralya Okyanus Enstitüsü ile birlikte
											dünya basınının ve dünya genelindeki
											okyanustan yararlananların dikkatini
											çeken bir duyuru yaptı
											ve bu duyuru köpek balığı saldırıları riskini azaltmak veya düşürmek için
											köpek balıklarının görebildiği şeylerle ilgili bilime dayalı
											bir teknolojinin geliştirildiği ile ilgiliydi.
											Benim bugün anlatacağım şey
											bu yolculuğun hikâyesi,
											aynı zamanda bilimin icat yapmak kadar
											tercüman olmak konusunda da çok güçlü
											olabileceği nosyonu.
									","
											Western Australia has had a particular problem
											with shark attacks over the last three years,
											unfortunately and tragically culminating
											in five fatal shark attacks in a 10-month period
											during that time.
											But Western Australia is not alone in this.
											The incident of shark engagements on humans
											is escalating worldwide.
											And so it's not surprising, perhaps,
											that in July of this year,
											Shark Attack Mitigation Systems in collaboration
											with the University of Western
Australia Oceans Institute
											made an announcement which captured the attention
											of the worldwide media and of ocean users
											worldwide,
											and that was around the development of technology
											to mitigate or reduce the risk of shark attack
											based on the science of what sharks can see.
											And I have for you today
											the story of that journey,
											but also the notion that science can be
											as powerful as a translator
											as it can be for invention.
									","
											Die Ergebnisse werden uns oft überraschen.
											Westaustralien hatte ein Problem 
mit Haiangriffen
											in den letzten drei Jahren.
											Tragischerweise kam es dabei
											zu fünf tödlichen Haiangriffen
in nur zehn Monaten.
											Jedoch ist Westaustralien
											damit nicht alleine:
											Haiangriffe auf Menschen
											nehmen weltweit stark zu.
											Es ist also nicht überraschend,
											dass im Juli dieses Jahres
											Shark Attack Mitigation Systems
[Haiangriffs-Reduktionssysteme]
											zusammen mit dem Meeresinstitut
der Universität Westaustraliens
											etwas ankündigte, das die Aufmerksamkeit
											der Medien und der Meeresnutzer weltweit
											auf sich zog:
											Die Enwicklung einer Technik,
											um das Risiko von Haiangriffen 
zu reduzieren.
											Grundlage dafür ist 
das Sehvermögen der Haie.
											Ich erzähle Ihnen heute
											von der Geschichte dieser Entdeckung,
											aber auch von der Erkenntnis,
											dass Forschung als Übersetzer
ebenso wertvoll
									",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
","
","
","
",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
											Quando começámos este processo,
											há cerca de três anos, andávamos à procura,
											e tínhamos acabado de sofrer 
os dois primeiros ataques fatais de tubarões
											na Austrália Ocidental.
											Por sorte, num trabalho anterior,
											aconteceu estar a jantar com Harry Butler.
											Harry Butler, como a maior parte dos 
australianos sabe, é um conhecido naturalista
											que passou muito tempo no ambiente marinho.
											Harry Butler é um precursor, se quiserem,
											do falecido Steve Irwin.
											Quando lhe perguntei
											qual poderia ser a solução para o problema,
											a resposta foi surpreendente.
											Disse: ""Agarra num fato de mergulho preto,
											""põe-lhe riscas amarelas, como um zângão,
											""e ficas a imitar os sistemas de alerta
											""da maior parte das espécies marinhas"".
											Na altura não pensei mais nisso,
											e foi só depois de acontecer 
o terceiro ataque fatal de um tubarão,
											é que fiquei a pensar:
											""Talvez haja algum mérito nesta ideia"".
											E virei-me para a Internet
											para ver se haveria algumas pistas.
									","
											Bu sürece başladığımızda,
											araştırıyorduk, ki bu yaklaşık üç sene önceydi
											ve Batı Avustralya'daki ilk iki ölümcül köpek balığı
											saldırısını yaşamıştık.
											Ve bir önceki pozisyonumdayken tesadüfen
											Harry Butler'la akşam yemeği yedim.
											Çoğu Avustralyalının bildiği ünlü bir doğa bilimcisi olan Harry Butler,
											deniz ortamında çok zaman harcamıştır.
											Harry Butler bir bakıma vefat etmiş
											olan Steve Irwin'in selefidir.
											Ona bu sorunun çözümünün ne
											olabileceğini sorduğumda,
											cevap oldukça şaşırtıcıydı.
											Şöyle söyledi, ""Siyah bir dalış kıyafeti al,
											yaban arısına benzeyen sarı şeritlerle bantla,
											böylece deniz canlılarının çoğunun
											ikaz sistemini taklit edeceksin.""
											O sırada bunun hakkında pek fazla düşünmedim
											ve bir sonraki üç ölümcül köpek balığı saldırısı
											olunca da bu fikrin
											belki de düşünmeye değer olduğuna ikna oldum.
											Ve internete
											herhangi bir ipucu var mı diye baktım.
									","
											When we began this process,
											we were looking, it was about three years ago,
											and we'd just had the first two fatal shark attacks
											in Western Australia,
											and by chance, in a previous role,
											I happened to be having dinner with Harry Butler.
											Now Harry Butler, who most Australians
would know is a famous naturalist,
											had spent a lot of time in the marine environment.
											Harry Butler is a precursor, if you like,
											to the late Steve Irwin.
											When I asked him about
											what the solution to the problem might be,
											the answer was quite surprising.
											He said, ""Take a black wetsuit,
											band it in yellow stripes like a bumblebee,
											and you'll be mimicking the warning systems
											of most marine species.""
											I didn't think about that much at the time,
											and it wasn't until the next three
fatal shark attacks happened,
											and it caused me to think,
											maybe there's some merit to this idea.
											And I turned to the web
											to see if there might be some clues.
									","
											wie als Grundlage für Erfinder sein kann.
											Als das Projekt vor drei Jahren anfing,
											hatte es erst kurz zuvor die ersten
											zwei tödlichen Haiangriffe 
in Westaustralien gegeben.
											Zufällig hatte ich einige Zeit vorher,
											mit Harry Butler zu Abend gegessen.
											Butler, den viele Australier 
als Naturforscher kennen,
											hat viel Zeit im Meeresumfeld verbracht.
											Man könnte ihn auch den Vorgänger
											des verstorbenen Steve Irwin nennen.
											Als ich Butler fragte,
											wie sich das Problem 
vielleicht lösen ließe,
											überraschte mich seine Antwort sehr:
											""Nimm einen Neoprenanzug mit Bienenmuster,
											schwarz mit gelben Streifen.
											Dadurch imitierst du das Abschrecksystem
											der meisten Meeresbewohner.""
											Ich dachte nicht viel darüber nach,
											bis die nächsten drei 
tödlichen Haiangriffe passierten.
											Doch dann dachte ich, dass an der Idee
vielleicht etwas dran war.
											Ich suchte also im Internet diesbezüglich
									",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
","
","
","
",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
											E acontece que a Internet está cheia
											de indícios que confirmam
											este tipo de raciocínio.
											Biologicamente, há muitas espécies
											que exibem listas ou padrões, 
padrões de alerta,
											para serem quase invisíveis na água
											ou como alerta para não serem atacadas.
											Um deles é o peixe-piloto
											que passa uma grande parte da sua vida
											na área de atividade de um tubarão.
											Do lado humano, Walter Starck, 
um oceanógrafo,
											tem vindo a pintar o seu fato de mergulho, 
desde os anos 70.
											e, antropologicamente,
											as tribos das ilhas do Pacífico 
pintavam-se às riscas
											numa cerimónia de cobra do mar
											para afastar o deus tubarão.
									","
											Ve internetin bu çeşit bir düşünceyi
											destekleyen bu tipteki kanıtlarla
											dolu olduğu ortaya çıktı.
											Yani biyolojik olarak, suda gizlenmek ya da
											saldırılmaya karşı ikaz etmek için
											şeritler veya desenler, ikaz desenleri
											sergileyen pek çok tür vardır,
											ki yaşamının büyük bir kısmını köpek balığının
											faaliyetleri etrafında geçiren
											pilot balığı da buna dâhildir.
											İnsanlara gelince, bir deniz bilimcisi olan Walter Starck,
											dalış kıyafetini 1970'lerden beri boyamaktadır
											ve antropolojik olarak
											Pasifik adaları kabileleri köpek balığı tanrısını
											uzaklaştırmak için deniz yılanı seremonisinde
											kendilerini şerit şerit boyarlardı.
									","
											And it turns out the web is awash
											with this sort of evidence that supports
											this sort of thinking.
											So biologically, there are plenty of species
											that display banding or patterns, warning patterns,
											to either be cryptical in the water
											or warn against being attacked,
											not the least of which is the pilot fish
											which spends a big slab of its life
											around the business end of a shark.
											On the human side, Walter Starck, an oceanographer,
											has been painting his wetsuit since the 1970s,
											and anthropologically,
											Pacific island tribes painted themselves in bands
											in a sea snake ceremony
											to ward off the shark god.
									","
											nach mehr Hinweisen und sah:
											Es gibt jede Menge Beweise,

											dass diese Denkweise richtig ist.
											In der Natur zeigen viele Arten
											Streifen oder Muster: Als Warnsignal,
											zur Tarnung im Wasser
											oder zur Abschreckung.
											Ein gutes Beispiel ist der Lotsenfisch.
											Er verbringt viel Zeit seines Lebens
											dicht beim Kopf von Haien.
											Kehren wir zurück zum Menschen.
											Der Meeresforscher Walter Starck
											bemalt seit den 70ern seine Neoprenanzüge.
											Anthropologen berichten,
											dass pazifische Inselbewohner ihre Körper
									",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
","
","
","
",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
"
											Então, o que se passa aqui?
											Será que esta ideia só está à espera
											que a observemos e a definamos?
											Sabemos que os tubarões 
usam uma série de sensores
											quando entram em actividade, 
principalmente para atacar,
											mas o sensor da vista é o que usam
											para identificar o alvo,
											especialmente nos últimos metros 
antes do ataque.
											Faz sentido prestar atenção 
à história biológica
											porque é uma evolução testada pelo tempo
											durante muitos milénios.
											Mas a história humana não é também 
uma evolução do mesmo tipo?
											A ideia de que há um fundo de verdade,
											que se considera importante,
											passado de geração em geração,
											de modo que acaba por modelar 
o comportamento humano.
									","
											O zaman burada neler olup bitiyor?
											Bu fikir, oralarda bir yerlerde onu düşünmemiz ve
											ortaya koymamız için mi bekliyor?
											Biliyoruz ki, köpek balıkları harekete geçince,
											özellikle de saldırı için, çok çeşitli duyular kullanır,
											ancak görüş algısını hedeflerini belirlemek
											için kullanırlar, özellikle de
											saldırıdan önceki son birkaç metrede.
											Biyolojik hikâyelere kulak vermek mantıklı geliyor,
											çünkü bunlar binlerce yıl boyunca
											zamana karşı test edilmiş evrimleşmelerdir.
											Ancak insana dair hikâyeler de bir çeşit evrim değil midir,
											gerçeğin özünün olduğu fikri,
											önemli olduğu düşünülen,
											nesilden nesile geçen,
											böylece aslında insan davranışlarını şekillendiren?
									","
											So what's going on here?
											Is this an idea lying wide out in the open
											for us to consider and define?
											We know that sharks use a range of sensors
											when they engage, particularly for attack,
											but the sight sensor is the one that they use
											to identify the target, and particularly
											in the last number of meters before the attack.
											It makes sense to pay attention
to the biological anecdote
											because that's time-tested evolution
											over many millennia.
											But isn't human anecdote also an evolution of sorts,
											the idea that there's a kernel of truth
											thought to be important,
											passed down from generation to generation,
											so that it actually ends up shaping human behavior?
									","
											in einer Seeschlangen-Zeremonie
mit Streifen bemalen,
											um den Haigott abzuwehren.
											Was geht hier also vor sich?
											Liegt die Lösung direkt vor uns,
											die wir begreifen und definieren sollten?
											Wir wissen, dass Haie Sensoren nutzen,
											um zu jagen — besonders beim Angriff.
											Ihr Sehvermögen erlaubt ihnen dabei,
											ihr Ziel zu finden,
											speziell auf den letzten Metern
vor ihrem Angriff.
											Es ist sinnvoll,
											dieser biologischen Anekdote 
Beachtung zu schenken,
											denn sie ist bewährte Evolution
über Jahrtausende hinweg.
											Sind menschliche Anekdoten aber
											nicht auch eine Art Evolution?
									",A shark-deterrent wetsuit (and it's not what you think),Hamish Jolly,12:32,"TEDx,biomimicry,design,oceans,sports"
