fr,en,de,es,title,speaker,duration,tags
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											Je veux simplement dire, au cours des dernières années, j'ai été -
											j'ai eu l'occasion de faire cette conférence de clôture.
											Et on m'a présenté de plusieurs façons fantastiques.
											Il y a environ 8 ans,
											Billy Graham m'a lancé
											et je pensais qu'il y avait -
									","
											I just want to say, over the last few years I've been —
											had the opportunity to do this closing conference.
											And I've had some incredible warm-up acts.
											About eight years ago,
											Billy Graham opened for me.
											And I thought that there was —
									","
											Ich möchte sagen,
dass ich in den vergangenen Jahren
											die Gelegenheit hatte,
diesen Schlussvortrag zu halten.
											Und als Vorprogramm hatte ich
einige großartige Darbietungen.
											Vor etwa acht Jahren
											hat Billy Graham für mich eröffnet
											und ich glaubte, dass es hierfür —
									","
											Yo sólo quiero decir, en los ultimos años yo he
											tenido la oportunidad de realizar esta conferencia de cierre
											Y he tenido algunos actos de calentamiento
											Hace 8 años
											Billy Graham fue el telonero para mi
											y pense que eso era—
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											(Rires)
									","
											(Laughter)
									","
											(Lachen)
									","
											(risas)
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											Je pensais qu'il n'y avait absolument aucun moyen imaginable
											de faire mieux.
											Mais je voulais simplement dire -
											et je le dis sans ironie -
											je pense que je peux parler au nom de tout le public
											quand je dis que plût à Dieu que vous soyez le président des États-Unis.
									","
											I thought that there was absolutely no way
											in hell to top that.
											But I just wanted to say —
											and I mean this without irony —
											I think I can speak for everybody in the audience
											when I say that I wish to God that you were the President of the United States.
									","
											Ich glaubte, dass es hierfür
einfach keine Steigerung
											mehr geben könnte.
											Was ich aber sagen wollte —
											und ich meine das ohne jede Ironie —
											Ich denke, ich kann für jeden hier
im Publikum sprechen,
											wenn ich sage: Ich wünschte bei Gott,
Sie wären Präsident der USA.
									","
											Y pense que no habia una manera en absoluto
											(en el infierno) de superar eso
											pero solo quiero decir
											y lo digo sin alguna ironia,
											pienso que hablo por parte de todos en el auditorio
											cuando digo que deseo a dios que usted fuera el presidente de los Estados Unidos
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											(Applaudissements)
									","
											(Applause)
									","
											(Applaus)
									","
											(aplausos)
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											Bon, voilà le titre de mon allocution d'aujourd'hui.
									","
											OK, this is the title of my talk today.
									","
											OK, dies ist der Titel 
meines heutigen Vortrags.
									","
											Okey, este es el titulo de mi charla hoy
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											(Rires)
									","
											(Laughter)
									","
											""Sich plötzlich den Tod holen"" (Lachen)
									","
											""Un consumo agonico hacia la muerte""
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											Je veux seulement vous donner un rapide aperçu .
											Tout d'abord, veuillez vous souvenir que je suis entièrement politiquement correct,
											et tout ce que je dis, c'est avec beaucoup d'affection.
											Si certains parmi vous ont l'estomac sensible ou se sentent nauséeux,
											c'est le moment de vérifier votre Blackberry.
									","
											I just want to give you a quick overview.
											First of all, please remember I'm completely politically correct,
											and I mean everything with great affection.
											If any of you have sensitive stomachs or are feeling queasy,
											now is the time to check your Blackberry.
									","
											Ich möchte Ihnen 
einen kurzen Überblick geben.
											Bitte bedenken Sie:
Ich bin immer politisch korrekt
											und alles, was ich sage, ist nett gemeint.
											Falls Sie einen empfindlichen Magen haben
oder sich mulmig fühlen,
											widmen Sie sich jetzt besser
Ihrem Blackberry.
									","
											Solo quiero darles un vistazo rapido
											primero que todo por favor recuerde que soy políticamente correcto
											y lo digo todo con gran afecto
											si alguno de ustedes tiene estomago sensible o se siente mareado
											ahora es el momento de revisar su Blackberry.
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											(Rires)
									","
											(Laughter)
									","
											(Lachen)
									","
											(risas)
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											Juste pour avis, ceci est mon TEDTalk.
											Nous allons faire quelques plaisanteries,
											quelques gags,
											quelques petits sketches -
											et puis nous allons parler du point de Lagrange L1.
									","
											Just to review, this is my TEDTalk.
											We're going to do some jokes,
											some gags,
											some little skits —
											and then we're going to talk about the L1 point.
									","
											Dies ist mein TED-Talk im Überblick:
											Wir werden einige Späße machen,
											ein paar Scherze,
											etwas Satire —
											und dann werden wir über
den L1-Punkt sprechen.
									","
											solo para revisar, esta es mi charla TED.
											vamos a hacer unas bromas,
											Algunos chistes,
											algunas parodias,
											y luego hablaremos acerca del punto L1
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
											(Rires)
									","
											(Laughter)
									","
											(Lachen)
									","
											(risas)
									",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
"
","
","
","
",A comic sendup of TED2006,Tom Rielly,19:55,"comedy,culture,performance,humor"
