en,fr,es,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
											""Will the blight end the chestnut?
											The farmers rather guess not.
											It keeps smouldering at the roots
											And sending up new shoots
											Till another parasite
											Shall come to end the blight.""
									","
											« Le mildiou tuera-t-il le châtaignier ? »
											Les fermiers pensent que non.
											Sans arrêt, des pousses croissent
depuis les racines.
											Les pousses montent vers le ciel
											jusqu'à ce qu'un autre parasite
											vienne achever le mildiou. »
									","
											""¿Acabara con el castaño la plaga?
											Los granjeros prefieren suponer que no.
											En las raíces sigue latente
											Causando brotes nuevos constantemente
											Hasta que otro parasito llegue
											Y con él la plaga se lleve"".
									","
											""Será que o cancro vai
dar cabo do castanheiro?
											""Os agricultores acham que não.
											""Vai-se manter a corroer as raízes
											""e a lançar novos rebentos
											""até que apareça outro parasita
											""para acabar com o cancro"".
									","
											''Küf kestaneleri kurutacak mı?
											Çiftçi herhalde kurutmaz diyor.
											Kökler için için çalışıyor
											Taze sürgünler veriyor
											Ve başka bir parazitin gelip
											Küfü bitirmesini bekliyor.''
									","
											""Geht die Kastanie am Pilz zugrunde?
											Die Bauern hoffen es nicht.
											Er schwelt in der Wurzel
											und breitet sich aus,
											bis ein anderer Parasit
											Schluss macht mit dem Pilz.""
[Gedicht von Robert Frost, 1936]
									",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
","
","
","
","
","
",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
											At the beginning of the 20th century,
											the eastern American chestnut population,
counting nearly four billion trees,
											was completely decimated
by a fungal infection.
											Fungi are the most destructive
pathogens of plants,
											including crops of major
economic importance.
											Can you imagine that today,
											crop losses associated
with fungal infection
											are estimated at billions of dollars
per year, worldwide?
											That represents enough food calories
to feed half a billion people.
											And this leads to severe repercussions,
											including episodes of famine
in developing countries,
											large reduction of income
for farmers and distributors,
											high prices for consumers
											and risk of exposure to mycotoxin,
poison produced by fungi.
									","
											Au début du 20ème siècle,
											la population des châtaigniers de la côte
est des États-Unis, 4 milliards d'arbres,
											a été totalement décimée
par une infection fongique.
											Les champignons sont les pathogènes
les plus destructeurs des plantes,
											dont des cultures cruciales
pour l'économie.
											Imaginiez-vous qu'aujourd'hui,
											les récoltes perdues à cause
d'infection de champignons
											sont estimées en milliards de dollars
chaque année dans le monde ?
											Ça représente assez de calories pour
nourrir un demi milliard de personnes.
											Les répercussions sont graves,
											notamment des famines dans les pays
en voie de développement,
											des diminutions de revenus
pour les fermiers et les distributeurs,
											un prix élevé pour le consommateur,
											et le risque d'exposition aux mycotoxines,
le poison produit par les champignons.
									","
											A principios del siglo XX,
											la población de castaños del 
este de EE. UU.,
											que contaba 
con unos 4000 millones de arboles
											fue completamente diezmada por una 
infección micótica.
											Los hongos son los patógenos más
destructivos para las plantas,
											incluyendo los cultivos de mayor
importancia económica.
											¿Pueden imaginar que hoy,
											las pérdidas de cultivos
asociadas a infecciones micóticas
											son estimadas en miles de millones 
de dólares por año, en todo el mundo?
											Eso representa suficientes 
calorías de comida
											para alimentar a 500 millones de personas.
											Y esto conlleva severas repercusiones,
											incluyendo episodios de hambruna
en países en vías de desarrollo,
											grandes reducciones de ingresos
para granjeros y distribuidores,
											precios altos para consumidores
											y riesgo de exposición a micotoxinas, 
veneno producido por hongos.
									","
											No início do século XX,
											a população de castanheiros
do oeste dos EUA,
											que era de quase 4000 milhões de árvores,
											foi totalmente dizimada
por uma infeção de fungos.
											Os fungos são os agentes patogénicos
mais destrutivos das plantas,
											incluindo culturas de enorme
importância económica.
											Sabiam que, atualmente,
											as perdas de colheitas,
associadas a infeções de fungos,
											estão avaliadas em milhares de milhões
de dólares por ano, a nível mundial?
											Isso representa calorias alimentares
suficientes para alimentar 500 mil pessoas.
											Isso provoca graves repercussões,
											incluindo episódios de fome
em países em desenvolvimento,
											grande redução de receitas
dos agricultores e distribuidores,
											preços altos para os consumidores
											e risco de exposição a micotoxinas,
um veneno produzido por fungos.
									","
											20. yüzyıl başlarında,
											doğu Amerika'daki kestane ağacı
varlığı yaklaşık dört milyardı
											ve bir küf mantarı yüzünden
bu ormanlar tamamen yok oldu.
											Küf mantarı, ekonomik önemi
çok büyük olan ürünler dâhil
											bitkilere en çok zarar veren hastalıktır.
											Bugün dünyada
											küf mantarı enfeksiyonlarının
neden olduğu
											ürün kaybı milyarlarca
dolar değerindedir.
											Yarım milyar insanı besleyecek
kaloride besin kaybediliyor.
											Bunun çok kötü yan etkileri de oluyor;
											gelişmekte olan ülkelerde
kıtlık dönemleri yaşanıyor
											çiftçiler ve satıcıların gelirinde 
ciddi azalmalar oluyor,
											gıda fiyatları yükseliyor
											ve insanlar mantarın ürettiği mikotoksin
zehrine maruz kalıyor.
									","
											Zu Beginn des 20. Jahrhunderts
											fielen fast 4 Milliarden
Amerikanische Kastanien
											dem Schimmel zum Opfer.
											Pilze sind die schädlichsten
Krankheitserreger der Pflanzen
											und zerstören auch ökonomisch
wichtige Kulturpflanzen.
											Können Sie sich vorstellen,
dass heute weltweit jährlich
											Ernteschäden in Milliardenhöhe
durch Schimmelbefall entstehen?
											Das sind genug Kalorien, um
eine halbe Milliarde Menschen zu ernähren.
											Das hat schwere Folgen,
											darunter Hungersnöte
in Entwicklungsländern,
											stark verminderte Einkünfte
für Bauern und Vertreiber,
											hohe Preise für Kunden
											und das Risiko der
Freisetzung von Pilzgiften.
									",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
","
","
","
","
","
",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
											The problems that we face
											is that the current method
used to prevent and treat
											those dreadful diseases,
											such as genetic control,
exploiting natural sources of resistance,
											crop rotation or seed
treatment, among others,
											are still limited or ephemeral.
											They have to be constantly renewed.
											Therefore, we urgently need
to develop more efficient strategies
											and for this, research is required
to identify biological mechanisms
											that can be targeted
by novel antifungal treatments.
									","
											Notre problème est le suivant :
											les méthodes actuelles utilisées
pour prévenir et traiter
											ces maladies terribles,
											le contrôle génétique, l'exploitation
de sources naturelles de résistance,
											l'assolement ou le traitement
des graines, par exemple,
											restent limitées
ou circonscrites dans le temps.
											Elles doivent être
constamment renouvelées.
											Nous avons donc un besoin urgent de
développer des stratégies plus efficaces.
											Pour cela, la recherche doit identifier
les mécanismes biologiques
											que pourraient viser des traitements
antimycosiques nouveaux.
									","
											El problema que enfrentamos
											es que el método que actualmente
se usa para prevenir y tratar
											estas terribles enfermedades,
											como el control genético, explotando las
fuentes naturales de resistencia,
											rotación de cultivos o tratamiento de 
semillas, entre otros,
											son aún limitados o efímeros.
											Tienen que ser constantemente renovados.
											Por lo tanto, necesitamos desarrollar de
forma urgente estrategias más eficientes,
											y para ello, es necesario investigar para
identificar mecanismos biológicos
											a los que se pueda apuntar a través 
de tratamientos antimicóticos novedosos.
									","
											O problema que enfrentamos
											é que os atuais métodos
usados para a prevenção e tratamento
											dessas terríveis doenças,
											tais como o controlo genético,
											a exploração de fontes
naturais de resistência,
											a rotação de culturas
											ou o tratamento de sementes,
entre outros,
											ainda são limitados ou efémeros.
											Têm que ser renovados
permanentemente.
											Portanto, precisamos urgentemente
de arranjar estratégias mais eficazes
											e para isso, é precisa investigação
para identificar mecanismos biológicos
											que possam ser visados
por um novo tratamento antifungos.
									","
											Yüz yüze olduğumuz sorun,
											bu ürkütücü hastalıkları
önleme ve müdahalede kullanılan
											genetik mücadele,
											doğal direnç mekanizmaları
ve nöbetleşe ekim ve benzeri
											gibi mevcut yöntemlerin halihazırda
											sınırlı ve kısa ömürlü olmasıdır.
											Yöntemlerin sürekli
yenilenmesi gerekiyor.
											Bu nedenle, acilen daha etkili
stratejiler geliştirmemiz gerekiyor
											ve bunun için de, küfle mücadelede
yeni yöntemler sağlayacak
											biyolojik mekanizmaların
araştırılması gerekiyor.
									","
											Unser Problem ist,
											dass Methoden zur Vorbeugung
											und Behandlung dieser
furchtbaren Krankheiten
											wie z. B. Genetik, natürliche Resistenz,
											Fruchtwechsel oder Saatgutbehandlung
											ihre Grenzen haben oder kurzlebig sind.
											Sie müssen ständig überarbeitet werden.
											Wir brauchen dringend
effizientere Strategien.
											Dafür müssen biologische
Mechanismen erforscht werden,
											auf welche neue Methoden zur
Pilzbekämpfung wirken können.
									",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
","
","
","
","
","
",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
											One feature of fungi
is that they cannot move
											and only grow by extension
to form a sophisticated network,
											the mycelium.
											In 1884, Anton de Bary,
the father of plant pathology,
											was the first to presume
that fungi are guided by signals
											sent out from the host plant,
											meaning a plant upon which
it can lodge and subsist,
											so signals act as a lighthouse
											for fungi to locate, grow toward, reach
											and finally invade and colonize a plant.
											He knew that the identification
of such signals
											would unlock a great knowledge
that then serves to elaborate strategy
											to block the interaction
between the fungus and the plant.
											However, the lack of an appropriate
method at that moment
											prevented him from identifying
this mechanism at the molecular level.
									","
											Une des caractéristiques des champignons
est qu'ils ne peuvent pas bouger.
											Ils grandissent pas extension,
pour former un réseau sophistiqué :
											le mycelium.
											En 1884, Anton de Bary,
le fondateur des pathologies végétales,
											fut le premier à faire l'hypothèse
que les champignons sont guidés
											par des signaux émis par le végétal hôte,
											c'est-à-dire une plante sur laquelle
il peut être hébergé et subsister.
											Les signaux agissent comme un phare marin
											qui permet aux champignons de localiser,
une plante, croître dans sa direction,
											l'atteindre, l'envahir
et finalement la coloniser.
											Il savait qu'en identifiant ces signaux,
											on gagnerait une grande compréhension
utile pour élaborer des stratégies
											qui empêchent l'interaction
entre les champignons et les plantes.
											Toutefois, le manque de méthode
appropriée à cette époque
											l'a empêché d'identifier ce mécanisme
au niveau moléculaire.
									","
											Una característica de los hongos es que
no se pueden mover
											y solo crecen por extensión para
formar sofisticadas redes,
											los micelios.
											En 1884, Anton de Bary,
el padre de la patología de las plantas,
											fue el primero en suponer que los 
hongos son guiados por señales
											enviadas por la planta huésped,
											es decir, una planta sobre la cual se 
puedan alojar y subsistir,
											de forma que las señales
se comportan como un faro
											para que los hongos se localicen,
crezcan hacia, alcancen
											y finalmente invadan y lleguen a
colonizar una planta.
											Él sabía que la identificación 
de tales señales
											liberaría un gran conocimiento que
luego serviría para elaborar estrategias
											para bloquear la interacción
entre el hongo y la planta.
											De todas formas, la falta de un método 
apropiado en aquel entonces
											no le permitió identificar dicho
mecanismo a nivel molecular.
									","
											Uma característica dos fungos
é que não podem mover-se
											e só crescem por extensão
para formar uma rede sofisticada,
											o micélio.
											Em 1884, Anton de Bary,
o pai da patologia das plantas,
											foi o primeiro a presumir
que os fungos são guiados por sinais
											enviados a partir da planta hospedeira,
											ou seja, uma planta na qual
ele pode alojar-se e subsistir.
											Os sinais agem como um farol
											para os fungos localizarem,
crescerem nessa direção,
											invadirem e colonizarem uma planta.
											Ele sabia que a identificação
desses sinais
											revelaria grandes conhecimentos
que serviriam para elaborar a estratégia
											que podia bloquear a interação
entre o fungo e a planta.
											Mas a falta de um método adequado
naquela época
											impediu-o de identificar
esse mecanismo a nível molecular.
									","
											Küf mantarının bir özelliği
hareket edememesidir,
											sadece yayılarak,
miselyum adlı karmaşık bir ağ
											oluşturarak gelişebiliyor.
											1884'de, bitki patalojisinin
kurucusu Anton de Bary
											küf mantarının, konukçu bitkiden
gelen sinyallerle yönlendiğini
											tahmin eden ilk kişi oldu.
											Konukçu bitki, üzerine yerleşilen
ve yaşanılan bitkidir
											ve sinyaller bir deniz feneri
gibi yol gösterip
											küfün nereye yerleşeceği, nereye
doğru gelişeceği ve sonunda
											bitkiyi istilasını ve sömürmesini sağlar.
											de Barry, bu sinyalleri tanımlamanın
çok önemli bir bilgi olduğunu
											ve bunun küf mantarı ile
bitki arasındaki etkileşimi engelleyecek
											ayrıntılı bir bir strateji geliştirmede
işe yarayacağını biliyordu.
											Fakat o devirde yeterli
yöntemler (teknoloji) olmaması
											bu mekanizmayı moleküler seviyede
tanımlamasına engel oldu.
									","
											Eine Eigenschaft von Pilzen ist,
dass sie sich nicht bewegen können,
											sich durch Wachstum ausbreiten
und ein komplexes Geflecht bilden,
											das Myzel.
											Schon 1884 hat Anton de Bary,
											der Vater der Pflanzenpathologie,
											als Erster vermutet,
											dass Pilze durch Signale
der Wirtspflanze geleitet werden,
											also einer Pflanze, auf der Pilze leben
und von der sie sich ernähren.
											Diese Signale funktionieren wie
ein Leuchtturm, durch welchen der Pilz
											die Pflanze aufspürt,
											in ihre Richtung wächst,
											sie erreicht
											und sich letztendlich auf ihr
niederlässt und sie befällt.
											Er wusste, dass die Erkennung
solcher Signale
											der Schlüssel zu großem Wissen war,
											mit welchem Strategien zur
Unterbrechung des Zusammenspiels
											von Pilz und Pflanze
entwickelt werden können.
											Allerdings fehlten ihm zu jener Zeit
die passenden Methoden,
											um diesen Mechanismus auf
molekularer Ebene zu erforschen.
									",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
","
","
","
","
","
",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
"
											Using purification and mutational
genomic approaches,
											as well as a technique
											allowing the measurement
of directed hyphal growth,
											today I'm glad to tell you
that after 130 years,
											my former team and I
could finally identify such plant signals
											by studying the interaction
between a pathogenic fungus
											called Fusarium oxysporum
											and one of its host plants,
the tomato plant.
											As well, we could characterize
											the fungal receptor
receiving those signals
											and part of the underlying reaction
occurring within the fungus
											and leading to its direct growth
toward the plant.
									","
											À l'aide d'approches génomiques
de purification et de mutation,
											et de techniques
											qui nous permettent de mesurer
la croissance fongique orientée,
											j'ai le plaisir de vous annoncer,
que 130 ans plus tard,
											avec mon ancienne équipe, nous avons
finalement pu identifier de tels signaux
											en étudiant l'interaction entre
un champignon pathogène
											appelé Fusarium oxysporum,
											et une de ses plantes hôtes, la tomate.
											Nous avons aussi pu caractériser
											le récepteur fongique
qui reçoit ces signaux
											et une partie de la réaction sous-jacente
qui a lieu dans le champignon
											et qui le conduit à orienter
sa croissance vers la plante.
									","
											Usando la purificación y enfoques
genomico-mutacionales,
											así como también una técnica que permite
											la medida del crecimiento directo 
de las hifas, es decir, los filamentos,
											al día de hoy, me alegra decirles que,
tras 130 años,
											mi anterior equipo y yo pudimos finalmente
identificar dichas señales de las plantas
											estudiando las interacciones entre
un hongo patogénico
											llamado Fusarium oxysporum
											y una de sus plantas huésped,
la planta de tomate.
											Así como también pudimos caracterizar
											el receptor del hongo que
recibía estas señales
											y parte de la reacción subyacente 
que ocurre dentro del hongo
											y conduce a su crecimiento directo 
hacia la planta.
									","
											Usando a abordagem da purificação
e da genómica mutacional,
											assim como uma técnica
											que permite medir o crescimento
direto das hifas,
											tenho o prazer de vos dizer hoje
que, ao fim de 130 anos,
											a minha antiga equipa e eu
conseguimos identificar finalmente
											esses sinais das plantas
											estudando a interação
entre um fungo patogénico
											chamado Fusarium oxysporum
											e uma das suas plantas hospedeiras,
o tomateiro.
											Também conseguimos caracterizar
											o recetor fúngico
que recebe esses sinais
											e parte da reação subjacente
que ocorre no interior do fungo
											e que leva ao seu crescimento direto
na direção da planta.
									","
											Saflaştırma ve mutasyonal 
genetik yaklaşımlarla
											ve ayrıca yönlenik (güdümlü)
hif büyümelerini
											ölçmeye imkan veren
bir teknik yardımıyla,
											130 yıl sonra bugün,
memnuniyetle söyleyebilirim ki
											eski takımım ve ben bu bitki 
sinyallerini sonunda tanımladık.
											Bunu, Fusarium oxysporum adlı
bir patojen küf mantarını
											ve onun konukçu bitkilerinden olan
											domatesi inceleyerek yaptık.
											Ayrıca, bu siyalleri algılayan
											küf mantarı reseptörlerinin
özelliklerini de belirledik
											ve mantarın büyümeyi bitkiye doğru
yöneltmesini sağlayan alt plandaki
											reaksiyonlarını da kısmen saptadık.
									","
											Dank Aufreinigung und
mutationsgenetischer Methoden
											sowie einer Technik zur Messung
des gerichteten Hyphenwachstums,
											kann ich Ihnen sagen, dass heute,
130 Jahre später,
											mein ehemaliges Team und ich
endlich diese Pflanzensignale
											durch die Untersuchung des Zusammenspiels
											zwischen dem krankheitserregenden
Schimmelpilz Fusarium Oxysporum
											und seinem Wirt,
											der Tomatenpflanze, ermitteln konnten.
											Wir erkannten außerdem
											den Rezeptor dieser Signale im Pilz
											sowie Teil der Reaktion,
die in ihm stattfindet
											und zu seinem Wachstum
zur Pflanze hin führt.
									",How fungi recognize (and infect) plants,Mennat El Ghalid,4:36,"TED Fellows,fungi,science,nature,biology,communication,biodiversity,plants"
