es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
											Soy escritora.
											Escribir libros es mi profesión; 
pero es más que eso, por supuesto.
											Es también el gran amor 
y pasión de mi vida.
											Y espero que eso no cambie nunca.
											Pero, dicho esto, recientemente 
ha ocurrido algo poco peculiar
											en mi vida y mi carrera,
											lo que ha supuesto redefinir 
completamente mi relación con este trabajo.
											Y lo peculiar es que recientemente escribí este libro,
											esta novela llamada ""Come, Reza, Ama""
											que, decididamente 
a diferencia de mis libros anteriores,
											salió al mundo por alguna razón, 
y se convirtió en un enorme,
											mega-sensacional e internacionalmente éxito literario.
											El resultado de esto es que 
a donde quiera que vaya,
											la gente me trata como si estuviera desahuciada.
											De verdad, ¡desahuciada, desahuciada!
											Por ejemplo, se acercan a mí, 
muy preocupados y dicen,
											""¿No tienes miedo de que 
no puedas nunca superar este éxito?
											¿No tienes miedo de que vayas a continuar escribiendo toda tu vida
											y nunca más vayas a crear un libro
											que le importe a alguien en el mundo,
											nunca jamás?""
									","
											Eu sou escritora.
											Escrever livros é a minha profissão
mas, claro, é mais do que isso.
											É também o amor e o fascínio
de toda a minha vida.
											E espero que isso nunca mude.
											Mas, dito isto, aconteceu recentemente
uma coisa estranha
											na minha vida e na minha carreira
											que me fez recalibrar
toda a minha relação com este trabalho.
											O que é peculiar é que eu escrevi,
recentemente, um livro de memórias,
											chamado ""Come, Reza, Ama""
											que, ao contrário 
dos meus livros anteriores,
											foi lançado e, por alguma razão,
tornou-se numa mega-sensação,
											num bestseller internacional.
											O resultado é que,
onde quer que eu vá agora,
											as pessoas tratam-me
como se wu estivesse amaldiçoada.
											A sério — amaldiçoada!
											Vêm ter comigo agora,
todos preocupados e dizem:
											""Não tens medo — não tens medo
de nunca mais conseguir ultrapassar este?
											""Não tens medo de continuar
a escrever toda a tua vida
											""e nunca mais criares um livro
											""a que alguém no mundo ligue,
											""nunca mais?""
									","
											Ben bir yazarım.
											Kitap yazmak benim mesleğim, ama tabii benim için meslekten öte.
											Aynı zamanda hayatımın aşkı ve tutkusu.
											Ve bunun değişeceğini hiç sanmıyorum.
											Öte yandan, son zamanlarda, hayatımı ve kariyerimi etkileyen
											tuhaf bir şey başıma geldi.
											Bu tuhaf şey, bu meslekle olan ilişkimi yeniden düzenlememe yol açtı.
											Tuhaf şey şuydu: Kısa zaman önce ""Yaz, Dua Et, Sev"" isimli
											anı kitabımı yazdım; ama
											bu kitap, öncekilerin tam aksine, dünyada duyuldu,
											ve bir sebeple, büyük, mega-sansasyonel,
											uluslararası ""bestseller"" dedikleri bir şey oluverdi.
											Bunun bir sonucu olarak da, şimdi nereye gitsem,
											bana bahtsız muamelesi yapıyorlar.
											Cidden - bahtsız, bahtsız!
											Gelip, ""korkmuyor musun?"" diyorlar, ""bundan daha iyisini
											yapamamaktan korkmuyor musun?
											Hayatın boyunca yazmaya devam etsen de,
											kimsenin bundan sonra yazacaklarının suratına
											bakmayacağından korkmuyor musun?""
											""Ha? Suratına bile bakmayacaklarından?""
									","
											Je suis écrivain.
											Écrire des livres, c'est mon métier et plus encore.
											C'est aussi mon grand amour et ma fascination.
											Et je ne crois pas que cela va changer.♪
											Cela dit, il m'est arrivé récemment quelque chose d'étrange
											dans ma vie et dans ma carrière,
											qui a transformé ma relation à ce travail.
											C'est-à-dire que j'ai écrit un livre récemment,
											un mémoire intitulé « Mange, Prie, Aime »
											qui, contrairement à mes livres précédents,
											a fait le tour du monde, on ne sait comment,
											et est devenu un best-seller international sensationnel.
											Donc, maintenant, partout où je vais,
											les gens me parlent comme si j'étais condamnée.
											Vraiment : condamnée !
											Ils viennent me voir, tout soucieux, et me disent :
											« Vous n'avez pas peur de ne jamais réussir à faire mieux ?
											Vous n'avez pas peur de passer votre vie à écrire
											et de ne jamais plus faire de livre
											qui intéresse qui que ce soit dans le monde,
											plus jamais ? »
									",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
","
","
","
",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
											Así que eso es tranquilizante, saben.
											Pero sería peor, excepto que recuerdo
											que hace más de 20 años, cuando empecé a decir — cuando era una adolescente —
											que quería ser una escritora,
											me topé con este mismo tipo de reacción basada en miedo.
											Y la gente preguntaba, ""¿No tienes miedo de que nunca vayas a tener éxito?
											¿No tienes miedo de que la humillación del rechazo te mate?
											¿No tienes miedo de trabajar toda tu vida en este arte
											y de que nada vaya a salir de eso
											y de que morirás sobre una pila de sueños rotos
											con tu boca llena de la amarga ceniza del fracaso?""
											(Risas)
											Algo así, saben.
									","
											Reconfortante, como veem.
											Mas seria pior, se não fosse eu lembrar-me
que há mais de 20 anos,
											quando comecei a dizer às pessoas,
quando era adolescente,
											que queria ser escritora,
											encontrei este mesmo tipo
de reação de medo
											e as pessoas diziam: ""Não tens medo
de nunca vir a ter sucesso?
											""Não tens medo de que a humilhação
da rejeição te mate?
											""Não tens medo de vires a trabalhar
nessa atividade toda a tua vida
											""e nunca vires a obter nada dela
											""e vires a morrer com um monte
de sonhos desfeitos
											""e com o sabor amargo do fracasso?""
											(Risos)
											Mesmo assim, sabem.
									","
											Bu sözler nasıl iyi geliyor, anlatamam.
											Ama, yirmi sene öncesinde, daha gençken, etrafımdakilere
											yazar olacağımı söylediğimde de aynı, böyle korku dolu tepkileri
											aldığımı hatırlamasam,
											kendimi şimdi daha da kötü hissederdim.
											Daha neler diyorlardı: ""Asla başarılı olamamaktan korkmuyor musun?
											Reddedilmenin utancından ölmez misin?
											Hayatını bu zanaate adayıp da uğraşıp didindikten sonra
											hiç bir sonucun çıkmamasından,
											kayıp hayallerinin çöplüğünde, ağzında başarısızlığın
											acı külleriyle ölmekten korkmaz mısın?""
											(Kahkaha)
											İşte böyle diyorlardı.
									","
											C'est rassurant, vous savez.
											Mais ce serait encore pire, si je ne me souvenais pas
											qu'il y a plus de 20 ans, quand j'ai commencé à dire, à l'adolescence,
											que je voulais être écrivain,
											j'ai été confrontée au même genre de réaction apeurée.
											Les gens disaient : « Tu n'as pas peur de ne jamais réussir ?
											Tu n'as pas peur que l'humiliation du rejet t'anéantira ?
											Tu n'as pas peur de passer ta vie à écrire
											sans résultat
											et de mourir sur un tas de rêves brisés
											avec, dans la bouche, le goût amer des cendres de l'échec ? »
											(Rires)
											C'était ça, vous savez.
									",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
","
","
","
",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
											La respuesta - la respuesta corta a todas ésas preguntas es, ""Sí.""
											Sí, tengo miedo de todas esas cosas.
											Y siempre lo he tenido.
											Y tengo miedo de muchas, muchas otras cosas
											que la gente ni siquiera puede adivinar.
											Como las algas, y otras cosas que dan miedo.
											Pero, cuando se trata de escribir,
											en lo que he estado pensando últimamente, y que me he estado preguntando, es ¿por qué?
											Ya saben, ¿es racional?
											¿Es acaso lógico que se espere que uno
											tenga miedo del trabajo para el que siente que fue puesto en la Tierra?
											Ya saben, y que es eso que específicamente tienen las carreras creativos
											que aparentemente nos pone realmente nerviosos sobre la salud mental de los demás
											de una manera que otras carreras no lo hacen, ¿saben?
											Como mi papá, por ejemplo, que era un ingeniero químico
											y no recuerdo ni una vez en sus 40 años de ingeniería química
											que alguien le preguntara si tenía miedo de ser un ingeniero químico, ¿saben?
											No sucedía — el ingeniero químico ese, John, ¿como va?
											Simplemente no pasaba, ¿saben?
											Pero para ser justos, los ingenieros químicos como grupo
											no se han ganado una reputación a lo largo de los siglos
											de ser alcohólicos maníaco-depresivos.
											(Risas)
									","
											A resposta curta
a todas estas perguntas é ""Sim.""
											Sim, tenho medo de todas estas coisas.
											E sempre tive.
											E tenho medo de muitas
mais coisas além destas
											que as pessoas nem imaginam.
											Como as algas
e outras coisas assustadoras.
											Mas no que toca à escrita
											a coisa em que tenho pensado
											e me tenho questionado
ultimamente é, porquê?
											Será racional?
											É lógico esperar que qualquer pessoa
deva ter medo do trabalho
											que sentem ter sido postas
na Terra para fazer.
											O que é que têm de específico
os projetos criativos
											que nos põem nervosos em relação
ao estado mental uns dos outros
											duma forma que outras carreiras não fazem?
											Como o meu pai, por exemplo,
que era engenheiro químico.
											Não me lembro de uma única vez
nos seus 40 anos de engenheiro químico,
											alguém lhe ter perguntado se tinha medo
de ser engenheiro químico.
											""Então esse bloqueio de engenheiro químico,
John, como vai?""
											(Risos)
											Não havia nada disso.
											Mas para ser honesta,
os engenheiros químicos, em geral,
											nunca ganharam uma reputação
											de serem alcoólicos maníaco-depressivos.
											(Risos)
									","
											Bütün bu soruların cevabı — kısa cevabı: ""Evet.""
											Evet, bunların hepsinden korkuyorum.
											Hayatım boyunca da korktum.
											Hatta, tahmin bile edemedikleri bir sürü başka
											şeyden de korkuyorum.
											Mesela yosundan korkuyorum, diğer dehşet şeylerden de.
											Ama iş yazarlığa gelince,
											son zamanlarda düşünüp merak etmeye başladığım bir şey var:
											Neden, yani neden?
											Bu dünyaya yapmaya geldiğimiz işi yapmaktan
											korkmamız mı gerekiyor?
											Demek istediğim, yaratıcı mesleklerin nesi bu kadar korkunç ki,
											diğer kariyerleri kimse dert etmiyor da, bu mesleklere gelince
											karşımızdakinin ruh sağlığı için endişe ediyoruz?
											Mesela babam kimya mühendisiydi.
											Kırk yıl boyunca kimya mühendisliği yaptı ama kimse
											kimya mühendisliği yapmaktan korkup korkmadığını sormadı.
											Yani — ""şu bahtsız kimya mühendisi John'un hali nasıl, iyi mi acaba?""
											Yani hiç karşılaşmadım.
											Kimya mühendislerinin hakkını vermek gerek tabii,
											yüzyıllar boyunca adlarını ""alkolik manik-depresife""
											çıkarmadılar.
											(Kahkaha)
									","
											La réponse à toutes ces questions est « oui ».
											Oui, tout cela me fait peur.
											J'en ai toujours eu peur.
											J'ai aussi peur de bien d'autres choses encore
											que les gens ne pourraient même pas deviner.
											Comme des algues, et d'autres choses effrayantes.
											Mais en ce qui concerne l'écriture
											ce à quoi j'ai réfléchi récemment, et qui m'étonne, c'est : pourquoi ?
											Est-ce rationnel ?
											Est-il logique que l'on soit censé
											avoir peur du travail que nous pensons être destinés à accomplir ?
											Et qu'y a-t-il de particulier dans les entreprises de création
											qui fait que l'on se préoccupe de la santé mentale de l'autre
											d'une manière qui n'existe pas pour les autres métiers ?
											Mon père, par exemple, était ingénieur chimique
											et je n'ai pas le souvenir qu'au cours de ses 40 ans d'ingénierie chimique
											on lui ait demandé s'il avait peur d'être ingénieur chimique.
											Genre, alors John, ton blocage en ingénierie chimique, comment ça va ?
											Ça n'arrivait tout simplement pas, vous voyez ?
											Mais il faut bien l'admettre, les ingénieurs chimiques
											n'ont pas vraiment acquis à travers les siècles une réputation
											d'alcooliques maniaco-dépressifs.
											(Rires)
									",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
","
","
","
",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
											Nosotros los escritores, tenemos esa reputación,
											y no solo escritores, sino la gente creativa de todo tipo,
											parece tener esta reputación de ser enormemente inestable mentalmente.
											Y todo lo que tienes que hacer es ver esta sombría lista de muertes
											sólo en el siglo XX, de mentes creativas magníficas
											que murieron jóvenes y a menudo por su propia mano, ¿saben?
											E incluso los que no se suicidaron
											parecen destruidos por sus dones, ¿saben?
											Norman Mailer, justo antes de morir, su última entrevista, dijo
											""Cada uno de mis libros me ha matado un poco más.""
											Una declaración extraordinaria acerca del trabajo de tu vida, ¿saben?
											Pero ni siquiera pestañeamos cuando oímos a alguien decir esto
											porque hemos oído cosas como ésta por tanto tiempo
											y de alguna manera hemos interiorizado y aceptado colectivamente
											esta idea de que la creatividad y el sufrimiento están inherentemente ligados
											y que el arte, al final, siempre llevará a la angustia.
									","
											Nós, os escritores, temos essa reputação,
											e não são só os escritores,
mas os criativos de todos os tipos,
											parecem ter a reputação
de serem mentalmente muito instáveis.
											E só temos de ver o cruel número de mortes
											só no século XX,
de magníficas mentes criativas
											que morreram jovens
e normalmente por sua iniciativa.
											E até aqueles que não se suicidaram,
											parecem ter sido arruinados
pelos seus dons.
											Norman Mailer, pouco antes de morrer,
na sua última entrevista, disse;
											""Cada um dos meus livros
matou-me um pouco mais.""
											Uma afirmação extraordinária para se fazer
sobre o trabalho de uma vida.
											Mas nem pestanejamos
quando ouvimos alguém dizer isto
											porque ouvimos este tipo de coisas
há tanto tempo
											e, de certa forma, internalizámo-lo
e aceitámos coletivamente
											a noção de que a criatividade e sofrimento
estão de certa forma inerentemente ligados
											e que as artes, no final de contas,
levarão sempre à angústia.
									","
											Öte yandan, biz yazarların böyle kötü bir ünü var.
											Üstelik sadece yazarlar da değil, her türden yaratıcı işle
											uğraşanların hepsinin ciddi ruhsal bozukluğa sahip olmaları bekleniyor.
											Sadece 20. yüzyılda genç yaşta canına kıyan,
											gerçekten çok görkemli yaratıcı zihinlerin sayısına baksanız bile
											bu kötü üne hak verirsiniz.
											Kendini öldürmeyenler bile, aslında kendi yetenekleri
											yüzünden ecellerine ulaşmışlar.
											Norman Mailer, ölmeden hemen önce yapılan son röportajında
											""Kitaplarımın her biri beni biraz daha öldürdü."" demiş.
											İnsanın hayatının işi için bunu demesi olağandışı.
											Ama bunu duyunca gözümüzü bile kırpmıyoruz,
											çünkü bu tür cümleleri çok işittik,
											ve bir şekilde yaratıcılık ve çile çekmenin, tabiatları gereği
											birbirleriyle bağlantılı olduğunu, dolayısıyla sanatsal faaliyetin, nihayetinde,
											hep ızdıraba dönüşmesi gerektiğini içselleştirdik ve kabul ettik.
									","
											Nous, les écrivains, tendons à avoir cette réputation
											et pas seulement les écrivains, mais aussi les créateurs de tout poil
											semblent avoir cette réputation d'énorme instabilité mentale.
											Il suffit de regarder le nombre sinistre de morts,
											rien qu'au 20ème siècle, d'esprits créateurs magnifiques
											qui sont morts jeunes, et souvent volontairement.
											Même ceux qui ne se sont pas suicidés
											semblent avoir été détruits par leur talent.
											Norman Mailer, juste avant de mourir, dans son dernier entretien, a dit :
											« Chacun de mes livres m'a tué un petit peu plus. »
											Une déclaration incroyable à faire sur l'œuvre de sa vie.
											Mais nous ne réagissons même pas à ce genre de choses
											parce que nous l'avons entendu si longtemps
											que nous avons intégré et accepté collectivement
											cette notion que la créativité et la souffrance sont liées de façon inhérente
											et que la pratique de l'art mène toujours à l'angoisse.
									",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
","
","
","
",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
"
											Y la pregunta que quiero hacerles a todos hoy
											es ¿están todos ustedes a gusto con esa idea?
											¿Se sienten cómodos con ella —
											porque la ven aunque sea a sólo una pulgada de distancia y, saben —
											yo no me siento cómoda con esa suposición.
											Creo que es odiosa.
											Y también creo que es peligrosa,
											y no quiero verla perpetuada en el próximo siglo.
											Creo que es mejor si alentamos a nuestras grandes mentes creativas a vivir.
									","
											E a pergunta que quero fazer
a todos aqui, hoje, é:
											""Sentem-se confortáveis com esta ideia?""
											Sentem-se confortáveis com isso?
											Porque, se olhar para isto de perto
											eu não gosto nada desta assunção.
											Acho que é odioso.
											E também acho que é perigoso,
											e não quero ver isto perpetuado
para o próximo século.
											Penso que é melhor se encorajarmos
as nossas grandes mentes criativas a viver.
									","
											Şimdi hepinize sormak istediğim soru şu:
											Siz de böyle mi düşünüyorsunuz?
											Bunu böyle kabullenebilir misiniz?
											Çünkü bir adım bile geri çekilip bakınca, nasıl desem -
											ben bunu kabullenemiyorum.
											Tiksindirici buluyorum.
											Ayrıca tehlikeli olduğunu düşünüyorum
											ve sonraki yüzyıla aktarılmasını istemiyorum.
											Yaratıcı beyinleri hayatta tutmanın daha iyi olduğunu düşünüyorum.
									","
											Aujourd'hui, je voudrais vous poser cette question à tous
											elle vous va, cette idée-là ?
											Est-ce que cette idée vous convient ?
											Parce qu'en prenant un minimum de distance,
											cette affirmation ne me va pas du tout.
											Je la trouve odieuse.
											Je la trouve aussi dangereuse
											et je ne veux pas qu'elle se perpétue dans le siècle suivant.
											Je pense qu'il vaut mieux encourager nos grands créateurs à vivre.
									",Your elusive creative genius,Elizabeth Gilbert,19:09,"creativity,culture,entertainment,poetry,work,writing,personality"
