en,es,fr,title,speaker,duration,tags
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											Do you ever find yourself
referencing a study in conversation
											that you didn't actually read?
									","
											¿Les ha pasado alguna vez
mencionar en una conversación
											un estudio que en realidad nunca leyeron?
									","
											Lors d'une conversation,
avez-vous déjà cité une étude
											que vous n'aviez en fait pas lue ?
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											I was having coffee
with a friend of mine the other day,
											and I said, ""You know, I read a new study
											that says coffee reduces
the risk of depression in women.""
											But really, what I read was a tweet.
									","
											El otro día, mientras tomaba
un café con una amiga, le dije:
											""En un estudio reciente
											leí que el café reduce el riesgo
de depresión en la mujer"".
											Pero lo que había leído en realidad
											era un tuit.
									","
											L'autre jour, je prenais un café
avec une amie
											et je lui ai dit :
« J'ai lu une nouvelle étude
											selon laquelle le café réduit le risque
de dépression chez les femmes. »
											Mais, en fait, ce que j'avais lu, 
c'était un tweet.
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											That said —
									","
											El tuit decía:
									","
											qui disait –
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											""A new study says drinking coffee
may decrease depression risk in women.""
									","
											""Un nuevo estudio ha revelado
que beber café
											puede disminuir el riesgo
de depresión en la mujer"".
									","
											« Une nouvelle étude dit que le café 
peut réduire le risque de dépression
											chez les femmes. »
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											And that tweet had a link
to the ""New York Times"" blog,
											where a guest blogger translated
the study findings
											from a ""Live Science"" article,
											which got its original information
											from the Harvard School
of Public Health news site,
											which cited the actual study abstract,
											which summarized the actual study
published in an academic journal.
									","
											Y ese tuit tenía un link
al blog del ""New York Times"",
											donde un bloguero invitado
tradujo los hallazgos del estudio
											publicado en un 
artículo de ""Live Science"",
											que a su vez obtuvo 
la información original
											del sitio de noticias de la Facultad
de Salud Pública de Harvard,
											que citaba el resumen del estudio real,
											que sintetizaba el estudio real
publicado en una revista académica.
									","
											Ce tweet contenait un lien
vers le blog du New York Times,
											où un blogueur invité avait traduit 
les résultats d'une étude
											d'un article de Live Science
											dont la source était
											le nouveau site d'actualités de l’École
de Santé Publique de Harvard,
											et qui citait le résumé de l'étude,
											lequel résumait l'étude-même
publiée dans une revue universitaire.
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											It's like the six degrees of separation,
											but with research.
									","
											Es como los seis grados de separación,
											pero en el ámbito de la investigación.
									","
											C'est comme la théorie
des six degrés de séparation
											mais pour la recherche.
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											So, when I said I read a study,
											what I actually read was 59 characters
that summarized 10 years of research.
									","
											En definitiva, cuando dije
que había leído el estudio,
											lo que en verdad leí fueron 59 caracteres
que resumían 10 años de investigación.
									","
											Alors, quand je disais
que je lisais une étude,
											en fait, je n'ai lu que 59 caractères
résumant 10 ans de recherches.
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
"
","
","
",Academic research is publicly funded — why isn't it publicly available?,Erica Stone,9:44,"TEDx,education,communication,United States,open-source"
