en,es,tr,de,title,speaker,duration,tags
"
","
","
","
",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
											The longest journey
that I have ever taken.
											That was in 2002.
											I was only 19 years old.
											It was the first time
I had ever been on an airplane
											and the first time
that I had left my country,
											Rwanda.
									","
											El viaje más largo que he hecho,
											fue en el 2002.
											Tenía solo 19 años.
											Esa fue la primera vez
que estaba en un avión
											y la primera vez que salía de mi país,
											Ruanda.
									","
											Yaptığım en uzun yolculuktu.
											2002 yılındaydı.
											Henüz 19 yaşındayım.
											Uçağa ilk kez biniyordum,
											ülkem Ruanda'dan
ilk kez ayrılıyordum.
									","
											Die längste Reise meines Lebens.
											Das war 2002.
											Ich war erst 19 Jahre alt.
											Ich war erstmals in einem Flugzeug
											und verließ zum ersten Mal mein Land,
											Ruanda.
									",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
","
","
","
",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
											I had to move thousands of kilometers away
											to follow a dream.
											A dream I have had
ever since I was a child.
											And that dream was to become an architect.
											That was impossible
at the time in my country.
											There were no schools of architecture.
											So when I got a scholarship
to study in China,
											I left my life and my family behind
											and I moved to Shanghai.
									","
											Tuve que viajar miles de kilómetros
											para seguir un sueño.
											Un sueño que tuve desde mi infancia.
											Ese sueño era convertirme en arquitecto.
											Eso era imposible
en mi país en esa época.
											No había escuelas de arquitectura.
											Entonces, cuando me gané una beca
para estudiar en China,
											dejé mi vida y mi familia atrás
											y me mudé a Shanghái.
									","
											Bir hayali kovalamak için
binlerce kilometre gitmeliydim.
											Çocukluğumdan beri bir hayalim vardı.
											Bu hayal bir mimar olmaktı.
											Ki bu, o dönemlerde ülkemde
imkansızdı.
											Orada mimarlık okulu yoktu.
											Çin'de okumak için burs kazandığımda
											hayatımı ve ailemi arkamda bırakarak
											Şanghay'a yerleştim.
									","
											Ich musste tausende Kilometer wegziehen,
											um einem Traum zu folgen.
											Seit ich ein Kind war, träumte ich davon.
											Ich träumte davon, Architekt zu werden.
											Das war damals in meinem Land unmöglich.
											Es gab keine Architekturschulen.
											Als ich ein Stipendium
für ein Studium in China bekam,
											ließ ich mein Leben
und meine Familie hinter mir
											und zog nach Shanghai.
									",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
","
","
","
",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
											It was an amazing time.
											This country was going through
a major building boom.
											Shanghai, my new home,
											was quickly turning
into a skyscraper city.
											China was changing.
											World-class projects were built
to convey a new image of development.
											Modern, striking engineering marvels
were going up literally everywhere.
											But behind these facades,
											exploitation of huge numbers
of migrant workers,
											massive displacement
of thousands of people
											made these projects possible.
											And this fast-paced development
											also contributed significantly
to the pollution
											that is haunting China today.
									","
											Fue una época maravillosa.
											Este país estaba pasando
por un gran auge en la construcción.
											Shanghái, mi nuevo hogar,
											se convirtió rápidamente
en una ciudad de rascacielos.
											China estaba cambiando.
											Construyeron proyectos de clase mundial
para mostrar una imagen de desarrollo.
											Aparecían por doquier las maravillas 
modernas de la ingeniería.
											Pero detrás de las fachadas,
											la explotación de gran cantidad
de trabajadores inmigrantes,
											y el desplazamiento masivo
de miles de personas
											hicieron posible estos proyectos.
											Este desarrollo rápido
											también contribuyó a la contaminación
											que China tiene hoy en día.
									","
											İnanılmazdı.
											Ülke adeta yeni bir şehirleşme
sürecinden geçiyordu.
											Yeni evim, Şanghay,
											hızlı bir şekilde 
gökdelen şehrine dönüşüyordu.
											Çin değişiyordu.
											Yeni gelişim imgesi oluşturmak için
birinci sınıf projeler yapılıyordu.
											Her yerde modern ve çarpıcı
mühendislik harikaları yükseliyordu.
											Bu görünümün arkasında,
											projeleri gerçekleştiren çok sayıda
göçmen işçi,
											yerlerinden edilen
binlerce insan vardı.
											Bu hızla süregelen gelişme
günümüzde
											Çin'in yakasını bırakmayan kirliliğe de

											büyük ölçüde neden oldu.
									","
											Es war eine aufregende Zeit.
											Das Land erlebte einen riesigen Bauboom.
											Shanghai, mein neues Zuhause,
											verwandelte sich schnell
in eine Hochhaus-Metropole.
											China veränderte sich.
											Bauprojekte von Weltklasse sollten
ein neues Bild der Entwicklung zeichnen.
											Moderne, eindrucksvolle Wunderwerke
der Baukunst wuchsen überall gen Himmel.
											Aber hinter den Fassaden
											steckten Ausbeutung von
Wanderarbeitern im großen Maßstab
											und massive Umsiedelungen
von Tausenden von Menschen
											ermöglichten diese Projekte.
											Diese Entwicklung im Eiltempo
											trug bedeutend zur Verschmutzung bei,
											die China heute heimsucht.
									",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
","
","
","
",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
											Fast-forward to 2010,
											when I went back home to Rwanda.
											There, I found development patterns
similar to what I saw in China.
											The country was and still is experiencing
its own population and economic growth.
											The pressure to build cities,
infrastructure and buildings
											is at its peak,
											and as a result,
											there is a massive building boom as well.
									","
											Avanzando al 2010,
											cuando volví a mi hogar en Ruanda,
											encontré comportamientos de desarrollo
similares a los que vi en China.
											El país estaba y aún está viviendo
un crecimiento económico y poblacional.
											La presión para construir ciudades,
infraestructura y edificios
											está al máximo,
											y como resultado,
											hay un auge masivo de la construcción.
									","
											Ruanda’ya geri döndüğüm
2010’a gidelim.
											Orada Çin’de gördüklerime benzer 
örneklere rastladım.
											Ülke kendi nüfusu ve ekonomik büyümesini
tecrübe etti ve hâlâ etmekte.
											Şehirleri, altyapıyı ve binaları
inşa etme baskısı
											en yüksek seviyesinde,
											bunun sonucunda da
											büyük bir bina artışı var.
									","
											Einige Zeit später, im Jahr 2010
											kehrte ich zurück nach Ruanda.
											Ich fand dort ähnliche
Tendenzen wie in China.
											Das Land erfährt noch immer
ein Bevölkerungs- und Wirtschaftswachstum.
											Der Bedarf an neuen Städten,
Gebäuden und Infrastruktur
											ist auf einem Höchststand.
											Folglich gibt es auch hier einen Bauboom.
									",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
","
","
","
",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
											This is the reality across
the entire continent of Africa,
											and here's why.
											By 2050, Africa's population will double,
											reaching 2.5 billion people.
											At this point,
											the African population will be
slightly less than the current population
											of China and India combined.
											The infrastructure and buildings needed
to accommodate this many people
											is unprecedented
in the history of humankind.
											We have estimated that by 2050,
											we have to build
700,000,000 more housing units,
											more than 300,000 schools
											and nearly 100,000 health centers.
									","
											Esta es la misma realidad
en todo el continente africano,
											y aquí está la razón.
											Para el 2050, la población
africana se duplicará,
											alcanzando 2500 millones de personas.
											Para ese momento,
											la población de África será 
un poco menos que la población actual
											de China e India combinadas.
											La infraestructura necesaria 
para esta cantidad de personas
											no tiene precedentes
en la historia de la humanidad.
											Hemos estimado que para el 2050,
											tenemos que construir
700 millones de nuevas casas,
											más de 300 000 escuelas,
											y cerca de 100 000 centros de salud.
									","
											Bu, tüm Afrika kıtasındaki bir gerçek.
											İşte nedeni;
											2050'nin sonunda Afrika nüfusu
											2,5 milyara ulaşarak
iki katına çıkacak.
											Bu noktada
											Afrika nüfusu
											Çin ve Hindistan’ın nüfusunun
birleşiminden kısmen az olacak.
											Bu kadar insanı barındırmaya
gerekli altyapı ve binaların
											insanlık tarihinde eşi benzeri yok.
											Tahmin ettik ki 2050’nin sonuna kadar
											700 milyondan fazla konut,
											300 binden fazla okul
											ve yaklaşık 100 bin sağlık merkezi
inşa etmemiz gerekiyor.
									","
											Das ist die Realität
auf dem gesamten afrikanischen Kontinent
											und hier kommt der Grund.
											Afrikas Bevölkerung
wird sich bis 2050 verdoppeln
											und einen Stand von
2,5 Milliarden Menschen erreichen.
											An diesem Punkt
											wird die afrikanische Population
											fast so groß wie die heutige indische
und chinesische zusammen.
											Die nötige Infrastruktur und Gebäude
zur Unterbringung dieser Massen
											ist ohne Beispiel
in der Menschheitsgeschichte.
											Wir schätzen, wir müssen bis 2050
											etwa 700 Millionen Wohnungen,
											mehr als 300.000 Schulen
											und fast 100.000 Gesundheitszentren bauen.
									",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
","
","
","
",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
											Let me put that into perspective for you.
											Every day for the next 35 years,
											we have to build seven health centers,
											25 schools
											and nearly 60,000 housing units each day,
											every day.
									","
											Voy a poner esto en perspectiva.
											Cada día durante los próximos 35 años,
											tenemos que construir 7 centros de salud,
											25 escuelas,
											y cerca de 60 000 casas,
											cada día.
									","
											Bunu perspektife koyalım.
											Gelecek 35 yıl boyunca her gün
											7 sağlık merkezi,
											25 okul
											ve yaklaşık 60 bin 
konut yapmak zorundayız,
											her geçen gün.
									","
											Lassen Sie mich das verdeutlichen.
											Jeden Tag in den nächsten 35 Jahren
											müssen wir sieben Gesundheitszentren,
											25 Schulen
											und fast 60.000 Wohnung pro Tag bauen,
											jeden Tag.
									",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
"
","
","
","
",The next generation of African architects and designers,Christian Benimana,12:57,"Africa,architecture,collaboration,climate change,community,creativity,engineering,design,education,innovation,social change,future,public spaces,society"
