en,tr,pt,es,fr,title,speaker,duration,tags
"
","
","
","
","
",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
											“From the tip of every branch,
											like a fat purple fig,
											a wonderful future beckoned and winked…
											but choosing one meant 
losing all the rest,
											and, as I sat there, unable to decide,
											the figs began to wrinkle and go black,
											and, one by one, they plopped 
to the ground at my feet.”
											In this passage from Sylvia Plath’s 
""The Bell Jar,""
											a young woman imagines 
an uncertain future–
											and speaks to the universal fear
											of becoming paralyzed
											by the prospect of making 
the wrong choice.
									","
											''Her dalın ucundan,
											bereketli bir mor incir gibi,
											mükemmel bir gelecek
işaret etti ve göz kırptı...
											Fakat birini seçmek,
geri kalanından vazgeçmek demekti
											ve orada karar veremez bir şekilde oturdum
											ve incirler buruşmaya 
ve siyahlaşmaya başladı
											ve birer birer ayaklarımın
dibine düştüler.
											Sylvia Plath'ın ''Sırça Fanus''
adlı eserindeki bu bölümde,
											genç bir kadın belirsiz 
bir gelecek hayal eder
											ve yanlış karar verme ihtimalinden dolayı
meydana gelen uyuşmuşluk hissinin
											evrensel korkusuna sesleniyordu.
									","
											""Da ponta de cada ramo,
											""como um figo púrpura e sumarento,
											""um futuro fabuloso piscava-me o olho...
											""mas escolher um significava
perder todos os outros,
											""e, quando me sentei,
incapaz de me decidir,
											""os figos começaram
a enrugar e a enegrecer,
											""e, um após outro, caíram
surdamente aos meus pés.""
											Nesta passagem de ""The Bell Jar""
de Sylvia Plath,
											uma jovem mulher
imagina um futuro incerto
											e fala do medo universal
de ficar paralisada
											com a ideia de fazer a escolha errada.
									","
											""En la punta de cada rama,
											como un grueso higo morado,
											me hacía señas y centelleaba
un futuro maravilloso...
											pero elegir uno significaba
perder todos los demás,
											y, mientras estaba allí sentada,
incapaz de decidirme,
											los higos empezaron a arrugarse
y a tornarse negros
											y, uno por uno, cayeron
al suelo a mis pies"".
											En este pasaje de la novela
""La campana de cristal"" de Sylvia Plath,
											una mujer joven imagina un futuro incierto
											y habla del temor universal
a quedar paralizado
											ante la posibilidad de hacer 
la elección equivocada.
									","
											« Au bout de chaque branche,
											comme une grosse figue violacée,
											fleurissait un avenir merveilleux...
											en choisir une seule
signifiait perdre toutes les autres,
											et assise là, incapable de me décider,
											les figues commençaient
à pourrir, à noircir
											et une à une elles éclataient
entre mes pieds sur le sol. »
											Dans ce passage de « La cloche de verre »
de Sylvia Plath,
											une jeune femme imagine
un avenir incertain —
											et parle de la peur universelle
											d'être paralysé
											à la perspective
de faire le mauvais choix.
									",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
","
","
","
","
",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
											Although she considered other careers,
											Plath chose the artist’s way.
											Poetry was her calling.
											Under her shrewd eye and pen,
											everyday objects became haunting images:
											a “new statue in a drafty museum,”
											a shadow in a mirror, a slab of soap.
											Fiercely intelligent, 
penetrating and witty,
											Plath was also diagnosed 
with clinical depression.
											She used poetry to explore her own states 
of mind
											in the most intimate terms,
											and her breathtaking perspectives 
on emotion,
											nature and art continue 
to captivate and resonate.
									","
											Diğer kariyer yollarını
düşünmüş olmasına rağmen,
											Plath sanatçılık yolunu seçti.
											Şiir onun tutkusuydu.
											Kurnaz gözünün ve kaleminin altında,
											gündelik nesneler perili görüntüler oldu:
											""soğuk esintili bir
müzede yeni bir heykel"",
											aynada bir gölge, bir sabun parçası.
											Son derece zeki, etkili ve nükteli olan
											Plath'a klinik müdahale gerektiren
depresyon teşhisi koyulmuştu.
											Kendi ruhsal durumlarını
en samimi terimlerle keşfetmek için
											şiiri kullandı ve nefes kesici duygu,
											doğa ve sanat bakış açıları büyülemeye
											ve insanlara hitap etmeye devam ediyor.
									","
											Embora tenha considerado
outras carreiras,
											Plath escolheu o caminho de artista.
											A poesia foi a sua vocação.
											Sob o seu olhar sagaz e a sua caneta,
											os objetos quotidianos tornaram-se
imagens assombrosas:
											uma ""estátua nova num museu glacial,""
											uma sombra num espelho,
um bloco de sabão.
											Extremamente inteligente,
penetrante e espirituosa,
											foi-lhe também diagnosticada
uma depressão clínica.
											Ela serviu-se da poesia para
explorar os seus estados de alma
											nos termos mais íntimos,
											e as suas fascinantes
perspetivas sobre a emoção,
											a natureza e a arte
continuam a cativar e ressoar.
									","
											Aunque consideró otras carreras,
											Plath eligió el camino del artista.
											Su vocación era la poesía.
											Su pluma y su mirada inteligentes
											tornaban objetos cotidianos
en imágenes inquietantes:
											una ""nueva estatua en un frío museo"",
											una sombra en un espejo, un pan de jabón.
											Extremadamente inteligente,
perspicaz e ingeniosa,
											Plath también padeció
de trastorno depresivo.
											Usaba la poesía para analizar
sus propios estados de ánimo
											en los términos más íntimos,
											y sus deslumbrantes puntos de vista
											sobre las emociones,
la naturaleza y el arte
											resuenan y cautivan hasta el día de hoy.
									","
											Même si elle a considéré
d'autres carrières,
											Plath a choisi le chemin artistique.
											La poésie était sa vocation.
											Sous son œil et sa plume avisés,
											les objets du quotidien
devenaient des images obsédantes :
											une « nouvelle statue
dans un musée venteux »,
											une ombre dans un miroir,
un morceau de savon.
											Farouchement intelligente,
pénétrante et drôle,
											Path a été diagnostiquée
comme atteinte de dépression clinique.
											Elle a utilisé la poésie
pour explorer ses états d'esprit
											avec des termes des plus intimes
											et ses points de vue époustouflants
sur les émotions,
											la nature et l'art continuent
de captiver et de faire écho.
									",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
","
","
","
","
",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
											In her first collection of poems,
											""The Colossus,""
											she wrote of a feeling of nothingness:
											""white: it is a complexion of the mind.”
											At the same time,
											she found solace in nature,
											from “a blue mist” “dragging the lake,”
											to white flowers that “tower and topple,”
											to blue mussels “clumped like bulbs.”
									","
											''Colossus'' adı verilen 
ilk şiir koleksiyonunda,
											hiçlik duygusunu yazdı:
											''beyaz, ruhun rengidir.''
											Aynı zamanda teselliyi doğada buldu,
											''mavi sis""'', ''gölde sürüklenmek''ten,
											''yükselen ve yıkılan'' beyaz çiçeklere,
											''çiçek soğanları gibi kümelenmiş''
mavi midyelere kadar.
									","
											Na sua primeira coletânea de poemas,
											""The Colossus"",
											ela escreveu sobre
a sensação de vacuidade:
											""branco: é a tez da mente.""
											Ao mesmo tempo,
											encontrou alívio na natureza,
											de ""uma bruma azul"" ""a drenar o lago"",
											a flores brancas que ""se erguem e tombam"",
											a mexilhões azuis 
""num maciço de lâmpadas"".
									","
											En su primera colección de poemas,
											""El coloso"",
											se refirió a un sentimiento de vacío:
											""Blanco: es el color de la mente"".
											Al mismo tiempo encontraba
consuelo en la naturaleza,
											como ""una niebla azul""
que ""arrastra el lago"",
											flores blancas que ""se yerguen y caen""
											y mejillones azules
""amontonados como bulbos"".
									","
											Dans son premier recueil de poèmes,
											« Le colosse »,
											elle a décrit un sentiment de néant :
											« le blanc : c'est une teinte
de l'esprit ».
											En parallèle, elle a trouvé
du réconfort dans la nature,
											d'un « brouillard bleuté »
« glissant sur le lac »
											à des fleurs blanches
qui « s'élèvent et s'effondrent »
											et des coquillages bleus
« regroupés tels des bulbes ».
									",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
","
","
","
","
",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
											After ""The Colossus"" she 
published ""The Bell Jar,""
											her only novel,
											which fictionalizes the time she spent 
working for Mademoiselle magazine
											in New York during college.
											The novel follows its heroine, Esther,
											as she slides into a severe 
depressive episode,
											but also includes wickedly funny and 
shrewd depictions
											of snobby fashion parties 
and dates with dull men.
									","
											''Colossus''tan sonra tek romanı 
olan ''Sırça Fanus''u yayımladı,
											ki bu roman üniversiteye 
giderken New York'ta çalıştığı
											Mademoiselle dergisindeki 
çalışma zamanlarını kurguluyordu.
											Roman, şiddetli depresif
bir bölüme girerken,
											kahramanı Esther'i takip ediyor,
											ama aynı zamanda züppe moda
partilerinin kötü ve kurnaz tasvirlerini
											ve sıkıcı erkeklerle
randevularının tasvirlerini içeriyor.
									","
											Após ""The Colossus""
publicou ""The Bell Jar"",
											o seu único romance,
											que fantasia o tempo que gastou
a trabalhar para a revista Mademoiselle
											em Nova Iorque na altura da universidade.
											O romance acompanha a sua heroína, Esther,
											enquanto ela resvala
num episódio depressivo,
											mas contém também retratos
malvadamente engraçados e sagazes
											de eventos ""snobs""
e de encontros com homens tolos.
									","
											Luego de ""El coloso"" publicó
""La campana de cristal"",
											su única novela,
											donde lleva a la ficción su experiencia
como empleada de la revista ""Mademoiselle""
											mientras estudiaba en Nueva York.
											La novela se centra en Esther, la heroína,
											que cae en un agudo episodio depresivo,
											pero también incluye descripciones
humorísticas y perspicaces
											de frívolas fiestas en el mundo de la moda
y citas con hombres aburridos.
									","
											Après « Le colosse »,
elle a publié « La cloche de verre »,
											son seul roman,
											qui romance son temps passé à travailler
pour le magazine « Mademoiselle »
											à New York durant ses études.
											Le roman suit son héroïne, Esther,
											alors qu'elle glisse
vers un grave épisode dépressif,
											mais inclut également
des descriptions drôles et fines
											de soirées snobs dans la mode
et de rencards avec des hommes ternes.
									",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
","
","
","
","
",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
"
											Shortly after the publication 
of ""The Bell Jar,""
											Plath died by suicide at age 30.
											Two years later, the collection of poems
she wrote in a burst of creative energy
											during the months before her death
											was published under the title ""Ariel.""
											Widely considered her masterpiece,
											Ariel exemplifies the honesty 
and imagination
											Plath harnessed to capture her pain.
									","
											''Sırça Fanus''un
yayımlanmasından kısa süre sonra,
											Plath 30 yaşındayken intihar etti.
											İki yıl sonra, ölümünden önce,
aylar boyunca yaratıcı bir enerji
											patlamasıyla yazdığı şiir koleksiyonu,
											""Ariel"" adı altında yayımlandı.
											Başyapıtlarından
biri olarak kabul edilen Ariel,
											acısını kontrol altına
almak için harcadığı dürüstlüğü
											ve hayal gücünü örneklemektedir.
									","
											Logo depois da publicação
de ""The Bell Jar"",
											Plath suicidou-se aos 30 anos.
											Dois anos mais tarde,
a coletânea de poesias
											escritas numa explosão de energia criativa
											nos meses antes da sua morte,
											foi publicada com o título ""Ariel"".
											Considerada amplamente
como a sua obra prima,
											""Ariel"" exemplifica a franqueza
e a imaginação
											exploradas por Plath
para capturar a sua dor.
									","
											Poco después de la publicación
de ""La campana de cristal"",
											Plath se suicidó a la edad de 30 años.
											Dos años después,
											el poemario que escribiera
en un arranque de energía creativa
											durante los meses anteriores al suicidio,
											fue publicado con el título de ""Ariel"".
											Ampliamente considerada su obra maestra,
											""Ariel"" pone de manifiesto
la honestidad y la imaginación
											que Plath utilizó para expresar su dolor.
									","
											Peu après la publication
de « La cloche de verre »,
											Plath s'est suicidée à l'âge de 30 ans.
											Deux ans plus tard,
											le recueil de poèmes qu'elle a écrit
dans un élan d'énergie créative
											au cours des mois avant sa mort
											a été publié sous le titre « Ariel ».
											Largement considéré
comme son chef-d’œuvre,
											Ariel illustre l'honnêteté
et l'imagination
											que Plath exploitait
pour refléter sa douleur.
									",Why should you read Sylvia Plath?,Iseult Gillespie,4:28,"TED-Ed,depression,mental health,animation,literature,novel,poetry,culture,book,world cultures,books"
