en,pt,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","
",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
											Do you ever think about how important
the oceans are in our daily lives?
											The oceans cover two-thirds of our planet.
											They provide half the oxygen we breathe.
											They moderate our climate.
											And they provide jobs
and medicine and food
											including 20 percent of protein
to feed the entire world population.
											People used to think
that the oceans were so vast
											that they wouldn't be affected
by human activities.
									","
											Já pensaram em como os oceanos
são importantes na nossa vida?
											Os oceanos cobrem
dois terços do nosso planeta.
											Fornecem metade
do oxigénio que respiramos.
											Moderam o nosso clima.
											Fornecem empregos,
medicamentos e alimentos
											incluindo 20% das proteínas
que alimentam a população mundial.
											As pessoas pensavam
que os oceanos eram tão vastos
											que nunca seriam afetados
pelas atividades humanas.
									","
											Okyanusların günlük hayatımızda ne 
kadar önemli olduğunu hiç düşündünüz mü?
											Okyanuslar gezegenimizin üçte 
ikisini kaplar.
											Soluduğumuz oksijenin yarısını 
bize sağlarlar.
											İklim dengesini sağlarlar.
											Ve bize iş ve ilaç ve bütün dünya 
nüfusunu beslemek için
											yüzde 20 protein içeren yiyecek sağlarlar.
											İnsanlar okyanusların insan 
aktivitelerinden
											etkilenmeyecek kadar büyük 
olduğunu düşünürlerdi.
									","
											Vous arrive-t-il de penser à l'importance
des océans dans notre vie quotidienne?
											Les océans couvrent deux-tiers
de notre planète.
											Ils fournissent la moitié de l'oxygène
que nous respirons.
											Ils tempèrent notre climat.
											Et ils fournissent des emplois,
des médicaments et de la nourriture
											dont 20% des protéines pour alimenter
la population mondiale toute entière.
											Les gens pensaient que les océans
étaient si vastes
											qu'ils ne seraient pas affectés
par l'activité humaine.
									","
											¿Alguna vez pensaron en la importancia 
de los océanos en nuestra vida cotidiana?
											Los océanos cubren 
dos tercios de nuestro planeta.
											Proporcionan la mitad 
del oxígeno que respiramos.
											Ellos moderan nuestro clima.
											Y proporcionan trabajo, medicinas y comida
											incluyendo el 20 % de proteína 
para alimentar a la población mundial.
											La gente solía pensar que 
los océanos eran tan enormes
											que no se verían afectados 
por la actividad humana.
									",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
","
","
","
","
",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
											Well today I'm going to tell you
about a serious reality
											that is changing our oceans
called ocean acidification,
											or the evil twin of climate change.
											Did you know that the oceans have absorbed
25 percent of all of the carbon dioxide
											that we have emitted to the atmosphere?
											Now this is just another great service
provided by the oceans
											since carbon dioxide
is one of the greenhouse gases
											that's causing climate change.
											But as we keep pumping
more and more and more
											carbon dioxide into the atmosphere
											more is dissolving into the oceans.
											And this is what's changing
our ocean chemistry.
											When carbon dioxide dissolves in seawater,
											it undergoes a number
of chemical reactions.
									","
											Hoje vou falar-vos
de uma realidade grave
											que está a alterar os oceanos,
que se chama ""acidificação do oceano"",
											ou seja, o ""irmão gémeo maligno""
da alteração climática.
											Sabiam que os oceanos absorveram
25% de todo o dióxido de carbono
											que temos emitido para a atmosfera?
											Isto é mais um ótimo serviço
que os oceanos nos prestam,
											porque o dióxido de carbono
é um dos gases com efeito de estufa
											que estão a provocar
a alteração climática.
											Mas, à medida que vamos atirando
cada vez mais dióxido de carbono
											para a atmosfera,
											mais ele se dissolve nos oceanos.
											É isso que está a alterar
a química do oceano.
											Quando o dióxido de carbono
se dissolve na água do mar,
											passa por uma série
de reações químicas.
									","
											Bugün okyanus asitleşmesi veya iklim 
değişiminin
											şeytan ikizi denilebilen bir ciddi
											gerçek hakkında konuşacağım.
											Okyanusların bizim atmosfere verdiğimiz 
karbondioksitin yüzde 25'ini
											absorbe ettiğini biliyor muydunuz?
											Karbondioksidin iklim değişikliğine 
sebep olan sera gazlarından
											biri olmasından dolayı
okyanusların bu özelliği
											bizim için çok faydalı.
											Fakat biz atmosfere daha çok 
karbondioksit vermeye
											devam ederken karbondioksit
											okyanusa daha çok dağılıyor.
											Ve bu da okyanuslarımızın 
kimyasını değiştiriyor.
											Karbondioksit denizsuyunda dağıldığında,
											bir miktar kimyasal reaksiyondan geçiyor.
									","
											Eh bien aujourd'hui je vais vous parler
d'une réalité sérieuse
											qui modifie nos océans,
appelée l'acidification des océans,
											ou le jumeau diabolique
du changement climatique.
											Saviez-vous que les océans ont absorbé
25% de tout le dioxyde de carbone
											que nous avons émis dans l'atmosphère?
											C'est simplement un autre grand service
rendu par les océans
											puisque le dioxyde de carbone
est l'un des gaz à effet de serre
											responsable du changement climatique.
											Mais comme nous continuons
à déverser de plus en plus de
											dioxyde de carbone dans l'atmosphère,
											davantage se dissout dans les océans.
											Et c'est ce qui change
la chimie de nos océans.
											Lorsque le dioxyde de carbone
se dissout dans l'eau de mer,
											il subit un certain nombre de
réactions chimiques.
									","
											Bueno, hoy les contaré una realidad grave
											llamada acidificación del océano 
que está cambiando nuestros océanos
											o el gemelo malvado del cambio climático.
											¿Sabían que los océanos han absorbido 
el 25 % de todo el dióxido de carbono
											que hemos emitido a la atmósfera?
											Ahora esto es solo otro gran servicio 
proporcionado por los océanos,
											ya que el dióxido de carbono 
es uno de los gases de efecto invernadero
											que está causando el cambio climático.
											Pero a medida que seguimos 
bombeando más y más y más
											dióxido de carbono en la atmósfera,
											más se disuelve en los océanos.
											Y esto es lo que está cambiando 
nuestra química oceánica.
											Cuando el dióxido de carbono 
se disuelve en el agua de mar,
											sufre una serie de reacciones químicas.
									",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
","
","
","
","
",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
											Now lucky for you,
											I don't have time to get into
the details of the chemistry for today.
											But I'll tell you as more
carbon dioxide enters the ocean,
											the seawater pH goes down.
											And this basically means that there
is an increase in ocean acidity.
											And this whole process
is called ocean acidification.
											And it's happening
alongside climate change.
											Scientists have been monitoring
ocean acidification for over two decades.
											This figure is an important
time series in Hawaii,
											and the top line shows steadily increasing
concentrations of carbon dioxide,
											or CO2 gas, in the atmosphere.
											And this is directly as a result
of human activities.
											The line underneath shows the increasing
concentrations of carbon dioxide
											that is dissolved
in the surface of the ocean
											which you can see is increasing
at the same rate
											as carbon dioxide in the atmosphere
since measurements began.
											The line on the bottom shows
then shows the change in chemistry.
											As more carbon dioxide
has entered the ocean,
											the seawater pH has gone down,
											which basically means there has been
an increase in ocean acidity.
											Now in Ireland, scientists are also
monitoring ocean acidification —
											scientists at the Marine
Institute and NUI Galway.
											And we, too, are seeing
acidification at the same rate
											as these main ocean time-series
sites around the world.
											So it's happening right at our doorstep.
									","
											Felizmente para vocês
											não tenho tempo para entrar
em detalhes quanto a essa química.
											Mas digo-vos que, à medida
que o dióxido de carbono entra no oceano,
											o pH da água do mar vai baixando.
											Isto significa que há um aumento
na acidez do oceano.
											Todo este processo chamado
acidificação do oceano
											está a acontecer juntamente
com a alteração climática.
											Há 20 anos que os cientistas monitorizam
a acidificação do oceano.
											Esta imagem é uma série temporal
importante no Havaí.
											A linha de cima mostra um aumento regular
											das concentrações do dióxido de carbono,
ou CO2, na atmosfera.
											Isto é um resultado direto
das atividades humanas.
											A linha do meio mostra o aumento
das concentrações de dióxido de carbono,
											que está dissolvido
na superfície do oceano
											que, como veem, aumenta
ao mesmo ritmo
											que o dióxido de carbono na atmosfera,
desde que começaram as medições.
											A linha de baixo mostra
as alterações na química.
											À medida que o dióxido de carbono 
foi entrando no oceano,
											o pH da água do mar foi baixando,
											o que significa que tem havido
um aumento na acidez do oceano.
											Na Irlanda, os cientistas também estão
a monitorizar a acidificação do oceano
											— cientistas como o Instituto de Marinha
e o NUI Galway.
											Também nós estamos a ver
a acidificação, ao mesmo ritmo
											que esta linha temporal
dos principais locais oceânicos mundiais.
											Está a acontecer mesmo à nossa porta.
									","
											Şimdi şanslısınız ki
											kimyanın detaylarına inecek 
kadar vaktim yok.
											Fakat ne kadar fazla karbondioksit 
okyanusa nüfuz ederse,
											deniz suyunun pH değeri o kadar düşer.
											Ve bu basitçe okyanusun asitliğinde 
bir artış var demek oluyor.
											Ve bütün bu süreç okyanus asitleşmesi 
diye adlandırılır.
											Ve bu iklim değişikliğiyle 
birlikte gerçekleşiyor.
											Bilim insanları yaklaşık yirmi yıldır 
okyanus asitleşmesini gözlemliyorlar.
											Bu periyot Hawaii'de önemli bir zaman
											ve üst çizgi karbondioksit, yani
atmosferdeki CO2 gazı derişiminin
											durmadan arttığını gösteriyor.
											Ve bu direktman insan faaliyetlerinin 
bir sonucudur.
											Altındaki çizgi ölçümler başladığından
beri atmosferdeki
											karbondioksit artış oranıyla
											aynı oranda artan okyanusta dağılmış
											karbondioksit derişim oranını gösteriyor.
											Alttaki çizgi daha sonraki kimyasındaki 
değişimi gösteriyor.
											Daha çok karbondioksit okyanuslara 
nufüz ettikçe,
											deniz suyunun pH değeri düştü,
											yani basitçe okyanus asitliğinde 
artış olarak açıklanabilir.
											Bugün İrlanda'daki Deniz Enstitüsü ve 
NUI Galway'de de,
											bilim insanları okyanus asitleşmesini 
gözlemliyorlar.
											Ve biz de asitleşmenin dünya genelindeki 
bu ana okyanus zaman seri konumları
											ile aynı oranda olduğunu göruyoruz.
											Bu bu bizim tam kapı basamağında oluyor.
									","
											Vous êtes chanceux,
											je n'ai pas le temps de rentrer dans les
détails de la chimie aujourd'hui.
											Mais lorsque plus de dioxyde de carbone
entre dans l'océan,
											le pH de l'eau baisse.
											Et cela veut dire qu'il y a une
augmentation de l'acidité de l'océan.
											Et ce processus est appelé
l'acidification de l'océan.
											Et cela se déroule en parallèle
du changement climatique.
											Les scientifiques surveillent l'acidification
des océans depuis plus de deux décennies.
											Ce graphique est une série chronologique
importante à Hawaï,
											la ligne supérieure montre une
augmentation constante
											de la concentration en dioxyde de carbone,
ou gaz CO2, dans l'atmosphère.
											Et c'est un résultat direct des
activités humaines.
											La ligne au-dessous montre l'augmentation
de la concentration de dioxyde de carbone
											qui est dissous à la surface des océans
											dont vous pouvez voir qu'il
augmente à la même vitesse
											que le CO2 dans l’atmosphère
depuis que les mesures ont commencé.
											La ligne du bas montre
la variation de la chimie.
											Alors que d'avantage de dioxyde
de carbone est entré dans l'océan,
											le pH de l'eau de mer a diminué,
											ce qu'il veut dire qu'il y a eu une
augmentation de l'acidité de l'océan.
											En Irlande, les scientifiques surveillent
aussi l'acidification de l'océan
											(scientifiques du ""Marine Institute"" et
du ""NUI Galway"").
											Et nous aussi, nous observons une
acidification à la même vitesse
											que ces sites chronologiques des océans
principaux autour du globe.
											Donc cela se passe juste à notre porte.
									","
											Para su suerte,
											hoy no tengo tiempo para entrar 
en los detalles de la química.
											Pero le diré que cuanto más 
dióxido de carbono entra en el océano,
											más disminuye el pH del agua de mar.
											Y esto significa básicamente que 
hay un aumento en la acidez del océano.
											Y todo este proceso se llama 
acidificación del océano.
											Y está sucediendo 
junto con el cambio climático.
											Los científicos miden la acidificación 
del océano desde hace más de dos décadas.
											Esta cifra es una serie 
de tiempo importante en Hawái.
											Y en línea superior ven concentraciones 
de dióxido de carbono cada vez mayores
											o CO2 gas, en la atmósfera.
											Y esto es directamente como resultado 
de las actividades humanas.
											La línea inferior muestra concentraciones 
crecientes de dióxido de carbono
											que se disuelve 
en la superficie del océano
											lo que se ve que está aumentando 
al mismo ritmo
											como dióxido de carbono en la atmósfera 
desde que comenzaron las mediciones.
											La línea en la parte inferior 
muestra el cambio en su química.
											A medida que más dióxido 
de carbono ha entrado en el océano,
											el pH del agua de mar ha bajado,
											Lo que significa que ha habido 
un aumento en la acidez del océano.
											Ahora en Irlanda, los científicos también 
monitorean la acidificación del océano,
											los científicos del 
Instituto Marino y NUI Galway.
											Y nosotros también vemos 
la acidificación al mismo ritmo
											como estos sitios principales de la serie 
del tiempo del océano del mundo.
											Así que está sucediendo 
justo en nuestra puerta.
									",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
","
","
","
","
",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
											Now I'd like to give you an example
of just how we collect our data
											to monitor a changing ocean.
											Firstly we collect a lot of our samples
in the middle of winter.
											So as you can imagine,
in the North Atlantic
											we get hit with some seriously
stormy conditions —
											so not for any of you
who get a little motion sickness,
											but we are collecting
some very valuable data.
											So we lower this instrument
over the side of the ship,
											and there are sensors
that are mounted on the bottom
											that can tell us information about
the surrounding water,
											such as temperature
or dissolved oxygen.
											And then we can collect our seawater
samples in these large bottles.
											So we start at the bottom,
which can be over four kilometers deep
											just off our continental shelf,
											and we take samples at regular intervals
right up to the surface.
											We take the seawater back on the deck,
											and then we can either
analyze them on the ship
											or back in the laboratory
for the different chemicals parameters.
									","
											Gostava de vos dar um exemplo
de como recolhemos as informações
											para monitorizar um oceano em mudança.
											Primeiro, recolhemos muitas amostras
no meio do inverno.
											Como podem calcular,
no Atlântico Norte
											enfrentamos situações
de tempestades enormes
											por isso, não é para aqueles
que sofrem de enjoos,
											mas estamos a recolher
dados muito valiosos.
											Baixamos este instrumento
pelo lado de fora do navio,
											e há sensores montados
na parte de baixo
											que nos dão informações
sobre a água circundante,
											como a temperatura
ou o oxigénio dissolvido.
											Depois, podemos recolher amostras
da água do mar nestas grandes garrafas.
											Começamos pelo fundo
o que pode ser a 4 km de profundidade
											ao largo da nossa
plataforma continental
											e tiramos amostras em intervalos regulares
até à superfície.
											Levamos a água do mar para o convés
											e podemos analisá-la no navio
											ou levá-la para o laboratório
para os diversos parâmetros químicos.
									","
											Şimdi size bir değişen okyanusu 
gözlemlemek için
											nasıl veri topladığımızla alakalı
örnek vermek istiyorum.
											İlk önce kışın ortasında bir sürü 
örnek topluyoruz.
											Tahmin edebildiğiniz gibi, 
Kuzey Atlantik'te
											çok küçük şeylerde hastalanan 
sizler için
											uygun olmayan ciddi fırtınalı 
şartlarla uğraştık
											fakat bazı çok değerli veriler 
elde ediyoruz.
											Böylelikle bu aleti geminin 
yan tarafına indiriyoruz,
											ve alt tarafa yerleşmiş olan
etraftaki suyun
											sıcaklık ve dağılmış oksijen değerleri
gibi şeyler hakkında
											bizi bilgilendiren sensörler var.
											Ve sonra deniz suyu örneklerimizi 
bu büyük tüplerde toplayabiliyoruz.
											Böylelikle dört kilometreden fazla 
derinlikte kıta sahanlığının
											hemen dışında olan tabandan başlıyoruz
											ve düzenli aralıklarla yüzeye kadar 
örnek alıyoruz.
											Deniz suyunu güverteye geri götürüyoruz,
											sonra ya onları gemide analiz 
ediyoruz ya da
											farklı kimyasal parametreler için 
laboratuvara geri götürüyoruz.
									","
											Maintenant, je voudrais vous donner un
exemple de la façon dont
											nous recueillons nos données
pour surveiller un océan en changement.
											D'abord, nous collectons une grande
quantité de nos échantillons en hiver.
											Donc comme vous pouvez l'imaginer,
dans l'Atlantique Nord
											nous avons des conditions
de tempêtes sévères
											donc ce n'est pas pour ceux
qui ont le mal de mer,
											mais nous recueillons
des données très précieuses.
											Nous abaissons cet instrument
sur le côté du bateau,
											et il y a des capteurs montés en-dessous
											qui peuvent nous donner des informations
sur l'eau environnante,
											comme la température ou l'oxygène dissous.
											Et ensuite nous pouvons collecter nos
échantillons d'eau de mer
											dans ces grandes bouteilles.
											Nous commençons au fond,
jusqu'à plus de 4 km de profondeur
											juste à côté de notre plateau continental,
											et nous prenons des échantillons à
intervalles réguliers jusqu'à la surface.
											Nous montons l'eau de mer sur le pont,
											et nous pouvons alors les analyser 
sur le bateau
											ou de retour au laboratoire pour
les différents paramètres chimiques.
									","
											Me gustaría darles un ejemplo de 
cómo recopilamos nuestros datos
											para vigilar un océano cambiante.
											Primero recolectamos 
muchas muestras en invierno.
											Como imaginarán, en el Atlántico Norte
											nos enfrentamos a condiciones 
seriamente tormentosas.
											Algo que no es para quienes 
se marean un poco.
											Pero estamos recogiendo 
algunos datos muy valiosos.
											Así que bajamos este instrumento 
por el costado del barco,
											y hay sensores 
que están montados en el fondo
											que pueden darnos información 
sobre el agua circundante,
											como la temperatura o el oxígeno disuelto.
											Y luego podemos recoger muestras 
de agua de mar en estas grandes botellas.
											Comenzamos en la parte inferior que 
puede estar a más de 4 km de profundidad
											justo al lado de 
nuestra plataforma continental,
											Y tomamos muestras a intervalos regulares 
hasta la superficie.
											Guardamos el agua del mar en la cubierta,
											y entonces podemos analizarlas en el barco
											o al volver al laboratorio 
para los diferentes parámetros químicos.
									",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
","
","
","
","
",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
"
											But why should we care?
											How is ocean acidification
going to affect all of us?
											Well, here are the worrying facts.
											There has already been an increase
in ocean acidity of 26 percent
											since pre-industrial times,
which is directly due to human activities.
											Unless we can start slowing down
our carbon dioxide emissions,
											we're expecting an increase
in ocean acidity of 170 percent
											by the end of this century.
											I mean this is within
our children's lifetime.
											This rate of acidification
is 10 times faster
											than any acidification in our oceans
for over 55 million years.
											So our marine life have never,
ever experienced
											such a fast rate of change before.
											So we literally could not know
how they're going to cope.
									","
											Mas porquê preocuparmo-nos?
											Como é que a acidificação do oceano
nos pode vir a afetar?
											Os factos preocupantes são estes.
											Já houve um aumento de 26%
na acidez do oceano
											desde a época pré-industrial,
devida diretamente às atividades humanas.
											Se não começarmos a reduzir
as emissões de dióxido de carbono,
											podemos esperar um aumento
de 170% na acidez do oceano
											no final deste século.
											Ou seja, durante a vida dos nossos filhos.
											Este ritmo de acidificação
é 10 vezes mais rápido
											do que qualquer acidificação no oceano
durante mais de 55 milhões de anos.
											A vida marinha nunca experimentou
											um ritmo tão rápido de mudança.
											Assim, não podemos saber
como é que ela irá reagir.
									","
											Ama neden umursamalıyız?
											Okyanus asitleşmesi hepimizi 
nasıl etkileyecek?
											Peki, işte sizleri 
endişelendirecek gerçekler.
											Direktman insan aktivitelerine bağlı olan 
sanayi öncesi zamanlardan beri
											daha önce okyanus asitlik değerinde 
yüzde 26'lık bir artış oldu.
											Eğer karbondioksit salınımlarını 
yavaşlatamazsak,
											bu yüzyılın sonunda kadar okyanus asitlik 
değerinde yüzde 170'lik
											bir artış bekliyoruz.
											Yani bizim çocuklarımızın 
yaşam zamaları içinde.
											Geçen 55 milyon yıllık herhangi bir 
asitleşmeden
											10 kat daha hızlı bir asitleşme 
oranı hakim.
											Deniz hayatı daha önce hiç bu kadar hızlı 

											bir değişim oranına sahip olmadı.
											Bundan dolayı insanların bunlarla nasıl 
başa çıkacaklarını tam olarak bilemedik.
									","
											Mais pourquoi devrions-nous
nous en soucier?
											Comment l'acidification de l'océan
va-t-il tous nous affecter?
											Eh bien, voici les faits inquiétants.
											Il y a déjà eu une augmentation de
l'acidité des océans de 26%
											depuis l'ère pré-industrielle, ce qui est
directement lié à l'activité humaine.
											A moins que nous ne commencions à réduire
nos émissions de dioxyde de carbone,
											nous prévoyons une augmentation
de l'acidité des océans de 170%
											avant la fin de ce siècle.
											C'est dans la durée de vie de nos enfants.
											Ce taux d'acidification est
10 fois plus rapide
											qu'aucune autre acidification de
nos océans depuis 55 millions d'années.
											Notre vie sous-marine n'a jamais connu
											un changement si rapide auparavant.
											Donc nous ne savions littéralement
pas comment ils vont faire face.
									","
											Pero, ¿por qué deberíamos preocuparnos?
											¿Cómo nos afectará 
la acidificación del océano a todos?
											Bueno, aquí están los hechos preocupantes.
											Ya hay un aumento 
de la acidez del océano del 26 %
											desde la era preindustrial debida 
directamente a actividades humanas.
											A menos que podamos empezar a frenar 
nuestras emisiones de dióxido de carbono,
											llegaremos a un aumento 
de la acidez del océano de 170 %
											a finales de este siglo.
											Quiero decir que esto afectará 
a la vida de nuestros hijos.
											Esta tasa de acidificación 
es 10 veces más rápida
											que cualquier otra acidificación en 
los océanos en más de 55 millones de años.
											Así que nuestra vida marina 
nunca ha experimentado
											una tasa de cambio tan rápido antes.
											Así que literalmente no podría 
saber cómo van a hacer frente.
									",How pollution is changing the ocean's chemistry,Triona McGrath,9:03,"animals,biodiversity,biosphere,biology,environment,chemistry,climate change,nature,future,oceans,pollution,science,water,TEDx,marine biology,global commons"
